Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,Protein Stimulus HMS LINCS ID,Protein Stimulus Name,Other Stimulus HMS LINCS ID,Other Stimulus Name,Stimulus Concentration,Stimulus Conc Unit,ExpPlate,Measured Protein,Measured Protein MFI (a.u.),Bead Count
60001-1,N2586,,,,,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,413.5,68
60004-1,RA1869,10363-101-2,JNK-IN-8,3.0,uM,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,68.0,73
60004-1,RA1869,10439-101-2,PH-797804,0.6,uM,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,88.0,69
60003-1,N2759,10363-101-2,JNK-IN-8,3.0,uM,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,119.5,64
60003-1,N2759,10439-101-2,PH-797804,0.6,uM,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,987.0,68
60005-1,RA1931,10363-101-2,JNK-IN-8,3.0,uM,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,119.0,68
60005-1,RA1931,10439-101-2,PH-797804,0.6,uM,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,162.0,92
60001-1,N2586,10363-101-2,JNK-IN-8,3.0,uM,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,84.0,65
60001-1,N2586,10439-101-2,PH-797804,0.6,uM,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,129.0,80
60004-1,RA1869,,,,,,,,,,,1,MIP-1B,59.5,56
60003-1,N2759,,,,,,,,,,,1,MIP-1B,66.0,78
60005-1,RA1931,,,,,,,,,,,1,MIP-1B,69.0,75
60001-1,N2586,,,,,,,,,,,1,MIP-1B,63.0,65
60004-1,RA1869,10363-101-2,JNK-IN-8,3.0,uM,,,,,,,1,MIP-1B,64.5,74
60004-1,RA1869,10439-101-2,PH-797804,0.6,uM,,,,,,,1,MIP-1B,73.5,70
60003-1,N2759,10363-101-2,JNK-IN-8,3.0,uM,,,,,,,1,MIP-1B,67.0,73
60003-1,N2759,10439-101-2,PH-797804,0.6,uM,,,,,,,1,MIP-1B,69.5,92
60005-1,RA1931,10363-101-2,JNK-IN-8,3.0,uM,,,,,,,1,MIP-1B,68.0,63
60005-1,RA1931,10439-101-2,PH-797804,0.6,uM,,,,,,,1,MIP-1B,60.0,71
60001-1,N2586,10363-101-2,JNK-IN-8,3.0,uM,,,,,,,1,MIP-1B,59.0,59
60001-1,N2586,10439-101-2,PH-797804,0.6,uM,,,,,,,1,MIP-1B,67.0,84
60004-1,RA1869,10356-101-3,5z-7-oxozeaenol,0.6,uM,,,,,,,1,MIP-1B,66.5,74
60004-1,RA1869,10228-102-3,IKK16,2.0,uM,,,,,,,1,MIP-1B,70.0,79
60003-1,N2759,10356-101-3,5z-7-oxozeaenol,0.6,uM,,,,,,,1,MIP-1B,61.5,68
60003-1,N2759,10228-102-3,IKK16,2.0,uM,,,,,,,1,MIP-1B,60.0,67
60005-1,RA1931,10356-101-3,5z-7-oxozeaenol,0.6,uM,,,,,,,1,MIP-1B,65.0,75
60005-1,RA1931,10228-102-3,IKK16,2.0,uM,,,,,,,1,MIP-1B,63.0,76
60001-1,N2586,10356-101-3,5z-7-oxozeaenol,0.6,uM,,,,,,,1,MIP-1B,60.0,67
60001-1,N2586,10228-102-3,IKK16,2.0,uM,,,,,,,1,MIP-1B,60.0,69
60004-1,RA1869,10226-101-2,Tofacitinib,0.3,uM,,,,,,,1,MIP-1B,53.0,68
60004-1,RA1869,,,,,,,,,,,1,MIP-1B,68.0,63
60003-1,N2759,10226-101-2,Tofacitinib,0.3,uM,,,,,,,1,MIP-1B,68.0,73
60003-1,N2759,,,,,,,,,,,1,MIP-1B,63.5,70
60005-1,RA1931,10226-101-2,Tofacitinib,0.3,uM,,,,,,,1,MIP-1B,68.5,70
60005-1,RA1931,,,,,,,,,,,1,MIP-1B,66.0,69
60001-1,N2586,10226-101-2,Tofacitinib,0.3,uM,,,,,,,1,MIP-1B,71.0,89
60001-1,N2586,,,,,,,,,,,1,MIP-1B,64.5,50
60004-1,RA1869,10356-101-3,5z-7-oxozeaenol,0.6,uM,201285,TNF-a,,,100,ng/mL,1,MIP-1B,100.0,65
60004-1,RA1869,10228-102-3,IKK16,2.0,uM,201285,TNF-a,,,100,ng/mL,1,MIP-1B,102.5,74
60003-1,N2759,10356-101-3,5z-7-oxozeaenol,0.6,uM,201285,TNF-a,,,100,ng/mL,1,MIP-1B,101.5,86
60003-1,N2759,10228-102-3,IKK16,2.0,uM,201285,TNF-a,,,100,ng/mL,1,MIP-1B,109.0,76
60005-1,RA1931,10356-101-3,5z-7-oxozeaenol,0.6,uM,201285,TNF-a,,,100,ng/mL,1,MIP-1B,96.5,66
60005-1,RA1931,10228-102-3,IKK16,2.0,uM,201285,TNF-a,,,100,ng/mL,1,MIP-1B,115.5,58
60001-1,N2586,10356-101-3,5z-7-oxozeaenol,0.6,uM,201285,TNF-a,,,100,ng/mL,1,MIP-1B,96.5,68
60001-1,N2586,10228-102-3,IKK16,2.0,uM,201285,TNF-a,,,100,ng/mL,1,MIP-1B,107.5,68
60004-1,RA1869,10226-101-2,Tofacitinib,0.3,uM,201285,TNF-a,,,100,ng/mL,1,MIP-1B,123.0,53
60004-1,RA1869,,,,,201285,TNF-a,,,100,ng/mL,1,MIP-1B,145.0,57
60003-1,N2759,10226-101-2,Tofacitinib,0.3,uM,201285,TNF-a,,,100,ng/mL,1,MIP-1B,173.0,77
60003-1,N2759,,,,,201285,TNF-a,,,100,ng/mL,1,MIP-1B,174.5,56
60005-1,RA1931,10226-101-2,Tofacitinib,0.3,uM,201285,TNF-a,,,100,ng/mL,1,MIP-1B,130.5,74
60005-1,RA1931,,,,,201285,TNF-a,,,100,ng/mL,1,MIP-1B,146.0,69
60001-1,N2586,10226-101-2,Tofacitinib,0.3,uM,201285,TNF-a,,,100,ng/mL,1,MIP-1B,137.0,63
60001-1,N2586,,,,,201285,TNF-a,,,100,ng/mL,1,MIP-1B,121.0,66
60004-1,RA1869,10356-101-3,5z-7-oxozeaenol,0.6,uM,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,62.0,62
60004-1,RA1869,10228-102-3,IKK16,2.0,uM,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,67.5,66
60003-1,N2759,10356-101-3,5z-7-oxozeaenol,0.6,uM,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,63.0,63
60003-1,N2759,10228-102-3,IKK16,2.0,uM,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,66.0,66
60005-1,RA1931,10356-101-3,5z-7-oxozeaenol,0.6,uM,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,62.0,85
60005-1,RA1931,10228-102-3,IKK16,2.0,uM,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,62.0,48
60001-1,N2586,10356-101-3,5z-7-oxozeaenol,0.6,uM,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,64.0,71
60001-1,N2586,10228-102-3,IKK16,2.0,uM,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,58.0,52
60004-1,RA1869,10226-101-2,Tofacitinib,0.3,uM,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,126.5,62
60004-1,RA1869,,,,,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,137.0,65
60003-1,N2759,10226-101-2,Tofacitinib,0.3,uM,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,542.0,68
60003-1,N2759,,,,,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,341.5,54
60005-1,RA1931,10226-101-2,Tofacitinib,0.3,uM,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,517.0,55
60005-1,RA1931,,,,,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,401.0,58
60001-1,N2586,10226-101-2,Tofacitinib,0.3,uM,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,203.0,60
60001-1,N2586,,,,,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,204.5,74
60004-1,RA1869,10356-101-3,5z-7-oxozeaenol,0.6,uM,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,58.0,64
60004-1,RA1869,10228-102-3,IKK16,2.0,uM,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,67.0,47
60003-1,N2759,10356-101-3,5z-7-oxozeaenol,0.6,uM,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,64.0,63
60003-1,N2759,10228-102-3,IKK16,2.0,uM,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,58.0,63
60005-1,RA1931,10356-101-3,5z-7-oxozeaenol,0.6,uM,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,57.0,57
60005-1,RA1931,10228-102-3,IKK16,2.0,uM,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,63.5,60
60001-1,N2586,10356-101-3,5z-7-oxozeaenol,0.6,uM,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,61.0,43
60001-1,N2586,10228-102-3,IKK16,2.0,uM,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,54.0,61
60004-1,RA1869,10226-101-2,Tofacitinib,0.3,uM,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,103.5,54
60004-1,RA1869,,,,,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,118.5,42
60003-1,N2759,10226-101-2,Tofacitinib,0.3,uM,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,1793.0,67
60003-1,N2759,,,,,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,1277.0,48
60005-1,RA1931,10226-101-2,Tofacitinib,0.3,uM,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,517.0,69
60005-1,RA1931,,,,,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,519.0,63
60001-1,N2586,10226-101-2,Tofacitinib,0.3,uM,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,147.0,59
60001-1,N2586,,,,,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,277.0,54
60004-1,RA1869,10356-101-3,5z-7-oxozeaenol,0.6,uM,,,,,,,1,MIP-1B,60.0,71
60004-1,RA1869,10228-102-3,IKK16,2.0,uM,,,,,,,1,MIP-1B,54.0,46
60003-1,N2759,10356-101-3,5z-7-oxozeaenol,0.6,uM,,,,,,,1,MIP-1B,60.0,68
60003-1,N2759,10228-102-3,IKK16,2.0,uM,,,,,,,1,MIP-1B,57.0,69
60005-1,RA1931,10356-101-3,5z-7-oxozeaenol,0.6,uM,,,,,,,1,MIP-1B,57.0,85
60005-1,RA1931,10228-102-3,IKK16,2.0,uM,,,,,,,1,MIP-1B,57.0,58
60001-1,N2586,10356-101-3,5z-7-oxozeaenol,0.6,uM,,,,,,,1,MIP-1B,57.5,62
60001-1,N2586,10228-102-3,IKK16,2.0,uM,,,,,,,1,MIP-1B,53.5,66
60004-1,RA1869,10226-101-2,Tofacitinib,0.3,uM,,,,,,,1,MIP-1B,61.0,67
60004-1,RA1869,,,,,,,,,,,1,MIP-1B,57.0,77
60003-1,N2759,10226-101-2,Tofacitinib,0.3,uM,,,,,,,1,MIP-1B,62.5,66
60003-1,N2759,,,,,,,,,,,1,MIP-1B,60.0,54
60005-1,RA1931,10226-101-2,Tofacitinib,0.3,uM,,,,,,,1,MIP-1B,67.0,72
60005-1,RA1931,,,,,,,,,,,1,MIP-1B,60.0,64
60001-1,N2586,10226-101-2,Tofacitinib,0.3,uM,,,,,,,1,MIP-1B,60.0,57
60001-1,N2586,,,,,,,,,,,1,MIP-1B,60.0,65
,,,,,,,,,,,,0,MIP-1B,74.0,69
,,,,,,,,,,,,0,MIP-1B,74.0,41
,,,,,,,,,,,,0,MIP-1B,66.0,55
,,,,,,,,,,,,0,MIP-1B,79.0,91
,,,,,,,,,,,,0,MIP-1B,82.5,60
,,,,,,,,,,,,0,MIP-1B,84.5,60
60006-1,RA2159,,,,,,,,,,,2,MIP-1B,101.5,78
60002-1,N2645,,,,,,,,,,,2,MIP-1B,90.0,86
60007-1,RA2708,,,,,,,,,,,2,MIP-1B,85.0,73
60006-1,RA2159,10363-101-2,JNK-IN-8,3.0,uM,,,,,,,2,MIP-1B,71.5,78
60006-1,RA2159,10439-101-2,PH-797804,0.6,uM,,,,,,,2,MIP-1B,76.0,68
60002-1,N2645,10363-101-2,JNK-IN-8,3.0,uM,,,,,,,2,MIP-1B,67.0,66
60002-1,N2645,10439-101-2,PH-797804,0.6,uM,,,,,,,2,MIP-1B,73.0,85
60007-1,RA2708,10363-101-2,JNK-IN-8,3.0,uM,,,,,,,2,MIP-1B,73.5,70
60007-1,RA2708,10439-101-2,PH-797804,0.6,uM,,,,,,,2,MIP-1B,67.0,52
60006-1,RA2159,,,,,201285,TNF-a,,,100,ng/mL,2,MIP-1B,146.5,70
60002-1,N2645,,,,,201285,TNF-a,,,100,ng/mL,2,MIP-1B,90.5,98
60007-1,RA2708,,,,,201285,TNF-a,,,100,ng/mL,2,MIP-1B,102.0,63
60006-1,RA2159,10363-101-2,JNK-IN-8,3.0,uM,201285,TNF-a,,,100,ng/mL,2,MIP-1B,113.0,84
60006-1,RA2159,10439-101-2,PH-797804,0.6,uM,201285,TNF-a,,,100,ng/mL,2,MIP-1B,173.0,70
60002-1,N2645,10363-101-2,JNK-IN-8,3.0,uM,201285,TNF-a,,,100,ng/mL,2,MIP-1B,96.0,68
60002-1,N2645,10439-101-2,PH-797804,0.6,uM,201285,TNF-a,,,100,ng/mL,2,MIP-1B,95.0,77
60007-1,RA2708,10363-101-2,JNK-IN-8,3.0,uM,201285,TNF-a,,,100,ng/mL,2,MIP-1B,106.0,74
60007-1,RA2708,10439-101-2,PH-797804,0.6,uM,201285,TNF-a,,,100,ng/mL,2,MIP-1B,104.0,69
60006-1,RA2159,,,,,201286,IL-1 alpha,,,100,ng/mL,2,MIP-1B,282.0,70
60002-1,N2645,,,,,201286,IL-1 alpha,,,100,ng/mL,2,MIP-1B,81.0,77
60007-1,RA2708,,,,,201286,IL-1 alpha,,,100,ng/mL,2,MIP-1B,132.0,60
60006-1,RA2159,10363-101-2,JNK-IN-8,3.0,uM,201286,IL-1 alpha,,,100,ng/mL,2,MIP-1B,141.0,79
60006-1,RA2159,10439-101-2,PH-797804,0.6,uM,201286,IL-1 alpha,,,100,ng/mL,2,MIP-1B,299.5,72
60002-1,N2645,10363-101-2,JNK-IN-8,3.0,uM,201286,IL-1 alpha,,,100,ng/mL,2,MIP-1B,82.0,69
60002-1,N2645,10439-101-2,PH-797804,0.6,uM,201286,IL-1 alpha,,,100,ng/mL,2,MIP-1B,69.0,61
60007-1,RA2708,10363-101-2,JNK-IN-8,3.0,uM,201286,IL-1 alpha,,,100,ng/mL,2,MIP-1B,91.0,65
60007-1,RA2708,10439-101-2,PH-797804,0.6,uM,201286,IL-1 alpha,,,100,ng/mL,2,MIP-1B,180.0,55
60006-1,RA2159,,,,,,,90002-1,Poly(I:C),2,ug/mL,2,MIP-1B,283.0,67
60002-1,N2645,,,,,,,90002-1,Poly(I:C),2,ug/mL,2,MIP-1B,81.0,101
60007-1,RA2708,,,,,,,90002-1,Poly(I:C),2,ug/mL,2,MIP-1B,1043.0,107
60006-1,RA2159,10363-101-2,JNK-IN-8,3.0,uM,,,90002-1,Poly(I:C),2,ug/mL,2,MIP-1B,128.0,54
60006-1,RA2159,10439-101-2,PH-797804,0.6,uM,,,90002-1,Poly(I:C),2,ug/mL,2,MIP-1B,372.0,78
60002-1,N2645,10363-101-2,JNK-IN-8,3.0,uM,,,90002-1,Poly(I:C),2,ug/mL,2,MIP-1B,68.0,57
60002-1,N2645,10439-101-2,PH-797804,0.6,uM,,,90002-1,Poly(I:C),2,ug/mL,2,MIP-1B,80.0,84
60007-1,RA2708,10363-101-2,JNK-IN-8,3.0,uM,,,90002-1,Poly(I:C),2,ug/mL,2,MIP-1B,119.0,67
60007-1,RA2708,10439-101-2,PH-797804,0.6,uM,,,90002-1,Poly(I:C),2,ug/mL,2,MIP-1B,211.5,70
60006-1,RA2159,,,,,,,,,,,2,MIP-1B,66.0,73
60002-1,N2645,,,,,,,,,,,2,MIP-1B,74.0,77
60007-1,RA2708,,,,,,,,,,,2,MIP-1B,67.0,75
60006-1,RA2159,10363-101-2,JNK-IN-8,3.0,uM,,,,,,,2,MIP-1B,65.0,61
60006-1,RA2159,10439-101-2,PH-797804,0.6,uM,,,,,,,2,MIP-1B,68.0,61
60002-1,N2645,10363-101-2,JNK-IN-8,3.0,uM,,,,,,,2,MIP-1B,73.0,69
60002-1,N2645,10439-101-2,PH-797804,0.6,uM,,,,,,,2,MIP-1B,73.0,57
60007-1,RA2708,10363-101-2,JNK-IN-8,3.0,uM,,,,,,,2,MIP-1B,78.0,59
60007-1,RA2708,10439-101-2,PH-797804,0.6,uM,,,,,,,2,MIP-1B,70.0,54
60006-1,RA2159,10356-101-3,5z-7-oxozeaenol,0.6,uM,,,,,,,2,MIP-1B,74.0,86
60006-1,RA2159,10228-102-3,IKK16,2.0,uM,,,,,,,2,MIP-1B,72.0,91
60002-1,N2645,10356-101-3,5z-7-oxozeaenol,0.6,uM,,,,,,,2,MIP-1B,66.5,66
60002-1,N2645,10228-102-3,IKK16,2.0,uM,,,,,,,2,MIP-1B,66.0,91
60007-1,RA2708,10356-101-3,5z-7-oxozeaenol,0.6,uM,,,,,,,2,MIP-1B,67.0,64
60007-1,RA2708,10228-102-3,IKK16,2.0,uM,,,,,,,2,MIP-1B,71.0,87
60006-1,RA2159,10226-101-2,Tofacitinib,0.3,uM,,,,,,,2,MIP-1B,75.0,64
60006-1,RA2159,,,,,,,,,,,2,MIP-1B,71.0,79
60002-1,N2645,10226-101-2,Tofacitinib,0.3,uM,,,,,,,2,MIP-1B,69.5,76
60002-1,N2645,,,,,,,,,,,2,MIP-1B,68.0,68
60007-1,RA2708,10226-101-2,Tofacitinib,0.3,uM,,,,,,,2,MIP-1B,70.5,68
60007-1,RA2708,,,,,,,,,,,2,MIP-1B,68.0,74
60006-1,RA2159,10356-101-3,5z-7-oxozeaenol,0.6,uM,201285,TNF-a,,,100,ng/mL,2,MIP-1B,89.5,78
60006-1,RA2159,10228-102-3,IKK16,2.0,uM,201285,TNF-a,,,100,ng/mL,2,MIP-1B,100.0,59
60002-1,N2645,10356-101-3,5z-7-oxozeaenol,0.6,uM,201285,TNF-a,,,100,ng/mL,2,MIP-1B,80.0,79
60002-1,N2645,10228-102-3,IKK16,2.0,uM,201285,TNF-a,,,100,ng/mL,2,MIP-1B,87.5,84
60007-1,RA2708,10356-101-3,5z-7-oxozeaenol,0.6,uM,201285,TNF-a,,,100,ng/mL,2,MIP-1B,92.0,65
60007-1,RA2708,10228-102-3,IKK16,2.0,uM,201285,TNF-a,,,100,ng/mL,2,MIP-1B,88.5,54
60006-1,RA2159,10226-101-2,Tofacitinib,0.3,uM,201285,TNF-a,,,100,ng/mL,2,MIP-1B,134.0,79
60006-1,RA2159,,,,,201285,TNF-a,,,100,ng/mL,2,MIP-1B,148.5,72
60002-1,N2645,10226-101-2,Tofacitinib,0.3,uM,201285,TNF-a,,,100,ng/mL,2,MIP-1B,86.5,72
60002-1,N2645,,,,,201285,TNF-a,,,100,ng/mL,2,MIP-1B,91.0,70
60007-1,RA2708,10226-101-2,Tofacitinib,0.3,uM,201285,TNF-a,,,100,ng/mL,2,MIP-1B,102.0,71
60007-1,RA2708,,,,,201285,TNF-a,,,100,ng/mL,2,MIP-1B,98.0,39
60006-1,RA2159,10356-101-3,5z-7-oxozeaenol,0.6,uM,201286,IL-1 alpha,,,100,ng/mL,2,MIP-1B,73.0,62
60006-1,RA2159,10228-102-3,IKK16,2.0,uM,201286,IL-1 alpha,,,100,ng/mL,2,MIP-1B,76.0,67
60002-1,N2645,10356-101-3,5z-7-oxozeaenol,0.6,uM,201286,IL-1 alpha,,,100,ng/mL,2,MIP-1B,70.0,89
60002-1,N2645,10228-102-3,IKK16,2.0,uM,201286,IL-1 alpha,,,100,ng/mL,2,MIP-1B,69.0,64
60007-1,RA2708,10356-101-3,5z-7-oxozeaenol,0.6,uM,201286,IL-1 alpha,,,100,ng/mL,2,MIP-1B,66.0,68
60007-1,RA2708,10228-102-3,IKK16,2.0,uM,201286,IL-1 alpha,,,100,ng/mL,2,MIP-1B,79.0,65
60006-1,RA2159,10226-101-2,Tofacitinib,0.3,uM,201286,IL-1 alpha,,,100,ng/mL,2,MIP-1B,290.5,70
60006-1,RA2159,,,,,201286,IL-1 alpha,,,100,ng/mL,2,MIP-1B,218.0,77
60002-1,N2645,10226-101-2,Tofacitinib,0.3,uM,201286,IL-1 alpha,,,100,ng/mL,2,MIP-1B,68.0,51
60002-1,N2645,,,,,201286,IL-1 alpha,,,100,ng/mL,2,MIP-1B,79.0,65
60007-1,RA2708,10226-101-2,Tofacitinib,0.3,uM,201286,IL-1 alpha,,,100,ng/mL,2,MIP-1B,114.0,47
60007-1,RA2708,,,,,201286,IL-1 alpha,,,100,ng/mL,2,MIP-1B,110.5,48
60006-1,RA2159,10356-101-3,5z-7-oxozeaenol,0.6,uM,,,90002-1,Poly(I:C),2,ug/mL,2,MIP-1B,73.5,80
60006-1,RA2159,10228-102-3,IKK16,2.0,uM,,,90002-1,Poly(I:C),2,ug/mL,2,MIP-1B,73.0,55
60002-1,N2645,10356-101-3,5z-7-oxozeaenol,0.6,uM,,,90002-1,Poly(I:C),2,ug/mL,2,MIP-1B,66.0,81
60002-1,N2645,10228-102-3,IKK16,2.0,uM,,,90002-1,Poly(I:C),2,ug/mL,2,MIP-1B,68.0,58
60007-1,RA2708,10356-101-3,5z-7-oxozeaenol,0.6,uM,,,90002-1,Poly(I:C),2,ug/mL,2,MIP-1B,72.5,76
60007-1,RA2708,10228-102-3,IKK16,2.0,uM,,,90002-1,Poly(I:C),2,ug/mL,2,MIP-1B,73.0,65
60006-1,RA2159,10226-101-2,Tofacitinib,0.3,uM,,,90002-1,Poly(I:C),2,ug/mL,2,MIP-1B,289.0,85
60006-1,RA2159,,,,,,,90002-1,Poly(I:C),2,ug/mL,2,MIP-1B,616.0,63
60002-1,N2645,10226-101-2,Tofacitinib,0.3,uM,,,90002-1,Poly(I:C),2,ug/mL,2,MIP-1B,68.0,65
60002-1,N2645,,,,,,,90002-1,Poly(I:C),2,ug/mL,2,MIP-1B,71.5,68
60007-1,RA2708,10226-101-2,Tofacitinib,0.3,uM,,,90002-1,Poly(I:C),2,ug/mL,2,MIP-1B,579.0,59
60007-1,RA2708,,,,,,,90002-1,Poly(I:C),2,ug/mL,2,MIP-1B,650.5,40
60006-1,RA2159,10356-101-3,5z-7-oxozeaenol,0.6,uM,,,,,,,2,MIP-1B,68.0,75
