Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,Replicate,Seeding Density,Mean Total Cell Count Before Treatment,Mean Total Cell Count After Treatment,Mean Total Control Cell Count,Mean Relative Cell Count,Mean Normalized Growth Rate Inhibition Value
50238-3,Hs 578T,10102-999-6,Taxol,0.00033113,uM,1,312.50,222.17,423.33,550.00,0.7901,0.6886
50238-3,Hs 578T,10102-999-6,Taxol,0.001,uM,1,312.50,222.17,332.33,550.00,0.6128,0.3676
50238-3,Hs 578T,10102-999-6,Taxol,0.0031623,uM,1,312.50,222.17,287.67,550.00,0.5217,0.2016
50238-3,Hs 578T,10102-999-6,Taxol,0.01,uM,1,312.50,222.17,141.00,550.00,0.2573,-0.3044
50238-3,Hs 578T,10102-999-6,Taxol,0.031623,uM,1,312.50,222.17,144.00,550.00,0.2612,-0.2971
50238-3,Hs 578T,10102-999-6,Taxol,0.1,uM,1,312.50,222.17,156.00,550.00,0.2829,-0.2509
50238-3,Hs 578T,10102-999-6,Taxol,0.31623,uM,1,312.50,222.17,166.67,550.00,0.3006,-0.2157
50238-3,Hs 578T,10102-999-6,Taxol,1,uM,1,312.50,222.17,157.33,550.00,0.2879,-0.2417
50238-3,Hs 578T,10250-999-4,Etoposide,0.0033113,uM,1,312.50,222.17,713.00,682.08,1.0540,1.0732
50238-3,Hs 578T,10250-999-4,Etoposide,0.01,uM,1,312.50,222.17,790.00,682.08,1.1669,1.2098
50238-3,Hs 578T,10250-999-4,Etoposide,0.031623,uM,1,312.50,222.17,725.67,682.08,1.0752,1.1006
50238-3,Hs 578T,10250-999-4,Etoposide,0.1,uM,1,312.50,222.17,705.33,682.08,1.0459,1.0599
50238-3,Hs 578T,10250-999-4,Etoposide,0.31623,uM,1,312.50,222.17,485.33,682.08,0.7243,0.6388
50238-3,Hs 578T,10250-999-4,Etoposide,1,uM,1,312.50,222.17,298.33,682.08,0.4414,0.2019
50238-3,Hs 578T,10250-999-4,Etoposide,3.1623,uM,1,312.50,222.17,245.67,682.08,0.3639,0.0631
50238-3,Hs 578T,10250-999-4,Etoposide,10,uM,1,312.50,222.17,187.33,682.08,0.2764,-0.1021
50238-3,Hs 578T,10250-999-4,Etoposide,19.9526,uM,1,312.50,222.17,216.33,682.08,0.3191,-0.0180
50238-3,Hs 578T,10099-101-1,Nilotinib,0.0033113,uM,1,312.50,222.17,839.00,682.08,1.2272,1.2668
50238-3,Hs 578T,10099-101-1,Nilotinib,0.01,uM,1,312.50,222.17,782.67,682.08,1.1444,1.1722
50238-3,Hs 578T,10099-101-1,Nilotinib,0.031623,uM,1,312.50,222.17,794.33,682.08,1.1705,1.2103
50238-3,Hs 578T,10099-101-1,Nilotinib,0.1,uM,1,312.50,222.17,778.00,682.08,1.1416,1.1729
50238-3,Hs 578T,10099-101-1,Nilotinib,0.31623,uM,1,312.50,222.17,744.67,682.08,1.0965,1.1228
50238-3,Hs 578T,10099-101-1,Nilotinib,1,uM,1,312.50,222.17,786.67,682.08,1.1556,1.1914
50238-3,Hs 578T,10099-101-1,Nilotinib,3.1623,uM,1,312.50,222.17,619.67,682.08,0.9044,0.8726
50238-3,Hs 578T,10099-101-1,Nilotinib,10,uM,1,312.50,222.17,744.33,682.08,1.0967,1.1236
50238-3,Hs 578T,10099-101-1,Nilotinib,19.9526,uM,1,312.50,222.17,2138.67,682.08,3.1838,3.1654
50238-3,Hs 578T,10049-101-1,PLX-4720,0.0033113,uM,1,312.50,222.17,763.67,682.08,1.1210,1.1493
50238-3,Hs 578T,10049-101-1,PLX-4720,0.01,uM,1,312.50,222.17,814.00,682.08,1.1826,1.2072
50238-3,Hs 578T,10049-101-1,PLX-4720,0.031623,uM,1,312.50,222.17,683.67,682.08,1.0025,1.0023
50238-3,Hs 578T,10049-101-1,PLX-4720,0.1,uM,1,312.50,222.17,759.67,682.08,1.1071,1.1201
50238-3,Hs 578T,10049-101-1,PLX-4720,0.31623,uM,1,312.50,222.17,756.33,682.08,1.1110,1.1372
50238-3,Hs 578T,10049-101-1,PLX-4720,1,uM,1,312.50,222.17,780.00,682.08,1.1451,1.1778
50238-3,Hs 578T,10049-101-1,PLX-4720,3.1623,uM,1,312.50,222.17,840.00,682.08,1.2304,1.2741
50238-3,Hs 578T,10049-101-1,PLX-4720,10,uM,1,312.50,222.17,699.00,682.08,1.0248,1.0289
50238-3,Hs 578T,10049-101-1,PLX-4720,19.9526,uM,1,312.50,222.17,371.33,682.08,0.5507,0.3808
50238-3,Hs 578T,10024-101-1,NVP-TAE684,0.0016596,uM,1,312.50,222.17,703.33,682.08,1.0307,1.0330
50238-3,Hs 578T,10024-101-1,NVP-TAE684,0.0033113,uM,1,312.50,222.17,693.67,682.08,1.0230,1.0338
50238-3,Hs 578T,10024-101-1,NVP-TAE684,0.01,uM,1,312.50,222.17,838.00,682.08,1.2350,1.2880
50238-3,Hs 578T,10024-101-1,NVP-TAE684,0.031623,uM,1,312.50,222.17,719.00,682.08,1.0605,1.0797
50238-3,Hs 578T,10024-101-1,NVP-TAE684,0.1,uM,1,312.50,222.17,722.00,682.08,1.0540,1.0617
50238-3,Hs 578T,10024-101-1,NVP-TAE684,0.31623,uM,1,312.50,222.17,688.00,682.08,1.0058,1.0017
50238-3,Hs 578T,10024-101-1,NVP-TAE684,1,uM,1,312.50,222.17,422.00,682.08,0.6152,0.4731
50238-3,Hs 578T,10024-101-1,NVP-TAE684,3.1623,uM,1,312.50,222.17,196.33,682.08,0.2895,-0.0771
50238-3,Hs 578T,10024-101-1,NVP-TAE684,10,uM,1,312.50,222.17,134.33,682.08,0.2010,-0.2678
50238-3,Hs 578T,10071-101-1,Palbociclib,0.0033113,uM,1,312.50,222.17,589.33,550.00,1.0688,1.0978
50238-3,Hs 578T,10071-101-1,Palbociclib,0.01,uM,1,312.50,222.17,574.67,550.00,1.0568,1.1038
50238-3,Hs 578T,10071-101-1,Palbociclib,0.031623,uM,1,312.50,222.17,387.67,550.00,0.6931,0.4832
50238-3,Hs 578T,10071-101-1,Palbociclib,0.1,uM,1,312.50,222.17,439.67,550.00,0.8041,0.6802
50238-3,Hs 578T,10071-101-1,Palbociclib,0.31623,uM,1,312.50,222.17,347.33,550.00,0.6283,0.3796
50238-3,Hs 578T,10071-101-1,Palbociclib,1,uM,1,312.50,222.17,234.67,550.00,0.4190,0.0079
50238-3,Hs 578T,10071-101-1,Palbociclib,3.1623,uM,1,312.50,222.17,240.67,550.00,0.4390,0.0529
50238-3,Hs 578T,10071-101-1,Palbociclib,10,uM,1,312.50,222.17,207.67,550.00,0.3759,-0.0679
50238-3,Hs 578T,10071-101-1,Palbociclib,19.9526,uM,1,312.50,222.17,237.00,550.00,0.4360,0.0486
50238-3,Hs 578T,10146-101-3,Omipalisib,0.0016596,uM,1,625.00,382.17,1425.33,1678.83,0.8950,0.7446
50238-3,Hs 578T,10146-101-3,Omipalisib,0.0033113,uM,1,625.00,382.17,1340.00,1678.83,0.8722,0.3937
50238-3,Hs 578T,10146-101-3,Omipalisib,0.01,uM,1,625.00,382.17,1229.00,1678.83,0.8418,0.2213
50238-3,Hs 578T,10146-101-3,Omipalisib,0.031623,uM,1,625.00,382.17,876.33,1678.83,0.5710,1508.4334
50238-3,Hs 578T,10146-101-3,Omipalisib,0.1,uM,1,625.00,382.17,658.00,1678.83,0.3559,1531160553410.0000
50238-3,Hs 578T,10146-101-3,Omipalisib,0.31623,uM,1,625.00,382.17,560.00,1678.83,0.3526,167677050.1220
50238-3,Hs 578T,10146-101-3,Omipalisib,1,uM,1,625.00,382.17,463.00,1678.83,0.2620,25139228897000.0000
50238-3,Hs 578T,10146-101-3,Omipalisib,3.1623,uM,1,625.00,382.17,421.00,1678.83,0.2353,841813822472000.0000
50238-3,Hs 578T,10146-101-3,Omipalisib,10,uM,1,625.00,382.17,312.67,1678.83,0.1930,154982639882000.0000
50238-3,Hs 578T,10264-999-2,Methotrexate,0.0016596,uM,1,625.00,382.17,1595.00,1678.83,0.9279,14.2979
50238-3,Hs 578T,10264-999-2,Methotrexate,0.0033113,uM,1,625.00,382.17,1679.00,1678.83,1.0686,0.3312
50238-3,Hs 578T,10264-999-2,Methotrexate,0.01,uM,1,625.00,382.17,1532.33,1678.83,0.8825,59.8847
50238-3,Hs 578T,10264-999-2,Methotrexate,0.031623,uM,1,625.00,382.17,1729.67,1678.83,1.1050,0.3403
50238-3,Hs 578T,10264-999-2,Methotrexate,0.1,uM,1,625.00,382.17,1180.67,1678.83,0.7098,526.3287
50238-3,Hs 578T,10264-999-2,Methotrexate,0.31623,uM,1,625.00,382.17,1018.67,1678.83,0.5338,4244017661.3100
50238-3,Hs 578T,10264-999-2,Methotrexate,1,uM,1,625.00,382.17,1069.67,1678.83,0.6488,2719.3656
50238-3,Hs 578T,10264-999-2,Methotrexate,3.1623,uM,1,625.00,382.17,957.67,1678.83,0.6760,1.9906
50238-3,Hs 578T,10264-999-2,Methotrexate,10,uM,1,625.00,382.17,1046.33,1678.83,0.6533,486.3480
50238-3,Hs 578T,10102-999-6,Taxol,0.00016596,uM,1,625.00,382.17,1605.33,1678.83,0.8851,1388.7536
50238-3,Hs 578T,10102-999-6,Taxol,0.00033113,uM,1,625.00,382.17,1378.67,1678.83,0.9125,0.2438
50238-3,Hs 578T,10102-999-6,Taxol,0.001,uM,1,625.00,382.17,1212.00,1678.83,0.6937,19406.4468
50238-3,Hs 578T,10102-999-6,Taxol,0.0031623,uM,1,625.00,382.17,927.33,1678.83,0.5600,67876.5697
50238-3,Hs 578T,10102-999-6,Taxol,0.01,uM,1,625.00,382.17,589.67,1678.83,0.3270,2381601302240.0000
50238-3,Hs 578T,10102-999-6,Taxol,0.031623,uM,1,625.00,382.17,504.00,1678.83,0.2972,156755948720.0000
50238-3,Hs 578T,10102-999-6,Taxol,0.1,uM,1,625.00,382.17,700.00,1678.83,0.3686,15362088087300.0000
50238-3,Hs 578T,10102-999-6,Taxol,0.31623,uM,1,625.00,382.17,552.00,1678.83,0.3488,193512967.3830
50238-3,Hs 578T,10102-999-6,Taxol,1,uM,1,625.00,382.17,511.33,1678.83,0.3242,857240851.2170
50238-3,Hs 578T,10250-999-4,Etoposide,0.0033113,uM,1,625.00,382.17,1033.67,1080.08,0.9621,0.9496
50238-3,Hs 578T,10250-999-4,Etoposide,0.01,uM,1,625.00,382.17,980.67,1080.08,0.9167,0.8900
50238-3,Hs 578T,10250-999-4,Etoposide,0.031623,uM,1,625.00,382.17,1069.00,1080.08,0.9754,0.9455
50238-3,Hs 578T,10250-999-4,Etoposide,0.1,uM,1,625.00,382.17,1219.33,1080.08,1.1384,1.1972
50238-3,Hs 578T,10250-999-4,Etoposide,0.31623,uM,1,625.00,382.17,834.00,1080.08,0.7748,0.6796
50238-3,Hs 578T,10250-999-4,Etoposide,1,uM,1,625.00,382.17,496.67,1080.08,0.4583,0.1669
50238-3,Hs 578T,10250-999-4,Etoposide,3.1623,uM,1,625.00,382.17,367.00,1080.08,0.3404,-0.0440
50238-3,Hs 578T,10250-999-4,Etoposide,10,uM,1,625.00,382.17,257.33,1080.08,0.2384,-0.2493
50238-3,Hs 578T,10250-999-4,Etoposide,19.9526,uM,1,625.00,382.17,293.67,1080.08,0.2793,-0.1649
50238-3,Hs 578T,10099-101-1,Nilotinib,0.0033113,uM,1,625.00,382.17,1147.33,1080.08,1.0628,1.0864
50238-3,Hs 578T,10099-101-1,Nilotinib,0.01,uM,1,625.00,382.17,1105.67,1080.08,1.0309,1.0479
50238-3,Hs 578T,10099-101-1,Nilotinib,0.031623,uM,1,625.00,382.17,1194.33,1080.08,1.1232,1.1871
50238-3,Hs 578T,10099-101-1,Nilotinib,0.1,uM,1,625.00,382.17,1185.00,1080.08,1.1013,1.1423
50238-3,Hs 578T,10099-101-1,Nilotinib,0.31623,uM,1,625.00,382.17,1048.00,1080.08,0.9704,0.9573
50238-3,Hs 578T,10099-101-1,Nilotinib,1,uM,1,625.00,382.17,1047.00,1080.08,0.9722,0.9657
50238-3,Hs 578T,10099-101-1,Nilotinib,3.1623,uM,1,625.00,382.17,1100.00,1080.08,1.0021,0.9794
50238-3,Hs 578T,10099-101-1,Nilotinib,10,uM,1,625.00,382.17,861.33,1080.08,0.8173,0.7597
50238-3,Hs 578T,10099-101-1,Nilotinib,19.9526,uM,1,625.00,382.17,1875.00,1080.08,1.7704,2.0113
50238-3,Hs 578T,10049-101-1,PLX-4720,0.0033113,uM,1,625.00,382.17,1231.67,1080.08,1.1433,1.1982
50238-3,Hs 578T,10049-101-1,PLX-4720,0.01,uM,1,625.00,382.17,1084.33,1080.08,1.0103,1.0225
50238-3,Hs 578T,10049-101-1,PLX-4720,0.031623,uM,1,625.00,382.17,1040.33,1080.08,0.9558,0.9296
50238-3,Hs 578T,10049-101-1,PLX-4720,0.1,uM,1,625.00,382.17,1122.67,1080.08,1.0282,1.0237
50238-3,Hs 578T,10049-101-1,PLX-4720,0.31623,uM,1,625.00,382.17,1190.00,1080.08,1.1011,1.1377
50238-3,Hs 578T,10049-101-1,PLX-4720,1,uM,1,625.00,382.17,1326.33,1080.08,1.2263,1.3024
50238-3,Hs 578T,10049-101-1,PLX-4720,3.1623,uM,1,625.00,382.17,1282.00,1080.08,1.1825,1.2397
50238-3,Hs 578T,10049-101-1,PLX-4720,10,uM,1,625.00,382.17,837.00,1080.08,0.7854,0.7024
50238-3,Hs 578T,10049-101-1,PLX-4720,19.9526,uM,1,625.00,382.17,520.00,1080.08,0.4761,0.1961
50238-3,Hs 578T,10024-101-1,NVP-TAE684,0.0016596,uM,1,625.00,382.17,1189.33,1080.08,1.1071,1.1537
50238-3,Hs 578T,10024-101-1,NVP-TAE684,0.0033113,uM,1,625.00,382.17,1014.33,1080.08,0.9429,0.9236
50238-3,Hs 578T,10024-101-1,NVP-TAE684,0.01,uM,1,625.00,382.17,1175.33,1080.08,1.0759,1.0815
50238-3,Hs 578T,10024-101-1,NVP-TAE684,0.031623,uM,1,625.00,382.17,1165.00,1080.08,1.0826,1.1189
50238-3,Hs 578T,10024-101-1,NVP-TAE684,0.1,uM,1,625.00,382.17,986.00,1080.08,0.9085,0.8652
50238-3,Hs 578T,10024-101-1,NVP-TAE684,0.31623,uM,1,625.00,382.17,953.00,1080.08,0.8764,0.8165
50238-3,Hs 578T,10024-101-1,NVP-TAE684,1,uM,1,625.00,382.17,673.33,1080.08,0.6222,0.4408
50238-3,Hs 578T,10024-101-1,NVP-TAE684,3.1623,uM,1,625.00,382.17,270.33,1080.08,0.2505,-0.2235
50238-3,Hs 578T,10024-101-1,NVP-TAE684,10,uM,1,625.00,382.17,166.33,1080.08,0.1572,-0.4361
50238-3,Hs 578T,10071-101-1,Palbociclib,0.0033113,uM,1,625.00,382.17,1440.67,1678.83,0.8467,45.1292
50238-3,Hs 578T,10071-101-1,Palbociclib,0.01,uM,1,625.00,382.17,1421.33,1678.83,0.8270,123.4598
50238-3,Hs 578T,10071-101-1,Palbociclib,0.031623,uM,1,625.00,382.17,1226.33,1678.83,0.7732,9.5797
50238-3,Hs 578T,10071-101-1,Palbociclib,0.1,uM,1,625.00,382.17,1515.67,1678.83,0.9718,0.2997
50238-3,Hs 578T,10071-101-1,Palbociclib,0.31623,uM,1,625.00,382.17,994.67,1678.83,0.6005,19406.3543
50238-3,Hs 578T,10071-101-1,Palbociclib,1,uM,1,625.00,382.17,706.67,1678.83,0.3538,2815408913500000.0000
50238-3,Hs 578T,10071-101-1,Palbociclib,3.1623,uM,1,625.00,382.17,682.67,1678.83,0.4567,45813.4075
50238-3,Hs 578T,10071-101-1,Palbociclib,10,uM,1,625.00,382.17,747.00,1678.83,0.4502,6974727.7440
50238-3,Hs 578T,10071-101-1,Palbociclib,19.9526,uM,1,625.00,382.17,736.33,1678.83,0.3866,2381601302240.0000
50238-3,Hs 578T,10146-101-3,Omipalisib,0.0016596,uM,1,1250.00,718.46,2046.67,2335.33,0.8751,0.8427
50238-3,Hs 578T,10146-101-3,Omipalisib,0.0033113,uM,1,1250.00,718.46,2026.33,2335.33,0.8740,0.8484
50238-3,Hs 578T,10146-101-3,Omipalisib,0.01,uM,1,1250.00,718.46,1741.33,2335.33,0.7408,0.6615
50238-3,Hs 578T,10146-101-3,Omipalisib,0.031623,uM,1,1250.00,718.46,1338.33,2335.33,0.5600,0.3919
