Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration (uM),Mean Total Cell Count Before Treatment,Mean Total Cell Count After Treatment,Mean Total Control Cell Count,Mean Normalized Growth Rate Inhibition Value,Biological Replicate
50583-4,MCF 10A,10018-101-5,Neratinib,0.0033333,491,7805,7872,0.9956,2
50583-4,MCF 10A,10018-101-5,Neratinib,0.0053333,491,8136,7872,1.0156,2
50583-4,MCF 10A,10018-101-5,Neratinib,0.01,491,7301,7872,0.9618,2
50583-4,MCF 10A,10018-101-5,Neratinib,0.018,491,6277,7872,0.8887,2
50583-4,MCF 10A,10018-101-5,Neratinib,0.031623,491,5677,7872,0.8431,2
50583-4,MCF 10A,10018-101-5,Neratinib,0.056234,491,3395,7872,0.6196,2
50583-4,MCF 10A,10018-101-5,Neratinib,0.1,491,1861,7872,0.3940,2
50583-4,MCF 10A,10018-101-5,Neratinib,0.17783,491,1285,7872,0.2676,2
50583-4,MCF 10A,10018-101-5,Neratinib,0.31623,491,597,7872,0.0467,2
50583-4,MCF 10A,10018-101-5,Neratinib,0.56234,491,415,7872,-0.0409,2
50583-4,MCF 10A,10018-101-5,Neratinib,1,491,348,7872,-0.0859,2
50583-4,MCF 10A,10018-101-5,Neratinib,3.1623,491,199,7872,-0.2044,2
50583-4,MCF 10A,10102-101-7,Taxol,4.3333e-05,491,8235,7872,1.0218,2
50583-4,MCF 10A,10102-101-7,Taxol,0.00013333,491,8194,7872,1.0203,2
50583-4,MCF 10A,10102-101-7,Taxol,0.0002,491,7263,7872,0.9587,2
50583-4,MCF 10A,10102-101-7,Taxol,0.00033333,491,7569,7872,0.9805,2
50583-4,MCF 10A,10102-101-7,Taxol,0.00053333,491,7330,7872,0.9635,2
50583-4,MCF 10A,10102-101-7,Taxol,0.001,491,4902,7872,0.7766,2
50583-4,MCF 10A,10102-101-7,Taxol,0.0018,491,2616,7872,0.5177,2
50583-4,MCF 10A,10102-101-7,Taxol,0.0031623,491,1041,7872,0.2058,2
50583-4,MCF 10A,10102-101-7,Taxol,0.0056234,491,635,7872,0.0653,2
50583-4,MCF 10A,10102-101-7,Taxol,0.01,491,310,7872,-0.1098,2
50583-4,MCF 10A,10102-101-7,Taxol,0.017783,491,166,7872,-0.2366,2
50583-4,MCF 10A,10102-101-7,Taxol,0.031623,491,122,7872,-0.2956,2
50583-4,MCF 10A,10102-101-7,Taxol,0.1,491,94,7872,-0.3381,2
50583-4,MCF 10A,10102-101-7,Taxol,0.31623,491,114,7872,-0.3071,2
50583-4,MCF 10A,10071-101-2,Palbociclib,0.0010833,491,7472,7872,0.9743,2
50583-4,MCF 10A,10071-101-2,Palbociclib,0.0033333,491,7402,7872,0.9688,2
50583-4,MCF 10A,10071-101-2,Palbociclib,0.01,491,7581,7872,0.9804,2
50583-4,MCF 10A,10071-101-2,Palbociclib,0.031667,491,7387,7872,0.9646,2
50583-4,MCF 10A,10071-101-2,Palbociclib,0.056667,491,7229,7872,0.9574,2
50583-4,MCF 10A,10071-101-2,Palbociclib,0.1,491,7444,7872,0.9722,2
50583-4,MCF 10A,10071-101-2,Palbociclib,0.17783,491,7035,7872,0.9427,2
50583-4,MCF 10A,10071-101-2,Palbociclib,0.31623,491,3183,7872,0.5850,2
50583-4,MCF 10A,10071-101-2,Palbociclib,0.56234,491,2973,7872,0.5678,2
50583-4,MCF 10A,10071-101-2,Palbociclib,1,491,2668,7872,0.5246,2
50583-4,MCF 10A,10071-101-2,Palbociclib,1.7783,491,2281,7872,0.4641,2
50583-4,MCF 10A,10071-101-2,Palbociclib,3.1623,491,1946,7872,0.4092,2
50583-4,MCF 10A,10071-101-2,Palbociclib,5.6234,491,1653,7872,0.3525,2
50583-4,MCF 10A,10071-101-2,Palbociclib,10,491,1372,7872,0.2924,2
50583-4,MCF 10A,10142-101-4,Trametinib,0.00021667,491,7462,7872,0.9727,2
50583-4,MCF 10A,10142-101-4,Trametinib,0.00033333,491,7413,7872,0.9702,2
50583-4,MCF 10A,10142-101-4,Trametinib,0.00066667,491,6272,7872,0.8896,2
50583-4,MCF 10A,10142-101-4,Trametinib,0.001,491,5278,7872,0.8094,2
50583-4,MCF 10A,10142-101-4,Trametinib,0.0016667,491,4310,7872,0.7202,2
50583-4,MCF 10A,10142-101-4,Trametinib,0.003,491,2824,7872,0.5475,2
50583-4,MCF 10A,10142-101-4,Trametinib,0.0056667,491,1805,7872,0.3842,2
50583-4,MCF 10A,10142-101-4,Trametinib,0.01,491,1110,7872,0.2257,2
50583-4,MCF 10A,10142-101-4,Trametinib,0.017783,491,741,7872,0.1074,2
50583-4,MCF 10A,10142-101-4,Trametinib,0.031623,491,575,7872,0.0393,2
50583-4,MCF 10A,10142-101-4,Trametinib,0.1,491,529,7872,0.0177,2
50583-4,MCF 10A,10142-101-4,Trametinib,0.31623,491,522,7872,0.0155,2
50583-4,MCF 10A,10142-101-4,Trametinib,1,491,569,7872,0.0370,2
50583-4,MCF 10A,10282-101-4,Vorinostat,0.0033333,491,8025,7872,1.0088,2
50583-4,MCF 10A,10282-101-4,Vorinostat,0.01,491,8058,7872,1.0119,2
50583-4,MCF 10A,10282-101-4,Vorinostat,0.031667,491,7572,7872,0.9800,2
50583-4,MCF 10A,10282-101-4,Vorinostat,0.1,491,6619,7872,0.9150,2
50583-4,MCF 10A,10282-101-4,Vorinostat,0.17783,491,5729,7872,0.8455,2
50583-4,MCF 10A,10282-101-4,Vorinostat,0.31623,491,4611,7872,0.7488,2
50583-4,MCF 10A,10282-101-4,Vorinostat,0.56234,491,3350,7872,0.6154,2
50583-4,MCF 10A,10282-101-4,Vorinostat,1,491,1875,7872,0.3971,2
50583-4,MCF 10A,10282-101-4,Vorinostat,1.7783,491,1105,7872,0.2242,2
50583-4,MCF 10A,10282-101-4,Vorinostat,3.1623,491,642,7872,0.0687,2
50583-4,MCF 10A,10282-101-4,Vorinostat,5.6234,491,505,7872,0.0061,2
50583-4,MCF 10A,10282-101-4,Vorinostat,10,491,483,7872,-0.0047,2
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,824,12190,11496,1.0308,2
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,824,11512,11496,1.0006,2
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,824,11421,11496,0.9965,2
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,824,11241,11496,0.9885,2
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.31623,824,11556,11496,1.0029,2
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.56234,824,11050,11496,0.9778,2
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,1,824,11190,11496,0.9857,2
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,1.7783,824,10562,11496,0.9560,2
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,3.1623,824,9791,11496,0.9161,2
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,5.6234,824,8934,11496,0.8706,2
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,10,824,7489,11496,0.7853,2
51124-1,MCF 10A-H2B-mCherry,10020-101-5,Dasatinib,0.0010833,824,11488,11496,0.9995,2
51124-1,MCF 10A-H2B-mCherry,10020-101-5,Dasatinib,0.0033333,824,11588,11496,1.0044,2
51124-1,MCF 10A-H2B-mCherry,10020-101-5,Dasatinib,0.01,824,12758,11496,1.0558,2
51124-1,MCF 10A-H2B-mCherry,10020-101-5,Dasatinib,0.018333,824,11548,11496,1.0025,2
51124-1,MCF 10A-H2B-mCherry,10020-101-5,Dasatinib,0.031667,824,12073,11496,1.0261,2
51124-1,MCF 10A-H2B-mCherry,10020-101-5,Dasatinib,0.056667,824,9975,11496,0.9254,2
51124-1,MCF 10A-H2B-mCherry,10020-101-5,Dasatinib,0.1,824,8777,11496,0.8628,2
51124-1,MCF 10A-H2B-mCherry,10020-101-5,Dasatinib,0.17783,824,6487,11496,0.7207,2
51124-1,MCF 10A-H2B-mCherry,10020-101-5,Dasatinib,0.31623,824,6022,11496,0.6860,2
51124-1,MCF 10A-H2B-mCherry,10020-101-5,Dasatinib,0.56234,824,4764,11496,0.5852,2
51124-1,MCF 10A-H2B-mCherry,10020-101-5,Dasatinib,1,824,4195,11496,0.5343,2
51124-1,MCF 10A-H2B-mCherry,10020-101-5,Dasatinib,1.7783,824,3332,11496,0.4432,2
51124-1,MCF 10A-H2B-mCherry,10020-101-5,Dasatinib,3.1623,824,1743,11496,0.2164,2
51124-1,MCF 10A-H2B-mCherry,10020-101-5,Dasatinib,10,824,1044,11496,0.0635,2
51124-1,MCF 10A-H2B-mCherry,10250-101-3,Etoposide,0.0010833,824,11199,11496,0.9866,2
51124-1,MCF 10A-H2B-mCherry,10250-101-3,Etoposide,0.0033333,824,11366,11496,0.9936,2
51124-1,MCF 10A-H2B-mCherry,10250-101-3,Etoposide,0.01,824,11199,11496,0.9863,2
51124-1,MCF 10A-H2B-mCherry,10250-101-3,Etoposide,0.018333,824,10813,11496,0.9677,2
51124-1,MCF 10A-H2B-mCherry,10250-101-3,Etoposide,0.031667,824,10110,11496,0.9332,2
51124-1,MCF 10A-H2B-mCherry,10250-101-3,Etoposide,0.056667,824,8881,11496,0.8690,2
51124-1,MCF 10A-H2B-mCherry,10250-101-3,Etoposide,0.1,824,6925,11496,0.7487,2
51124-1,MCF 10A-H2B-mCherry,10250-101-3,Etoposide,0.17783,824,4729,11496,0.5822,2
51124-1,MCF 10A-H2B-mCherry,10250-101-3,Etoposide,0.31623,824,3231,11496,0.4320,2
51124-1,MCF 10A-H2B-mCherry,10250-101-3,Etoposide,0.56234,824,1889,11496,0.2386,2
51124-1,MCF 10A-H2B-mCherry,10250-101-3,Etoposide,1,824,1198,11496,0.1022,2
51124-1,MCF 10A-H2B-mCherry,10250-101-3,Etoposide,1.7783,824,812,11496,-0.0048,2
51124-1,MCF 10A-H2B-mCherry,10250-101-3,Etoposide,3.1623,824,750,11496,-0.0256,2
51124-1,MCF 10A-H2B-mCherry,10250-101-3,Etoposide,10,824,782,11496,-0.0141,2
51124-1,MCF 10A-H2B-mCherry,10018-101-5,Neratinib,0.00043333,824,11630,11496,1.0063,2
51124-1,MCF 10A-H2B-mCherry,10018-101-5,Neratinib,0.0013333,824,12009,11496,1.0234,2
51124-1,MCF 10A-H2B-mCherry,10018-101-5,Neratinib,0.0033333,824,11606,11496,1.0054,2
51124-1,MCF 10A-H2B-mCherry,10018-101-5,Neratinib,0.0053333,824,11520,11496,1.0003,2
51124-1,MCF 10A-H2B-mCherry,10018-101-5,Neratinib,0.01,824,11921,11496,1.0192,2
51124-1,MCF 10A-H2B-mCherry,10018-101-5,Neratinib,0.018,824,12713,11496,1.0541,2
51124-1,MCF 10A-H2B-mCherry,10018-101-5,Neratinib,0.031623,824,13028,11496,1.0672,2
51124-1,MCF 10A-H2B-mCherry,10018-101-5,Neratinib,0.056234,824,11165,11496,0.9848,2
51124-1,MCF 10A-H2B-mCherry,10018-101-5,Neratinib,0.1,824,8634,11496,0.8550,2
51124-1,MCF 10A-H2B-mCherry,10018-101-5,Neratinib,0.17783,824,7258,11496,0.7710,2
51124-1,MCF 10A-H2B-mCherry,10018-101-5,Neratinib,0.31623,824,3555,11496,0.4671,2
51124-1,MCF 10A-H2B-mCherry,10018-101-5,Neratinib,0.56234,824,1801,11496,0.2282,2
51124-1,MCF 10A-H2B-mCherry,10018-101-5,Neratinib,1,824,1478,11496,0.1644,2
51124-1,MCF 10A-H2B-mCherry,10018-101-5,Neratinib,3.1623,824,1148,11496,0.0879,2
51124-1,MCF 10A-H2B-mCherry,10102-101-7,Taxol,4.3333e-05,824,11824,11496,1.0146,2
51124-1,MCF 10A-H2B-mCherry,10102-101-7,Taxol,0.00013333,824,11069,11496,0.9804,2
51124-1,MCF 10A-H2B-mCherry,10102-101-7,Taxol,0.0002,824,11124,11496,0.9828,2
51124-1,MCF 10A-H2B-mCherry,10102-101-7,Taxol,0.00033333,824,11477,11496,0.9989,2
51124-1,MCF 10A-H2B-mCherry,10102-101-7,Taxol,0.00053333,824,10239,11496,0.9385,2
51124-1,MCF 10A-H2B-mCherry,10102-101-7,Taxol,0.001,824,6519,11496,0.7215,2
51124-1,MCF 10A-H2B-mCherry,10102-101-7,Taxol,0.0018,824,5090,11496,0.6141,2
51124-1,MCF 10A-H2B-mCherry,10102-101-7,Taxol,0.0031623,824,2325,11496,0.3110,2
51124-1,MCF 10A-H2B-mCherry,10102-101-7,Taxol,0.0056234,824,1096,11496,0.0756,2
51124-1,MCF 10A-H2B-mCherry,10102-101-7,Taxol,0.01,824,591,11496,-0.0848,2
51124-1,MCF 10A-H2B-mCherry,10102-101-7,Taxol,0.017783,824,426,11496,-0.1600,2
51124-1,MCF 10A-H2B-mCherry,10102-101-7,Taxol,0.031623,824,360,11496,-0.1971,2
51124-1,MCF 10A-H2B-mCherry,10102-101-7,Taxol,0.1,824,271,11496,-0.2538,2
51124-1,MCF 10A-H2B-mCherry,10102-101-7,Taxol,0.31623,824,291,11496,-0.2397,2
51124-1,MCF 10A-H2B-mCherry,10071-101-2,Palbociclib,0.0010833,824,11324,11496,0.9918,2
51124-1,MCF 10A-H2B-mCherry,10071-101-2,Palbociclib,0.0033333,824,11163,11496,0.9848,2
51124-1,MCF 10A-H2B-mCherry,10071-101-2,Palbociclib,0.01,824,10844,11496,0.9697,2
51124-1,MCF 10A-H2B-mCherry,10071-101-2,Palbociclib,0.031667,824,10548,11496,0.9481,2
51124-1,MCF 10A-H2B-mCherry,10071-101-2,Palbociclib,0.056667,824,9310,11496,0.8783,2
51124-1,MCF 10A-H2B-mCherry,10071-101-2,Palbociclib,0.1,824,9628,11496,0.8993,2
51124-1,MCF 10A-H2B-mCherry,10071-101-2,Palbociclib,0.17783,824,9682,11496,0.9014,2
51124-1,MCF 10A-H2B-mCherry,10071-101-2,Palbociclib,0.31623,824,3339,11496,0.4369,2
51124-1,MCF 10A-H2B-mCherry,10071-101-2,Palbociclib,0.56234,824,2987,11496,0.4025,2
51124-1,MCF 10A-H2B-mCherry,10071-101-2,Palbociclib,1,824,2648,11496,0.3498,2
51124-1,MCF 10A-H2B-mCherry,10071-101-2,Palbociclib,1.7783,824,2459,11496,0.3268,2
51124-1,MCF 10A-H2B-mCherry,10071-101-2,Palbociclib,3.1623,824,1929,11496,0.2491,2
51124-1,MCF 10A-H2B-mCherry,10071-101-2,Palbociclib,5.6234,824,1635,11496,0.1961,2
51124-1,MCF 10A-H2B-mCherry,10071-101-2,Palbociclib,10,824,1492,11496,0.1684,2
51124-1,MCF 10A-H2B-mCherry,10142-101-4,Trametinib,0.00021667,824,12326,11496,1.0373,2
51124-1,MCF 10A-H2B-mCherry,10142-101-4,Trametinib,0.00033333,824,13074,11496,1.0693,2
51124-1,MCF 10A-H2B-mCherry,10142-101-4,Trametinib,0.00066667,824,11851,11496,1.0161,2
51124-1,MCF 10A-H2B-mCherry,10142-101-4,Trametinib,0.001,824,11639,11496,1.0067,2
51124-1,MCF 10A-H2B-mCherry,10142-101-4,Trametinib,0.0016667,824,10384,11496,0.9475,2
51124-1,MCF 10A-H2B-mCherry,10142-101-4,Trametinib,0.003,824,8042,11496,0.8208,2
51124-1,MCF 10A-H2B-mCherry,10142-101-4,Trametinib,0.0056667,824,5695,11496,0.6628,2
51124-1,MCF 10A-H2B-mCherry,10142-101-4,Trametinib,0.01,824,3626,11496,0.4760,2
51124-1,MCF 10A-H2B-mCherry,10142-101-4,Trametinib,0.017783,824,2375,11496,0.3201,2
51124-1,MCF 10A-H2B-mCherry,10142-101-4,Trametinib,0.031623,824,1927,11496,0.2503,2
51124-1,MCF 10A-H2B-mCherry,10142-101-4,Trametinib,0.1,824,1910,11496,0.2464,2
51124-1,MCF 10A-H2B-mCherry,10142-101-4,Trametinib,0.31623,824,1645,11496,0.1990,2
51124-1,MCF 10A-H2B-mCherry,10142-101-4,Trametinib,1,824,1764,11496,0.2212,2
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,0.0033333,824,11261,11496,0.9895,2
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,0.01,824,11409,11496,0.9961,2
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,0.031667,824,11181,11496,0.9856,2
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,0.1,824,9457,11496,0.8995,2
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,0.17783,824,8309,11496,0.8354,2
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,0.31623,824,6159,11496,0.6957,2
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,0.56234,824,4013,11496,0.5159,2
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,1,824,2066,11496,0.2731,2
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,1.7783,824,1294,11496,0.1258,2
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,3.1623,824,837,11496,0.0037,2
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,5.6234,824,669,11496,-0.0543,2
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,10,824,667,11496,-0.0545,2
50583-9,MCF 10A,10233-101-4,Alpelisib,0.0033333,750,8296,7974,1.0233,2
50583-9,MCF 10A,10233-101-4,Alpelisib,0.01,750,8079,7974,1.0067,2
50583-9,MCF 10A,10233-101-4,Alpelisib,0.031667,750,7838,7974,0.9894,2
50583-9,MCF 10A,10233-101-4,Alpelisib,0.1,750,7216,7974,0.9418,2
50583-9,MCF 10A,10233-101-4,Alpelisib,0.31623,750,6350,7974,0.8706,2
50583-9,MCF 10A,10233-101-4,Alpelisib,0.56234,750,5453,7974,0.7887,2
50583-9,MCF 10A,10233-101-4,Alpelisib,1,750,5067,7974,0.7503,2
50583-9,MCF 10A,10233-101-4,Alpelisib,1.7783,750,4077,7974,0.6424,2
50583-9,MCF 10A,10233-101-4,Alpelisib,3.1623,750,3211,7974,0.5284,2
50583-9,MCF 10A,10233-101-4,Alpelisib,5.6234,750,2851,7974,0.4781,2
50583-9,MCF 10A,10233-101-4,Alpelisib,10,750,1815,7974,0.2942,2
50583-9,MCF 10A,10020-101-5,Dasatinib,0.0010833,750,6868,7974,0.9137,2
50583-9,MCF 10A,10020-101-5,Dasatinib,0.0033333,750,6767,7974,0.9042,2
50583-9,MCF 10A,10020-101-5,Dasatinib,0.01,750,6069,7974,0.8460,2
50583-9,MCF 10A,10020-101-5,Dasatinib,0.018333,750,5032,7974,0.7432,2
50583-9,MCF 10A,10020-101-5,Dasatinib,0.031667,750,4768,7974,0.7199,2
50583-9,MCF 10A,10020-101-5,Dasatinib,0.056667,750,3741,7974,0.6012,2
50583-9,MCF 10A,10020-101-5,Dasatinib,0.1,750,2579,7974,0.4334,2
50583-9,MCF 10A,10020-101-5,Dasatinib,0.17783,750,1943,7974,0.3206,2
50583-9,MCF 10A,10020-101-5,Dasatinib,0.31623,750,1500,7974,0.2235,2
50583-9,MCF 10A,10020-101-5,Dasatinib,0.56234,750,1380,7974,0.1946,2
50583-9,MCF 10A,10020-101-5,Dasatinib,1,750,1191,7974,0.1448,2
50583-9,MCF 10A,10020-101-5,Dasatinib,1.7783,750,1043,7974,0.1012,2
50583-9,MCF 10A,10020-101-5,Dasatinib,3.1623,750,881,7974,0.0479,2
50583-9,MCF 10A,10020-101-5,Dasatinib,10,750,739,7974,-0.0047,2
50583-9,MCF 10A,10250-101-3,Etoposide,0.0010833,750,7711,7974,0.9770,2
50583-9,MCF 10A,10250-101-3,Etoposide,0.0033333,750,7612,7974,0.9727,2
50583-9,MCF 10A,10250-101-3,Etoposide,0.01,750,7471,7974,0.9615,2
50583-9,MCF 10A,10250-101-3,Etoposide,0.018333,750,6777,7974,0.9064,2
50583-9,MCF 10A,10250-101-3,Etoposide,0.031667,750,6194,7974,0.8566,2
50583-9,MCF 10A,10250-101-3,Etoposide,0.056667,750,4857,7974,0.7284,2
50583-9,MCF 10A,10250-101-3,Etoposide,0.1,750,4187,7974,0.6546,2
50583-9,MCF 10A,10250-101-3,Etoposide,0.17783,750,2757,7974,0.4628,2
50583-9,MCF 10A,10250-101-3,Etoposide,0.31623,750,1853,7974,0.3024,2
50583-9,MCF 10A,10250-101-3,Etoposide,0.56234,750,1208,7974,0.1459,2
50583-9,MCF 10A,10250-101-3,Etoposide,1,750,918,7974,0.0607,2
50583-9,MCF 10A,10250-101-3,Etoposide,1.7783,750,893,7974,0.0521,2
50583-9,MCF 10A,10250-101-3,Etoposide,3.1623,750,859,7974,0.0403,2
50583-9,MCF 10A,10250-101-3,Etoposide,10,750,905,7974,0.0562,2
50583-9,MCF 10A,10018-101-5,Neratinib,0.00043333,750,8163,7974,1.0132,2
50583-9,MCF 10A,10018-101-5,Neratinib,0.0013333,750,8396,7974,1.0292,2
50583-9,MCF 10A,10018-101-5,Neratinib,0.0033333,750,7433,7974,0.9572,2
50583-9,MCF 10A,10018-101-5,Neratinib,0.0053333,750,7589,7974,0.9684,2
50583-9,MCF 10A,10018-101-5,Neratinib,0.01,750,7793,7974,0.9844,2
50583-9,MCF 10A,10018-101-5,Neratinib,0.018,750,7330,7974,0.9508,2
50583-9,MCF 10A,10018-101-5,Neratinib,0.031623,750,5783,7974,0.8168,2
50583-9,MCF 10A,10018-101-5,Neratinib,0.056234,750,3511,7974,0.5697,2
50583-9,MCF 10A,10018-101-5,Neratinib,0.1,750,2532,7974,0.4273,2
50583-9,MCF 10A,10018-101-5,Neratinib,0.17783,750,1878,7974,0.3038,2
50583-9,MCF 10A,10018-101-5,Neratinib,0.31623,750,1400,7974,0.2000,2
50583-9,MCF 10A,10018-101-5,Neratinib,0.56234,750,1081,7974,0.1126,2
50583-9,MCF 10A,10018-101-5,Neratinib,1,750,940,7974,0.0680,2
50583-9,MCF 10A,10018-101-5,Neratinib,3.1623,750,807,7974,0.0203,2
50583-9,MCF 10A,10102-101-7,Taxol,4.3333e-05,750,8167,7974,1.0127,2
50583-9,MCF 10A,10102-101-7,Taxol,0.00013333,750,7894,7974,0.9936,2
50583-9,MCF 10A,10102-101-7,Taxol,0.0002,750,7825,7974,0.9883,2
50583-9,MCF 10A,10102-101-7,Taxol,0.00033333,750,7511,7974,0.9648,2
50583-9,MCF 10A,10102-101-7,Taxol,0.00053333,750,7891,7974,0.9916,2
50583-9,MCF 10A,10102-101-7,Taxol,0.001,750,5639,7974,0.8052,2
50583-9,MCF 10A,10102-101-7,Taxol,0.0018,750,3768,7974,0.6040,2
50583-9,MCF 10A,10102-101-7,Taxol,0.0031623,750,1850,7974,0.3026,2
50583-9,MCF 10A,10102-101-7,Taxol,0.0056234,750,1486,7974,0.2210,2
50583-9,MCF 10A,10102-101-7,Taxol,0.01,750,1130,7974,0.1261,2
50583-9,MCF 10A,10102-101-7,Taxol,0.017783,750,950,7974,0.0702,2
50583-9,MCF 10A,10102-101-7,Taxol,0.031623,750,779,7974,0.0103,2
50583-9,MCF 10A,10102-101-7,Taxol,0.1,750,542,7974,-0.0912,2
50583-9,MCF 10A,10102-101-7,Taxol,0.31623,750,548,7974,-0.0887,2
50583-9,MCF 10A,10071-101-2,Palbociclib,0.0010833,750,6520,7974,0.8841,2
50583-9,MCF 10A,10071-101-2,Palbociclib,0.0033333,750,6911,7974,0.9163,2
50583-9,MCF 10A,10071-101-2,Palbociclib,0.01,750,7042,7974,0.9270,2
50583-9,MCF 10A,10071-101-2,Palbociclib,0.031667,750,5891,7974,0.8267,2
50583-9,MCF 10A,10071-101-2,Palbociclib,0.056667,750,6985,7974,0.9217,2
