Cell HMS LINCS ID,Cell Name,Clinical Subtype,Transcriptional Subtype,Small Molecule HMS LINCS ID,Small Molecule Name,Antibody HMS LINCS ID,Antibody Name,Perturbagen Target,Perturbagen Class,Biological Replicate ID,Conc Unit,GR50,GEC50,GRmax,GRinf,GR Hill Coefficient,GR_AOC,GR r2,Nominal Division Rate
51088-1,184A1,NM,Basal,10098-101-2,Gefitinib,,,EGFR,ErbB,9047.132,uM,inf,inf,0.4414,0.4414,0.0000,0.4398,0.3588,0.6985
51088-1,184A1,NM,Basal,10108-101-2,Geldanamycin,,,HSP90,HSP90,9047.012,uM,0.00235,0.00272,-0.4629,-0.4429,4.3174,1.1812,0.9938,0.7549
51088-1,184A1,NM,Basal,10108-101-2,Geldanamycin,,,HSP90,HSP90,10002.012,uM,0.00232,0.00278,-0.4963,-0.4694,3.6140,1.2014,0.9946,0.5807
51088-1,184A1,NM,Basal,10252-999-1,Gemcitabine,,,DNA replication,DNA replication,9047.011,uM,0.39288,3.58790,-0.7197,-1.0000,0.4967,0.6665,0.9520,0.6293
51088-1,184A1,NM,Basal,10253-102-1,Glycyl-H-1152,,,ROCK2,,12509.169,uM,inf,inf,0.8820,0.8820,0.0000,0.0673,0.0092,1.5064
51088-1,184A1,NM,Basal,10509-101-1,GM6001,,,MMP,MMP,5895.096,uM,inf,inf,0.9763,0.9763,0.0000,-0.0141,-0.1057,1.4232
51088-1,184A1,NM,Basal,10062-101-3,GSK1070916,,,AURK,AURK,9047.001,uM,0.83697,5.25260,-0.4457,-0.9735,0.5885,0.3812,0.9828,0.7701
51088-1,184A1,NM,Basal,10062-101-3,GSK1070916,,,AURK,AURK,10002.001,uM,0.64737,2.67080,-0.5505,-0.8031,0.6759,0.3916,0.9922,0.5372
51088-1,184A1,NM,Basal,10255-101-1,GSK1838705A,,,IGF1R,RTK,5895.091,uM,0.38664,0.64104,-0.6029,-0.4621,1.2945,0.5672,0.9684,1.1729
51088-1,184A1,NM,Basal,10255-101-1,GSK1838705A,,,IGF1R,RTK,5895.098,uM,0.42849,0.39937,0.0166,0.0538,1.6165,0.3574,0.9937,1.4041
51088-1,184A1,NM,Basal,10255-101-1,GSK1838705A,,,IGF1R,RTK,5894.098,uM,0.36902,0.35227,0.0333,0.0487,2.2061,0.3782,0.9970,1.6523
51088-1,184A1,NM,Basal,10013-101-3,GSK461364,,,PLK1,PLK,9047.001,uM,4.15810,52.44110,-0.0073,-1.0000,0.4334,0.2620,0.7464,0.7701
51088-1,184A1,NM,Basal,10013-101-3,GSK461364,,,PLK1,PLK,10002.001,uM,6.06620,9.11620,-0.9717,-1.0000,2.6972,0.2605,0.9735,0.5372
51088-1,184A1,NM,Basal,10257-101-1,GSK923295,,,CENPE,Kinesin,9047.001,uM,inf,inf,0.0385,0.0385,0.0000,0.2510,0.5226,0.7701
51088-1,184A1,NM,Basal,10257-101-1,GSK923295,,,CENPE,Kinesin,10002.001,uM,8.47170,11.6240,-0.9507,-1.0000,3.4729,0.2407,0.9439,0.5372
51088-1,184A1,NM,Basal,10029-101-2,GW-5074,,,CRAF,MAPK,5895.088,uM,2.20640,4.30790,-0.5359,-0.6571,1.2540,0.2508,0.9932,1.3297
51088-1,184A1,NM,Basal,10258-110-1,Ibandronate,,,FDPS,,12509.143,uM,155.22840,288.34070,-0.9140,-1.0000,1.7741,0.2785,0.9964,1.3392
51088-1,184A1,NM,Basal,10259-101-1,ICRF-193,,,TOP2,TOP,12509.157,uM,inf,0.17119,0.6433,0.6783,0.6598,0.1328,0.9202,1.2837
51088-1,184A1,NM,Basal,10228-102-2,IKK16,,,IKK,NFKB,5895.093,uM,1.01110,2.37210,-0.9564,-1.0000,1.2884,0.5085,0.9882,1.3259
51088-1,184A1,NM,Basal,10023-103-3,Imatinib,,,ABL/KIT/PDGFR,nRTK,5895.091,uM,16.09010,26.49230,-0.9899,-1.0000,2.2032,0.4630,0.9969,1.1729
51088-1,184A1,NM,Basal,10260-999-1,Ispinesib,,,KSP,Kinesin,5894.067,uM,1.62180,3.48940,-0.9288,-1.0000,1.4339,0.3983,0.9581,1.5647
51088-1,184A1,NM,Basal,10260-999-1,Ispinesib,,,KSP,Kinesin,5895.067,uM,2.25070,4.57410,-0.9091,-1.0000,1.5491,0.3497,0.9692,1.4053
51088-1,184A1,NM,Basal,10261-101-1,Ixabepilone,,,TUBB,TUBB,5895.095,uM,0.14338,0.76637,-0.9501,-1.0000,0.6554,0.6829,0.9483,1.4629
51088-1,184A1,NM,Basal,10261-101-1,Ixabepilone,,,TUBB,TUBB,5894.095,uM,0.46640,0.69919,-0.9010,-0.8976,2.5388,0.6159,0.9985,1.7133
51088-1,184A1,NM,Basal,10208-101-2,JNK-IN-5A,,,JNK,JNK,12509.168,uM,inf,0.95387,0.3859,0.6171,4.9990,0.1487,0.7274,1.3516
51088-1,184A1,NM,Basal,10262-101-1,L-779450,,,BRAF,MAPK,12509.166,uM,8.56520,14.40640,-0.7107,-1.0000,2.1129,0.1672,0.9687,1.2847
51088-1,184A1,NM,Basal,10051-999-3,Lapatinib,,,EGFR/HER2,ErbB,5895.098,uM,1.84620,1.07940,0.2337,0.4659,5.0000,0.0845,0.8011,1.4041
51088-1,184A1,NM,Basal,10051-999-3,Lapatinib,,,EGFR/HER2,ErbB,5894.098,uM,1.96260,1.83210,0.0794,0.0736,2.3169,0.1499,0.9957,1.6523
51088-1,184A1,NM,Basal,10263-101-1,LBH589,,,HDAC,HDAC,12509.167,uM,0.29923,0.89089,-0.7415,-0.8021,0.8773,0.4884,0.9905,1.4256
51088-1,184A1,NM,Basal,10230-101-2,Lestaurtinib,,,FLT3/JAK2/TrkA,RTK,12509.167,uM,1.46780,2.26520,-0.8669,-0.8656,2.3156,0.3809,0.9959,1.4256
51088-1,184A1,NM,Basal,10511-999-1,Mebendazole,,,,,12684.174,uM,inf,0.36667,0.5334,0.5745,5.0000,0.1723,0.9699,1.4645
51088-1,184A1,NM,Basal,10264-101-1,Methotrexate,,,DHFR,Metabolism,5894.084,uM,0.05840,0.06456,-0.2992,-0.3127,4.8467,0.9024,0.9966,1.5903
51088-1,184A1,NM,Basal,10264-101-1,Methotrexate,,,DHFR,Metabolism,5895.085,uM,0.05117,0.05935,-0.3071,-0.3193,3.3302,0.8875,0.9988,1.4396
51088-1,184A1,NM,Basal,10107-101-2,MG-132,,,Proteasome,Proteasome,12509.17,uM,0.02024,0.05106,-0.8085,-0.6493,0.8994,0.9276,0.9449,1.3955
51088-1,184A1,NM,Basal,10107-101-2,MG-132,,,Proteasome,Proteasome,12509.17,uM,0.02024,0.05106,-0.8085,-0.6493,0.8994,0.9276,0.9449,1.3955
51088-1,184A1,NM,Basal,10265-101-1,Pevonedistat,,,NAE1,NAE1,12509.135,uM,0.63324,0.71207,-0.0395,-0.0415,0.6794,0.3594,0.9880,1.3717
51088-1,184A1,NM,Basal,10513-999-1,Nelfinavir,,,,,12684.174,uM,3.030,4.22870,-0.6445,-0.6543,2.5101,0.2990,0.9857,1.4645
51088-1,184A1,NM,Basal,10099-101-2,Nilotinib,,,ABL,nRTK,12509.17,uM,inf,0.16976,0.8260,0.8615,1.0340,0.0781,0.8007,1.3955
51088-1,184A1,NM,Basal,10266-101-1,NSC 663284,,,CDC25,CDC,12509.152,uM,1.61730,2.02890,-0.9303,-0.9290,4.6320,0.6528,0.9971,1.3755
51088-1,184A1,NM,Basal,10267-101-1,NU6102,,,CDK1/2,CDK,12509.147,uM,6.59190,12.95280,-0.8721,-1.0000,1.6264,0.2474,0.9935,1.2058
51088-1,184A1,NM,Basal,10268-101-1,Nutlin 3a,,,MDM2,MDM2,5894.066,uM,6.76640,16.58460,-0.8949,-1.0000,1.2254,0.2778,0.9387,1.5027
51088-1,184A1,NM,Basal,10268-101-1,Nutlin 3a,,,MDM2,MDM2,5895.066,uM,3.22280,10.22950,-0.9725,-1.0000,0.9512,0.3133,0.9559,1.1612
51088-1,184A1,NM,Basal,10344-101-1,Olomoucine II,,,CDK1,CDK,12509.147,uM,3.35230,4.08990,-0.3436,-0.3230,2.5061,0.3311,0.9956,1.2058
51088-1,184A1,NM,Basal,10146-101-2,Omipalisib,,,PI3K,PI3K,5895.086,uM,0.00183,0.00262,-0.5032,-0.1746,0.8363,0.8309,0.9163,1.2802
51088-1,184A1,NM,Basal,10269-101-1,Oxaliplatin,,,DNA cross-linker,DNA cross-linker,10002.021,uM,1.98010,5.92780,-0.9908,-1.0000,1.0019,0.7527,0.9764,0.7195
51088-1,184A1,NM,Basal,10269-101-1,Oxaliplatin,,,DNA cross-linker,DNA cross-linker,9047.011,uM,0.53932,2.18460,-0.9996,-1.0000,0.7854,0.8887,0.9928,0.6293
51088-1,184A1,NM,Basal,10270-101-1,Oxamflatin,,,HDAC,HDAC,12509.147,uM,1.65310,3.49760,-0.9533,-1.0000,1.4659,0.4736,0.9918,1.2058
51088-1,184A1,NM,Basal,10271-101-2,PD 98059,,,MEK,MAPK,12509.152,uM,inf,inf,0.7622,0.7622,0.0000,0.0595,0.4482,1.3755
51088-1,184A1,NM,Basal,10026-101-3,PD173074,,,FGFR1/3,RTK,5895.093,uM,8.46530,9.95550,-0.0760,-0.1823,1.9169,0.0959,0.9866,1.3259
51088-1,184A1,NM,Basal,10048-101-7,PD184352,,,MEK,MAPK,12509.155,uM,8.55920,48.2470,0.1172,-1.0000,0.6353,0.1432,0.9509,1.3444
51088-1,184A1,NM,Basal,10048-101-7,PD184352,,,MEK,MAPK,12509.155,uM,8.55920,48.2470,0.1172,-1.0000,0.6353,0.1432,0.9509,1.3444
51088-1,184A1,NM,Basal,10272-999-1,Pemetrexed,,,TYMS/DHFR/GARFT,TYMS,5894.095,uM,53.72510,62.72890,-0.1792,-0.0920,1.0901,0.3508,0.940,1.7133
51088-1,184A1,NM,Basal,10272-999-1,Pemetrexed,,,TYMS/DHFR/GARFT,TYMS,5895.095,uM,0.40767,0.41810,-0.0165,-0.0219,1.6956,0.7104,0.9924,1.4629
51088-1,184A1,NM,Basal,10514-102-1,PS-1145,,,IKK,NFKB,5895.065,uM,inf,inf,1.0031,1.0031,0.0000,-0.0389,-4.6402,1.3748
51088-1,184A1,NM,Basal,10514-102-1,PS-1145,,,IKK,NFKB,5894.065,uM,inf,416.61250,0.8384,0.8383,4.9997,-0.0087,0.7490,1.6064
51088-1,184A1,NM,Basal,10273-101-1,Purvalanol A,,,CDK1,CDK,5895.067,uM,51.18430,39.92310,0.3558,0.3553,4.9894,0.0457,0.9764,1.4053
51088-1,184A1,NM,Basal,10273-101-1,Purvalanol A,,,CDK1,CDK,5894.067,uM,6.00880,4.73440,0.1064,0.1488,1.4817,0.2344,0.9798,1.5647
51088-1,184A1,NM,Basal,10515-101-1,QNZ,,,NFkB,NFKB,5895.096,uM,97.09330,12.46050,0.5808,0.2658,0.3693,0.1340,0.8974,1.4232
51088-1,184A1,NM,Basal,10274-101-1,SB-3CT,,,MMP2/9,MMP,12509.168,uM,433.25760,1000.00000,0.6180,-0.2672,0.5118,0.0585,0.8869,1.3516
51088-1,184A1,NM,Basal,10056-101-2,Selumetinib,,,MEK,MAPK,12509.155,uM,0.33719,0.32458,0.0422,0.0182,0.9722,0.3745,0.9924,1.3444
51088-1,184A1,NM,Basal,10035-109-2,Sigma A6730,,,AKT,AKT,12509.165,uM,3.14240,13.05610,-0.6553,-1.0000,0.7714,0.3161,0.9885,1.5022
51088-1,184A1,NM,Basal,10052-101-3,Sirolimus,,,MTOR,MTOR,7787.068,uM,inf,inf,-0.2794,-0.2794,0.0000,0.5821,0.4995,0.9562
51088-1,184A1,NM,Basal,10008-104-3,Sorafenib,,,PDGFR/VEGFR/KIT/FLT3,RTK,5895.085,uM,1.60350,2.04080,-0.6352,-0.4548,2.6820,0.5481,0.9684,1.4396
51088-1,184A1,NM,Basal,10008-104-3,Sorafenib,,,PDGFR/VEGFR/KIT/FLT3,RTK,5894.084,uM,3.93680,6.19440,-0.5995,-0.4573,1.4330,0.5586,0.9851,1.5903
51088-1,184A1,NM,Basal,10175-106-3,Sunitinib,,,PDGFR/VEGFR/KIT/FLT3,RTK,5894.067,uM,4.440,8.19730,-0.9413,-0.9957,1.7870,0.4582,0.9949,1.5647
51088-1,184A1,NM,Basal,10175-106-3,Sunitinib,,,PDGFR/VEGFR/KIT/FLT3,RTK,5895.067,uM,5.42490,7.97390,-0.9135,-0.9079,2.6878,0.4188,0.9982,1.4053
51088-1,184A1,NM,Basal,10519-101-1,TAPI-0,,,TACE/Collagenase,,5895.096,uM,inf,6.62580,0.8804,0.8803,5.0000,-0.0065,0.5959,1.4232
51088-1,184A1,NM,Basal,10102-101-3,Taxol,,,TUBB,TUBB,9047.002,uM,0.05134,0.13706,-0.1958,-0.2758,0.4473,0.5388,0.9220,0.5243
51088-1,184A1,NM,Basal,10102-101-3,Taxol,,,TUBB,TUBB,12684.002,uM,inf,0.01616,0.4397,0.5237,1.5161,0.2820,0.9561,1.5245
51088-1,184A1,NM,Basal,10102-101-3,Taxol,,,TUBB,TUBB,10002.002,uM,0.03993,0.01744,0.3992,0.4147,2.1347,0.3380,0.9787,0.9502
51088-1,184A1,NM,Basal,10276-101-1,TCS 2312,,,CHK1,CHK,12509.152,uM,0.52576,0.68654,-0.6028,-0.3929,2.1732,0.3972,0.9705,1.3755
51088-1,184A1,NM,Basal,10520-101-1,TCS PIM-1 1,,,Pim kinase,PIM,12509.135,uM,11.05020,2.4860,0.3652,0.3169,0.6733,0.2265,0.9787,1.3717
51088-1,184A1,NM,Basal,10277-101-1,Temsirolimus,,,MTOR,MTOR,12509.168,uM,0.69862,4.34640,-0.9247,-1.0000,0.6010,0.6200,0.8824,1.3516
51088-1,184A1,NM,Basal,10278-999-1,Topotecan,,,TOP1,TOP,9047.121,uM,0.06571,0.20129,-0.5195,-0.5794,0.6874,0.8137,0.9412,0.7949
51088-1,184A1,NM,Basal,10021-101-5,Tozasertib,,,AURK/FLT3/ABL/JAK2,AURK,12509.169,uM,2.47570,23.78060,-0.3199,-1.0000,0.4856,0.3696,0.9823,1.5064
51088-1,184A1,NM,Basal,10136-101-2,TPCA-1,,,IKK,NFKB,5895.093,uM,4.52640,2.6040,0.3659,0.3912,2.7579,0.1290,0.9836,1.3259
51088-1,184A1,NM,Basal,10142-999-2,Trametinib,,,MEK,MAPK,9047.012,uM,0.00121,0.00198,-0.2658,-0.2622,0.8548,0.8904,0.9728,0.7549
51088-1,184A1,NM,Basal,10142-999-2,Trametinib,,,MEK,MAPK,10002.012,uM,0.00246,0.00373,-0.3319,-0.3425,1.2572,0.8816,0.9950,0.5807
51088-1,184A1,NM,Basal,,,80076-1,Trastuzumab,HER2,ErbB,9047.026,uM,inf,inf,0.2837,0.2837,0.0000,0.2170,0.0804,0.5972
51088-1,184A1,NM,Basal,10279-101-1,Trichostatin A,,,HDAC,HDAC,5895.065,uM,18.79790,50.3060,-0.9456,-0.9673,1.0936,0.6799,0.9969,1.3748
51088-1,184A1,NM,Basal,10279-101-1,Trichostatin A,,,HDAC,HDAC,5894.065,uM,21.390,58.12760,-0.8469,-0.8364,0.9834,0.6280,0.9974,1.6064
51088-1,184A1,NM,Basal,10280-101-1,Triciribine,,,AKT,AKT,5894.074,uM,0.10268,0.28489,-0.6622,-0.6112,0.7825,0.5807,0.9866,1.4541
51088-1,184A1,NM,Basal,10280-101-1,Triciribine,,,AKT,AKT,5895.074,uM,0.08792,0.23992,-0.7686,-0.7129,0.8827,0.6419,0.9956,1.1218
51088-1,184A1,NM,Basal,10346-110-1,Valproic acid,,,HDAC,HDAC,12509.143,uM,612.3160,1000.00000,-0.4448,-0.3207,1.0103,0.2717,0.9441,1.3392
51088-1,184A1,NM,Basal,10281-101-1,Vinorelbine,,,TUBB,TUBB,7787.018,uM,inf,inf,-0.9963,-0.9963,0.0000,0.4831,0.4499,0.3791
51088-1,184A1,NM,Basal,10282-101-1,Vorinostat,,,HDAC,HDAC,5894.065,uM,174.64490,418.8430,-0.3946,-0.4684,0.7558,0.4201,0.9859,1.6064
51088-1,184A1,NM,Basal,10282-101-1,Vorinostat,,,HDAC,HDAC,5895.065,uM,141.55360,735.01640,-0.6699,-0.8793,0.6160,0.4840,0.9909,1.3748
51088-1,184A1,NM,Basal,10283-101-1,XRP44X,,,ELK3,MAPK,12509.157,uM,0.40211,0.13495,0.3462,0.3842,1.3397,0.3328,0.9859,1.2837
51088-1,184A1,NM,Basal,10096-101-2,ZM-447439,,,AURK,AURK,12509.169,uM,inf,1.20210,0.5422,0.5277,0.9240,0.1592,0.9369,1.5064
50576-1,184B5,NM,Basal,10236-101-1,17-AAG,,,HSP90,HSP90,9095.037,uM,0.02221,0.02925,-0.9385,-0.7659,3.3756,1.0941,0.9910,1.0013
50576-1,184B5,NM,Basal,10501-999-1,2-deoxyglucose,,,,,12979.177,uM,559.39550,583.2410,-0.1158,-0.1161,5.0000,0.2148,0.7107,0.5647
50576-1,184B5,NM,Basal,10237-101-1,5-DFUR,,,TYMS,TYMS,12566.143,uM,303.43380,999.99910,0.1514,-0.2734,0.3658,0.2766,0.9906,1.6413
50576-1,184B5,NM,Basal,10133-101-2,Afatinib,,,EGFR/HER2,ErbB,12566.165,uM,0.11327,1.15330,-0.8618,-1.0000,0.4734,0.6795,0.9291,1.7248
50576-1,184B5,NM,Basal,10239-101-1,AG1024,,,IGF1R,RTK,5897.066,uM,0.22173,0.22268,-0.1723,-0.0108,4.9920,0.3762,0.9612,1.2737
50576-1,184B5,NM,Basal,10239-101-1,AG1024,,,IGF1R,RTK,5896.066,uM,0.20947,0.20891,-0.1513,0.0066,4.9829,0.4028,0.9686,1.4224
50576-1,184B5,NM,Basal,10240-101-1,AS-252424,,,PI3K,PI3K,12566.165,uM,26.52190,125.8320,0.4159,-1.0000,0.7056,0.0982,0.8944,1.7248
50576-1,184B5,NM,Basal,10343-101-1,Baicalein,,,Lipoxygenase,Metabolism,5897.073,uM,259.94010,173.29010,0.7393,0.4284,4.7935,-0.0004,0.8982,1.2323
50576-1,184B5,NM,Basal,10241-101-1,Bortezomib,,,Proteasome,Proteasome,5897.074,uM,0.02546,0.03680,-0.7949,-0.6246,2.1998,1.0567,0.9711,1.2824
50576-1,184B5,NM,Basal,10241-101-1,Bortezomib,,,Proteasome,Proteasome,5897.074,uM,0.02546,0.03680,-0.7949,-0.6246,2.1998,1.0567,0.9711,1.2824
50576-1,184B5,NM,Basal,10241-101-1,Bortezomib,,,Proteasome,Proteasome,5896.074,uM,0.01517,0.03188,-0.7992,-0.7384,1.2208,1.1454,0.9925,1.4124
50576-1,184B5,NM,Basal,10241-101-1,Bortezomib,,,Proteasome,Proteasome,5896.074,uM,0.01517,0.03188,-0.7992,-0.7384,1.2208,1.1454,0.9925,1.4124
50576-1,184B5,NM,Basal,10189-101-2,Bosutinib,,,Src,nRTK,12566.17,uM,0.54836,0.85384,-0.2865,-0.3368,1.1630,0.4044,0.9933,1.4648
50576-1,184B5,NM,Basal,10502-101-1,Bromopyruvic acid,,,Hexokinase II,Metabolism,12979.177,uM,0.02740,0.03413,-1.0000,-1.0000,5.0000,1.0789,0.9988,0.5647
50576-1,184B5,NM,Basal,10242-101-1,Carboplatin,,,DNA cross-linker,DNA cross-linker,9095.119,uM,5.77830,14.25320,-0.9033,-0.9300,1.1638,0.6853,0.9882,1.2263
50576-1,184B5,NM,Basal,,,80078-1,Cetuximab,EGFR,ErbB,9095.026,uM,0.04089,0.03186,0.1205,0.1008,0.9024,0.1873,0.9743,1.0168
50576-1,184B5,NM,Basal,10243-999-1,CGC-11047,,,Polyamine analogue,,9095.026,uM,486.65450,602.90190,-0.9562,-0.9592,5.0000,0.3089,0.9969,1.0168
