Cell HMS LINCS ID,Cell Name,Small Molecule 1 HMS LINCS ID,Small Molecule 1 Name,Small Molecule 2 HMS LINCS ID,Small Molecule 2 Name,Small Mol 1 Concentration,Small Mol 2 Concentration,Small Mol Conc Unit,Time Point,Time Point Unit,Replicate,Number of Cells,Primary Antibody (488) HMS LINCS ID,Primary Antibody (488) Name,Secondary Antibody (488) HMS LINCS ID,Secondary Antibody (488) Name,Protein Detected (488) HMS LINCS ID,Protein Detected (488) Name,Mean Fluorescence Intensity (488),Primary Antibody (647) HMS LINCS ID,Primary Antibody (647) Name,Secondary Antibody (647) HMS LINCS ID,Secondary Antibody (647) Name,Protein Detected (647) HMS LINCS ID,Protein Detected (647) Name,Mean Fluorescence Intensity (647),Plate Name,Plate Well
50060-2,A-375,10068-101-1,Vemurafenib,10308-101-1,Anacardic acid,1.0000,2.6667,uM,48,hr,1,1318,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,145.31,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,170.13,A375-A2-rep1,G3
50060-2,A-375,10068-101-1,Vemurafenib,10314-101-1,MC1568,1.0000,2.6667,uM,48,hr,1,1904,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,389.68,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,146.07,A375-A2-rep1,G4
50060-2,A-375,10068-101-1,Vemurafenib,10320-101-1,UNC0638,1.0000,2.6667,uM,48,hr,1,1266,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,181.34,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,57.07,A375-A2-rep1,G5
50060-2,A-375,10068-101-1,Vemurafenib,10326-102-1,Tranylcypromine,1.0000,2.6667,uM,48,hr,1,1440,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,151.07,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,215.58,A375-A2-rep1,G6
50060-2,A-375,10068-101-1,Vemurafenib,10332-101-1,Ischemin,1.0000,2.6667,uM,48,hr,1,1528,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,168.95,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,198.54,A375-A2-rep1,G7
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,1,1088,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,136.47,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,155.22,A375-A2-rep1,H10
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,1,1210,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,152.35,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,155.16,A375-A2-rep1,H11
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,1,1206,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,152.77,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,156.70,A375-A2-rep1,H2
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,1,1034,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,152.56,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,144.52,A375-A2-rep1,H3
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,1,1004,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,142.24,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,122.61,A375-A2-rep1,H4
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,1,955,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,144.67,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,131.81,A375-A2-rep1,H5
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,1,969,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,161.13,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,146.47,A375-A2-rep1,H6
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,1,1074,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,168.31,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,161.00,A375-A2-rep1,H7
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,1,1099,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,168.81,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,136.50,A375-A2-rep1,H8
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,1,1087,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,149.27,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,138.42,A375-A2-rep1,H9
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,2,1915,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,204.90,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,199.36,A375-A2-rep2,A10
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,2,1793,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,164.73,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,197.31,A375-A2-rep2,A11
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,2,2412,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,231.59,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,226.51,A375-A2-rep2,A2
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,2,2177,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,175.69,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,218.26,A375-A2-rep2,A3
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,2,2355,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,209.47,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,230.86,A375-A2-rep2,A4
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,2,2194,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,194.15,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,186.08,A375-A2-rep2,A5
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,2,2033,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,217.52,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,238.98,A375-A2-rep2,A6
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,2,1797,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,197.36,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,224.46,A375-A2-rep2,A7
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,2,1871,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,184.59,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,210.13,A375-A2-rep2,A8
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,2,2409,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,178.97,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,199.27,A375-A2-rep2,A9
50060-2,A-375,10068-101-1,Vemurafenib,10144-101-2,Olaparib,1.0000,2.6667,uM,48,hr,2,2229,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,159.21,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,210.77,A375-A2-rep2,B2
50060-2,A-375,10068-101-1,Vemurafenib,10303-101-1,Iniparib,1.0000,2.6667,uM,48,hr,2,2597,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,177.05,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,176.99,A375-A2-rep2,B3
50060-2,A-375,10068-101-1,Vemurafenib,10309-101-1,CTB,1.0000,2.6667,uM,48,hr,2,2634,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,183.35,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,163.76,A375-A2-rep2,B4
50060-2,A-375,10068-101-1,Vemurafenib,10315-101-1,Rocilinostat,1.0000,2.6667,uM,48,hr,2,2940,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,277.54,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,76.23,A375-A2-rep2,B5
50060-2,A-375,10068-101-1,Vemurafenib,10321-110-1,GSK-J1,1.0000,2.6667,uM,48,hr,2,2734,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,198.78,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,231.75,A375-A2-rep2,B6
50060-2,A-375,10068-101-1,Vemurafenib,10327-101-1,PFI-1,1.0000,2.6667,uM,48,hr,2,2464,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,137.44,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,154.43,A375-A2-rep2,B7
50060-2,A-375,10068-101-1,Vemurafenib,10333-101-1,UNC669,1.0000,2.6667,uM,48,hr,2,2373,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,210.68,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,209.48,A375-A2-rep2,B8
50060-2,A-375,10068-101-1,Vemurafenib,10145-102-1,Veliparib,1.0000,2.6667,uM,48,hr,2,2511,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,190.08,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,181.11,A375-A2-rep2,C2
50060-2,A-375,10068-101-1,Vemurafenib,10304-105-1,Rucaparib,1.0000,2.6667,uM,48,hr,2,2477,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,156.42,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,200.11,A375-A2-rep2,C3
50060-2,A-375,10068-101-1,Vemurafenib,10310-101-1,Belinostat,1.0000,2.6667,uM,48,hr,2,319,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,360.58,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,26.94,A375-A2-rep2,C4
