Small Molecule HMS LINCS ID,Small Molecule Name,Cell Line HMS LINCS ID,Cell Line Name,2nd Drug,Drug Concentration,Conc Unit,Time Point,Time Point Unit,Image,Measured Protein (Alexa Fluor 488),Measured Protein Value (488),Measured Protein (Alexa Fluor 568),Measured Protein Value (568),Measured Protein (Alexa Fluor 647),Measured Protein Value (647),Replicate,Plate Name,Plate Well
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.1280,uM,24,hr,446301,p27 Kip1,450.18,p-Rb(S807/S811),173.59,p-ERK(T202/Y204),691.16,1,Colo858-signal1,D6
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.0512,uM,24,hr,446355,p27 Kip1,430.28,p-Rb(S807/S811),171.77,p-ERK(T202/Y204),673.40,1,Colo858-signal1,D7
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.0205,uM,24,hr,446175,p27 Kip1,439.43,p-Rb(S807/S811),169.34,p-ERK(T202/Y204),657.25,1,Colo858-signal1,D8
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.0082,uM,24,hr,446436,p27 Kip1,436.36,p-Rb(S807/S811),155.67,p-ERK(T202/Y204),648.15,1,Colo858-signal1,D9
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.0033,uM,24,hr,446310,p27 Kip1,442.59,p-Rb(S807/S811),160.97,p-ERK(T202/Y204),615.32,2,Colo858-signal1,E10
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.0000,uM,24,hr,446166,p27 Kip1,445.15,p-Rb(S807/S811),158.36,p-ERK(T202/Y204),601.12,2,Colo858-signal1,E11
10363-101-1,JNK-IN-8,50149-1,COLO 858,,5.0000,uM,24,hr,445932,p27 Kip1,839.15,p-Rb(S807/S811),256.43,p-ERK(T202/Y204),789.95,2,Colo858-signal1,E2
10363-101-1,JNK-IN-8,50149-1,COLO 858,,2.0000,uM,24,hr,445995,p27 Kip1,594.04,p-Rb(S807/S811),231.49,p-ERK(T202/Y204),724.41,2,Colo858-signal1,E3
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.8000,uM,24,hr,446193,p27 Kip1,504.81,p-Rb(S807/S811),190.17,p-ERK(T202/Y204),719.29,2,Colo858-signal1,E4
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.3200,uM,24,hr,446427,p27 Kip1,445.16,p-Rb(S807/S811),182.28,p-ERK(T202/Y204),673.10,2,Colo858-signal1,E5
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.1280,uM,24,hr,446319,p27 Kip1,429.89,p-Rb(S807/S811),170.46,p-ERK(T202/Y204),675.31,2,Colo858-signal1,E6
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.0512,uM,24,hr,446328,p27 Kip1,429.12,p-Rb(S807/S811),167.32,p-ERK(T202/Y204),661.59,2,Colo858-signal1,E7
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.0205,uM,24,hr,446103,p27 Kip1,437.19,p-Rb(S807/S811),168.12,p-ERK(T202/Y204),644.13,2,Colo858-signal1,E8
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.0082,uM,24,hr,446256,p27 Kip1,438.93,p-Rb(S807/S811),156.13,p-ERK(T202/Y204),620.57,2,Colo858-signal1,E9
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.0033,uM,24,hr,445968,p27 Kip1,459.60,p-Rb(S807/S811),160.13,p-ERK(T202/Y204),573.25,1,Colo858-signal1,F10
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.0000,uM,24,hr,446085,p27 Kip1,453.65,p-Rb(S807/S811),157.18,p-ERK(T202/Y204),608.40,1,Colo858-signal1,F11
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,5.0000,uM,24,hr,446004,p27 Kip1,1646.10,p-Rb(S807/S811),108.76,p-ERK(T202/Y204),29.73,1,Colo858-signal1,F2
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,2.0000,uM,24,hr,446121,p27 Kip1,1532.60,p-Rb(S807/S811),62.03,p-ERK(T202/Y204),22.35,1,Colo858-signal1,F3
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.8000,uM,24,hr,446337,p27 Kip1,1176.20,p-Rb(S807/S811),47.97,p-ERK(T202/Y204),25.00,1,Colo858-signal1,F4
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.3200,uM,24,hr,446058,p27 Kip1,1024.70,p-Rb(S807/S811),48.87,p-ERK(T202/Y204),30.22,1,Colo858-signal1,F5
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.1280,uM,24,hr,446274,p27 Kip1,738.58,p-Rb(S807/S811),81.58,p-ERK(T202/Y204),80.67,1,Colo858-signal1,F6
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.0512,uM,24,hr,445941,p27 Kip1,537.76,p-Rb(S807/S811),125.84,p-ERK(T202/Y204),268.22,1,Colo858-signal1,F7
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.0205,uM,24,hr,446346,p27 Kip1,462.46,p-Rb(S807/S811),154.40,p-ERK(T202/Y204),499.08,1,Colo858-signal1,F8
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.0082,uM,24,hr,446409,p27 Kip1,461.45,p-Rb(S807/S811),160.46,p-ERK(T202/Y204),599.65,1,Colo858-signal1,F9
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.0033,uM,24,hr,446229,p27 Kip1,421.06,p-Rb(S807/S811),154.67,p-ERK(T202/Y204),537.34,2,Colo858-signal1,G10
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.0000,uM,24,hr,446382,p27 Kip1,447.88,p-Rb(S807/S811),161.30,p-ERK(T202/Y204),568.39,2,Colo858-signal1,G11
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,5.0000,uM,24,hr,445959,p27 Kip1,1526.80,p-Rb(S807/S811),101.09,p-ERK(T202/Y204),29.24,2,Colo858-signal1,G2
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,2.0000,uM,24,hr,446220,p27 Kip1,1676.60,p-Rb(S807/S811),60.57,p-ERK(T202/Y204),20.44,2,Colo858-signal1,G3
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.8000,uM,24,hr,446112,p27 Kip1,1044.90,p-Rb(S807/S811),48.21,p-ERK(T202/Y204),22.38,2,Colo858-signal1,G4
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.3200,uM,24,hr,446400,p27 Kip1,983.23,p-Rb(S807/S811),56.72,p-ERK(T202/Y204),28.24,2,Colo858-signal1,G5
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.1280,uM,24,hr,446391,p27 Kip1,743.36,p-Rb(S807/S811),68.92,p-ERK(T202/Y204),51.05,2,Colo858-signal1,G6
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.0512,uM,24,hr,446283,p27 Kip1,511.00,p-Rb(S807/S811),125.23,p-ERK(T202/Y204),254.95,2,Colo858-signal1,G7
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.0205,uM,24,hr,446373,p27 Kip1,458.83,p-Rb(S807/S811),152.02,p-ERK(T202/Y204),459.90,2,Colo858-signal1,G8
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.0082,uM,24,hr,445950,p27 Kip1,456.27,p-Rb(S807/S811),159.28,p-ERK(T202/Y204),556.01,2,Colo858-signal1,G9
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.0033,uM,24,hr,446769,p-Histone H3(S10),326.58,p-Rb(S807/S811),162.30,p-S6(S235/S236,402.84,1,Colo858-signal2,B10
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.0000,uM,24,hr,446823,p-Histone H3(S10),358.86,p-Rb(S807/S811),155.99,p-S6(S235/S236,377.96,1,Colo858-signal2,B11
10068-101-1,Vemurafenib,50149-1,COLO 858,,5.0000,uM,24,hr,446471,p-Histone H3(S10),265.46,p-Rb(S807/S811),66.87,p-S6(S235/S236,14.48,1,Colo858-signal2,B2
10068-101-1,Vemurafenib,50149-1,COLO 858,,2.0000,uM,24,hr,446598,p-Histone H3(S10),163.91,p-Rb(S807/S811),54.08,p-S6(S235/S236,23.01,1,Colo858-signal2,B3
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.8000,uM,24,hr,446931,p-Histone H3(S10),165.33,p-Rb(S807/S811),58.60,p-S6(S235/S236,48.12,1,Colo858-signal2,B4
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.3200,uM,24,hr,446652,p-Histone H3(S10),144.45,p-Rb(S807/S811),54.34,p-S6(S235/S236,77.03,1,Colo858-signal2,B5
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.1280,uM,24,hr,446553,p-Histone H3(S10),204.59,p-Rb(S807/S811),83.78,p-S6(S235/S236,220.01,1,Colo858-signal2,B6
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.0512,uM,24,hr,446571,p-Histone H3(S10),284.31,p-Rb(S807/S811),139.79,p-S6(S235/S236,349.95,1,Colo858-signal2,B7
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.0205,uM,24,hr,446877,p-Histone H3(S10),307.92,p-Rb(S807/S811),162.01,p-S6(S235/S236,403.15,1,Colo858-signal2,B8
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.0082,uM,24,hr,446535,p-Histone H3(S10),341.90,p-Rb(S807/S811),169.94,p-S6(S235/S236,414.55,1,Colo858-signal2,B9
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.0033,uM,24,hr,446994,p-Histone H3(S10),254.30,p-Rb(S807/S811),163.98,p-S6(S235/S236,398.31,2,Colo858-signal2,C10
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.0000,uM,24,hr,446949,p-Histone H3(S10),377.25,p-Rb(S807/S811),161.02,p-S6(S235/S236,380.19,2,Colo858-signal2,C11
10068-101-1,Vemurafenib,50149-1,COLO 858,,5.0000,uM,24,hr,446814,p-Histone H3(S10),259.21,p-Rb(S807/S811),68.62,p-S6(S235/S236,16.39,2,Colo858-signal2,C2
10068-101-1,Vemurafenib,50149-1,COLO 858,,2.0000,uM,24,hr,446859,p-Histone H3(S10),150.06,p-Rb(S807/S811),51.74,p-S6(S235/S236,21.56,2,Colo858-signal2,C3
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.8000,uM,24,hr,446643,p-Histone H3(S10),152.45,p-Rb(S807/S811),55.46,p-S6(S235/S236,57.68,2,Colo858-signal2,C4
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.3200,uM,24,hr,446499,p-Histone H3(S10),150.91,p-Rb(S807/S811),54.62,p-S6(S235/S236,93.11,2,Colo858-signal2,C5
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.1280,uM,24,hr,446733,p-Histone H3(S10),174.16,p-Rb(S807/S811),73.24,p-S6(S235/S236,166.46,2,Colo858-signal2,C6
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.0512,uM,24,hr,446850,p-Histone H3(S10),274.60,p-Rb(S807/S811),140.30,p-S6(S235/S236,340.20,2,Colo858-signal2,C7
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.0205,uM,24,hr,446715,p-Histone H3(S10),349.40,p-Rb(S807/S811),166.03,p-S6(S235/S236,385.58,2,Colo858-signal2,C8
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.0082,uM,24,hr,446562,p-Histone H3(S10),301.75,p-Rb(S807/S811),164.37,p-S6(S235/S236,394.95,2,Colo858-signal2,C9
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.0033,uM,24,hr,446751,p-Histone H3(S10),280.73,p-Rb(S807/S811),169.28,p-S6(S235/S236,409.65,1,Colo858-signal2,D10
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.0000,uM,24,hr,446607,p-Histone H3(S10),323.83,p-Rb(S807/S811),165.88,p-S6(S235/S236,385.36,1,Colo858-signal2,D11
10363-101-1,JNK-IN-8,50149-1,COLO 858,,5.0000,uM,24,hr,446490,p-Histone H3(S10),315.08,p-Rb(S807/S811),253.54,p-S6(S235/S236,620.64,1,Colo858-signal2,D2
10363-101-1,JNK-IN-8,50149-1,COLO 858,,2.0000,uM,24,hr,446634,p-Histone H3(S10),355.48,p-Rb(S807/S811),234.13,p-S6(S235/S236,567.56,1,Colo858-signal2,D3
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.8000,uM,24,hr,446796,p-Histone H3(S10),332.96,p-Rb(S807/S811),207.97,p-S6(S235/S236,501.48,1,Colo858-signal2,D4
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.3200,uM,24,hr,446472,p-Histone H3(S10),367.65,p-Rb(S807/S811),192.54,p-S6(S235/S236,440.93,1,Colo858-signal2,D5
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.1280,uM,24,hr,446832,p-Histone H3(S10),319.80,p-Rb(S807/S811),180.35,p-S6(S235/S236,422.77,1,Colo858-signal2,D6
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.0512,uM,24,hr,446517,p-Histone H3(S10),302.14,p-Rb(S807/S811),172.24,p-S6(S235/S236,407.88,1,Colo858-signal2,D7
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.0205,uM,24,hr,446526,p-Histone H3(S10),288.25,p-Rb(S807/S811),170.31,p-S6(S235/S236,401.43,1,Colo858-signal2,D8
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.0082,uM,24,hr,446913,p-Histone H3(S10),293.86,p-Rb(S807/S811),167.77,p-S6(S235/S236,396.05,1,Colo858-signal2,D9
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.0033,uM,24,hr,446868,p-Histone H3(S10),321.22,p-Rb(S807/S811),160.77,p-S6(S235/S236,385.74,2,Colo858-signal2,E10
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.0000,uM,24,hr,446481,p-Histone H3(S10),357.02,p-Rb(S807/S811),174.95,p-S6(S235/S236,420.53,2,Colo858-signal2,E11
10363-101-1,JNK-IN-8,50149-1,COLO 858,,5.0000,uM,24,hr,446985,p-Histone H3(S10),370.03,p-Rb(S807/S811),260.57,p-S6(S235/S236,614.60,2,Colo858-signal2,E2
10363-101-1,JNK-IN-8,50149-1,COLO 858,,2.0000,uM,24,hr,446670,p-Histone H3(S10),340.93,p-Rb(S807/S811),241.66,p-S6(S235/S236,583.63,2,Colo858-signal2,E3
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.8000,uM,24,hr,446697,p-Histone H3(S10),343.78,p-Rb(S807/S811),196.27,p-S6(S235/S236,463.89,2,Colo858-signal2,E4
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.3200,uM,24,hr,446886,p-Histone H3(S10),302.44,p-Rb(S807/S811),181.09,p-S6(S235/S236,433.45,2,Colo858-signal2,E5
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.1280,uM,24,hr,446787,p-Histone H3(S10),370.36,p-Rb(S807/S811),181.15,p-S6(S235/S236,424.43,2,Colo858-signal2,E6
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.0512,uM,24,hr,446904,p-Histone H3(S10),333.07,p-Rb(S807/S811),173.37,p-S6(S235/S236,412.91,2,Colo858-signal2,E7
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.0205,uM,24,hr,446841,p-Histone H3(S10),311.93,p-Rb(S807/S811),166.54,p-S6(S235/S236,387.41,2,Colo858-signal2,E8
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.0082,uM,24,hr,446724,p-Histone H3(S10),373.77,p-Rb(S807/S811),163.58,p-S6(S235/S236,386.62,2,Colo858-signal2,E9
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.0033,uM,24,hr,446922,p-Histone H3(S10),288.89,p-Rb(S807/S811),152.75,p-S6(S235/S236,379.48,1,Colo858-signal2,F10
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.0000,uM,24,hr,446706,p-Histone H3(S10),336.86,p-Rb(S807/S811),161.69,p-S6(S235/S236,384.38,1,Colo858-signal2,F11
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,5.0000,uM,24,hr,446616,p-Histone H3(S10),416.80,p-Rb(S807/S811),107.61,p-S6(S235/S236,19.41,1,Colo858-signal2,F2
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,2.0000,uM,24,hr,446895,p-Histone H3(S10),256.94,p-Rb(S807/S811),69.35,p-S6(S235/S236,26.20,1,Colo858-signal2,F3
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.8000,uM,24,hr,446976,p-Histone H3(S10),168.97,p-Rb(S807/S811),57.67,p-S6(S235/S236,47.25,1,Colo858-signal2,F4
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.3200,uM,24,hr,446778,p-Histone H3(S10),155.41,p-Rb(S807/S811),59.98,p-S6(S235/S236,99.31,1,Colo858-signal2,F5
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.1280,uM,24,hr,446742,p-Histone H3(S10),191.90,p-Rb(S807/S811),81.85,p-S6(S235/S236,199.11,1,Colo858-signal2,F6
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.0512,uM,24,hr,446805,p-Histone H3(S10),219.70,p-Rb(S807/S811),143.66,p-S6(S235/S236,371.59,1,Colo858-signal2,F7
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.0205,uM,24,hr,446958,p-Histone H3(S10),337.75,p-Rb(S807/S811),156.22,p-S6(S235/S236,357.37,1,Colo858-signal2,F8
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.0082,uM,24,hr,446688,p-Histone H3(S10),311.80,p-Rb(S807/S811),160.43,p-S6(S235/S236,378.06,1,Colo858-signal2,F9
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.0033,uM,24,hr,446760,p-Histone H3(S10),300.67,p-Rb(S807/S811),162.97,p-S6(S235/S236,433.52,2,Colo858-signal2,G10
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.0000,uM,24,hr,446508,p-Histone H3(S10),376.71,p-Rb(S807/S811),165.48,p-S6(S235/S236,397.13,2,Colo858-signal2,G11
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,5.0000,uM,24,hr,446967,p-Histone H3(S10),525.79,p-Rb(S807/S811),128.17,p-S6(S235/S236,40.46,2,Colo858-signal2,G2
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,2.0000,uM,24,hr,446580,p-Histone H3(S10),271.62,p-Rb(S807/S811),67.91,p-S6(S235/S236,39.37,2,Colo858-signal2,G3
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.8000,uM,24,hr,446589,p-Histone H3(S10),164.14,p-Rb(S807/S811),55.90,p-S6(S235/S236,45.82,2,Colo858-signal2,G4
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.3200,uM,24,hr,446679,p-Histone H3(S10),125.76,p-Rb(S807/S811),58.82,p-S6(S235/S236,110.32,2,Colo858-signal2,G5
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.1280,uM,24,hr,446625,p-Histone H3(S10),194.38,p-Rb(S807/S811),84.75,p-S6(S235/S236,196.38,2,Colo858-signal2,G6
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.0512,uM,24,hr,446544,p-Histone H3(S10),239.08,p-Rb(S807/S811),140.42,p-S6(S235/S236,380.85,2,Colo858-signal2,G7
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.0205,uM,24,hr,446940,p-Histone H3(S10),327.85,p-Rb(S807/S811),162.48,p-S6(S235/S236,410.06,2,Colo858-signal2,G8
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.0082,uM,24,hr,446661,p-Histone H3(S10),343.94,p-Rb(S807/S811),170.97,p-S6(S235/S236,450.82,2,Colo858-signal2,G9
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.0033,uM,24,hr,447435,Ki-67,2154.80,p-Rb(S807/S811),145.55,p-cJun(S73),28.64,1,Colo858-signal3,B10
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.0000,uM,24,hr,447183,Ki-67,2209.00,p-Rb(S807/S811),151.07,p-cJun(S73),28.62,1,Colo858-signal3,B11
10068-101-1,Vemurafenib,50149-1,COLO 858,,5.0000,uM,24,hr,447011,Ki-67,801.46,p-Rb(S807/S811),44.01,p-cJun(S73),45.24,1,Colo858-signal3,B2
10068-101-1,Vemurafenib,50149-1,COLO 858,,2.0000,uM,24,hr,447255,Ki-67,772.11,p-Rb(S807/S811),44.73,p-cJun(S73),66.84,1,Colo858-signal3,B3
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.8000,uM,24,hr,447417,Ki-67,678.24,p-Rb(S807/S811),45.98,p-cJun(S73),72.90,1,Colo858-signal3,B4
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.3200,uM,24,hr,447264,Ki-67,708.08,p-Rb(S807/S811),48.09,p-cJun(S73),72.08,1,Colo858-signal3,B5
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.1280,uM,24,hr,447246,Ki-67,972.60,p-Rb(S807/S811),76.98,p-cJun(S73),64.88,1,Colo858-signal3,B6
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.0512,uM,24,hr,447507,Ki-67,1742.30,p-Rb(S807/S811),126.75,p-cJun(S73),38.16,1,Colo858-signal3,B7
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.0205,uM,24,hr,447048,Ki-67,2103.40,p-Rb(S807/S811),149.11,p-cJun(S73),30.17,1,Colo858-signal3,B8
