Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Mean Relative Cell Count,Standard Error of the Mean for Relative Cell Count,Mean Relative Growth Rate,Standard Error of the Mean for Relative Growth Rate
50105-3,BT-20,10161-101-1,Luminespib,0.04,uM,LJP5,0.2928,0.0239,-0.0261,0.0544
50105-3,BT-20,10045-101-1,A443654,0.04,uM,LJP6,0.6555,0.0764,0.5042,0.1047
50105-3,BT-20,10063-102-1,OSI-027,0.04,uM,LJP6,0.9871,0.0263,0.9823,0.0374
50105-3,BT-20,10087-101-1,XMD11-85h,0.04,uM,LJP6,0.8091,0.0354,0.7248,0.0469
50105-3,BT-20,10017-101-1,HG-6-64-01,0.04,uM,LJP6,1.0113,0.0639,1.0193,0.0921
50105-3,BT-20,10039-101-1,WH-4-025,0.04,uM,LJP5,0.9989,0.0224,0.9974,0.0322
50105-3,BT-20,10082-101-1,WZ-4-145,0.04,uM,LJP6,0.8132,0.0299,0.7301,0.0399
50105-3,BT-20,10091-101-1,XMD16-144,0.04,uM,LJP5,0.8832,0.0884,0.8339,0.1241
50105-3,BT-20,10177-101-1,Brivanib,0.04,uM,LJP5,0.9715,0.0191,0.9598,0.0273
50105-3,BT-20,10147-101-1,Buparlisib,0.04,uM,LJP5,1.0268,0.0128,1.0395,0.0192
50105-3,BT-20,10055-101-1,BX-912,0.04,uM,LJP5,0.9281,0.0069,0.8962,0.0082
50105-3,BT-20,10120-102-1,Canertinib,0.04,uM,LJP6,0.8981,0.0145,0.8517,0.0232
50105-3,BT-20,10117-101-1,Celastrol,0.04,uM,LJP6,1.0419,0.0144,1.0599,0.0202
50105-3,BT-20,10025-101-1,CGP60474,0.04,uM,LJP5,0.9008,0.0561,0.8566,0.0796
50105-3,BT-20,10025-101-1,CGP60474,0.04,uM,LJP6,0.2034,0.0090,-0.1546,0.0285
50105-3,BT-20,10180-101-1,CHIR-99021,0.04,uM,LJP6,0.9136,0.0488,0.8745,0.0700
50105-3,BT-20,10010-101-1,CP724714,0.04,uM,LJP5,0.9558,0.0054,0.9360,0.0079
50105-3,BT-20,10009-101-1,CP466722,0.04,uM,LJP5,1.0792,0.0067,1.1144,0.0076
50105-3,BT-20,10027-101-1,Crizotinib,0.04,uM,LJP5,0.8539,0.0161,0.7877,0.0261
50105-3,BT-20,10140-101-1,Momelotinib,0.04,uM,LJP5,0.9534,0.0359,0.9337,0.0515
50105-3,BT-20,10020-101-1,Dasatinib,0.04,uM,LJP5,0.8742,0.0349,0.8179,0.0492
50105-3,BT-20,10020-101-1,Dasatinib,0.04,uM,LJP6,0.5526,0.0929,0.3571,0.1238
50105-3,BT-20,10127-101-1,Dovitinib,0.04,uM,LJP5,0.8753,0.0196,0.8186,0.0307
50105-3,BT-20,10069-101-1,Enzastaurin,0.04,uM,LJP5,1.0329,0.0495,1.0453,0.0721
50105-3,BT-20,10097-101-1,Erlotinib,0.04,uM,LJP5,0.8993,0.0149,0.8548,0.0196
50105-3,BT-20,10157-101-1,Foretinib,0.04,uM,LJP5,1.0384,0.0248,1.0543,0.0351
50105-3,BT-20,10040-101-1,R406,0.04,uM,LJP6,0.9686,0.0439,0.9540,0.0631
50105-3,BT-20,10047-101-1,Pictilisib,0.04,uM,LJP6,0.7617,0.0213,0.6548,0.0306
50105-3,BT-20,10098-101-1,Gefitinib,0.04,uM,LJP6,1.0119,0.0387,1.0189,0.0558
50105-3,BT-20,10108-101-1,Geldanamycin,0.04,uM,LJP5,0.4607,0.0100,0.2182,0.0257
50105-3,BT-20,10108-101-1,Geldanamycin,0.04,uM,LJP6,0.4608,0.0631,0.2217,0.0782
50105-3,BT-20,10172-101-1,GSK1059615,0.04,uM,LJP5,1.0055,0.0228,1.0092,0.0334
50105-3,BT-20,10172-101-1,GSK1059615,0.04,uM,LJP6,0.8839,0.0449,0.8343,0.0627
50105-3,BT-20,10134-101-1,GSK1904529A,0.04,uM,LJP6,0.8394,0.0192,0.7668,0.0304
50105-3,BT-20,10146-101-1,Omipalisib,0.04,uM,LJP6,0.2655,0.0296,-0.0633,0.0312
50105-3,BT-20,10128-101-1,GSK 690693,0.04,uM,LJP5,0.8635,0.0030,0.8023,0.0005
50105-3,BT-20,10014-101-1,GW843682X,0.04,uM,LJP6,0.8628,0.0329,0.8027,0.0443
50105-3,BT-20,10015-101-1,HG-5-113-01,0.04,uM,LJP5,0.9780,0.0218,0.9673,0.0315
50105-3,BT-20,10016-101-1,HG-5-88-01,0.04,uM,LJP6,0.7841,0.0303,0.6860,0.0482
50105-3,BT-20,10023-103-1,Imatinib,0.04,uM,LJP6,0.9851,0.0102,0.9778,0.0155
50105-3,BT-20,10100-101-1,JNK-9L,0.04,uM,LJP6,0.8325,0.0281,0.7588,0.0365
50105-3,BT-20,10019-101-1,JW-7-24-1,0.04,uM,LJP6,0.8209,0.0238,0.7405,0.0345
50105-3,BT-20,10051-104-1,Lapatinib,0.04,uM,LJP6,0.8658,0.0463,0.8074,0.0635
50105-3,BT-20,10115-102-1,LDN-193189,0.04,uM,LJP5,1.0114,0.0179,1.0173,0.0266
50105-3,BT-20,10182-101-1,Linifanib,0.04,uM,LJP6,1.0575,0.0063,1.0834,0.0091
50105-3,BT-20,10135-101-1,Linsitinib,0.04,uM,LJP5,0.8837,0.0140,0.8309,0.0222
50105-3,BT-20,10479-102-1,Mitoxantrone,0.04,uM,LJP5,0.4318,0.0400,0.1760,0.0639
50105-3,BT-20,10479-102-1,Mitoxantrone,0.04,uM,LJP6,0.4777,0.0555,0.2459,0.0674
50105-3,BT-20,10057-102-1,MK2206,0.04,uM,LJP6,0.9582,0.0449,0.9417,0.0640
50105-3,BT-20,10018-101-1,Neratinib,0.04,uM,LJP5,0.7898,0.0160,0.6953,0.0241
50105-3,BT-20,10099-101-1,Nilotinib,0.04,uM,LJP5,1.0196,0.0233,1.0285,0.0333
50105-3,BT-20,10151-101-1,Nintedanib,0.04,uM,LJP6,1.0015,0.0292,1.0030,0.0416
50105-3,BT-20,10061-101-1,NU7441,0.04,uM,LJP5,1.0674,0.0147,1.0976,0.0206
50105-3,BT-20,10232-101-1,Dactolisib,0.04,uM,LJP5,0.4567,0.0437,0.2143,0.0533
50105-3,BT-20,10024-101-1,NVP-TAE684,0.04,uM,LJP6,1.0100,0.0088,1.0150,0.0133
50105-3,BT-20,10071-101-1,Palbociclib,0.04,uM,LJP6,0.7153,0.0376,0.5892,0.0476
50105-3,BT-20,10101-101-1,PD0325901,0.04,uM,LJP5,0.9275,0.0705,0.8972,0.0993
50105-3,BT-20,10101-101-1,PD0325901,0.04,uM,LJP6,0.9135,0.0224,0.8760,0.0305
50105-3,BT-20,10026-101-1,PD173074,0.04,uM,LJP6,1.0620,0.0178,1.0894,0.0251
50105-3,BT-20,10048-101-1,PD184352,0.04,uM,LJP5,1.0587,0.0187,1.0842,0.0255
50105-3,BT-20,10159-101-1,Pelitinib,0.04,uM,LJP5,0.9869,0.0325,0.9819,0.0460
50105-3,BT-20,10116-101-1,PF431396,0.04,uM,LJP5,0.9340,0.0206,0.9044,0.0294
50105-3,BT-20,10112-101-1,PF477736,0.04,uM,LJP5,0.9217,0.0182,0.8854,0.0291
50105-3,BT-20,10072-101-1,PF562271,0.04,uM,LJP6,0.9177,0.0104,0.8814,0.0130
50105-3,BT-20,10125-101-1,PHA-665752,0.04,uM,LJP5,1.0323,0.0064,1.0467,0.0087
50105-3,BT-20,10073-101-1,PHA-793887,0.04,uM,LJP6,0.6225,0.0312,0.4530,0.0458
50105-3,BT-20,10126-101-1,PI103,0.04,uM,LJP6,0.9384,0.0427,0.9123,0.0599
50105-3,BT-20,10049-101-1,PLX-4720,0.04,uM,LJP5,1.0292,0.0141,1.0429,0.0207
50105-3,BT-20,10075-101-1,QL-X-138,0.04,uM,LJP6,0.7694,0.0268,0.6668,0.0351
50105-3,BT-20,10077-101-1,QL-XII-47,0.04,uM,LJP6,0.7311,0.1230,0.6148,0.1708
50105-3,BT-20,10480-101-1,Radicicol,0.04,uM,LJP5,0.8706,0.0232,0.8120,0.0350
50105-3,BT-20,10480-101-1,Radicicol,0.04,uM,LJP6,0.8612,0.0561,0.8018,0.0778
50105-3,BT-20,10001-101-1,Seliciclib,0.04,uM,LJP5,1.0355,0.0023,1.0514,0.0025
50105-3,BT-20,10138-105-1,Ruxolitinib,0.04,uM,LJP5,0.9917,0.0323,0.9896,0.0475
50105-3,BT-20,10148-101-1,XL147,0.04,uM,LJP5,1.0837,0.0288,1.1201,0.0396
50105-3,BT-20,10032-101-1,Saracatinib,0.04,uM,LJP6,0.9756,0.0282,0.9648,0.0400
50105-3,BT-20,10056-101-1,Selumetinib,0.04,uM,LJP6,1.0692,0.0426,1.1019,0.0622
50105-3,BT-20,10052-101-1,Sirolimus,0.04,uM,LJP6,0.6345,0.0036,0.4704,0.0104
50105-3,BT-20,10008-101-1,Sorafenib,0.04,uM,LJP6,0.9289,0.0133,0.8976,0.0174
50105-3,BT-20,10119-101-1,SU11274,0.04,uM,LJP5,1.0714,0.0210,1.1034,0.0298
50105-3,BT-20,10141-101-1,Fedratinib,0.04,uM,LJP5,1.0545,0.0177,1.0784,0.0243
50105-3,BT-20,10171-101-1,TGX221,0.04,uM,LJP5,0.9455,0.0213,0.9198,0.0329
50105-3,BT-20,10079-101-1,Torin1,0.04,uM,LJP6,0.4613,0.0403,0.2216,0.0436
50105-3,BT-20,10080-101-1,Torin2,0.04,uM,LJP5,0.2982,0.0208,-0.0161,0.0194
50105-3,BT-20,10021-101-1,Tozasertib,0.04,uM,LJP5,0.5452,0.0342,0.3395,0.0600
50105-3,BT-20,10142-101-1,Trametinib,0.04,uM,LJP5,0.7788,0.0226,0.6797,0.0320
50105-3,BT-20,10111-101-1,TWS119,0.04,uM,LJP5,1.0314,0.0154,1.0462,0.0235
50105-3,BT-20,10068-101-1,Vemurafenib,0.04,uM,LJP5,0.9940,0.0238,0.9907,0.0346
50105-3,BT-20,10481-101-1,Withaferin A,0.04,uM,LJP5,1.0483,0.0220,1.0690,0.0306
50105-3,BT-20,10481-101-1,Withaferin A,0.04,uM,LJP6,1.0227,0.0175,1.0319,0.0250
50105-3,BT-20,10064-101-1,WYE-125132,0.04,uM,LJP6,0.5900,0.0789,0.4103,0.1039
50105-3,BT-20,10084-101-1,WZ3105,0.04,uM,LJP5,0.4404,0.0310,0.1872,0.0620
50105-3,BT-20,10086-101-1,XMD11-50,0.04,uM,LJP6,0.8872,0.0559,0.8396,0.0785
50105-3,BT-20,10149-102-1,Y39983,0.04,uM,LJP6,0.9746,0.0361,0.9650,0.0517
50105-3,BT-20,10109-101-1,YM 201636,0.04,uM,LJP5,1.0740,0.0176,1.1064,0.0236
50105-3,BT-20,10053-101-1,ZSTK474,0.04,uM,LJP6,0.9567,0.0160,0.9378,0.0221
50105-3,BT-20,10133-101-1,Afatinib,0.12,uM,LJP6,0.8141,0.0049,0.7307,0.0058
50105-3,BT-20,10035-101-1,Sigma A6730,0.12,uM,LJP5,0.8920,0.0078,0.8431,0.0144
50105-3,BT-20,10011-101-1,Alvocidib,0.12,uM,LJP6,0.2718,0.0687,-0.0515,0.0799
50105-3,BT-20,10004-101-1,AT-7519,0.12,uM,LJP6,0.7489,0.1362,0.6432,0.1911
50105-3,BT-20,10158-101-1,AZD 5438,0.12,uM,LJP6,0.7149,0.0692,0.5907,0.0932
50105-3,BT-20,10059-101-1,AZD-6482,0.12,uM,LJP5,0.9253,0.0390,0.8940,0.0551
50105-3,BT-20,10006-101-1,AZD7762,0.12,uM,LJP6,0.8803,0.0649,0.8282,0.0907
50105-3,BT-20,10007-101-1,AZD8055,0.12,uM,LJP6,0.4087,0.0527,0.1458,0.0614
50105-3,BT-20,10164-101-1,AZD8330,0.12,uM,LJP5,0.8008,0.0217,0.7126,0.0261
50105-3,BT-20,10067-101-1,Barasertib,0.12,uM,LJP5,0.6806,0.0698,0.5370,0.1001
50105-3,BT-20,10041-101-1,BI-2536,0.12,uM,LJP6,0.2146,0.0378,-0.1401,0.0758
50105-3,BT-20,10028-102-1,BMS345541,0.12,uM,LJP6,0.9549,0.0267,0.9350,0.0376
50105-3,BT-20,10132-101-1,SNS-032,0.12,uM,LJP6,0.3898,0.1040,0.1217,0.1361
50105-3,BT-20,10234-101-1,GDC-0980,0.12,uM,LJP5,0.3419,0.0407,0.0480,0.0455
50105-3,BT-20,10122-101-1,NVP-AEW541,0.12,uM,LJP5,1.0391,0.0102,1.0563,0.0141
50105-3,BT-20,10046-101-1,SB590885,0.12,uM,LJP5,1.0124,0.0167,1.0181,0.0239
50105-3,BT-20,10190-101-1,PIK-93,0.12,uM,LJP5,1.0375,0.0175,1.0543,0.0248
50105-3,BT-20,10031-101-1,KIN001-043,0.12,uM,LJP6,0.9329,0.0063,0.9027,0.0094
50105-3,BT-20,10233-101-1,Alpelisib,0.12,uM,LJP5,0.9979,0.0244,0.9978,0.0355
50105-3,BT-20,10161-101-1,Luminespib,0.12,uM,LJP5,0.2911,0.0270,-0.0288,0.0596
50105-3,BT-20,10045-101-1,A443654,0.12,uM,LJP6,0.5285,0.1132,0.3233,0.1535
50105-3,BT-20,10063-102-1,OSI-027,0.12,uM,LJP6,0.8229,0.0496,0.7462,0.0681
50105-3,BT-20,10087-101-1,XMD11-85h,0.12,uM,LJP6,0.9363,0.0523,0.9106,0.0746
50105-3,BT-20,10017-101-1,HG-6-64-01,0.12,uM,LJP6,0.9226,0.0916,0.8920,0.1300
50105-3,BT-20,10039-101-1,WH-4-025,0.12,uM,LJP5,0.8061,0.0427,0.7180,0.0631
50105-3,BT-20,10082-101-1,WZ-4-145,0.12,uM,LJP6,0.8636,0.0471,0.8050,0.0650
50105-3,BT-20,10091-101-1,XMD16-144,0.12,uM,LJP5,0.5573,0.0745,0.3601,0.1015
50105-3,BT-20,10177-101-1,Brivanib,0.12,uM,LJP5,0.9608,0.0078,0.9436,0.0103
50105-3,BT-20,10147-101-1,Buparlisib,0.12,uM,LJP5,0.9029,0.0515,0.8615,0.0718
50105-3,BT-20,10055-101-1,BX-912,0.12,uM,LJP5,0.9682,0.0187,0.9544,0.0267
50105-3,BT-20,10120-102-1,Canertinib,0.12,uM,LJP6,0.8847,0.0091,0.8333,0.0102
50105-3,BT-20,10117-101-1,Celastrol,0.12,uM,LJP6,1.0551,0.0173,1.0793,0.0243
50105-3,BT-20,10025-101-1,CGP60474,0.12,uM,LJP5,0.2649,0.0365,-0.0665,0.0679
50105-3,BT-20,10025-101-1,CGP60474,0.12,uM,LJP6,0.1655,0.0162,-0.2103,0.0473
50105-3,BT-20,10180-101-1,CHIR-99021,0.12,uM,LJP6,0.9266,0.0390,0.8939,0.0553
50105-3,BT-20,10010-101-1,CP724714,0.12,uM,LJP5,0.9474,0.0139,0.9236,0.0201
50105-3,BT-20,10009-101-1,CP466722,0.12,uM,LJP5,1.0458,0.0179,1.0663,0.0254
50105-3,BT-20,10027-101-1,Crizotinib,0.12,uM,LJP5,0.9395,0.0132,0.9128,0.0182
50105-3,BT-20,10140-101-1,Momelotinib,0.12,uM,LJP5,0.9071,0.0207,0.8659,0.0287
50105-3,BT-20,10020-101-1,Dasatinib,0.12,uM,LJP5,0.6189,0.0085,0.4476,0.0197
50105-3,BT-20,10020-101-1,Dasatinib,0.12,uM,LJP6,0.4412,0.0831,0.1947,0.1078
50105-3,BT-20,10127-101-1,Dovitinib,0.12,uM,LJP5,0.7575,0.0565,0.6518,0.0760
50105-3,BT-20,10069-101-1,Enzastaurin,0.12,uM,LJP5,1.0467,0.0287,1.0661,0.0412
50105-3,BT-20,10097-101-1,Erlotinib,0.12,uM,LJP5,0.9124,0.0254,0.8745,0.0346
50105-3,BT-20,10157-101-1,Foretinib,0.12,uM,LJP5,0.8541,0.0646,0.7849,0.0984
50105-3,BT-20,10040-101-1,R406,0.12,uM,LJP6,0.9593,0.0262,0.9399,0.0391
50105-3,BT-20,10047-101-1,Pictilisib,0.12,uM,LJP6,0.7414,0.0309,0.6259,0.0419
50105-3,BT-20,10098-101-1,Gefitinib,0.12,uM,LJP6,0.9531,0.0547,0.9347,0.0779
50105-3,BT-20,10108-101-1,Geldanamycin,0.12,uM,LJP5,0.3227,0.0223,0.0173,0.0505
50105-3,BT-20,10108-101-1,Geldanamycin,0.12,uM,LJP6,0.3088,0.0187,-0.0016,0.0319
50105-3,BT-20,10172-101-1,GSK1059615,0.12,uM,LJP5,0.7832,0.0163,0.6867,0.0177
50105-3,BT-20,10172-101-1,GSK1059615,0.12,uM,LJP6,0.6487,0.0872,0.4950,0.1202
50105-3,BT-20,10134-101-1,GSK1904529A,0.12,uM,LJP6,0.9012,0.0224,0.8582,0.0301
50105-3,BT-20,10146-101-1,Omipalisib,0.12,uM,LJP6,0.2393,0.0230,-0.1015,0.0237
50105-3,BT-20,10128-101-1,GSK 690693,0.12,uM,LJP5,0.8316,0.0341,0.7578,0.0450
50105-3,BT-20,10014-101-1,GW843682X,0.12,uM,LJP6,0.6865,0.0839,0.5506,0.1145
50105-3,BT-20,10015-101-1,HG-5-113-01,0.12,uM,LJP5,0.9182,0.0046,0.8815,0.0068
50105-3,BT-20,10016-101-1,HG-5-88-01,0.12,uM,LJP6,0.9192,0.0243,0.8817,0.0378
50105-3,BT-20,10023-103-1,Imatinib,0.12,uM,LJP6,0.9957,0.0312,0.9923,0.0460
50105-3,BT-20,10100-101-1,JNK-9L,0.12,uM,LJP6,0.8176,0.0481,0.7382,0.0662
50105-3,BT-20,10019-101-1,JW-7-24-1,0.12,uM,LJP6,0.8818,0.0383,0.8295,0.0535
50105-3,BT-20,10051-104-1,Lapatinib,0.12,uM,LJP6,0.9440,0.0396,0.9210,0.0560
50105-3,BT-20,10115-102-1,LDN-193189,0.12,uM,LJP5,0.9346,0.0196,0.9062,0.0268
50105-3,BT-20,10182-101-1,Linifanib,0.12,uM,LJP6,1.0384,0.0212,1.0567,0.0316
50105-3,BT-20,10135-101-1,Linsitinib,0.12,uM,LJP5,0.9322,0.0173,0.9017,0.0248
50105-3,BT-20,10479-102-1,Mitoxantrone,0.12,uM,LJP5,0.3199,0.0249,0.0138,0.0485
50105-3,BT-20,10479-102-1,Mitoxantrone,0.12,uM,LJP6,0.3539,0.0247,0.0648,0.0241
50105-3,BT-20,10057-102-1,MK2206,0.12,uM,LJP6,0.9004,0.0590,0.8588,0.0830
50105-3,BT-20,10018-101-1,Neratinib,0.12,uM,LJP5,0.7464,0.0300,0.6327,0.0425
50105-3,BT-20,10099-101-1,Nilotinib,0.12,uM,LJP5,1.0265,0.0239,1.0384,0.0341
50105-3,BT-20,10151-101-1,Nintedanib,0.12,uM,LJP6,0.9862,0.0440,0.9814,0.0625
50105-3,BT-20,10061-101-1,NU7441,0.12,uM,LJP5,1.0335,0.0220,1.0488,0.0315
50105-3,BT-20,10232-101-1,Dactolisib,0.12,uM,LJP5,0.3831,0.0460,0.1079,0.0547
50105-3,BT-20,10024-101-1,NVP-TAE684,0.12,uM,LJP6,0.8107,0.0879,0.7237,0.1270
50105-3,BT-20,10071-101-1,Palbociclib,0.12,uM,LJP6,0.6294,0.0658,0.4667,0.0858
50105-3,BT-20,10101-101-1,PD0325901,0.12,uM,LJP5,0.9002,0.0430,0.8576,0.0597
50105-3,BT-20,10101-101-1,PD0325901,0.12,uM,LJP6,0.8733,0.0188,0.8169,0.0250
50105-3,BT-20,10026-101-1,PD173074,0.12,uM,LJP6,1.0499,0.0250,1.0710,0.0356
50105-3,BT-20,10048-101-1,PD184352,0.12,uM,LJP5,1.0451,0.0042,1.0652,0.0056
50105-3,BT-20,10159-101-1,Pelitinib,0.12,uM,LJP5,0.9113,0.0491,0.8732,0.0684
50105-3,BT-20,10116-101-1,PF431396,0.12,uM,LJP5,0.8188,0.0164,0.7376,0.0224
50105-3,BT-20,10112-101-1,PF477736,0.12,uM,LJP5,0.9810,0.0175,0.9735,0.0252
50105-3,BT-20,10072-101-1,PF562271,0.12,uM,LJP6,0.8846,0.0126,0.8328,0.0180
50105-3,BT-20,10125-101-1,PHA-665752,0.12,uM,LJP5,1.0274,0.0252,1.0399,0.0359
50105-3,BT-20,10073-101-1,PHA-793887,0.12,uM,LJP6,0.5655,0.0306,0.3721,0.0328
50105-3,BT-20,10126-101-1,PI103,0.12,uM,LJP6,0.7674,0.1188,0.6691,0.1663
50105-3,BT-20,10049-101-1,PLX-4720,0.12,uM,LJP5,1.0058,0.0144,1.0087,0.0207
50105-3,BT-20,10075-101-1,QL-X-138,0.12,uM,LJP6,0.7685,0.0231,0.6652,0.0303
50105-3,BT-20,10077-101-1,QL-XII-47,0.12,uM,LJP6,0.6951,0.1301,0.5638,0.1801
50105-3,BT-20,10480-101-1,Radicicol,0.12,uM,LJP5,0.5624,0.0385,0.3639,0.0677
50105-3,BT-20,10480-101-1,Radicicol,0.12,uM,LJP6,0.5301,0.0415,0.3193,0.0595
50105-3,BT-20,10001-101-1,Seliciclib,0.12,uM,LJP5,1.0141,0.0027,1.0202,0.0036
50105-3,BT-20,10138-105-1,Ruxolitinib,0.12,uM,LJP5,0.9656,0.0105,0.9506,0.0146
50105-3,BT-20,10148-101-1,XL147,0.12,uM,LJP5,1.0643,0.0371,1.0914,0.0520
50105-3,BT-20,10032-101-1,Saracatinib,0.12,uM,LJP6,0.9353,0.0123,0.9065,0.0167
50105-3,BT-20,10056-101-1,Selumetinib,0.12,uM,LJP6,1.0001,0.0496,1.0027,0.0719
50105-3,BT-20,10052-101-1,Sirolimus,0.12,uM,LJP6,0.6176,0.0205,0.4458,0.0319
50105-3,BT-20,10008-101-1,Sorafenib,0.12,uM,LJP6,0.9243,0.0139,0.8910,0.0188
50105-3,BT-20,10119-101-1,SU11274,0.12,uM,LJP5,1.0546,0.0064,1.0795,0.0108
50105-3,BT-20,10141-101-1,Fedratinib,0.12,uM,LJP5,0.9904,0.0058,0.9860,0.0083
50105-3,BT-20,10171-101-1,TGX221,0.12,uM,LJP5,0.9772,0.0171,0.9676,0.0245
50105-3,BT-20,10079-101-1,Torin1,0.12,uM,LJP6,0.3697,0.0367,0.0884,0.0378
50105-3,BT-20,10080-101-1,Torin2,0.12,uM,LJP5,0.2736,0.0153,-0.0519,0.0086
50105-3,BT-20,10021-101-1,Tozasertib,0.12,uM,LJP5,0.3451,0.0191,0.0498,0.0473
50105-3,BT-20,10142-101-1,Trametinib,0.12,uM,LJP5,0.8317,0.0273,0.7576,0.0356
50105-3,BT-20,10111-101-1,TWS119,0.12,uM,LJP5,1.0093,0.0264,1.0149,0.0392
50105-3,BT-20,10068-101-1,Vemurafenib,0.12,uM,LJP5,0.9909,0.0242,0.9861,0.0352
50105-3,BT-20,10481-101-1,Withaferin A,0.12,uM,LJP5,1.0082,0.0627,1.0086,0.0908
50105-3,BT-20,10481-101-1,Withaferin A,0.12,uM,LJP6,0.9776,0.0227,0.9688,0.0325
50105-3,BT-20,10064-101-1,WYE-125132,0.12,uM,LJP6,0.4609,0.0510,0.2215,0.0597
50105-3,BT-20,10084-101-1,WZ3105,0.12,uM,LJP5,0.3416,0.0342,0.0443,0.0662
50105-3,BT-20,10086-101-1,XMD11-50,0.12,uM,LJP6,0.8604,0.0778,0.8016,0.1092
50105-3,BT-20,10149-102-1,Y39983,0.12,uM,LJP6,0.9888,0.0496,0.9867,0.0725
50105-3,BT-20,10109-101-1,YM 201636,0.12,uM,LJP5,1.0156,0.0157,1.0234,0.0234
50105-3,BT-20,10053-101-1,ZSTK474,0.12,uM,LJP6,0.8640,0.0790,0.8070,0.1111
50105-3,BT-20,10133-101-1,Afatinib,0.37,uM,LJP6,0.8339,0.0100,0.7593,0.0145
50105-3,BT-20,10035-101-1,Sigma A6730,0.37,uM,LJP5,0.9489,0.0123,0.9267,0.0166
50105-3,BT-20,10011-101-1,Alvocidib,0.37,uM,LJP6,0.1920,0.0186,-0.1709,0.0339
50105-3,BT-20,10004-101-1,AT-7519,0.37,uM,LJP6,0.4416,0.1635,0.2002,0.2245
50105-3,BT-20,10158-101-1,AZD 5438,0.37,uM,LJP6,0.5154,0.0876,0.3028,0.1147
50105-3,BT-20,10059-101-1,AZD-6482,0.37,uM,LJP5,0.8140,0.0322,0.7323,0.0421
50105-3,BT-20,10006-101-1,AZD7762,0.37,uM,LJP6,0.7008,0.0705,0.5695,0.0947
50105-3,BT-20,10007-101-1,AZD8055,0.37,uM,LJP6,0.3533,0.0311,0.0644,0.0290
50105-3,BT-20,10164-101-1,AZD8330,0.37,uM,LJP5,0.8068,0.0092,0.7205,0.0079
50105-3,BT-20,10067-101-1,Barasertib,0.37,uM,LJP5,0.5494,0.0366,0.3456,0.0633
50105-3,BT-20,10041-101-1,BI-2536,0.37,uM,LJP6,0.2166,0.0357,-0.1368,0.0705
50105-3,BT-20,10028-102-1,BMS345541,0.37,uM,LJP6,0.9420,0.0430,0.9171,0.0604
50105-3,BT-20,10132-101-1,SNS-032,0.37,uM,LJP6,0.1968,0.0105,-0.1641,0.0298
50105-3,BT-20,10234-101-1,GDC-0980,0.37,uM,LJP5,0.2743,0.0220,-0.0508,0.0211
50105-3,BT-20,10122-101-1,NVP-AEW541,0.37,uM,LJP5,1.0449,0.0115,1.0656,0.0179
50105-3,BT-20,10046-101-1,SB590885,0.37,uM,LJP5,1.0214,0.0183,1.0311,0.0261
