Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Replicate,Assay Well,Timepoint,Timepoint Unit,Total Cell Count Before Treatment,Total Cell Count After Treatment,Total Control Cell Count,Relative Cell Count,Relative Growth Rate After Treatment
50105-3,BT-20,10158-101-1,AZD 5438,0.04,uM,LJP6,3,J06,72,hr,1097,3107,3769,0.8242,0.7521
50105-3,BT-20,10059-101-1,AZD-6482,0.04,uM,LJP5,1,I06,72,hr,1097,3349,3769,0.8884,0.8426
50105-3,BT-20,10059-101-1,AZD-6482,0.04,uM,LJP5,2,I06,72,hr,1097,3757,3769,0.9967,0.9953
50105-3,BT-20,10059-101-1,AZD-6482,0.04,uM,LJP5,3,I06,72,hr,1097,3868,3769,1.0261,1.0368
50105-3,BT-20,10006-101-1,AZD7762,0.04,uM,LJP6,1,L06,72,hr,1097,3505,3769,0.9298,0.9010
50105-3,BT-20,10006-101-1,AZD7762,0.04,uM,LJP6,2,L06,72,hr,1097,3587,3769,0.9516,0.9317
50105-3,BT-20,10006-101-1,AZD7762,0.04,uM,LJP6,3,L06,72,hr,1097,3937,3769,1.0444,1.0627
50105-3,BT-20,10007-101-1,AZD8055,0.04,uM,LJP6,1,A12,72,hr,1097,1365,3769,0.3621,0.1002
50105-3,BT-20,10007-101-1,AZD8055,0.04,uM,LJP6,2,A12,72,hr,1097,1541,3769,0.4088,0.1661
50105-3,BT-20,10007-101-1,AZD8055,0.04,uM,LJP6,3,A12,72,hr,1097,1363,3769,0.3616,0.0994
50105-3,BT-20,10164-101-1,AZD8330,0.04,uM,LJP5,1,G24,72,hr,1097,2849,3769,0.7558,0.6555
50105-3,BT-20,10164-101-1,AZD8330,0.04,uM,LJP5,2,G24,72,hr,1097,3012,3769,0.7990,0.7165
50105-3,BT-20,10164-101-1,AZD8330,0.04,uM,LJP5,3,G24,72,hr,1097,2766,3769,0.7338,0.6245
50105-3,BT-20,10067-101-1,Barasertib,0.04,uM,LJP5,1,D12,72,hr,1097,2556,3769,0.6781,0.5459
50105-3,BT-20,10067-101-1,Barasertib,0.04,uM,LJP5,2,D12,72,hr,1097,3022,3769,0.8017,0.7203
50105-3,BT-20,10067-101-1,Barasertib,0.04,uM,LJP5,3,D12,72,hr,1097,3176,3769,0.8425,0.7779
50105-3,BT-20,10041-101-1,BI-2536,0.04,uM,LJP6,1,D18,72,hr,1097,846,3769,0.2244,-0.0940
50105-3,BT-20,10041-101-1,BI-2536,0.04,uM,LJP6,2,D18,72,hr,1097,858,3769,0.2276,-0.0895
50105-3,BT-20,10041-101-1,BI-2536,0.04,uM,LJP6,3,D18,72,hr,1097,924,3769,0.2451,-0.0648
50105-3,BT-20,10028-102-1,BMS345541,0.04,uM,LJP6,1,D06,72,hr,1097,3552,3769,0.9423,0.9186
50105-3,BT-20,10028-102-1,BMS345541,0.04,uM,LJP6,2,D06,72,hr,1097,3691,3769,0.9792,0.9706
50105-3,BT-20,10028-102-1,BMS345541,0.04,uM,LJP6,3,D06,72,hr,1097,3562,3769,0.9449,0.9223
50105-3,BT-20,10132-101-1,SNS-032,0.04,uM,LJP6,1,H18,72,hr,1097,3086,3769,0.8187,0.7442
50105-3,BT-20,10132-101-1,SNS-032,0.04,uM,LJP6,2,H18,72,hr,1097,3492,3769,0.9264,0.8961
50105-3,BT-20,10132-101-1,SNS-032,0.04,uM,LJP6,3,H18,72,hr,1097,3194,3769,0.8473,0.7846
50105-3,BT-20,10234-101-1,GDC-0980,0.04,uM,LJP5,1,K24,72,hr,1097,1389,3769,0.3685,0.1092
50105-3,BT-20,10234-101-1,GDC-0980,0.04,uM,LJP5,2,K24,72,hr,1097,1267,3769,0.3361,0.0635
50105-3,BT-20,10234-101-1,GDC-0980,0.04,uM,LJP5,3,K24,72,hr,1097,1550,3769,0.4112,0.1694
50105-3,BT-20,10122-101-1,NVP-AEW541,0.04,uM,LJP5,1,E18,72,hr,1097,3818,3769,1.0129,1.0181
50105-3,BT-20,10122-101-1,NVP-AEW541,0.04,uM,LJP5,2,E18,72,hr,1097,3548,3769,0.9412,0.9171
50105-3,BT-20,10122-101-1,NVP-AEW541,0.04,uM,LJP5,3,E18,72,hr,1097,4136,3769,1.0972,1.1371
50105-3,BT-20,10046-101-1,SB590885,0.04,uM,LJP5,1,L18,72,hr,1097,3995,3769,1.0598,1.0844
50105-3,BT-20,10046-101-1,SB590885,0.04,uM,LJP5,2,L18,72,hr,1097,4076,3769,1.0813,1.1147
50105-3,BT-20,10046-101-1,SB590885,0.04,uM,LJP5,3,L18,72,hr,1097,3684,3769,0.9773,0.9680
50105-3,BT-20,10190-101-1,PIK-93,0.04,uM,LJP5,1,K18,72,hr,1097,4020,3769,1.0664,1.0937
50105-3,BT-20,10190-101-1,PIK-93,0.04,uM,LJP5,2,K18,72,hr,1097,3871,3769,1.0269,1.0380
50105-3,BT-20,10190-101-1,PIK-93,0.04,uM,LJP5,3,K18,72,hr,1097,3796,3769,1.0070,1.0099
50105-3,BT-20,10031-101-1,KIN001-043,0.04,uM,LJP6,1,C12,72,hr,1097,3613,3769,0.9585,0.9414
50105-3,BT-20,10031-101-1,KIN001-043,0.04,uM,LJP6,2,C12,72,hr,1097,3529,3769,0.9362,0.9100
50105-3,BT-20,10031-101-1,KIN001-043,0.04,uM,LJP6,3,C12,72,hr,1097,3380,3769,0.8967,0.8542
50105-3,BT-20,10233-101-1,Alpelisib,0.04,uM,LJP5,1,N06,72,hr,1097,4305,3769,1.1420,1.2004
50105-3,BT-20,10233-101-1,Alpelisib,0.04,uM,LJP5,2,N06,72,hr,1097,4307,3769,1.1426,1.2011
50105-3,BT-20,10233-101-1,Alpelisib,0.04,uM,LJP5,3,N06,72,hr,1097,3559,3769,0.9442,0.9212
50105-3,BT-20,10161-101-1,Luminespib,0.04,uM,LJP5,1,H18,72,hr,1097,1124,3769,0.2982,0.0100
50105-3,BT-20,10161-101-1,Luminespib,0.04,uM,LJP5,2,H18,72,hr,1097,1229,3769,0.3260,0.0493
50105-3,BT-20,10161-101-1,Luminespib,0.04,uM,LJP5,3,H18,72,hr,1097,1087,3769,0.2884,-0.0038
50105-3,BT-20,10045-101-1,A443654,0.04,uM,LJP6,1,I24,72,hr,1097,2497,3769,0.6624,0.5238
50105-3,BT-20,10045-101-1,A443654,0.04,uM,LJP6,2,I24,72,hr,1097,2471,3769,0.6555,0.5141
50105-3,BT-20,10045-101-1,A443654,0.04,uM,LJP6,3,I24,72,hr,1097,2379,3769,0.6311,0.4796
50105-3,BT-20,10063-102-1,OSI-027,0.04,uM,LJP6,1,E12,72,hr,1097,3640,3769,0.9656,0.9515
50105-3,BT-20,10063-102-1,OSI-027,0.04,uM,LJP6,2,E12,72,hr,1097,3812,3769,1.0113,1.0159
50105-3,BT-20,10063-102-1,OSI-027,0.04,uM,LJP6,3,E12,72,hr,1097,3117,3769,0.8269,0.7558
50105-3,BT-20,10087-101-1,XMD11-85h,0.04,uM,LJP6,1,P24,72,hr,1097,2887,3769,0.7659,0.6697
50105-3,BT-20,10087-101-1,XMD11-85h,0.04,uM,LJP6,2,P24,72,hr,1097,2594,3769,0.6882,0.5601
50105-3,BT-20,10087-101-1,XMD11-85h,0.04,uM,LJP6,3,P24,72,hr,1097,2869,3769,0.7611,0.6630
50105-3,BT-20,10017-101-1,HG-6-64-01,0.04,uM,LJP6,1,M06,72,hr,1097,3216,3769,0.8532,0.7929
50105-3,BT-20,10017-101-1,HG-6-64-01,0.04,uM,LJP6,2,M06,72,hr,1097,3276,3769,0.8691,0.8153
50105-3,BT-20,10017-101-1,HG-6-64-01,0.04,uM,LJP6,3,M06,72,hr,1097,3516,3769,0.9327,0.9051
50105-3,BT-20,10039-101-1,WH-4-025,0.04,uM,LJP5,1,O12,72,hr,1097,3814,3769,1.0118,1.0166
50105-3,BT-20,10039-101-1,WH-4-025,0.04,uM,LJP5,2,O12,72,hr,1097,4109,3769,1.0901,1.1270
50105-3,BT-20,10039-101-1,WH-4-025,0.04,uM,LJP5,3,O12,72,hr,1097,3876,3769,1.0282,1.0398
50105-3,BT-20,10082-101-1,WZ-4-145,0.04,uM,LJP6,1,J24,72,hr,1097,3127,3769,0.8295,0.7596
50105-3,BT-20,10082-101-1,WZ-4-145,0.04,uM,LJP6,2,J24,72,hr,1097,2808,3769,0.7449,0.6402
50105-3,BT-20,10082-101-1,WZ-4-145,0.04,uM,LJP6,3,J24,72,hr,1097,2596,3769,0.6887,0.5609
50105-3,BT-20,10091-101-1,XMD16-144,0.04,uM,LJP5,1,M12,72,hr,1097,2723,3769,0.7224,0.6084
50105-3,BT-20,10091-101-1,XMD16-144,0.04,uM,LJP5,2,M12,72,hr,1097,2832,3769,0.7513,0.6492
50105-3,BT-20,10091-101-1,XMD16-144,0.04,uM,LJP5,3,M12,72,hr,1097,2436,3769,0.6462,0.5010
50105-3,BT-20,10177-101-1,Brivanib,0.04,uM,LJP5,1,P18,72,hr,1097,3511,3769,0.9314,0.9033
50105-3,BT-20,10177-101-1,Brivanib,0.04,uM,LJP5,2,P18,72,hr,1097,3682,3769,0.9768,0.9672
50105-3,BT-20,10177-101-1,Brivanib,0.04,uM,LJP5,3,P18,72,hr,1097,3535,3769,0.9378,0.9122
50105-3,BT-20,10147-101-1,Buparlisib,0.04,uM,LJP5,1,H06,72,hr,1097,3693,3769,0.9797,0.9714
50105-3,BT-20,10147-101-1,Buparlisib,0.04,uM,LJP5,2,H06,72,hr,1097,4034,3769,1.0702,1.0990
50105-3,BT-20,10147-101-1,Buparlisib,0.04,uM,LJP5,3,H06,72,hr,1097,3605,3769,0.9564,0.9384
50105-3,BT-20,10055-101-1,BX-912,0.04,uM,LJP5,1,L24,72,hr,1097,3358,3769,0.8908,0.8460
50105-3,BT-20,10055-101-1,BX-912,0.04,uM,LJP5,2,L24,72,hr,1097,3572,3769,0.9476,0.9261
50105-3,BT-20,10055-101-1,BX-912,0.04,uM,LJP5,3,L24,72,hr,1097,3507,3769,0.9304,0.9018
50105-3,BT-20,10120-102-1,Canertinib,0.04,uM,LJP6,1,H12,72,hr,1097,3415,3769,0.9060,0.8673
50105-3,BT-20,10120-102-1,Canertinib,0.04,uM,LJP6,2,H12,72,hr,1097,3676,3769,0.9752,0.9650
50105-3,BT-20,10120-102-1,Canertinib,0.04,uM,LJP6,3,H12,72,hr,1097,3390,3769,0.8993,0.8580
50105-3,BT-20,10117-101-1,Celastrol,0.04,uM,LJP6,1,G12,72,hr,1097,4214,3769,1.1179,1.1663
50105-3,BT-20,10117-101-1,Celastrol,0.04,uM,LJP6,2,G12,72,hr,1097,3869,3769,1.0264,1.0372
50105-3,BT-20,10117-101-1,Celastrol,0.04,uM,LJP6,3,G12,72,hr,1097,3835,3769,1.0174,1.0245
50105-3,BT-20,10025-101-1,CGP60474,0.04,uM,LJP5,1,F06,72,hr,1097,3146,3769,0.8346,0.7667
50105-3,BT-20,10025-101-1,CGP60474,0.04,uM,LJP5,2,F06,72,hr,1097,3013,3769,0.7993,0.7169
50105-3,BT-20,10025-101-1,CGP60474,0.04,uM,LJP5,3,F06,72,hr,1097,3002,3769,0.7964,0.7128
50105-3,BT-20,10025-101-1,CGP60474,0.04,uM,LJP6,1,G06,72,hr,1097,679,3769,0.1801,-0.1565
50105-3,BT-20,10025-101-1,CGP60474,0.04,uM,LJP6,2,G06,72,hr,1097,781,3769,0.2072,-0.1184
50105-3,BT-20,10025-101-1,CGP60474,0.04,uM,LJP6,3,G06,72,hr,1097,712,3769,0.1889,-0.1442
50105-3,BT-20,10180-101-1,CHIR-99021,0.04,uM,LJP6,1,P18,72,hr,1097,2953,3769,0.7834,0.6944
50105-3,BT-20,10180-101-1,CHIR-99021,0.04,uM,LJP6,2,P18,72,hr,1097,3323,3769,0.8815,0.8329
50105-3,BT-20,10180-101-1,CHIR-99021,0.04,uM,LJP6,3,P18,72,hr,1097,3301,3769,0.8757,0.8247
50105-3,BT-20,10010-101-1,CP724714,0.04,uM,LJP5,1,A12,72,hr,1097,3642,3769,0.9662,0.9523
50105-3,BT-20,10010-101-1,CP724714,0.04,uM,LJP5,2,A12,72,hr,1097,3518,3769,0.9333,0.9059
50105-3,BT-20,10010-101-1,CP724714,0.04,uM,LJP5,3,A12,72,hr,1097,3746,3769,0.9938,0.9912
50105-3,BT-20,10009-101-1,CP466722,0.04,uM,LJP5,1,I12,72,hr,1097,4205,3769,1.1155,1.1630
50105-3,BT-20,10009-101-1,CP466722,0.04,uM,LJP5,2,I12,72,hr,1097,4118,3769,1.0924,1.1304
50105-3,BT-20,10009-101-1,CP466722,0.04,uM,LJP5,3,I12,72,hr,1097,4015,3769,1.0651,1.0919
50105-3,BT-20,10027-101-1,Crizotinib,0.04,uM,LJP5,1,A24,72,hr,1097,3169,3769,0.8407,0.7753
50105-3,BT-20,10027-101-1,Crizotinib,0.04,uM,LJP5,2,A24,72,hr,1097,3345,3769,0.8874,0.8411
50105-3,BT-20,10027-101-1,Crizotinib,0.04,uM,LJP5,3,A24,72,hr,1097,3506,3769,0.9301,0.9014
50105-3,BT-20,10140-101-1,Momelotinib,0.04,uM,LJP5,1,P12,72,hr,1097,3291,3769,0.8731,0.8209
50105-3,BT-20,10140-101-1,Momelotinib,0.04,uM,LJP5,2,P12,72,hr,1097,3966,3769,1.0521,1.0735
50105-3,BT-20,10140-101-1,Momelotinib,0.04,uM,LJP5,3,P12,72,hr,1097,3721,3769,0.9871,0.9818
50105-3,BT-20,10020-101-1,Dasatinib,0.04,uM,LJP5,1,D06,72,hr,1097,3074,3769,0.8155,0.7397
50105-3,BT-20,10020-101-1,Dasatinib,0.04,uM,LJP5,2,D06,72,hr,1097,3202,3769,0.8494,0.7876
50105-3,BT-20,10020-101-1,Dasatinib,0.04,uM,LJP5,3,D06,72,hr,1097,2951,3769,0.7829,0.6937
50105-3,BT-20,10020-101-1,Dasatinib,0.04,uM,LJP6,1,I06,72,hr,1097,1559,3769,0.4136,0.1728
50105-3,BT-20,10020-101-1,Dasatinib,0.04,uM,LJP6,2,I06,72,hr,1097,1550,3769,0.4112,0.1694
50105-3,BT-20,10020-101-1,Dasatinib,0.04,uM,LJP6,3,I06,72,hr,1097,1704,3769,0.4520,0.2271
50105-3,BT-20,10127-101-1,Dovitinib,0.04,uM,LJP5,1,E24,72,hr,1097,3454,3769,0.9163,0.8819
50105-3,BT-20,10127-101-1,Dovitinib,0.04,uM,LJP5,2,E24,72,hr,1097,3307,3769,0.8773,0.8269
50105-3,BT-20,10127-101-1,Dovitinib,0.04,uM,LJP5,3,E24,72,hr,1097,3581,3769,0.9500,0.9295
50105-3,BT-20,10069-101-1,Enzastaurin,0.04,uM,LJP5,1,D18,72,hr,1097,3729,3769,0.9893,0.9848
50105-3,BT-20,10069-101-1,Enzastaurin,0.04,uM,LJP5,2,D18,72,hr,1097,4053,3769,1.0752,1.1061
50105-3,BT-20,10069-101-1,Enzastaurin,0.04,uM,LJP5,3,D18,72,hr,1097,4031,3769,1.0694,1.0978
50105-3,BT-20,10097-101-1,Erlotinib,0.04,uM,LJP5,1,M24,72,hr,1097,3122,3769,0.8282,0.7577
50105-3,BT-20,10097-101-1,Erlotinib,0.04,uM,LJP5,2,M24,72,hr,1097,3202,3769,0.8494,0.7876
50105-3,BT-20,10097-101-1,Erlotinib,0.04,uM,LJP5,3,M24,72,hr,1097,3808,3769,1.0102,1.0144
50105-3,BT-20,10157-101-1,Foretinib,0.04,uM,LJP5,1,H12,72,hr,1097,3945,3769,1.0465,1.0657
50105-3,BT-20,10157-101-1,Foretinib,0.04,uM,LJP5,2,H12,72,hr,1097,3950,3769,1.0479,1.0675
50105-3,BT-20,10157-101-1,Foretinib,0.04,uM,LJP5,3,H12,72,hr,1097,4326,3769,1.1476,1.2082
50105-3,BT-20,10040-101-1,R406,0.04,uM,LJP6,1,C18,72,hr,1097,3634,3769,0.9640,0.9493
50105-3,BT-20,10040-101-1,R406,0.04,uM,LJP6,2,C18,72,hr,1097,3540,3769,0.9391,0.9141
50105-3,BT-20,10040-101-1,R406,0.04,uM,LJP6,3,C18,72,hr,1097,3174,3769,0.8420,0.7771
50105-3,BT-20,10047-101-1,Pictilisib,0.04,uM,LJP6,1,D24,72,hr,1097,2650,3769,0.7030,0.5811
50105-3,BT-20,10047-101-1,Pictilisib,0.04,uM,LJP6,2,D24,72,hr,1097,2604,3769,0.6908,0.5638
50105-3,BT-20,10047-101-1,Pictilisib,0.04,uM,LJP6,3,D24,72,hr,1097,2976,3769,0.7895,0.7031
50105-3,BT-20,10098-101-1,Gefitinib,0.04,uM,LJP6,1,N12,72,hr,1097,3552,3769,0.9423,0.9186
50105-3,BT-20,10098-101-1,Gefitinib,0.04,uM,LJP6,2,N12,72,hr,1097,3468,3769,0.9200,0.8872
50105-3,BT-20,10098-101-1,Gefitinib,0.04,uM,LJP6,3,N12,72,hr,1097,3549,3769,0.9415,0.9175
50105-3,BT-20,10108-101-1,Geldanamycin,0.04,uM,LJP5,1,O06,72,hr,1097,1378,3769,0.3656,0.1051
50105-3,BT-20,10108-101-1,Geldanamycin,0.04,uM,LJP5,2,O06,72,hr,1097,1835,3769,0.4868,0.2761
50105-3,BT-20,10108-101-1,Geldanamycin,0.04,uM,LJP5,3,O06,72,hr,1097,1909,3769,0.5064,0.3038
50105-3,BT-20,10108-101-1,Geldanamycin,0.04,uM,LJP6,1,O06,72,hr,1097,1234,3769,0.3274,0.0512
50105-3,BT-20,10108-101-1,Geldanamycin,0.04,uM,LJP6,2,O06,72,hr,1097,1261,3769,0.3345,0.0613
50105-3,BT-20,10108-101-1,Geldanamycin,0.04,uM,LJP6,3,O06,72,hr,1097,1345,3769,0.3568,0.0927
50105-3,BT-20,10172-101-1,GSK1059615,0.04,uM,LJP5,1,E06,72,hr,1097,3280,3769,0.8701,0.8168
50105-3,BT-20,10172-101-1,GSK1059615,0.04,uM,LJP5,2,E06,72,hr,1097,3795,3769,1.0068,1.0095
50105-3,BT-20,10172-101-1,GSK1059615,0.04,uM,LJP5,3,E06,72,hr,1097,3838,3769,1.0182,1.0256
50105-3,BT-20,10172-101-1,GSK1059615,0.04,uM,LJP6,1,C06,72,hr,1097,2996,3769,0.7948,0.7105
50105-3,BT-20,10172-101-1,GSK1059615,0.04,uM,LJP6,2,C06,72,hr,1097,3279,3769,0.8699,0.8164
50105-3,BT-20,10172-101-1,GSK1059615,0.04,uM,LJP6,3,C06,72,hr,1097,3040,3769,0.8065,0.7270
50105-3,BT-20,10134-101-1,GSK1904529A,0.04,uM,LJP6,1,H24,72,hr,1097,3142,3769,0.8335,0.7652
50105-3,BT-20,10134-101-1,GSK1904529A,0.04,uM,LJP6,2,H24,72,hr,1097,2961,3769,0.7855,0.6974
50105-3,BT-20,10134-101-1,GSK1904529A,0.04,uM,LJP6,3,H24,72,hr,1097,3238,3769,0.8590,0.8011
50105-3,BT-20,10146-101-1,Omipalisib,0.04,uM,LJP6,1,N06,72,hr,1097,740,3769,0.1963,-0.1337
50105-3,BT-20,10146-101-1,Omipalisib,0.04,uM,LJP6,2,N06,72,hr,1097,818,3769,0.2170,-0.1045
50105-3,BT-20,10146-101-1,Omipalisib,0.04,uM,LJP6,3,N06,72,hr,1097,776,3769,0.2059,-0.1202
50105-3,BT-20,10128-101-1,GSK 690693,0.04,uM,LJP5,1,F24,72,hr,1097,3428,3769,0.9094,0.8722
50105-3,BT-20,10128-101-1,GSK 690693,0.04,uM,LJP5,2,F24,72,hr,1097,3097,3769,0.8216,0.7483
50105-3,BT-20,10128-101-1,GSK 690693,0.04,uM,LJP5,3,F24,72,hr,1097,3193,3769,0.8471,0.7843
50105-3,BT-20,10014-101-1,GW843682X,0.04,uM,LJP6,1,B18,72,hr,1097,3153,3769,0.8364,0.7693
50105-3,BT-20,10014-101-1,GW843682X,0.04,uM,LJP6,2,B18,72,hr,1097,3204,3769,0.8500,0.7884
50105-3,BT-20,10014-101-1,GW843682X,0.04,uM,LJP6,3,B18,72,hr,1097,2663,3769,0.7065,0.5859
50105-3,BT-20,10015-101-1,HG-5-113-01,0.04,uM,LJP5,1,B12,72,hr,1097,3655,3769,0.9696,0.9571
50105-3,BT-20,10015-101-1,HG-5-113-01,0.04,uM,LJP5,2,B12,72,hr,1097,3839,3769,1.0184,1.0260
50105-3,BT-20,10015-101-1,HG-5-113-01,0.04,uM,LJP5,3,B12,72,hr,1097,4058,3769,1.0765,1.1079
50105-3,BT-20,10016-101-1,HG-5-88-01,0.04,uM,LJP6,1,A24,72,hr,1097,3078,3769,0.8166,0.7412
50105-3,BT-20,10016-101-1,HG-5-88-01,0.04,uM,LJP6,2,A24,72,hr,1097,2683,3769,0.7118,0.5934
50105-3,BT-20,10016-101-1,HG-5-88-01,0.04,uM,LJP6,3,A24,72,hr,1097,2954,3769,0.7837,0.6948
50105-3,BT-20,10023-103-1,Imatinib,0.04,uM,LJP6,1,N18,72,hr,1097,3763,3769,0.9983,0.9976
50105-3,BT-20,10023-103-1,Imatinib,0.04,uM,LJP6,2,N18,72,hr,1097,3624,3769,0.9614,0.9455
50105-3,BT-20,10023-103-1,Imatinib,0.04,uM,LJP6,3,N18,72,hr,1097,3858,3769,1.0235,1.0331
50105-3,BT-20,10100-101-1,JNK-9L,0.04,uM,LJP6,1,K24,72,hr,1097,3125,3769,0.8290,0.7588
50105-3,BT-20,10100-101-1,JNK-9L,0.04,uM,LJP6,2,K24,72,hr,1097,2724,3769,0.7226,0.6088
50105-3,BT-20,10100-101-1,JNK-9L,0.04,uM,LJP6,3,K24,72,hr,1097,3114,3769,0.8261,0.7547
50105-3,BT-20,10019-101-1,JW-7-24-1,0.04,uM,LJP6,1,B24,72,hr,1097,3130,3769,0.8303,0.7607
50105-3,BT-20,10019-101-1,JW-7-24-1,0.04,uM,LJP6,2,B24,72,hr,1097,2847,3769,0.7553,0.6548
50105-3,BT-20,10019-101-1,JW-7-24-1,0.04,uM,LJP6,3,B24,72,hr,1097,2914,3769,0.7730,0.6799
50105-3,BT-20,10051-104-1,Lapatinib,0.04,uM,LJP6,1,M24,72,hr,1097,3228,3769,0.8563,0.7974
50105-3,BT-20,10051-104-1,Lapatinib,0.04,uM,LJP6,2,M24,72,hr,1097,2936,3769,0.7789,0.6881
50105-3,BT-20,10051-104-1,Lapatinib,0.04,uM,LJP6,3,M24,72,hr,1097,2584,3769,0.6855,0.5564
50105-3,BT-20,10115-102-1,LDN-193189,0.04,uM,LJP5,1,G06,72,hr,1097,3580,3769,0.9497,0.9291
50105-3,BT-20,10115-102-1,LDN-193189,0.04,uM,LJP5,2,G06,72,hr,1097,4047,3769,1.0736,1.1038
50105-3,BT-20,10115-102-1,LDN-193189,0.04,uM,LJP5,3,G06,72,hr,1097,3794,3769,1.0065,1.0092
50105-3,BT-20,10182-101-1,Linifanib,0.04,uM,LJP6,1,J12,72,hr,1097,4076,3769,1.0813,1.1147
50105-3,BT-20,10182-101-1,Linifanib,0.04,uM,LJP6,2,J12,72,hr,1097,3969,3769,1.0529,1.0746
50105-3,BT-20,10182-101-1,Linifanib,0.04,uM,LJP6,3,J12,72,hr,1097,3807,3769,1.0099,1.0140
50105-3,BT-20,10135-101-1,Linsitinib,0.04,uM,LJP5,1,O24,72,hr,1097,3134,3769,0.8314,0.7622
50105-3,BT-20,10135-101-1,Linsitinib,0.04,uM,LJP5,2,O24,72,hr,1097,3674,3769,0.9747,0.9643
50105-3,BT-20,10135-101-1,Linsitinib,0.04,uM,LJP5,3,O24,72,hr,1097,3501,3769,0.9288,0.8995
50105-3,BT-20,10479-102-1,Mitoxantrone,0.04,uM,LJP5,1,C24,72,hr,1097,1374,3769,0.3645,0.1036
50105-3,BT-20,10479-102-1,Mitoxantrone,0.04,uM,LJP5,2,C24,72,hr,1097,1438,3769,0.3815,0.1275
50105-3,BT-20,10479-102-1,Mitoxantrone,0.04,uM,LJP5,3,C24,72,hr,1097,1567,3769,0.4157,0.1758
50105-3,BT-20,10479-102-1,Mitoxantrone,0.04,uM,LJP6,1,C24,72,hr,1097,1587,3769,0.4210,0.1833
50105-3,BT-20,10479-102-1,Mitoxantrone,0.04,uM,LJP6,2,C24,72,hr,1097,1243,3769,0.3298,0.0545
50105-3,BT-20,10479-102-1,Mitoxantrone,0.04,uM,LJP6,3,C24,72,hr,1097,1382,3769,0.3666,0.1066
50105-3,BT-20,10057-102-1,MK2206,0.04,uM,LJP6,1,F06,72,hr,1097,3405,3769,0.9033,0.8636
50105-3,BT-20,10057-102-1,MK2206,0.04,uM,LJP6,2,F06,72,hr,1097,3164,3769,0.8394,0.7734
50105-3,BT-20,10057-102-1,MK2206,0.04,uM,LJP6,3,F06,72,hr,1097,3308,3769,0.8776,0.8273
50105-3,BT-20,10018-101-1,Neratinib,0.04,uM,LJP5,1,A18,72,hr,1097,2621,3769,0.6953,0.5702
50105-3,BT-20,10018-101-1,Neratinib,0.04,uM,LJP5,2,A18,72,hr,1097,2956,3769,0.7842,0.6956
50105-3,BT-20,10018-101-1,Neratinib,0.04,uM,LJP5,3,A18,72,hr,1097,3103,3769,0.8232,0.7506
50105-3,BT-20,10099-101-1,Nilotinib,0.04,uM,LJP5,1,N18,72,hr,1097,4017,3769,1.0656,1.0926
50105-3,BT-20,10099-101-1,Nilotinib,0.04,uM,LJP5,2,N18,72,hr,1097,4097,3769,1.0869,1.1225
50105-3,BT-20,10099-101-1,Nilotinib,0.04,uM,LJP5,3,N18,72,hr,1097,3777,3769,1.0020,1.0028
50105-3,BT-20,10151-101-1,Nintedanib,0.04,uM,LJP6,1,H06,72,hr,1097,3683,3769,0.9770,0.9676
