Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol 1 Concentration,Small Mol 1 Conc Unit,Small Molecule 2 HMS LINCS ID,Small Molecule 2 Name,Small Mol 2 Concentration,Small Mol 2 Conc Unit,Biological Replicate,Technical Replicate,Total Cell Count Before Treatment,Total Cell Count After Treatment,Total Control Cell Count,Normalized Growth Rate Inhibition Value
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10051-104-1,Lapatinib,1.1111,uM,1,1,2751,4673,4757,0.9550
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10018-101-1,Neratinib,1.9245,uM,1,1,2751,1135,4757,-0.6739
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10032-101-1,Saracatinib,0.6415,uM,1,1,2751,2652,4757,-0.0454
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10051-104-1,Lapatinib,1.1111,uM,1,1,2751,5093,4757,1.1800
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10032-101-1,Saracatinib,3.3333,uM,1,1,2751,2056,4757,-0.3083
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10056-101-1,Selumetinib,3.3333,uM,1,1,2751,980,4757,-0.7292
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10032-101-1,Saracatinib,1.9245,uM,1,1,2751,1771,4757,-0.4273
50105-3,BT-20,,,0,uM,,,0,uM,1,1,2751,4505,4757,0.8665
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10142-101-1,Trametinib,1.1111,uM,1,1,2751,2059,4757,-0.3070
50105-3,BT-20,10056-101-1,Selumetinib,1.1111,uM,,,0,uM,1,1,2751,3394,4757,0.3044
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10051-104-1,Lapatinib,10,uM,1,1,2751,2010,4757,-0.3278
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10056-101-1,Selumetinib,1.1111,uM,1,1,2751,3170,4757,0.1964
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10051-104-1,Lapatinib,3.3333,uM,1,1,2751,4968,4757,1.1125
50105-3,BT-20,,,0,uM,,,0,uM,1,1,2751,4720,4757,0.9799
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10032-101-1,Saracatinib,1.9245,uM,1,1,2751,1910,4757,-0.3698
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10024-101-1,NVP-TAE684,3.3333,uM,1,1,2751,1408,4757,-0.5716
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10018-101-1,Neratinib,0.6415,uM,1,1,2751,1187,4757,-0.6548
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10142-101-1,Trametinib,1.1111,uM,1,1,2751,3074,4757,0.1508
50105-3,BT-20,,,0,uM,,,0,uM,1,1,2751,5196,4757,1.2359
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10056-101-1,Selumetinib,0.1235,uM,1,1,2751,412,4757,-0.9095
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10056-101-1,Selumetinib,3.3333,uM,1,1,2751,2000,4757,-0.3320
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10142-101-1,Trametinib,1.1111,uM,1,1,2751,1625,4757,-0.4864
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10018-101-1,Neratinib,0.3704,uM,1,1,2751,3233,4757,0.2266
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10018-101-1,Neratinib,0.3704,uM,1,1,2751,1070,4757,-0.6973
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10032-101-1,Saracatinib,0.3704,uM,1,1,2751,4001,4757,0.6063
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10032-101-1,Saracatinib,1.9245,uM,1,1,2751,1448,4757,-0.5561
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10018-101-1,Neratinib,1.1111,uM,1,1,2751,1239,4757,-0.6356
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10056-101-1,Selumetinib,0.3704,uM,1,1,2751,1321,4757,-0.6048
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10142-101-1,Trametinib,1.1111,uM,1,1,2751,1080,4757,-0.6937
50105-3,BT-20,10032-101-1,Saracatinib,1.9245,uM,,,0,uM,1,1,2751,4064,4757,0.6384
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10018-101-1,Neratinib,1.1111,uM,1,1,2751,913,4757,-0.7524
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10051-104-1,Lapatinib,1.1111,uM,1,1,2751,1007,4757,-0.7197
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10142-101-1,Trametinib,0.1235,uM,1,1,2751,346,4757,-0.9275
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10032-101-1,Saracatinib,1.1111,uM,1,1,2751,954,4757,-0.7382
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10032-101-1,Saracatinib,0.3704,uM,1,1,2751,1362,4757,-0.5892
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10024-101-1,NVP-TAE684,3.3333,uM,1,1,2751,307,4757,-0.9377
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10142-101-1,Trametinib,3.3333,uM,1,1,2751,2961,4757,0.0975
50105-3,BT-20,10056-101-1,Selumetinib,0.1235,uM,,,0,uM,1,1,2751,3973,4757,0.5921
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10018-101-1,Neratinib,0.2138,uM,1,1,2751,917,4757,-0.7510
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,,,0,uM,1,1,2751,4441,4757,0.8330
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,,,0,uM,1,1,2751,5619,4757,1.4687
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10142-101-1,Trametinib,0.1235,uM,1,1,2751,867,4757,-0.7681
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10018-101-1,Neratinib,1.9245,uM,1,1,2751,1575,4757,-0.5063
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10051-104-1,Lapatinib,1.9245,uM,1,1,2751,1934,4757,-0.3598
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10024-101-1,NVP-TAE684,1.1111,uM,1,1,2751,4681,4757,0.9593
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10056-101-1,Selumetinib,10,uM,1,1,2751,1051,4757,-0.7041
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10018-101-1,Neratinib,0.2138,uM,1,1,2751,1296,4757,-0.6142
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10024-101-1,NVP-TAE684,0.3704,uM,1,1,2751,7412,4757,2.5048
50105-3,BT-20,,,0,uM,,,0,uM,1,1,2751,5955,4757,1.6569
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10018-101-1,Neratinib,0.2138,uM,1,1,2751,607,4757,-0.8523
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10032-101-1,Saracatinib,0.3704,uM,1,1,2751,1434,4757,-0.5615
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10142-101-1,Trametinib,0.3704,uM,1,1,2751,4455,4757,0.8403
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10032-101-1,Saracatinib,3.3333,uM,1,1,2751,932,4757,-0.7458
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10142-101-1,Trametinib,3.3333,uM,1,1,2751,2273,4757,-0.2146
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10024-101-1,NVP-TAE684,3.3333,uM,1,1,2751,1151,4757,-0.6680
50105-3,BT-20,10142-101-1,Trametinib,10,uM,,,0,uM,1,1,2751,2568,4757,-0.0835
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10051-104-1,Lapatinib,5.7735,uM,1,1,2751,2691,4757,-0.0276
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10024-101-1,NVP-TAE684,3.3333,uM,1,1,2751,700,4757,-0.8231
50105-3,BT-20,10032-101-1,Saracatinib,3.3333,uM,,,0,uM,1,1,2751,3729,4757,0.4694
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10024-101-1,NVP-TAE684,1.1111,uM,1,1,2751,1578,4757,-0.5051
50105-3,BT-20,10051-104-1,Lapatinib,1.9245,uM,,,0,uM,1,1,2751,7730,4757,2.6962
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10051-104-1,Lapatinib,10,uM,1,1,2751,3053,4757,0.1408
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10051-104-1,Lapatinib,10,uM,1,1,2751,3401,4757,0.3078
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10051-104-1,Lapatinib,1.9245,uM,1,1,2751,4252,4757,0.7349
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10142-101-1,Trametinib,0.1235,uM,1,1,2751,3779,4757,0.4944
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10142-101-1,Trametinib,0.3704,uM,1,1,2751,623,4757,-0.8473
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10056-101-1,Selumetinib,3.3333,uM,1,1,2751,4332,4757,0.7763
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10032-101-1,Saracatinib,3.3333,uM,1,1,2751,1547,4757,-0.5174
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10018-101-1,Neratinib,0.2138,uM,1,1,2751,3751,4757,0.4804
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10142-101-1,Trametinib,0.1235,uM,1,1,2751,705,4757,-0.8215
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10056-101-1,Selumetinib,1.1111,uM,1,1,2751,947,4757,-0.7406
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10018-101-1,Neratinib,1.9245,uM,1,1,2751,1791,4757,-0.4191
50105-3,BT-20,10018-101-1,Neratinib,0.3704,uM,,,0,uM,1,1,2751,4880,4757,1.0652
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10051-104-1,Lapatinib,10,uM,1,1,2751,1495,4757,-0.5378
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10018-101-1,Neratinib,0.3704,uM,1,1,2751,703,4757,-0.8221
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10056-101-1,Selumetinib,0.1235,uM,1,1,2751,4519,4757,0.8739
50105-3,BT-20,,,0,uM,,,0,uM,1,1,2751,5882,4757,1.6158
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10024-101-1,NVP-TAE684,1.1111,uM,1,1,2751,3999,4757,0.6053
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10142-101-1,Trametinib,10,uM,1,1,2751,2757,4757,0.0027
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10032-101-1,Saracatinib,0.6415,uM,1,1,2751,366,4757,-0.9221
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10018-101-1,Neratinib,1.9245,uM,1,1,2751,587,4757,-0.8584
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10018-101-1,Neratinib,0.6415,uM,1,1,2751,1362,4757,-0.5892
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,,,0,uM,1,1,2751,1174,4757,-0.6596
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10024-101-1,NVP-TAE684,1.1111,uM,1,1,2751,2084,4757,-0.2963
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10032-101-1,Saracatinib,0.6415,uM,1,1,2751,3471,4757,0.3419
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10018-101-1,Neratinib,0.3704,uM,1,1,2751,2185,4757,-0.2529
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10018-101-1,Neratinib,0.1235,uM,1,1,2751,1238,4757,-0.6360
50105-3,BT-20,10032-101-1,Saracatinib,0.3704,uM,,,0,uM,1,1,2751,4378,4757,0.8002
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10142-101-1,Trametinib,0.3704,uM,1,1,2751,2319,4757,-0.1945
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10142-101-1,Trametinib,10,uM,1,1,2751,625,4757,-0.8467
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10142-101-1,Trametinib,10,uM,1,1,2751,935,4757,-0.7448
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10018-101-1,Neratinib,1.9245,uM,1,1,2751,2996,4757,0.1139
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10032-101-1,Saracatinib,0.6415,uM,1,1,2751,870,4757,-0.7670
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10018-101-1,Neratinib,1.9245,uM,1,1,2751,3277,4757,0.2477
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10051-104-1,Lapatinib,5.7735,uM,1,1,2751,2976,4757,0.1045
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10018-101-1,Neratinib,0.2138,uM,1,1,2751,4047,4757,0.6297
50105-3,BT-20,10032-101-1,Saracatinib,0.6415,uM,,,0,uM,1,1,2751,5001,4757,1.1303
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10018-101-1,Neratinib,0.3704,uM,1,1,2751,3550,4757,0.3807
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10024-101-1,NVP-TAE684,0.3704,uM,1,1,2751,6516,4757,1.9775
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10032-101-1,Saracatinib,1.9245,uM,1,1,2751,1228,4757,-0.6397
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10051-104-1,Lapatinib,3.3333,uM,1,1,2751,6253,4757,1.8263
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10142-101-1,Trametinib,3.3333,uM,1,1,2751,522,4757,-0.8779
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10032-101-1,Saracatinib,3.3333,uM,1,1,2751,2769,4757,0.0082
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10051-104-1,Lapatinib,3.3333,uM,1,1,2751,892,4757,-0.7596
50105-3,BT-20,,,0,uM,,,0,uM,1,1,2751,4074,4757,0.6435
50105-3,BT-20,10051-104-1,Lapatinib,1.1111,uM,,,0,uM,1,1,2751,6889,4757,2.1948
50105-3,BT-20,10051-104-1,Lapatinib,5.7735,uM,,,0,uM,1,1,2751,5426,4757,1.3619
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10051-104-1,Lapatinib,1.1111,uM,1,1,2751,4914,4757,1.0835
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10024-101-1,NVP-TAE684,3.3333,uM,1,1,2751,994,4757,-0.7243
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10056-101-1,Selumetinib,0.1235,uM,1,1,2751,3504,4757,0.3581
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10018-101-1,Neratinib,1.9245,uM,1,1,2751,2196,4757,-0.2481
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10056-101-1,Selumetinib,1.1111,uM,1,1,2751,1105,4757,-0.6847
50105-3,BT-20,,,0,uM,,,0,uM,1,1,2751,4876,4757,1.0631
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10056-101-1,Selumetinib,10,uM,1,1,2751,1101,4757,-0.6862
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10142-101-1,Trametinib,1.1111,uM,1,1,2751,945,4757,-0.7413
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10018-101-1,Neratinib,0.6415,uM,1,1,2751,1100,4757,-0.6865
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10051-104-1,Lapatinib,10,uM,1,1,2751,3042,4757,0.1356
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10051-104-1,Lapatinib,1.9245,uM,1,1,2751,910,4757,-0.7534
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10018-101-1,Neratinib,0.2138,uM,1,1,2751,452,4757,-0.8983
50105-3,BT-20,,,0,uM,,,0,uM,1,1,2751,5211,4757,1.2441
50105-3,BT-20,,,0,uM,,,0,uM,1,1,2751,5553,4757,1.4320
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10024-101-1,NVP-TAE684,1.1111,uM,1,1,2751,1516,4757,-0.5296
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10018-101-1,Neratinib,0.1235,uM,1,1,2751,2844,4757,0.0429
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10018-101-1,Neratinib,0.3704,uM,1,1,2751,1661,4757,-0.4719
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10142-101-1,Trametinib,0.1235,uM,1,1,2751,1313,4757,-0.6078
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10056-101-1,Selumetinib,3.3333,uM,1,1,2751,405,4757,-0.9115
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10018-101-1,Neratinib,1.1111,uM,1,1,2751,495,4757,-0.8859
50105-3,BT-20,,,0,uM,,,0,uM,1,1,2751,5025,4757,1.1432
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10056-101-1,Selumetinib,3.3333,uM,1,1,2751,1232,4757,-0.6382
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10051-104-1,Lapatinib,5.7735,uM,1,1,2751,3360,4757,0.2879
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10018-101-1,Neratinib,1.1111,uM,1,1,2751,1405,4757,-0.5727
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10032-101-1,Saracatinib,1.1111,uM,1,1,2751,3324,4757,0.2704
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10024-101-1,NVP-TAE684,0.3704,uM,1,1,2751,528,4757,-0.8762
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10018-101-1,Neratinib,1.1111,uM,1,1,2751,2873,4757,0.0564
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10018-101-1,Neratinib,1.9245,uM,1,1,2751,1110,4757,-0.6829
50105-3,BT-20,10018-101-1,Neratinib,0.6415,uM,,,0,uM,1,1,2751,3643,4757,0.4266
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10032-101-1,Saracatinib,0.3704,uM,1,1,2751,3988,4757,0.5997
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10056-101-1,Selumetinib,0.3704,uM,1,1,2751,806,4757,-0.7885
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10056-101-1,Selumetinib,1.1111,uM,1,1,2751,2603,4757,-0.0677
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10024-101-1,NVP-TAE684,0.3704,uM,1,1,2751,2486,4757,-0.1204
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10018-101-1,Neratinib,1.1111,uM,1,1,2751,377,4757,-0.9191
50105-3,BT-20,,,0,uM,,,0,uM,1,1,2751,5877,4757,1.6130
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10142-101-1,Trametinib,0.3704,uM,1,1,2751,343,4757,-0.9283
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10142-101-1,Trametinib,0.1235,uM,1,1,2751,1579,4757,-0.5047
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10056-101-1,Selumetinib,0.1235,uM,1,1,2751,1025,4757,-0.7133
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10051-104-1,Lapatinib,5.7735,uM,1,1,2751,4641,4757,0.9381
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10056-101-1,Selumetinib,0.3704,uM,1,1,2751,1008,4757,-0.7193
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10024-101-1,NVP-TAE684,3.3333,uM,1,1,2751,516,4757,-0.8797
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10018-101-1,Neratinib,0.1235,uM,1,1,2751,1723,4757,-0.4469
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10032-101-1,Saracatinib,0.6415,uM,1,1,2751,2629,4757,-0.0559
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10032-101-1,Saracatinib,1.9245,uM,1,1,2751,2664,4757,-0.0399
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10142-101-1,Trametinib,10,uM,1,1,2751,604,4757,-0.8532
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10032-101-1,Saracatinib,1.9245,uM,1,1,2751,2887,4757,0.0629
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10056-101-1,Selumetinib,1.1111,uM,1,1,2751,654,4757,-0.8377
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10051-104-1,Lapatinib,1.1111,uM,1,1,2751,1333,4757,-0.6003
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10056-101-1,Selumetinib,10,uM,1,1,2751,398,4757,-0.9134
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10032-101-1,Saracatinib,1.1111,uM,1,1,2751,1200,4757,-0.6500
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10051-104-1,Lapatinib,10,uM,1,1,2751,3657,4757,0.4336
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10018-101-1,Neratinib,1.1111,uM,1,1,2751,2911,4757,0.0741
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10018-101-1,Neratinib,1.1111,uM,1,1,2751,3479,4757,0.3459
50105-3,BT-20,,,0,uM,,,0,uM,1,1,2751,5174,4757,1.2239
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10051-104-1,Lapatinib,3.3333,uM,1,1,2751,2800,4757,0.0225
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10032-101-1,Saracatinib,1.1111,uM,1,1,2751,1203,4757,-0.6489
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10142-101-1,Trametinib,3.3333,uM,1,1,2751,386,4757,-0.9167
50105-3,BT-20,10142-101-1,Trametinib,0.1235,uM,,,0,uM,1,1,2751,5070,4757,1.1675
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10056-101-1,Selumetinib,3.3333,uM,1,1,2751,3767,4757,0.4884
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10051-104-1,Lapatinib,1.9245,uM,1,1,2751,415,4757,-0.9087
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10056-101-1,Selumetinib,10,uM,1,1,2751,657,4757,-0.8367
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10032-101-1,Saracatinib,3.3333,uM,1,1,2751,2806,4757,0.0253
50105-3,BT-20,10024-101-1,NVP-TAE684,3.3333,uM,,,0,uM,1,1,2751,1881,4757,-0.3819
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10056-101-1,Selumetinib,0.3704,uM,1,1,2751,5193,4757,1.2343
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10142-101-1,Trametinib,0.3704,uM,1,1,2751,2245,4757,-0.2269
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10018-101-1,Neratinib,0.6415,uM,1,1,2751,1772,4757,-0.4269
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10056-101-1,Selumetinib,0.3704,uM,1,1,2751,2804,4757,0.0244
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10056-101-1,Selumetinib,1.1111,uM,1,1,2751,3698,4757,0.4539
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10024-101-1,NVP-TAE684,0.3704,uM,1,1,2751,2742,4757,-0.0042
50105-3,BT-20,10018-101-1,Neratinib,1.9245,uM,,,0,uM,1,1,2751,2867,4757,0.0536
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10056-101-1,Selumetinib,3.3333,uM,1,1,2751,1978,4757,-0.3413
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10056-101-1,Selumetinib,3.3333,uM,1,1,2751,1326,4757,-0.6029
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10142-101-1,Trametinib,0.1235,uM,1,1,2751,3465,4757,0.3390
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10056-101-1,Selumetinib,0.1235,uM,1,1,2751,854,4757,-0.7724
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10051-104-1,Lapatinib,1.1111,uM,1,1,2751,3165,4757,0.1940
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10056-101-1,Selumetinib,0.3704,uM,1,1,2751,2938,4757,0.0867
