Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Timepoint,Timepoint Unit,Mean Total Cell Count Before Treatment,Mean Total Cell Count After Treatment,Mean Total Control Cell Count,Mean Relative Cell Count,Mean Relative Growth Rate After Treatment
50105-3,BT-20,10056-101-1,Selumetinib,0.04,uM,LJP6,72,hr,1334,4411,3970,1.1108,1.1669
50105-3,BT-20,10052-101-1,Sirolimus,0.04,uM,LJP6,72,hr,1334,2522,3970,0.6351,0.4504
50105-3,BT-20,10008-101-1,Sorafenib,0.04,uM,LJP6,72,hr,1334,3776,3970,0.9511,0.9263
50105-3,BT-20,10119-101-1,SU11274,0.04,uM,LJP5,72,hr,1334,4275,3970,1.0766,1.1154
50105-3,BT-20,10141-101-1,Fedratinib,0.04,uM,LJP5,72,hr,1334,4137,3970,1.0418,1.0630
50105-3,BT-20,10171-101-1,TGX221,0.04,uM,LJP5,72,hr,1334,3594,3970,0.9053,0.8573
50105-3,BT-20,10079-101-1,Torin1,0.04,uM,LJP6,72,hr,1334,2136,3970,0.5380,0.3041
50105-3,BT-20,10080-101-1,Torin2,0.04,uM,LJP5,72,hr,1334,1283,3970,0.3233,-0.0194
50105-3,BT-20,10021-101-1,Tozasertib,0.04,uM,LJP5,72,hr,1334,1945,3970,0.4898,0.2315
50105-3,BT-20,10142-101-1,Trametinib,0.04,uM,LJP5,72,hr,1334,3155,3970,0.7945,0.6905
50105-3,BT-20,10111-101-1,TWS119,0.04,uM,LJP5,72,hr,1334,4212,3970,1.0608,1.0916
50105-3,BT-20,10068-101-1,Vemurafenib,0.04,uM,LJP5,72,hr,1334,3830,3970,0.9647,0.9468
50105-3,BT-20,10481-101-1,Withaferin A,0.04,uM,LJP5,72,hr,1334,4047,3970,1.0192,1.0290
50105-3,BT-20,10481-101-1,Withaferin A,0.04,uM,LJP6,72,hr,1334,3926,3970,0.9888,0.9831
50105-3,BT-20,10064-101-1,WYE-125132,0.04,uM,LJP6,72,hr,1334,2930,3970,0.7380,0.6053
50105-3,BT-20,10084-101-1,WZ3105,0.04,uM,LJP5,72,hr,1334,1503,3970,0.3786,0.0640
50105-3,BT-20,10086-101-1,XMD11-50,0.04,uM,LJP6,72,hr,1334,3910,3970,0.9847,0.9769
50105-3,BT-20,10149-102-1,Y39983,0.04,uM,LJP6,72,hr,1334,4097,3970,1.0318,1.0478
50105-3,BT-20,10109-101-1,YM 201636,0.04,uM,LJP5,72,hr,1334,4177,3970,1.0521,1.0784
50105-3,BT-20,10053-101-1,ZSTK474,0.04,uM,LJP6,72,hr,1334,3845,3970,0.9683,0.9522
50105-3,BT-20,10133-101-1,Afatinib,0.12,uM,LJP6,72,hr,1334,3247,3970,0.8179,0.7257
50105-3,BT-20,10035-101-1,Sigma A6730,0.12,uM,LJP5,72,hr,1334,3482,3970,0.8770,0.8147
50105-3,BT-20,10011-101-1,Alvocidib,0.12,uM,LJP6,72,hr,1334,1583,3970,0.3988,0.0944
50105-3,BT-20,10004-101-1,AT-7519,0.12,uM,LJP6,72,hr,1334,3834,3970,0.9657,0.9483
50105-3,BT-20,10158-101-1,AZD 5438,0.12,uM,LJP6,72,hr,1334,3323,3970,0.8368,0.7542
50105-3,BT-20,10059-101-1,AZD-6482,0.12,uM,LJP5,72,hr,1334,3969,3970,0.9995,0.9993
50105-3,BT-20,10006-101-1,AZD7762,0.12,uM,LJP6,72,hr,1334,3628,3970,0.9136,0.8699
50105-3,BT-20,10007-101-1,AZD8055,0.12,uM,LJP6,72,hr,1334,1948,3970,0.4906,0.2327
50105-3,BT-20,10164-101-1,AZD8330,0.12,uM,LJP5,72,hr,1334,3347,3970,0.8431,0.7636
50105-3,BT-20,10067-101-1,Barasertib,0.12,uM,LJP5,72,hr,1334,2591,3970,0.6526,0.4767
50105-3,BT-20,10041-101-1,BI-2536,0.12,uM,LJP6,72,hr,1334,574,3970,0.1447,-0.2883
50105-3,BT-20,10028-102-1,BMS345541,0.12,uM,LJP6,72,hr,1334,3799,3970,0.9569,0.9350
50105-3,BT-20,10132-101-1,SNS-032,0.12,uM,LJP6,72,hr,1334,2372,3970,0.5975,0.3937
50105-3,BT-20,10234-101-1,GDC-0980,0.12,uM,LJP5,72,hr,1334,1553,3970,0.3913,0.0831
50105-3,BT-20,10122-101-1,NVP-AEW541,0.12,uM,LJP5,72,hr,1334,4059,3970,1.0222,1.0334
50105-3,BT-20,10046-101-1,SB590885,0.12,uM,LJP5,72,hr,1334,4065,3970,1.0239,1.0359
50105-3,BT-20,10190-101-1,PIK-93,0.12,uM,LJP5,72,hr,1334,4135,3970,1.0414,1.0624
50105-3,BT-20,10031-101-1,KIN001-043,0.12,uM,LJP6,72,hr,1334,3691,3970,0.9295,0.8938
50105-3,BT-20,10233-101-1,Alpelisib,0.12,uM,LJP5,72,hr,1334,4100,3970,1.0326,1.0491
50105-3,BT-20,10161-101-1,Luminespib,0.12,uM,LJP5,72,hr,1334,945,3970,0.2380,-0.1478
50105-3,BT-20,10045-101-1,A443654,0.12,uM,LJP6,72,hr,1334,2994,3970,0.7540,0.6294
50105-3,BT-20,10063-102-1,OSI-027,0.12,uM,LJP6,72,hr,1334,3659,3970,0.9216,0.8819
50105-3,BT-20,10087-101-1,XMD11-85h,0.12,uM,LJP6,72,hr,1334,4089,3970,1.0299,1.0450
50105-3,BT-20,10017-101-1,HG-6-64-01,0.12,uM,LJP6,72,hr,1334,4124,3970,1.0386,1.0582
50105-3,BT-20,10039-101-1,WH-4-025,0.12,uM,LJP5,72,hr,1334,3131,3970,0.7887,0.6817
50105-3,BT-20,10082-101-1,WZ-4-145,0.12,uM,LJP6,72,hr,1334,3753,3970,0.9453,0.9176
50105-3,BT-20,10091-101-1,XMD16-144,0.12,uM,LJP5,72,hr,1334,2327,3970,0.5861,0.3765
50105-3,BT-20,10177-101-1,Brivanib,0.12,uM,LJP5,72,hr,1334,3864,3970,0.9732,0.9596
50105-3,BT-20,10147-101-1,Buparlisib,0.12,uM,LJP5,72,hr,1334,3831,3970,0.9649,0.9471
50105-3,BT-20,10055-101-1,BX-912,0.12,uM,LJP5,72,hr,1334,3931,3970,0.9901,0.9851
50105-3,BT-20,10120-102-1,Canertinib,0.12,uM,LJP6,72,hr,1334,3574,3970,0.9001,0.8494
50105-3,BT-20,10117-101-1,Celastrol,0.12,uM,LJP6,72,hr,1334,4099,3970,1.0323,1.0487
50105-3,BT-20,10025-101-1,CGP60474,0.12,uM,LJP5,72,hr,1334,843,3970,0.2123,-0.1865
50105-3,BT-20,10025-101-1,CGP60474,0.12,uM,LJP6,72,hr,1334,531,3970,0.1337,-0.3049
50105-3,BT-20,10180-101-1,CHIR-99021,0.12,uM,LJP6,72,hr,1334,3649,3970,0.9189,0.8779
50105-3,BT-20,10010-101-1,CP724714,0.12,uM,LJP5,72,hr,1334,3769,3970,0.9492,0.9234
50105-3,BT-20,10009-101-1,CP466722,0.12,uM,LJP5,72,hr,1334,4171,3970,1.0506,1.0762
50105-3,BT-20,10027-101-1,Crizotinib,0.12,uM,LJP5,72,hr,1334,3808,3970,0.9590,0.9382
50105-3,BT-20,10140-101-1,Momelotinib,0.12,uM,LJP5,72,hr,1334,3704,3970,0.9328,0.8988
50105-3,BT-20,10020-101-1,Dasatinib,0.12,uM,LJP5,72,hr,1334,2419,3970,0.6092,0.4113
50105-3,BT-20,10020-101-1,Dasatinib,0.12,uM,LJP6,72,hr,1334,2400,3970,0.6045,0.4042
50105-3,BT-20,10127-101-1,Dovitinib,0.12,uM,LJP5,72,hr,1334,3437,3970,0.8657,0.7977
50105-3,BT-20,10069-101-1,Enzastaurin,0.12,uM,LJP5,72,hr,1334,3928,3970,0.9894,0.9840
50105-3,BT-20,10097-101-1,Erlotinib,0.12,uM,LJP5,72,hr,1334,3804,3970,0.9581,0.9368
50105-3,BT-20,10157-101-1,Foretinib,0.12,uM,LJP5,72,hr,1334,2941,3970,0.7407,0.6095
50105-3,BT-20,10040-101-1,R406,0.12,uM,LJP6,72,hr,1334,3639,3970,0.9164,0.8741
50105-3,BT-20,10047-101-1,Pictilisib,0.12,uM,LJP6,72,hr,1334,2983,3970,0.7513,0.6254
50105-3,BT-20,10098-101-1,Gefitinib,0.12,uM,LJP6,72,hr,1334,4099,3970,1.0324,1.0488
50105-3,BT-20,10108-101-1,Geldanamycin,0.12,uM,LJP5,72,hr,1334,1117,3970,0.2815,-0.0823
50105-3,BT-20,10108-101-1,Geldanamycin,0.12,uM,LJP6,72,hr,1334,1210,3970,0.3049,-0.0470
50105-3,BT-20,10172-101-1,GSK1059615,0.12,uM,LJP5,72,hr,1334,3234,3970,0.8145,0.7206
50105-3,BT-20,10172-101-1,GSK1059615,0.12,uM,LJP6,72,hr,1334,3206,3970,0.8074,0.7099
50105-3,BT-20,10134-101-1,GSK1904529A,0.12,uM,LJP6,72,hr,1334,3753,3970,0.9453,0.9177
50105-3,BT-20,10146-101-1,Omipalisib,0.12,uM,LJP6,72,hr,1334,1045,3970,0.2633,-0.1098
50105-3,BT-20,10128-101-1,GSK 690693,0.12,uM,LJP5,72,hr,1334,3529,3970,0.8887,0.8324
50105-3,BT-20,10014-101-1,GW843682X,0.12,uM,LJP6,72,hr,1334,3380,3970,0.8514,0.7761
50105-3,BT-20,10015-101-1,HG-5-113-01,0.12,uM,LJP5,72,hr,1334,3657,3970,0.9210,0.8811
50105-3,BT-20,10016-101-1,HG-5-88-01,0.12,uM,LJP6,72,hr,1334,3470,3970,0.8739,0.8101
50105-3,BT-20,10023-103-1,Imatinib,0.12,uM,LJP6,72,hr,1334,3727,3970,0.9387,0.9076
50105-3,BT-20,10100-101-1,JNK-9L,0.12,uM,LJP6,72,hr,1334,3619,3970,0.9116,0.8668
50105-3,BT-20,10019-101-1,JW-7-24-1,0.12,uM,LJP6,72,hr,1334,3536,3970,0.8906,0.8352
50105-3,BT-20,10051-104-1,Lapatinib,0.12,uM,LJP6,72,hr,1334,3995,3970,1.0061,1.0091
50105-3,BT-20,10115-102-1,LDN-193189,0.12,uM,LJP5,72,hr,1334,3838,3970,0.9665,0.9496
50105-3,BT-20,10182-101-1,Linifanib,0.12,uM,LJP6,72,hr,1334,4249,3970,1.0701,1.1056
50105-3,BT-20,10135-101-1,Linsitinib,0.12,uM,LJP5,72,hr,1334,3722,3970,0.9373,0.9056
50105-3,BT-20,10479-102-1,Mitoxantrone,0.12,uM,LJP5,72,hr,1334,1148,3970,0.2893,-0.0706
50105-3,BT-20,10479-102-1,Mitoxantrone,0.12,uM,LJP6,72,hr,1334,1526,3970,0.3845,0.0728
50105-3,BT-20,10057-102-1,MK2206,0.12,uM,LJP6,72,hr,1334,3952,3970,0.9954,0.9931
50105-3,BT-20,10018-101-1,Neratinib,0.12,uM,LJP5,72,hr,1334,2945,3970,0.7418,0.6111
50105-3,BT-20,10099-101-1,Nilotinib,0.12,uM,LJP5,72,hr,1334,4116,3970,1.0365,1.0550
50105-3,BT-20,10151-101-1,Nintedanib,0.12,uM,LJP6,72,hr,1334,4041,3970,1.0177,1.0267
50105-3,BT-20,10061-101-1,NU7441,0.12,uM,LJP5,72,hr,1334,4100,3970,1.0325,1.0490
50105-3,BT-20,10232-101-1,Dactolisib,0.12,uM,LJP5,72,hr,1334,1715,3970,0.4320,0.1444
50105-3,BT-20,10024-101-1,NVP-TAE684,0.12,uM,LJP6,72,hr,1334,3094,3970,0.7792,0.6674
50105-3,BT-20,10071-101-1,Palbociclib,0.12,uM,LJP6,72,hr,1334,2967,3970,0.7474,0.6194
50105-3,BT-20,10101-101-1,PD0325901,0.12,uM,LJP5,72,hr,1334,3846,3970,0.9685,0.9526
50105-3,BT-20,10101-101-1,PD0325901,0.12,uM,LJP6,72,hr,1334,3518,3970,0.8860,0.8283
50105-3,BT-20,10026-101-1,PD173074,0.12,uM,LJP6,72,hr,1334,3979,3970,1.0022,1.0033
50105-3,BT-20,10048-101-1,PD184352,0.12,uM,LJP5,72,hr,1334,4129,3970,1.0398,1.0600
50105-3,BT-20,10159-101-1,Pelitinib,0.12,uM,LJP5,72,hr,1334,3802,3970,0.9576,0.9362
50105-3,BT-20,10116-101-1,PF431396,0.12,uM,LJP5,72,hr,1334,3260,3970,0.8210,0.7303
50105-3,BT-20,10112-101-1,PF477736,0.12,uM,LJP5,72,hr,1334,4033,3970,1.0157,1.0237
50105-3,BT-20,10072-101-1,PF562271,0.12,uM,LJP6,72,hr,1334,3540,3970,0.8916,0.8367
50105-3,BT-20,10125-101-1,PHA-665752,0.12,uM,LJP5,72,hr,1334,4069,3970,1.0247,1.0372
50105-3,BT-20,10073-101-1,PHA-793887,0.12,uM,LJP6,72,hr,1334,2488,3970,0.6266,0.4376
50105-3,BT-20,10126-101-1,PI103,0.12,uM,LJP6,72,hr,1334,3794,3970,0.9555,0.9330
50105-3,BT-20,10049-101-1,PLX-4720,0.12,uM,LJP5,72,hr,1334,4044,3970,1.0185,1.0279
50105-3,BT-20,10075-101-1,QL-X-138,0.12,uM,LJP6,72,hr,1334,3182,3970,0.8013,0.7007
50105-3,BT-20,10077-101-1,QL-XII-47,0.12,uM,LJP6,72,hr,1334,3397,3970,0.8555,0.7823
50105-3,BT-20,10480-101-1,Radicicol,0.12,uM,LJP5,72,hr,1334,1952,3970,0.4916,0.2342
50105-3,BT-20,10480-101-1,Radicicol,0.12,uM,LJP6,72,hr,1334,2069,3970,0.5210,0.2786
50105-3,BT-20,10001-101-1,Seliciclib,0.12,uM,LJP5,72,hr,1334,4007,3970,1.0092,1.0138
50105-3,BT-20,10138-105-1,Ruxolitinib,0.12,uM,LJP5,72,hr,1334,3911,3970,0.9850,0.9774
50105-3,BT-20,10148-101-1,XL147,0.12,uM,LJP5,72,hr,1334,4014,3970,1.0109,1.0165
50105-3,BT-20,10032-101-1,Saracatinib,0.12,uM,LJP6,72,hr,1334,3738,3970,0.9414,0.9117
50105-3,BT-20,10056-101-1,Selumetinib,0.12,uM,LJP6,72,hr,1334,4277,3970,1.0772,1.1162
50105-3,BT-20,10052-101-1,Sirolimus,0.12,uM,LJP6,72,hr,1334,2412,3970,0.6075,0.4088
50105-3,BT-20,10008-101-1,Sorafenib,0.12,uM,LJP6,72,hr,1334,3764,3970,0.9481,0.9218
50105-3,BT-20,10119-101-1,SU11274,0.12,uM,LJP5,72,hr,1334,4234,3970,1.0664,1.1001
50105-3,BT-20,10141-101-1,Fedratinib,0.12,uM,LJP5,72,hr,1334,3935,3970,0.9910,0.9864
50105-3,BT-20,10171-101-1,TGX221,0.12,uM,LJP5,72,hr,1334,3991,3970,1.0051,1.0076
50105-3,BT-20,10079-101-1,Torin1,0.12,uM,LJP6,72,hr,1334,1692,3970,0.4262,0.1357
50105-3,BT-20,10080-101-1,Torin2,0.12,uM,LJP5,72,hr,1334,1185,3970,0.2984,-0.0568
50105-3,BT-20,10021-101-1,Tozasertib,0.12,uM,LJP5,72,hr,1334,1220,3970,0.3072,-0.0435
50105-3,BT-20,10142-101-1,Trametinib,0.12,uM,LJP5,72,hr,1334,3519,3970,0.8862,0.8286
50105-3,BT-20,10111-101-1,TWS119,0.12,uM,LJP5,72,hr,1334,4209,3970,1.0600,1.0903
50105-3,BT-20,10068-101-1,Vemurafenib,0.12,uM,LJP5,72,hr,1334,3808,3970,0.9591,0.9385
50105-3,BT-20,10481-101-1,Withaferin A,0.12,uM,LJP5,72,hr,1334,3607,3970,0.9084,0.8620
50105-3,BT-20,10481-101-1,Withaferin A,0.12,uM,LJP6,72,hr,1334,4046,3970,1.0190,1.0286
50105-3,BT-20,10064-101-1,WYE-125132,0.12,uM,LJP6,72,hr,1334,2175,3970,0.5477,0.3188
50105-3,BT-20,10084-101-1,WZ3105,0.12,uM,LJP5,72,hr,1334,1118,3970,0.2816,-0.0822
50105-3,BT-20,10086-101-1,XMD11-50,0.12,uM,LJP6,72,hr,1334,3897,3970,0.9815,0.9721
50105-3,BT-20,10149-102-1,Y39983,0.12,uM,LJP6,72,hr,1334,4299,3970,1.0826,1.1245
50105-3,BT-20,10109-101-1,YM 201636,0.12,uM,LJP5,72,hr,1334,4143,3970,1.0435,1.0655
