Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Time Point (hr),GR50,GEC50,GRmax,GRinf,GR Hill Coefficient,GR_AOC
51124-1,MCF 10A-H2B-mCherry,10250-101-3,Etoposide,72,0.4072,92.5315,0.1613,-1.0000,0.2025,0.4334
51124-1,MCF 10A-H2B-mCherry,10250-101-3,Etoposide,84,0.1739,59.2726,0.1678,-1.0000,0.1884,0.4947
51124-1,MCF 10A-H2B-mCherry,10018-101-5,Neratinib,12,Inf,Inf,0.4696,0.4696,0.0000,0.4345
51124-1,MCF 10A-H2B-mCherry,10018-101-5,Neratinib,24,0.3492,0.0073,0.4236,0.3755,0.3591,0.3870
51124-1,MCF 10A-H2B-mCherry,10018-101-5,Neratinib,36,0.1336,0.0994,0.2934,0.0455,0.3225,0.4123
51124-1,MCF 10A-H2B-mCherry,10018-101-5,Neratinib,48,0.2009,11.344,0.1627,-1.0000,0.2724,0.3954
51124-1,MCF 10A-H2B-mCherry,10018-101-5,Neratinib,72,0.2915,6.6939,0.0859,-1.0000,0.3505,0.3727
51124-1,MCF 10A-H2B-mCherry,10018-101-5,Neratinib,84,0.2528,9.4484,0.0272,-1.0000,0.3034,0.3990
51124-1,MCF 10A-H2B-mCherry,10071-101-2,Palbociclib,12,Inf,Inf,0.4654,0.4654,0.0000,0.4378
51124-1,MCF 10A-H2B-mCherry,10071-101-2,Palbociclib,24,Inf,Inf,0.3926,0.3926,0.0000,0.3827
51124-1,MCF 10A-H2B-mCherry,10071-101-2,Palbociclib,36,Inf,Inf,0.3397,0.3397,0.0000,0.3606
51124-1,MCF 10A-H2B-mCherry,10071-101-2,Palbociclib,48,Inf,Inf,0.3655,0.3655,0.0000,0.3443
51124-1,MCF 10A-H2B-mCherry,10071-101-2,Palbociclib,72,Inf,Inf,0.4218,0.4218,0.0000,0.3265
51124-1,MCF 10A-H2B-mCherry,10071-101-2,Palbociclib,84,Inf,Inf,0.3876,0.3876,0.0000,0.3349
51124-1,MCF 10A-H2B-mCherry,10102-101-7,Taxol,12,0.0005,0.0007,0.2488,-0.0238,0.1003,0.5527
51124-1,MCF 10A-H2B-mCherry,10102-101-7,Taxol,24,0.0018,0.0505,-0.2179,-1.0000,0.3299,0.6617
51124-1,MCF 10A-H2B-mCherry,10102-101-7,Taxol,36,0.0012,0.004,-0.2810,-0.4927,0.5556,0.7513
51124-1,MCF 10A-H2B-mCherry,10102-101-7,Taxol,48,0.0009,0.0023,-0.2904,-0.4105,0.6256,0.7874
51124-1,MCF 10A-H2B-mCherry,10102-101-7,Taxol,72,0.0005,0.0011,-0.2898,-0.3494,0.6605,0.8468
51124-1,MCF 10A-H2B-mCherry,10102-101-7,Taxol,84,0.0003,0.0008,-0.2773,-0.3429,0.6241,0.8762
51124-1,MCF 10A-H2B-mCherry,10142-101-4,Trametinib,12,Inf,Inf,0.5691,0.5691,0.0000,0.4204
51124-1,MCF 10A-H2B-mCherry,10142-101-4,Trametinib,24,Inf,Inf,0.7135,0.7135,0.0000,0.3120
51124-1,MCF 10A-H2B-mCherry,10142-101-4,Trametinib,36,Inf,Inf,0.6568,0.6568,0.0000,0.3354
51124-1,MCF 10A-H2B-mCherry,10142-101-4,Trametinib,48,Inf,0.0003,0.5877,0.5701,0.3964,0.3405
51124-1,MCF 10A-H2B-mCherry,10142-101-4,Trametinib,72,Inf,0.0048,0.5610,0.5286,0.5137,0.2868
51124-1,MCF 10A-H2B-mCherry,10142-101-4,Trametinib,84,6.7955,0.0263,0.5589,0.3962,0.2830,0.2816
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,12,Inf,Inf,0.4594,0.4594,0.0000,0.4495
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,24,1.2461,204.8226,0.2649,-1.0000,0.2153,0.3813
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,36,1.0852,20.5497,0.1559,-1.0000,0.3735,0.3694
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,48,1.111,15.0584,0.1025,-1.0000,0.4215,0.3662
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,72,1.435,21.5194,0.1227,-1.0000,0.4057,0.3663
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,84,1.1734,54.8915,0.1209,-1.0000,0.2857,0.4069
