Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,Protein Stimulus HMS LINCS ID,Protein Stimulus Name,Other Stimulus HMS LINCS ID,Other Stimulus Name,Stimulus Concentration,Stimulus Conc Unit,ExpPlate,Measured Protein,Measured Protein MFI (a.u.),Bead Count
60006-1,RA2159,10230-101-3,Lestaurtinib,0.3,uM,201285,TNF-a,,,100,ng/mL,1,MIP-1B,77.0,59
60006-1,RA2159,10138-101-5,Ruxolitinib,0.3,uM,201285,TNF-a,,,100,ng/mL,1,MIP-1B,71.0,89
60006-1,RA2159,10226-101-2,Tofacitinib,0.3,uM,201285,TNF-a,,,100,ng/mL,1,MIP-1B,83.0,73
60006-1,RA2159,10228-102-3,IKK16,2.0,uM,201285,TNF-a,,,100,ng/mL,1,MIP-1B,77.0,65
60006-1,RA2159,10227-101-2,EO1428,1.0,uM,,,,,,,1,MIP-1B,69.0,83
60001-1,N2586,,,,,201285,TNF-a,,,100,ng/mL,1,MIP-1B,89.5,66
60001-1,N2586,10048-101-5,PD184352,0.1,uM,201285,TNF-a,,,100,ng/mL,1,MIP-1B,96.5,62
60001-1,N2586,10230-101-3,Lestaurtinib,0.3,uM,201285,TNF-a,,,100,ng/mL,1,MIP-1B,85.0,61
60001-1,N2586,10138-101-5,Ruxolitinib,0.3,uM,201285,TNF-a,,,100,ng/mL,1,MIP-1B,90.5,56
60001-1,N2586,10226-101-2,Tofacitinib,0.3,uM,201285,TNF-a,,,100,ng/mL,1,MIP-1B,93.0,45
60001-1,N2586,10228-102-3,IKK16,2.0,uM,201285,TNF-a,,,100,ng/mL,1,MIP-1B,78.0,53
60001-1,N2586,10227-101-2,EO1428,1.0,uM,,,,,,,1,MIP-1B,78.5,38
60006-1,RA2159,,,,,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,160.0,79
60006-1,RA2159,10048-101-5,PD184352,0.1,uM,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,88.0,67
60006-1,RA2159,10230-101-3,Lestaurtinib,0.3,uM,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,65.0,70
60006-1,RA2159,10138-101-5,Ruxolitinib,0.3,uM,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,166.0,71
60006-1,RA2159,10226-101-2,Tofacitinib,0.3,uM,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,99.5,82
60006-1,RA2159,10228-102-3,IKK16,2.0,uM,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,63.5,78
60006-1,RA2159,10126-102-5,PI103,0.1,uM,,,,,,,1,MIP-1B,66.0,69
60001-1,N2586,,,,,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,128.0,68
60001-1,N2586,10048-101-5,PD184352,0.1,uM,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,171.5,52
60001-1,N2586,10230-101-3,Lestaurtinib,0.3,uM,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,80.0,73
60001-1,N2586,10138-101-5,Ruxolitinib,0.3,uM,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,167.0,47
60001-1,N2586,10226-101-2,Tofacitinib,0.3,uM,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,180.0,73
60001-1,N2586,10228-102-3,IKK16,2.0,uM,201286,IL-1 alpha,,,100,ng/mL,1,MIP-1B,76.0,55
60001-1,N2586,10126-102-5,PI103,0.1,uM,,,,,,,1,MIP-1B,71.0,63
60006-1,RA2159,,,,,201287,IL-6,,,100,ug/mL,1,MIP-1B,77.0,51
60006-1,RA2159,10048-101-5,PD184352,0.1,uM,201287,IL-6,,,100,ug/mL,1,MIP-1B,64.5,78
60006-1,RA2159,10230-101-3,Lestaurtinib,0.3,uM,201287,IL-6,,,100,ug/mL,1,MIP-1B,66.0,87
60006-1,RA2159,10138-101-5,Ruxolitinib,0.3,uM,201287,IL-6,,,100,ug/mL,1,MIP-1B,76.0,89
60006-1,RA2159,10226-101-2,Tofacitinib,0.3,uM,201287,IL-6,,,100,ug/mL,1,MIP-1B,67.0,74
60006-1,RA2159,10228-102-3,IKK16,2.0,uM,201287,IL-6,,,100,ug/mL,1,MIP-1B,73.0,67
60006-1,RA2159,10035-109-4,Sigma A6730,3.0,uM,,,,,,,1,MIP-1B,68.0,65
60001-1,N2586,,,,,201287,IL-6,,,100,ug/mL,1,MIP-1B,75.5,76
60001-1,N2586,10048-101-5,PD184352,0.1,uM,201287,IL-6,,,100,ug/mL,1,MIP-1B,60.5,60
60001-1,N2586,10230-101-3,Lestaurtinib,0.3,uM,201287,IL-6,,,100,ug/mL,1,MIP-1B,73.0,65
60001-1,N2586,10138-101-5,Ruxolitinib,0.3,uM,201287,IL-6,,,100,ug/mL,1,MIP-1B,70.0,55
60001-1,N2586,10226-101-2,Tofacitinib,0.3,uM,201287,IL-6,,,100,ug/mL,1,MIP-1B,62.0,65
60001-1,N2586,10228-102-3,IKK16,2.0,uM,201287,IL-6,,,100,ug/mL,1,MIP-1B,75.5,74
60001-1,N2586,10035-109-4,Sigma A6730,3.0,uM,,,,,,,1,MIP-1B,71.0,60
60006-1,RA2159,,,,,201288,IL-17A,,,100,ng/mL,1,MIP-1B,70.0,65
60006-1,RA2159,10048-101-5,PD184352,0.1,uM,201288,IL-17A,,,100,ng/mL,1,MIP-1B,67.0,63
60006-1,RA2159,10230-101-3,Lestaurtinib,0.3,uM,201288,IL-17A,,,100,ng/mL,1,MIP-1B,77.0,95
60006-1,RA2159,10138-101-5,Ruxolitinib,0.3,uM,201288,IL-17A,,,100,ng/mL,1,MIP-1B,79.0,59
60006-1,RA2159,10226-101-2,Tofacitinib,0.3,uM,201288,IL-17A,,,100,ng/mL,1,MIP-1B,78.0,61
60006-1,RA2159,10228-102-3,IKK16,2.0,uM,201288,IL-17A,,,100,ng/mL,1,MIP-1B,72.0,82
60001-1,N2586,,,,,201288,IL-17A,,,100,ng/mL,1,MIP-1B,80.0,80
60001-1,N2586,10048-101-5,PD184352,0.1,uM,201288,IL-17A,,,100,ng/mL,1,MIP-1B,76.0,61
60001-1,N2586,10230-101-3,Lestaurtinib,0.3,uM,201288,IL-17A,,,100,ng/mL,1,MIP-1B,68.0,61
60001-1,N2586,10138-101-5,Ruxolitinib,0.3,uM,201288,IL-17A,,,100,ng/mL,1,MIP-1B,73.0,81
60001-1,N2586,10226-101-2,Tofacitinib,0.3,uM,201288,IL-17A,,,100,ng/mL,1,MIP-1B,78.0,64
60001-1,N2586,10228-102-3,IKK16,2.0,uM,201288,IL-17A,,,100,ng/mL,1,MIP-1B,72.0,66
60006-1,RA2159,,,,,,,,,,,1,MIP-1B,78.0,64
60006-1,RA2159,10048-101-5,PD184352,0.1,uM,,,,,,,1,MIP-1B,68.0,67
60006-1,RA2159,10230-101-3,Lestaurtinib,0.3,uM,,,,,,,1,MIP-1B,65.0,83
60006-1,RA2159,10138-101-5,Ruxolitinib,0.3,uM,,,,,,,1,MIP-1B,71.0,78
60006-1,RA2159,10226-101-2,Tofacitinib,0.3,uM,,,,,,,1,MIP-1B,75.0,69
60006-1,RA2159,10228-102-3,IKK16,2.0,uM,,,,,,,1,MIP-1B,65.0,69
60006-1,RA2159,10363-101-2,JNK-IN-8,3.0,uM,,,,,,,1,MIP-1B,69.0,50
60001-1,N2586,,,,,,,,,,,1,MIP-1B,68.5,44
60001-1,N2586,10048-101-5,PD184352,0.1,uM,,,,,,,1,MIP-1B,62.5,58
60001-1,N2586,10230-101-3,Lestaurtinib,0.3,uM,,,,,,,1,MIP-1B,68.5,48
60001-1,N2586,10138-101-5,Ruxolitinib,0.3,uM,,,,,,,1,MIP-1B,69.0,55
60001-1,N2586,10226-101-2,Tofacitinib,0.3,uM,,,,,,,1,MIP-1B,77.0,56
60001-1,N2586,10228-102-3,IKK16,2.0,uM,,,,,,,1,MIP-1B,77.0,59
60001-1,N2586,10363-101-2,JNK-IN-8,3.0,uM,,,,,,,1,MIP-1B,75.0,74
60006-1,RA2159,,,,,201289,EGF,,,100,ng/mL,1,MIP-1B,65.0,68
60006-1,RA2159,10048-101-5,PD184352,0.1,uM,201289,EGF,,,100,ng/mL,1,MIP-1B,70.5,58
60006-1,RA2159,10230-101-3,Lestaurtinib,0.3,uM,201289,EGF,,,100,ng/mL,1,MIP-1B,64.5,74
60006-1,RA2159,10138-101-5,Ruxolitinib,0.3,uM,201289,EGF,,,100,ng/mL,1,MIP-1B,70.0,73
60006-1,RA2159,10226-101-2,Tofacitinib,0.3,uM,201289,EGF,,,100,ng/mL,1,MIP-1B,67.0,81
60006-1,RA2159,10228-102-3,IKK16,2.0,uM,201289,EGF,,,100,ng/mL,1,MIP-1B,66.0,57
60006-1,RA2159,10477-101-1,JNK-IN-11,0.3,uM,,,,,,,1,MIP-1B,69.0,75
60001-1,N2586,,,,,201289,EGF,,,100,ng/mL,1,MIP-1B,61.0,80
60001-1,N2586,10048-101-5,PD184352,0.1,uM,201289,EGF,,,100,ng/mL,1,MIP-1B,65.0,70
60001-1,N2586,10230-101-3,Lestaurtinib,0.3,uM,201289,EGF,,,100,ng/mL,1,MIP-1B,62.0,51
60001-1,N2586,10138-101-5,Ruxolitinib,0.3,uM,201289,EGF,,,100,ng/mL,1,MIP-1B,74.0,45
60001-1,N2586,10226-101-2,Tofacitinib,0.3,uM,201289,EGF,,,100,ng/mL,1,MIP-1B,66.0,68
60001-1,N2586,10228-102-3,IKK16,2.0,uM,201289,EGF,,,100,ng/mL,1,MIP-1B,67.0,57
60001-1,N2586,10477-101-1,JNK-IN-11,0.3,uM,,,,,,,1,MIP-1B,74.5,100
60006-1,RA2159,,,,,201290,IGF-I,,,100,ug/mL,1,MIP-1B,61.0,68
60006-1,RA2159,10048-101-5,PD184352,0.1,uM,201290,IGF-I,,,100,ug/mL,1,MIP-1B,58.5,74
60006-1,RA2159,10230-101-3,Lestaurtinib,0.3,uM,201290,IGF-I,,,100,ug/mL,1,MIP-1B,59.0,53
60006-1,RA2159,10138-101-5,Ruxolitinib,0.3,uM,201290,IGF-I,,,100,ug/mL,1,MIP-1B,62.0,61
60006-1,RA2159,10226-101-2,Tofacitinib,0.3,uM,201290,IGF-I,,,100,ug/mL,1,MIP-1B,61.0,84
60006-1,RA2159,10228-102-3,IKK16,2.0,uM,201290,IGF-I,,,100,ug/mL,1,MIP-1B,67.0,82
60006-1,RA2159,,,,,,,,,,,1,MIP-1B,63.0,60
60001-1,N2586,,,,,201290,IGF-I,,,100,ug/mL,1,MIP-1B,63.0,63
60001-1,N2586,10048-101-5,PD184352,0.1,uM,201290,IGF-I,,,100,ug/mL,1,MIP-1B,60.0,74
60001-1,N2586,10230-101-3,Lestaurtinib,0.3,uM,201290,IGF-I,,,100,ug/mL,1,MIP-1B,66.0,75
60001-1,N2586,10138-101-5,Ruxolitinib,0.3,uM,201290,IGF-I,,,100,ug/mL,1,MIP-1B,63.0,55
60001-1,N2586,10226-101-2,Tofacitinib,0.3,uM,201290,IGF-I,,,100,ug/mL,1,MIP-1B,62.0,73
60001-1,N2586,10228-102-3,IKK16,2.0,uM,201290,IGF-I,,,100,ug/mL,1,MIP-1B,62.0,63
60001-1,N2586,,,,,,,,,,,1,MIP-1B,78.0,85
60006-1,RA2159,,,,,201291,Adiponectin,,,5,ng/mL,1,MIP-1B,62.0,79
60006-1,RA2159,10048-101-5,PD184352,0.1,uM,201291,Adiponectin,,,5,ng/mL,1,MIP-1B,61.0,71
60006-1,RA2159,10230-101-3,Lestaurtinib,0.3,uM,201291,Adiponectin,,,5,ng/mL,1,MIP-1B,65.0,75
60006-1,RA2159,10138-101-5,Ruxolitinib,0.3,uM,201291,Adiponectin,,,5,ng/mL,1,MIP-1B,59.0,58
60006-1,RA2159,10226-101-2,Tofacitinib,0.3,uM,201291,Adiponectin,,,5,ng/mL,1,MIP-1B,68.0,62
60006-1,RA2159,10228-102-3,IKK16,2.0,uM,201291,Adiponectin,,,5,ng/mL,1,MIP-1B,55.0,81
60001-1,N2586,,,,,201291,Adiponectin,,,5,ng/mL,1,MIP-1B,63.0,64
60001-1,N2586,10048-101-5,PD184352,0.1,uM,201291,Adiponectin,,,5,ng/mL,1,MIP-1B,62.0,47
60001-1,N2586,10230-101-3,Lestaurtinib,0.3,uM,201291,Adiponectin,,,5,ng/mL,1,MIP-1B,60.0,65
60001-1,N2586,10138-101-5,Ruxolitinib,0.3,uM,201291,Adiponectin,,,5,ng/mL,1,MIP-1B,61.0,47
60001-1,N2586,10226-101-2,Tofacitinib,0.3,uM,201291,Adiponectin,,,5,ng/mL,1,MIP-1B,67.5,66
60001-1,N2586,10228-102-3,IKK16,2.0,uM,201291,Adiponectin,,,5,ng/mL,1,MIP-1B,59.0,51
60006-1,RA2159,,,,,201292,Leptin,,,1,ng/mL,1,MIP-1B,69.0,79
60006-1,RA2159,10048-101-5,PD184352,0.1,uM,201292,Leptin,,,1,ng/mL,1,MIP-1B,69.0,61
60006-1,RA2159,10230-101-3,Lestaurtinib,0.3,uM,201292,Leptin,,,1,ng/mL,1,MIP-1B,64.0,67
60006-1,RA2159,10138-101-5,Ruxolitinib,0.3,uM,201292,Leptin,,,1,ng/mL,1,MIP-1B,64.0,59
60006-1,RA2159,10226-101-2,Tofacitinib,0.3,uM,201292,Leptin,,,1,ng/mL,1,MIP-1B,60.0,61
60006-1,RA2159,10228-102-3,IKK16,2.0,uM,201292,Leptin,,,1,ng/mL,1,MIP-1B,72.0,59
60001-1,N2586,,,,,201292,Leptin,,,1,ng/mL,1,MIP-1B,62.0,49
60001-1,N2586,10048-101-5,PD184352,0.1,uM,201292,Leptin,,,1,ng/mL,1,MIP-1B,63.0,40
60001-1,N2586,10230-101-3,Lestaurtinib,0.3,uM,201292,Leptin,,,1,ng/mL,1,MIP-1B,61.0,88
60001-1,N2586,10138-101-5,Ruxolitinib,0.3,uM,201292,Leptin,,,1,ng/mL,1,MIP-1B,61.5,70
60001-1,N2586,10226-101-2,Tofacitinib,0.3,uM,201292,Leptin,,,1,ng/mL,1,MIP-1B,59.0,49
60001-1,N2586,10228-102-3,IKK16,2.0,uM,201292,Leptin,,,1,ng/mL,1,MIP-1B,63.0,48
60006-1,RA2159,,,,,,,,,,,1,MIP-1B,59.5,66
60006-1,RA2159,10048-101-5,PD184352,0.1,uM,,,,,,,1,MIP-1B,67.0,71
60006-1,RA2159,10230-101-3,Lestaurtinib,0.3,uM,,,,,,,1,MIP-1B,67.0,73
60006-1,RA2159,10138-101-5,Ruxolitinib,0.3,uM,,,,,,,1,MIP-1B,68.5,72
60006-1,RA2159,10226-101-2,Tofacitinib,0.3,uM,,,,,,,1,MIP-1B,64.0,97
60006-1,RA2159,10228-102-3,IKK16,2.0,uM,,,,,,,1,MIP-1B,61.0,71
60006-1,RA2159,,,,,,,,,,,1,MIP-1B,57.5,96
60001-1,N2586,,,,,,,,,,,1,MIP-1B,61.0,82
60001-1,N2586,10048-101-5,PD184352,0.1,uM,,,,,,,1,MIP-1B,61.0,71
60001-1,N2586,10230-101-3,Lestaurtinib,0.3,uM,,,,,,,1,MIP-1B,66.0,69
60001-1,N2586,10138-101-5,Ruxolitinib,0.3,uM,,,,,,,1,MIP-1B,62.0,72
60001-1,N2586,10226-101-2,Tofacitinib,0.3,uM,,,,,,,1,MIP-1B,64.0,73
60001-1,N2586,10228-102-3,IKK16,2.0,uM,,,,,,,1,MIP-1B,66.0,77
60001-1,N2586,,,,,,,,,,,1,MIP-1B,62.0,67
60006-1,RA2159,,,,,201293,Visfatin,,,1,ng/mL,1,MIP-1B,67.5,68
60006-1,RA2159,10048-101-5,PD184352,0.1,uM,201293,Visfatin,,,1,ng/mL,1,MIP-1B,64.0,69
60006-1,RA2159,10230-101-3,Lestaurtinib,0.3,uM,201293,Visfatin,,,1,ng/mL,1,MIP-1B,74.5,70
60006-1,RA2159,10138-101-5,Ruxolitinib,0.3,uM,201293,Visfatin,,,1,ng/mL,1,MIP-1B,64.5,74
60006-1,RA2159,10226-101-2,Tofacitinib,0.3,uM,201293,Visfatin,,,1,ng/mL,1,MIP-1B,63.0,43
60006-1,RA2159,10228-102-3,IKK16,2.0,uM,201293,Visfatin,,,1,ng/mL,1,MIP-1B,62.5,78
60001-1,N2586,,,,,201293,Visfatin,,,1,ng/mL,1,MIP-1B,58.0,76
60001-1,N2586,10048-101-5,PD184352,0.1,uM,201293,Visfatin,,,1,ng/mL,1,MIP-1B,64.0,59
60001-1,N2586,10230-101-3,Lestaurtinib,0.3,uM,201293,Visfatin,,,1,ng/mL,1,MIP-1B,61.0,71
60001-1,N2586,10138-101-5,Ruxolitinib,0.3,uM,201293,Visfatin,,,1,ng/mL,1,MIP-1B,60.0,57
60001-1,N2586,10226-101-2,Tofacitinib,0.3,uM,201293,Visfatin,,,1,ng/mL,1,MIP-1B,61.5,72
60001-1,N2586,10228-102-3,IKK16,2.0,uM,201293,Visfatin,,,1,ng/mL,1,MIP-1B,58.0,33
,,,,,,,,,,,,0,MIP-1B,68.0,59
60006-1,RA2159,,,,,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,100.0,57
60006-1,RA2159,10048-101-5,PD184352,0.1,uM,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,82.0,55
60006-1,RA2159,10230-101-3,Lestaurtinib,0.3,uM,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,69.0,71
60006-1,RA2159,10138-101-5,Ruxolitinib,0.3,uM,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,72.5,52
60006-1,RA2159,10226-101-2,Tofacitinib,0.3,uM,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,81.0,69
60006-1,RA2159,10228-102-3,IKK16,2.0,uM,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,69.0,68
60001-1,N2586,,,,,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,75.0,46
60001-1,N2586,10048-101-5,PD184352,0.1,uM,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,68.0,72
60001-1,N2586,10230-101-3,Lestaurtinib,0.3,uM,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,64.0,57
60001-1,N2586,10138-101-5,Ruxolitinib,0.3,uM,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,66.0,35
60001-1,N2586,10226-101-2,Tofacitinib,0.3,uM,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,78.5,52
60001-1,N2586,10228-102-3,IKK16,2.0,uM,,,90002-1,Poly(I:C),2,ug/mL,1,MIP-1B,67.0,60
,,,,,,,,,,,,0,MIP-1B,69.0,60
60006-1,RA2159,,,,,,,,,,,2,MIP-1B,63.0,65
60006-1,RA2159,10227-101-2,EO1428,1.0,uM,,,,,,,2,MIP-1B,66.5,76
60006-1,RA2159,10126-102-5,PI103,0.1,uM,,,,,,,2,MIP-1B,73.5,70
60006-1,RA2159,10035-109-4,Sigma A6730,3.0,uM,,,,,,,2,MIP-1B,65.0,63
60006-1,RA2159,10363-101-2,JNK-IN-8,3.0,uM,,,,,,,2,MIP-1B,66.5,70
60006-1,RA2159,10477-101-1,JNK-IN-11,0.3,uM,,,,,,,2,MIP-1B,69.0,69
60006-1,RA2159,,,,,,,,,,,2,MIP-1B,64.0,51
60001-1,N2586,,,,,,,,,,,2,MIP-1B,66.0,47
60001-1,N2586,10227-101-2,EO1428,1.0,uM,,,,,,,2,MIP-1B,62.0,61
60001-1,N2586,10126-102-5,PI103,0.1,uM,,,,,,,2,MIP-1B,68.0,50
60001-1,N2586,10035-109-4,Sigma A6730,3.0,uM,,,,,,,2,MIP-1B,63.5,50
60001-1,N2586,10363-101-2,JNK-IN-8,3.0,uM,,,,,,,2,MIP-1B,75.0,45
60001-1,N2586,10477-101-1,JNK-IN-11,0.3,uM,,,,,,,2,MIP-1B,68.0,46
60001-1,N2586,,,,,,,,,,,2,MIP-1B,70.0,41
,,,,,,,,,,,,0,MIP-1B,72.0,65
,,,,,,,,,,,,0,MIP-1B,76.0,42
60006-1,RA2159,,,,,201285,TNF-a,,,100,ng/mL,2,MIP-1B,78.0,69
60006-1,RA2159,10227-101-2,EO1428,1.0,uM,201285,TNF-a,,,100,ng/mL,2,MIP-1B,94.0,89
60006-1,RA2159,10126-102-5,PI103,0.1,uM,201285,TNF-a,,,100,ng/mL,2,MIP-1B,77.0,73
60006-1,RA2159,10035-109-4,Sigma A6730,3.0,uM,201285,TNF-a,,,100,ng/mL,2,MIP-1B,74.5,56
60006-1,RA2159,10363-101-2,JNK-IN-8,3.0,uM,201285,TNF-a,,,100,ng/mL,2,MIP-1B,65.0,67
60006-1,RA2159,10477-101-1,JNK-IN-11,0.3,uM,201285,TNF-a,,,100,ng/mL,2,MIP-1B,70.0,63
60006-1,RA2159,10048-101-5,PD184352,0.1,uM,,,,,,,2,MIP-1B,63.0,77
60001-1,N2586,,,,,201285,TNF-a,,,100,ng/mL,2,MIP-1B,81.0,77
60001-1,N2586,10227-101-2,EO1428,1.0,uM,201285,TNF-a,,,100,ng/mL,2,MIP-1B,84.0,69
60001-1,N2586,10126-102-5,PI103,0.1,uM,201285,TNF-a,,,100,ng/mL,2,MIP-1B,87.5,54
60001-1,N2586,10035-109-4,Sigma A6730,3.0,uM,201285,TNF-a,,,100,ng/mL,2,MIP-1B,82.0,61
60001-1,N2586,10363-101-2,JNK-IN-8,3.0,uM,201285,TNF-a,,,100,ng/mL,2,MIP-1B,83.0,43
60001-1,N2586,10477-101-1,JNK-IN-11,0.3,uM,201285,TNF-a,,,100,ng/mL,2,MIP-1B,86.0,59
60001-1,N2586,10048-101-5,PD184352,0.1,uM,,,,,,,2,MIP-1B,70.0,56
60006-1,RA2159,,,,,201286,IL-1 alpha,,,100,ng/mL,2,MIP-1B,132.5,68
60006-1,RA2159,10227-101-2,EO1428,1.0,uM,201286,IL-1 alpha,,,100,ng/mL,2,MIP-1B,107.0,67
60006-1,RA2159,10126-102-5,PI103,0.1,uM,201286,IL-1 alpha,,,100,ng/mL,2,MIP-1B,90.0,61
60006-1,RA2159,10035-109-4,Sigma A6730,3.0,uM,201286,IL-1 alpha,,,100,ng/mL,2,MIP-1B,188.5,62
60006-1,RA2159,10363-101-2,JNK-IN-8,3.0,uM,201286,IL-1 alpha,,,100,ng/mL,2,MIP-1B,98.0,64
60006-1,RA2159,10477-101-1,JNK-IN-11,0.3,uM,201286,IL-1 alpha,,,100,ng/mL,2,MIP-1B,96.0,58
60006-1,RA2159,10230-101-3,Lestaurtinib,0.3,uM,,,,,,,2,MIP-1B,66.5,56
60001-1,N2586,,,,,201286,IL-1 alpha,,,100,ng/mL,2,MIP-1B,120.5,50
60001-1,N2586,10227-101-2,EO1428,1.0,uM,201286,IL-1 alpha,,,100,ng/mL,2,MIP-1B,121.0,73
60001-1,N2586,10126-102-5,PI103,0.1,uM,201286,IL-1 alpha,,,100,ng/mL,2,MIP-1B,201.0,67
60001-1,N2586,10035-109-4,Sigma A6730,3.0,uM,201286,IL-1 alpha,,,100,ng/mL,2,MIP-1B,376.5,60
60001-1,N2586,10363-101-2,JNK-IN-8,3.0,uM,201286,IL-1 alpha,,,100,ng/mL,2,MIP-1B,97.0,54
60001-1,N2586,10477-101-1,JNK-IN-11,0.3,uM,201286,IL-1 alpha,,,100,ng/mL,2,MIP-1B,168.0,57
60001-1,N2586,10230-101-3,Lestaurtinib,0.3,uM,,,,,,,2,MIP-1B,66.0,46
60006-1,RA2159,,,,,201287,IL-6,,,100,ug/mL,2,MIP-1B,66.5,82
60006-1,RA2159,10227-101-2,EO1428,1.0,uM,201287,IL-6,,,100,ug/mL,2,MIP-1B,63.0,50
60006-1,RA2159,10126-102-5,PI103,0.1,uM,201287,IL-6,,,100,ug/mL,2,MIP-1B,67.5,70
60006-1,RA2159,10035-109-4,Sigma A6730,3.0,uM,201287,IL-6,,,100,ug/mL,2,MIP-1B,61.5,68
60006-1,RA2159,10363-101-2,JNK-IN-8,3.0,uM,201287,IL-6,,,100,ug/mL,2,MIP-1B,63.0,81
60006-1,RA2159,10477-101-1,JNK-IN-11,0.3,uM,201287,IL-6,,,100,ug/mL,2,MIP-1B,66.0,58
60006-1,RA2159,10138-101-5,Ruxolitinib,0.3,uM,,,,,,,2,MIP-1B,63.5,56
60001-1,N2586,,,,,201287,IL-6,,,100,ug/mL,2,MIP-1B,63.0,77
60001-1,N2586,10227-101-2,EO1428,1.0,uM,201287,IL-6,,,100,ug/mL,2,MIP-1B,58.0,88
60001-1,N2586,10126-102-5,PI103,0.1,uM,201287,IL-6,,,100,ug/mL,2,MIP-1B,63.5,56
60001-1,N2586,10035-109-4,Sigma A6730,3.0,uM,201287,IL-6,,,100,ug/mL,2,MIP-1B,63.5,46
60001-1,N2586,10363-101-2,JNK-IN-8,3.0,uM,201287,IL-6,,,100,ug/mL,2,MIP-1B,64.0,55
60001-1,N2586,10477-101-1,JNK-IN-11,0.3,uM,201287,IL-6,,,100,ug/mL,2,MIP-1B,67.0,69
60001-1,N2586,10138-101-5,Ruxolitinib,0.3,uM,,,,,,,2,MIP-1B,63.0,64
60006-1,RA2159,,,,,201288,IL-17A,,,100,ng/mL,2,MIP-1B,69.5,56
60006-1,RA2159,10227-101-2,EO1428,1.0,uM,201288,IL-17A,,,100,ng/mL,2,MIP-1B,70.0,75
60006-1,RA2159,10126-102-5,PI103,0.1,uM,201288,IL-17A,,,100,ng/mL,2,MIP-1B,68.0,75
60006-1,RA2159,10035-109-4,Sigma A6730,3.0,uM,201288,IL-17A,,,100,ng/mL,2,MIP-1B,68.0,73
