Cell HMS LINCS ID,Cell Name,Small Molecule 1 HMS LINCS ID,Small Molecule 1 Name,Small Molecule 2 HMS LINCS ID,Small Molecule 2 Name,Small Mol 1 Concentration,Small Mol 2 Concentration,Small Mol Conc Unit,Time Point,Time Point Unit,Replicate,Total Number of Cells (Nuclei),Number of Apoptotic Cells,Relative Viability,Mean Relative Viability,Apoptosis Fraction,Mean Apoptosis Fraction
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,3.160,0.000,uM,72,hr,2,3221,214,0.1523,0.1621,0.0664,0.0672
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,3.160,0.000,uM,72,hr,3,3598,270,0.1685,0.1621,0.0750,0.0672
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,3.160,0.316,uM,72,hr,1,1025,184,0.0426,0.0433,0.1795,0.1874
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,3.160,0.316,uM,72,hr,2,1189,229,0.0486,0.0433,0.1926,0.1874
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,3.160,0.316,uM,72,hr,3,947,180,0.0388,0.0433,0.1901,0.1874
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,3.160,1.000,uM,72,hr,1,1265,271,0.0503,0.0434,0.2142,0.1958
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,3.160,1.000,uM,72,hr,2,1025,203,0.0416,0.0434,0.1980,0.1958
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,3.160,1.000,uM,72,hr,3,914,160,0.0382,0.0434,0.1751,0.1958
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,3.160,3.160,uM,72,hr,1,1196,197,0.0506,0.0492,0.1647,0.1635
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,3.160,3.160,uM,72,hr,2,1138,197,0.0477,0.0492,0.1731,0.1635
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,3.160,3.160,uM,72,hr,3,1153,176,0.0495,0.0492,0.1526,0.1635
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.000,0.000,uM,72,hr,1,22233,990,1.0180,1.0000,0.0445,0.0468
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.000,0.000,uM,72,hr,2,21096,999,0.9631,1.0000,0.0474,0.0468
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.000,0.000,uM,72,hr,3,22342,1082,1.0188,1.0000,0.0484,0.0468
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.000,0.316,uM,72,hr,1,16963,834,0.7730,0.8197,0.0492,0.0506
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.000,0.316,uM,72,hr,2,18341,936,0.8341,0.8197,0.0510,0.0506
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.000,0.316,uM,72,hr,3,18747,969,0.8520,0.8197,0.0517,0.0506
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.000,1.000,uM,72,hr,1,9567,390,0.4398,0.4342,0.0408,0.0408
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.000,1.000,uM,72,hr,2,10229,430,0.4696,0.4342,0.0420,0.0408
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.000,1.000,uM,72,hr,3,8546,338,0.3934,0.4342,0.0396,0.0408
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.000,3.160,uM,72,hr,1,2168,298,0.0896,0.0889,0.1375,0.1262
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.000,3.160,uM,72,hr,2,2198,268,0.0925,0.0889,0.1219,0.1262
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.000,3.160,uM,72,hr,3,2006,239,0.0847,0.0889,0.1191,0.1262
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.100,0.000,uM,72,hr,1,13441,248,0.6323,0.4565,0.0185,0.0200
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.100,0.000,uM,72,hr,2,8056,164,0.3782,0.4565,0.0204,0.0200
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.100,0.000,uM,72,hr,3,7654,162,0.3590,0.4565,0.0212,0.0200
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.100,0.316,uM,72,hr,1,6437,120,0.3027,0.3141,0.0186,0.0173
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.100,0.316,uM,72,hr,2,6957,110,0.3281,0.3141,0.0158,0.0173
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.100,0.316,uM,72,hr,3,6615,115,0.3115,0.3141,0.0174,0.0173
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.100,1.000,uM,72,hr,1,5692,119,0.2671,0.2489,0.0209,0.0226
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.100,1.000,uM,72,hr,2,5639,128,0.2641,0.2489,0.0227,0.0226
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.100,1.000,uM,72,hr,3,4607,112,0.2154,0.2489,0.0243,0.0226
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.100,3.160,uM,72,hr,1,2119,435,0.0807,0.0825,0.2053,0.1694
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.100,3.160,uM,72,hr,2,2204,325,0.0900,0.0825,0.1475,0.1694
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.100,3.160,uM,72,hr,3,1899,295,0.0769,0.0825,0.1553,0.1694
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.316,0.000,uM,72,hr,1,5186,150,0.2413,0.2413,0.0289,0.0233
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.316,0.000,uM,72,hr,2,5264,123,0.2464,0.2413,0.0234,0.0233
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.316,0.000,uM,72,hr,3,5017,89,0.2362,0.2413,0.0177,0.0233
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.316,0.316,uM,72,hr,1,4202,97,0.1967,0.1926,0.0231,0.0248
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.316,0.316,uM,72,hr,2,4191,97,0.1962,0.1926,0.0231,0.0248
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.316,0.316,uM,72,hr,3,3967,112,0.1847,0.1926,0.0282,0.0248
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.316,1.000,uM,72,hr,1,3241,131,0.1490,0.1459,0.0404,0.0404
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.316,1.000,uM,72,hr,2,3276,125,0.1510,0.1459,0.0382,0.0404
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.316,1.000,uM,72,hr,3,2998,128,0.1375,0.1459,0.0427,0.0404
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.316,3.160,uM,72,hr,1,1639,365,0.0611,0.0613,0.2227,0.2108
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.316,3.160,uM,72,hr,2,1664,327,0.0641,0.0613,0.1965,0.2108
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.316,3.160,uM,72,hr,3,1557,332,0.0587,0.0613,0.2132,0.2108
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,1.000,0.000,uM,72,hr,1,3779,175,0.1727,0.1741,0.0463,0.0433
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,1.000,0.000,uM,72,hr,2,3938,167,0.1807,0.1741,0.0424,0.0433
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,1.000,0.000,uM,72,hr,3,3676,151,0.1689,0.1741,0.0411,0.0433
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,1.000,0.316,uM,72,hr,1,2938,147,0.1338,0.1394,0.0500,0.0554
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,1.000,0.316,uM,72,hr,2,3261,223,0.1456,0.1394,0.0684,0.0554
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,1.000,0.316,uM,72,hr,3,3044,145,0.1389,0.1394,0.0476,0.0554
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,1.000,1.000,uM,72,hr,1,2592,213,0.1140,0.1060,0.0822,0.0803
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,1.000,1.000,uM,72,hr,2,2479,188,0.1098,0.1060,0.0758,0.0803
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,1.000,1.000,uM,72,hr,3,2145,178,0.0943,0.1060,0.0830,0.0803
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,1.000,3.160,uM,72,hr,1,1436,338,0.0526,0.0534,0.2354,0.2441
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,1.000,3.160,uM,72,hr,2,1579,390,0.0570,0.0534,0.2470,0.2441
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,1.000,3.160,uM,72,hr,3,1408,352,0.0506,0.0534,0.2500,0.2441
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,3.160,0.000,uM,72,hr,1,2887,241,0.1268,0.1293,0.0835,0.0864
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,3.160,0.000,uM,72,hr,2,2966,270,0.1292,0.1293,0.0910,0.0864
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,3.160,0.000,uM,72,hr,3,3008,255,0.1319,0.1293,0.0848,0.0864
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,3.160,0.316,uM,72,hr,1,2320,269,0.0983,0.1027,0.1159,0.1177
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,3.160,0.316,uM,72,hr,2,2487,272,0.1062,0.1027,0.1094,0.1177
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,3.160,0.316,uM,72,hr,3,2479,317,0.1036,0.1027,0.1279,0.1177
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,3.160,1.000,uM,72,hr,1,2292,344,0.0934,0.0857,0.1501,0.1490
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,3.160,1.000,uM,72,hr,2,2192,327,0.0894,0.0857,0.1492,0.1490
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,3.160,1.000,uM,72,hr,3,1822,269,0.0744,0.0857,0.1476,0.1490
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,3.160,3.160,uM,72,hr,1,1574,486,0.0521,0.0435,0.3088,0.3296
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,3.160,3.160,uM,72,hr,2,1336,436,0.0431,0.0435,0.3263,0.3296
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,3.160,3.160,uM,72,hr,3,1142,404,0.0354,0.0435,0.3538,0.3296
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.000,0.000,uM,72,hr,1,17029,767,1.0229,1.0000,0.0450,0.0476
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.000,0.000,uM,72,hr,2,16317,808,0.9755,1.0000,0.0495,0.0476
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.000,0.000,uM,72,hr,3,16730,807,1.0016,1.0000,0.0482,0.0476
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.000,0.316,uM,72,hr,1,15089,638,0.9090,1.0016,0.0423,0.0383
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.000,0.316,uM,72,hr,2,16836,650,1.0181,1.0016,0.0386,0.0383
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.000,0.316,uM,72,hr,3,17737,603,1.0777,1.0016,0.0340,0.0383
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.000,1.000,uM,72,hr,1,11677,368,0.7113,0.6866,0.0315,0.0312
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.000,1.000,uM,72,hr,2,10880,316,0.6645,0.6866,0.0290,0.0312
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.000,1.000,uM,72,hr,3,11246,370,0.6841,0.6866,0.0329,0.0312
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.000,3.160,uM,72,hr,1,5745,285,0.3434,0.2974,0.0496,0.0491
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.000,3.160,uM,72,hr,2,5681,246,0.3419,0.2974,0.0433,0.0491
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.000,3.160,uM,72,hr,3,3476,189,0.2068,0.2974,0.0544,0.0491
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.100,0.000,uM,72,hr,1,7134,125,0.4409,0.4477,0.0175,0.0178
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.100,0.000,uM,72,hr,2,7416,121,0.4589,0.4477,0.0163,0.0178
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.100,0.000,uM,72,hr,3,7190,141,0.4434,0.4477,0.0196,0.0178
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.100,0.316,uM,72,hr,1,5860,137,0.3600,0.3831,0.0234,0.0229
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.100,0.316,uM,72,hr,2,6306,150,0.3872,0.3831,0.0238,0.0229
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.100,0.316,uM,72,hr,3,6531,140,0.4020,0.3831,0.0214,0.0229
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.100,1.000,uM,72,hr,1,5187,137,0.3177,0.2831,0.0264,0.0325
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.100,1.000,uM,72,hr,2,5169,175,0.3141,0.2831,0.0339,0.0325
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.100,1.000,uM,72,hr,3,3592,134,0.2175,0.2831,0.0373,0.0325
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.100,3.160,uM,72,hr,1,3804,246,0.2238,0.1826,0.0647,0.0764
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.100,3.160,uM,72,hr,2,3262,246,0.1897,0.1826,0.0754,0.0764
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.100,3.160,uM,72,hr,3,2345,209,0.1344,0.1826,0.0891,0.0764
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.316,0.000,uM,72,hr,1,3770,78,0.2322,0.2659,0.0207,0.0217
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.316,0.000,uM,72,hr,2,4429,94,0.2727,0.2659,0.0212,0.0217
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.316,0.000,uM,72,hr,3,4768,111,0.2929,0.2659,0.0233,0.0217
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.316,0.316,uM,72,hr,1,3156,117,0.1912,0.2100,0.0371,0.0374
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.316,0.316,uM,72,hr,2,3583,143,0.2164,0.2100,0.0399,0.0374
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.316,0.316,uM,72,hr,3,3667,129,0.2225,0.2100,0.0352,0.0374
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.316,1.000,uM,72,hr,1,3183,200,0.1876,0.1686,0.0628,0.0634
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.316,1.000,uM,72,hr,2,3374,191,0.2002,0.1686,0.0566,0.0634
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.316,1.000,uM,72,hr,3,2019,143,0.1180,0.1686,0.0708,0.0634
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.316,3.160,uM,72,hr,1,1972,218,0.1103,0.1134,0.1105,0.1152
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.316,3.160,uM,72,hr,2,2210,240,0.1239,0.1134,0.1086,0.1152
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,0.316,3.160,uM,72,hr,3,1928,244,0.1059,0.1134,0.1266,0.1152
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,1.000,0.000,uM,72,hr,1,3294,114,0.2000,0.2091,0.0346,0.0362
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,1.000,0.000,uM,72,hr,2,3545,130,0.2148,0.2091,0.0367,0.0362
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,1.000,0.000,uM,72,hr,3,3510,131,0.2125,0.2091,0.0373,0.0362
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,1.000,0.316,uM,72,hr,1,2957,180,0.1747,0.1694,0.0609,0.0638
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,1.000,0.316,uM,72,hr,2,2861,198,0.1675,0.1694,0.0692,0.0638
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,1.000,0.316,uM,72,hr,3,2810,172,0.1659,0.1694,0.0612,0.0638
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,1.000,1.000,uM,72,hr,1,2570,251,0.1459,0.1321,0.0977,0.1085
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,1.000,1.000,uM,72,hr,2,2551,274,0.1432,0.1321,0.1074,0.1085
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,1.000,1.000,uM,72,hr,3,1935,233,0.1071,0.1321,0.1204,0.1085
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,1.000,3.160,uM,72,hr,1,1798,263,0.0966,0.0897,0.1463,0.1612
50060-2,A-375,10068-101-1,Vemurafenib,10363-101-1,JNK-IN-8,1.000,3.160,uM,72,hr,2,1834,275,0.0981,0.0897,0.1499,0.1612
