Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Mean Relative Cell Count,Standard Error of the Mean for Relative Cell Count,Mean Normalized Growth Rate Inhibition Value,Standard Error of the Mean for Normalized Growth Rate Inhibition Value
50029-3,MCF7,10010-101-1,CP724714,0.04,uM,LJP5,0.8528,0.0459,0.8347,0.0585
50029-3,MCF7,10010-101-1,CP724714,0.12,uM,LJP5,0.8224,0.0341,0.8029,0.0365
50029-3,MCF7,10010-101-1,CP724714,0.37,uM,LJP5,0.8075,0.0169,0.7861,0.0147
50029-3,MCF7,10010-101-1,CP724714,1.11,uM,LJP5,0.8162,0.0333,0.7959,0.0383
50029-3,MCF7,10010-101-1,CP724714,3.33,uM,LJP5,0.8408,0.0379,0.8222,0.0487
50029-3,MCF7,10010-101-1,CP724714,10,uM,LJP5,0.5843,0.0481,0.4993,0.0752
50029-3,MCF7,10011-101-1,Alvocidib,0.04,uM,LJP6,0.2483,0.0405,-0.0866,0.1074
50029-3,MCF7,10011-101-1,Alvocidib,0.12,uM,LJP6,0.1420,0.0194,-0.3282,0.0216
50029-3,MCF7,10011-101-1,Alvocidib,0.37,uM,LJP6,0.1403,0.0256,-0.3350,0.0394
50029-3,MCF7,10011-101-1,Alvocidib,1.11,uM,LJP6,0.1310,0.0219,-0.3592,0.0332
50029-3,MCF7,10011-101-1,Alvocidib,3.33,uM,LJP6,0.1310,0.0252,-0.3605,0.0445
50029-3,MCF7,10011-101-1,Alvocidib,10,uM,LJP6,0.1297,0.0222,-0.3640,0.0401
50029-3,MCF7,10014-101-1,GW843682X,0.04,uM,LJP6,0.7374,0.0603,0.6803,0.0856
50029-3,MCF7,10014-101-1,GW843682X,0.12,uM,LJP6,0.4546,0.0545,0.2785,0.1052
50029-3,MCF7,10014-101-1,GW843682X,0.37,uM,LJP6,0.3637,0.0088,0.1397,0.0134
50029-3,MCF7,10014-101-1,GW843682X,1.11,uM,LJP6,0.3259,0.0215,0.0720,0.0109
50029-3,MCF7,10014-101-1,GW843682X,3.33,uM,LJP6,0.3093,0.0181,0.0415,0.0040
50029-3,MCF7,10014-101-1,GW843682X,10,uM,LJP6,0.3810,0.0478,0.1667,0.0569
50029-3,MCF7,10015-101-1,HG-5-113-01,0.04,uM,LJP5,0.8776,0.0341,0.8656,0.0398
50029-3,MCF7,10015-101-1,HG-5-113-01,0.12,uM,LJP5,0.7568,0.0798,0.7184,0.1046
50029-3,MCF7,10015-101-1,HG-5-113-01,0.37,uM,LJP5,0.5196,0.0709,0.3988,0.1222
50029-3,MCF7,10015-101-1,HG-5-113-01,1.11,uM,LJP5,0.3620,0.0198,0.1628,0.0640
50029-3,MCF7,10015-101-1,HG-5-113-01,3.33,uM,LJP5,0.3046,0.0132,0.0640,0.0106
50029-3,MCF7,10015-101-1,HG-5-113-01,10,uM,LJP5,0.1701,0.0207,-0.2218,0.0609
50029-3,MCF7,10016-101-1,HG-5-88-01,0.04,uM,LJP6,0.6965,0.0358,0.6347,0.0474
50029-3,MCF7,10016-101-1,HG-5-88-01,0.12,uM,LJP6,0.6712,0.0164,0.6021,0.0228
50029-3,MCF7,10016-101-1,HG-5-88-01,0.37,uM,LJP6,0.5931,0.0227,0.4931,0.0469
50029-3,MCF7,10016-101-1,HG-5-88-01,1.11,uM,LJP6,0.5030,0.0251,0.3638,0.0409
50029-3,MCF7,10016-101-1,HG-5-88-01,3.33,uM,LJP6,0.4049,0.0448,0.2079,0.0627
50029-3,MCF7,10016-101-1,HG-5-88-01,10,uM,LJP6,0.2541,0.0201,-0.0672,0.0309
50029-3,MCF7,10017-101-1,HG-6-64-01,0.04,uM,LJP6,1.1523,0.0380,1.1624,0.0388
50029-3,MCF7,10017-101-1,HG-6-64-01,0.12,uM,LJP6,1.0703,0.0498,1.0748,0.0558
50029-3,MCF7,10017-101-1,HG-6-64-01,0.37,uM,LJP6,1.0272,0.0214,1.0287,0.0236
50029-3,MCF7,10017-101-1,HG-6-64-01,1.11,uM,LJP6,0.9661,0.0602,0.9579,0.0720
50029-3,MCF7,10017-101-1,HG-6-64-01,3.33,uM,LJP6,0.6973,0.0616,0.6332,0.0726
50029-3,MCF7,10017-101-1,HG-6-64-01,10,uM,LJP6,0.1269,0.0424,-0.3873,0.1486
50029-3,MCF7,10018-101-1,Neratinib,0.04,uM,LJP5,0.7536,0.0701,0.7220,0.0723
50029-3,MCF7,10018-101-1,Neratinib,0.12,uM,LJP5,0.7080,0.0395,0.6634,0.0465
50029-3,MCF7,10018-101-1,Neratinib,0.37,uM,LJP5,0.6462,0.0079,0.5853,0.0242
50029-3,MCF7,10018-101-1,Neratinib,1.11,uM,LJP5,0.5346,0.0808,0.4186,0.1349
50029-3,MCF7,10018-101-1,Neratinib,3.33,uM,LJP5,0.4509,0.0629,0.2988,0.1201
50029-3,MCF7,10018-101-1,Neratinib,10,uM,LJP5,0.3162,0.0217,0.0822,0.0676
50029-3,MCF7,10019-101-1,JW-7-24-1,0.04,uM,LJP6,0.6772,0.0332,0.6075,0.0522
50029-3,MCF7,10019-101-1,JW-7-24-1,0.12,uM,LJP6,0.6351,0.0205,0.5511,0.0403
50029-3,MCF7,10019-101-1,JW-7-24-1,0.37,uM,LJP6,0.5117,0.0318,0.3732,0.0661
50029-3,MCF7,10019-101-1,JW-7-24-1,1.11,uM,LJP6,0.4223,0.0129,0.2364,0.0462
50029-3,MCF7,10019-101-1,JW-7-24-1,3.33,uM,LJP6,0.3642,0.0176,0.1389,0.0450
50029-3,MCF7,10019-101-1,JW-7-24-1,10,uM,LJP6,0.2219,0.0139,-0.1348,0.0021
50029-3,MCF7,10020-101-1,Dasatinib,0.04,uM,LJP5,0.6758,0.0443,0.6223,0.0562
50029-3,MCF7,10020-101-1,Dasatinib,0.04,uM,LJP6,0.3216,0.0439,0.0610,0.0713
50029-3,MCF7,10020-101-1,Dasatinib,0.12,uM,LJP5,0.3820,0.0784,0.1910,0.1183
50029-3,MCF7,10020-101-1,Dasatinib,0.12,uM,LJP6,0.2748,0.0533,-0.0320,0.0858
50029-3,MCF7,10020-101-1,Dasatinib,0.37,uM,LJP5,0.2621,0.0647,-0.0295,0.1075
50029-3,MCF7,10020-101-1,Dasatinib,0.37,uM,LJP6,0.2818,0.0694,-0.0226,0.1146
50029-3,MCF7,10020-101-1,Dasatinib,1.11,uM,LJP5,0.2496,0.0573,-0.0533,0.0903
50029-3,MCF7,10020-101-1,Dasatinib,1.11,uM,LJP6,0.2829,0.0610,-0.0181,0.0967
50029-3,MCF7,10020-101-1,Dasatinib,3.33,uM,LJP5,0.2615,0.0640,-0.0305,0.1030
50029-3,MCF7,10020-101-1,Dasatinib,3.33,uM,LJP6,0.2676,0.0594,-0.0484,0.0998
50029-3,MCF7,10020-101-1,Dasatinib,10,uM,LJP5,0.2694,0.0632,-0.0140,0.1052
50029-3,MCF7,10020-101-1,Dasatinib,10,uM,LJP6,0.2178,0.0461,-0.1510,0.0799
50029-3,MCF7,10021-101-1,Tozasertib,0.04,uM,LJP5,0.3082,0.0223,0.0704,0.0097
50029-3,MCF7,10021-101-1,Tozasertib,0.12,uM,LJP5,0.3057,0.0248,0.0656,0.0136
50029-3,MCF7,10021-101-1,Tozasertib,0.37,uM,LJP5,0.3098,0.0316,0.0723,0.0253
50029-3,MCF7,10021-101-1,Tozasertib,1.11,uM,LJP5,0.3131,0.0200,0.0794,0.0126
50029-3,MCF7,10021-101-1,Tozasertib,3.33,uM,LJP5,0.3119,0.0264,0.0768,0.0151
50029-3,MCF7,10021-101-1,Tozasertib,10,uM,LJP5,0.2916,0.0158,0.0394,0.0048
50029-3,MCF7,10023-103-1,Imatinib,0.04,uM,LJP6,1.0582,0.0444,1.0614,0.0486
50029-3,MCF7,10023-103-1,Imatinib,0.12,uM,LJP6,1.0771,0.0489,1.0800,0.0507
50029-3,MCF7,10023-103-1,Imatinib,0.37,uM,LJP6,1.0724,0.0384,1.0782,0.0438
50029-3,MCF7,10023-103-1,Imatinib,1.11,uM,LJP6,1.0588,0.0306,1.0633,0.0328
50029-3,MCF7,10023-103-1,Imatinib,3.33,uM,LJP6,1.0345,0.0391,1.0355,0.0434
50029-3,MCF7,10023-103-1,Imatinib,10,uM,LJP6,0.9128,0.0183,0.9005,0.0223
50029-3,MCF7,10024-101-1,NVP-TAE684,0.04,uM,LJP6,0.6451,0.0857,0.5532,0.1282
50029-3,MCF7,10024-101-1,NVP-TAE684,0.12,uM,LJP6,0.3621,0.0278,0.1330,0.0745
50029-3,MCF7,10024-101-1,NVP-TAE684,0.37,uM,LJP6,0.2833,0.0223,-0.0107,0.0683
50029-3,MCF7,10024-101-1,NVP-TAE684,1.11,uM,LJP6,0.2342,0.0144,-0.1085,0.0307
50029-3,MCF7,10024-101-1,NVP-TAE684,3.33,uM,LJP6,0.2248,0.0196,-0.1291,0.0124
50029-3,MCF7,10024-101-1,NVP-TAE684,10,uM,LJP6,0.1975,0.0476,-0.1984,0.1057
50029-3,MCF7,10025-101-1,CGP60474,0.04,uM,LJP5,0.9359,0.0642,0.9250,0.0744
50029-3,MCF7,10025-101-1,CGP60474,0.04,uM,LJP6,0.1510,0.0106,-0.3016,0.0204
50029-3,MCF7,10025-101-1,CGP60474,0.12,uM,LJP5,0.1713,0.0064,-0.2178,0.0412
50029-3,MCF7,10025-101-1,CGP60474,0.12,uM,LJP6,0.1481,0.0162,-0.3104,0.0255
50029-3,MCF7,10025-101-1,CGP60474,0.37,uM,LJP5,0.1320,0.0299,-0.3274,0.0526
50029-3,MCF7,10025-101-1,CGP60474,0.37,uM,LJP6,0.1518,0.0236,-0.3031,0.0402
50029-3,MCF7,10025-101-1,CGP60474,1.11,uM,LJP5,0.1368,0.0391,-0.3219,0.0769
50029-3,MCF7,10025-101-1,CGP60474,1.11,uM,LJP6,0.1368,0.0177,-0.3419,0.0271
50029-3,MCF7,10025-101-1,CGP60474,3.33,uM,LJP5,0.1239,0.0316,-0.3547,0.0615
50029-3,MCF7,10025-101-1,CGP60474,3.33,uM,LJP6,0.1278,0.0279,-0.3722,0.0540
50029-3,MCF7,10025-101-1,CGP60474,10,uM,LJP5,0.1170,0.0301,-0.3739,0.0593
50029-3,MCF7,10025-101-1,CGP60474,10,uM,LJP6,0.0894,0.0185,-0.4845,0.0358
50029-3,MCF7,10026-101-1,PD173074,0.04,uM,LJP6,1.0921,0.0379,1.0978,0.0379
50029-3,MCF7,10026-101-1,PD173074,0.12,uM,LJP6,1.0689,0.0149,1.0759,0.0165
50029-3,MCF7,10026-101-1,PD173074,0.37,uM,LJP6,1.0366,0.0394,1.0406,0.0451
50029-3,MCF7,10026-101-1,PD173074,1.11,uM,LJP6,1.0922,0.0324,1.1014,0.0382
50029-3,MCF7,10026-101-1,PD173074,3.33,uM,LJP6,1.0939,0.0621,1.1007,0.0693
50029-3,MCF7,10026-101-1,PD173074,10,uM,LJP6,0.6484,0.0789,0.5718,0.0905
50029-3,MCF7,10027-101-1,Crizotinib,0.04,uM,LJP5,0.7874,0.0408,0.7622,0.0404
50029-3,MCF7,10027-101-1,Crizotinib,0.12,uM,LJP5,0.7771,0.0351,0.7475,0.0451
50029-3,MCF7,10027-101-1,Crizotinib,0.37,uM,LJP5,0.6748,0.0465,0.6182,0.0703
50029-3,MCF7,10027-101-1,Crizotinib,1.11,uM,LJP5,0.4843,0.0512,0.3507,0.0962
50029-3,MCF7,10027-101-1,Crizotinib,3.33,uM,LJP5,0.2981,0.0058,0.0468,0.0274
50029-3,MCF7,10027-101-1,Crizotinib,10,uM,LJP5,0.1897,0.0110,-0.1740,0.0374
50029-3,MCF7,10028-102-1,BMS345541,0.04,uM,LJP6,1.0542,0.0296,1.0619,0.0335
50029-3,MCF7,10028-102-1,BMS345541,0.12,uM,LJP6,1.0006,0.0318,1.0030,0.0349
50029-3,MCF7,10028-102-1,BMS345541,0.37,uM,LJP6,0.8995,0.0263,0.8825,0.0332
50029-3,MCF7,10028-102-1,BMS345541,1.11,uM,LJP6,0.6030,0.0488,0.5019,0.0836
50029-3,MCF7,10028-102-1,BMS345541,3.33,uM,LJP6,0.2964,0.0335,0.0136,0.0718
50029-3,MCF7,10028-102-1,BMS345541,10,uM,LJP6,0.1388,0.0397,-0.3479,0.0815
50029-3,MCF7,10031-101-1,KIN001-043,0.04,uM,LJP6,0.9641,0.0320,0.9569,0.0366
50029-3,MCF7,10031-101-1,KIN001-043,0.12,uM,LJP6,0.8832,0.0343,0.8644,0.0434
50029-3,MCF7,10031-101-1,KIN001-043,0.37,uM,LJP6,0.8584,0.0480,0.8373,0.0571
50029-3,MCF7,10031-101-1,KIN001-043,1.11,uM,LJP6,0.8695,0.0211,0.8511,0.0239
50029-3,MCF7,10031-101-1,KIN001-043,3.33,uM,LJP6,0.8209,0.0204,0.7909,0.0287
50029-3,MCF7,10031-101-1,KIN001-043,10,uM,LJP6,0.4145,0.0103,0.2245,0.0232
50029-3,MCF7,10032-101-1,Saracatinib,0.04,uM,LJP6,0.8719,0.0287,0.8538,0.0317
50029-3,MCF7,10032-101-1,Saracatinib,0.12,uM,LJP6,0.7163,0.0597,0.6612,0.0668
50029-3,MCF7,10032-101-1,Saracatinib,0.37,uM,LJP6,0.5499,0.0882,0.4298,0.1138
50029-3,MCF7,10032-101-1,Saracatinib,1.11,uM,LJP6,0.4836,0.1118,0.3234,0.1537
50029-3,MCF7,10032-101-1,Saracatinib,3.33,uM,LJP6,0.4236,0.1026,0.2282,0.1474
50029-3,MCF7,10032-101-1,Saracatinib,10,uM,LJP6,0.4442,0.0871,0.2662,0.1192
50029-3,MCF7,10035-101-1,Sigma A6730,0.04,uM,LJP5,0.7767,0.0187,0.7492,0.0132
50029-3,MCF7,10035-101-1,Sigma A6730,0.12,uM,LJP5,0.7711,0.0087,0.7413,0.0197
50029-3,MCF7,10035-101-1,Sigma A6730,0.37,uM,LJP5,0.7413,0.0391,0.7010,0.0585
50029-3,MCF7,10035-101-1,Sigma A6730,1.11,uM,LJP5,0.5622,0.0121,0.4712,0.0383
50029-3,MCF7,10035-101-1,Sigma A6730,3.33,uM,LJP5,0.5389,0.0323,0.4359,0.0640
50029-3,MCF7,10035-101-1,Sigma A6730,10,uM,LJP5,0.2682,0.0374,-0.0151,0.1010
50029-3,MCF7,10039-101-1,WH-4-025,0.04,uM,LJP5,0.9400,0.0268,0.9342,0.0309
50029-3,MCF7,10039-101-1,WH-4-025,0.12,uM,LJP5,0.7140,0.0537,0.6707,0.0633
50029-3,MCF7,10039-101-1,WH-4-025,0.37,uM,LJP5,0.5667,0.0532,0.4718,0.0871
50029-3,MCF7,10039-101-1,WH-4-025,1.11,uM,LJP5,0.3585,0.0796,0.1497,0.1201
50029-3,MCF7,10039-101-1,WH-4-025,3.33,uM,LJP5,0.3618,0.0595,0.1608,0.0823
50029-3,MCF7,10039-101-1,WH-4-025,10,uM,LJP5,0.2246,0.0117,-0.0967,0.0455
50029-3,MCF7,10040-101-1,R406,0.04,uM,LJP6,0.9610,0.0421,0.9590,0.0446
50029-3,MCF7,10040-101-1,R406,0.12,uM,LJP6,1.0216,0.0477,1.0271,0.0524
50029-3,MCF7,10040-101-1,R406,0.37,uM,LJP6,0.9496,0.0451,0.9436,0.0524
50029-3,MCF7,10040-101-1,R406,1.11,uM,LJP6,0.8797,0.0439,0.8648,0.0454
50029-3,MCF7,10040-101-1,R406,3.33,uM,LJP6,0.7831,0.0283,0.7464,0.0329
50029-3,MCF7,10040-101-1,R406,10,uM,LJP6,0.4453,0.0175,0.2751,0.0245
50029-3,MCF7,10041-101-1,BI-2536,0.04,uM,LJP6,0.3419,0.0301,0.1007,0.0254
50029-3,MCF7,10041-101-1,BI-2536,0.12,uM,LJP6,0.3188,0.0211,0.0593,0.0097
50029-3,MCF7,10041-101-1,BI-2536,0.37,uM,LJP6,0.3170,0.0279,0.0551,0.0254
50029-3,MCF7,10041-101-1,BI-2536,1.11,uM,LJP6,0.3140,0.0329,0.0492,0.0381
50029-3,MCF7,10041-101-1,BI-2536,3.33,uM,LJP6,0.2997,0.0286,0.0223,0.0272
50029-3,MCF7,10041-101-1,BI-2536,10,uM,LJP6,0.1976,0.0183,-0.1905,0.0220
50029-3,MCF7,10045-101-1,A443654,0.04,uM,LJP6,0.2819,0.0287,-0.0127,0.0503
50029-3,MCF7,10045-101-1,A443654,0.12,uM,LJP6,0.2178,0.0141,-0.1433,0.0147
50029-3,MCF7,10045-101-1,A443654,0.37,uM,LJP6,0.1638,0.0243,-0.2722,0.0675
50029-3,MCF7,10045-101-1,A443654,1.11,uM,LJP6,0.1663,0.0145,-0.2631,0.0264
50029-3,MCF7,10045-101-1,A443654,3.33,uM,LJP6,0.1503,0.0044,-0.3031,0.0325
50029-3,MCF7,10045-101-1,A443654,10,uM,LJP6,0.1284,0.0280,-0.3680,0.0628
50029-3,MCF7,10046-101-1,SB590885,0.04,uM,LJP5,0.9338,0.0462,0.9285,0.0500
50029-3,MCF7,10046-101-1,SB590885,0.12,uM,LJP5,0.9717,0.0263,0.9702,0.0257
50029-3,MCF7,10046-101-1,SB590885,0.37,uM,LJP5,1.0117,0.0375,1.0127,0.0404
50029-3,MCF7,10046-101-1,SB590885,1.11,uM,LJP5,1.0714,0.0439,1.0737,0.0480
50029-3,MCF7,10046-101-1,SB590885,3.33,uM,LJP5,1.0569,0.0442,1.0565,0.0461
50029-3,MCF7,10046-101-1,SB590885,10,uM,LJP5,0.4919,0.1997,0.2761,0.3688
50029-3,MCF7,10047-101-1,Pictilisib,0.04,uM,LJP6,0.4825,0.0311,0.3312,0.0581
50029-3,MCF7,10047-101-1,Pictilisib,0.12,uM,LJP6,0.3857,0.0140,0.1763,0.0455
50029-3,MCF7,10047-101-1,Pictilisib,0.37,uM,LJP6,0.2977,0.0026,0.0196,0.0270
50029-3,MCF7,10047-101-1,Pictilisib,1.11,uM,LJP6,0.2853,0.0159,-0.0042,0.0041
50029-3,MCF7,10047-101-1,Pictilisib,3.33,uM,LJP6,0.2694,0.0171,-0.0358,0.0076
50029-3,MCF7,10047-101-1,Pictilisib,10,uM,LJP6,0.2476,0.0232,-0.0810,0.0397
50029-3,MCF7,10048-101-1,PD184352,0.04,uM,LJP5,0.9301,0.0783,0.9147,0.0895
50029-3,MCF7,10048-101-1,PD184352,0.12,uM,LJP5,0.8331,0.0608,0.8105,0.0772
50029-3,MCF7,10048-101-1,PD184352,0.37,uM,LJP5,0.7522,0.0256,0.7183,0.0344
50029-3,MCF7,10048-101-1,PD184352,1.11,uM,LJP5,0.6923,0.0391,0.6458,0.0426
50029-3,MCF7,10048-101-1,PD184352,3.33,uM,LJP5,0.6369,0.0224,0.5743,0.0196
50029-3,MCF7,10048-101-1,PD184352,10,uM,LJP5,0.4740,0.0060,0.3444,0.0214
50029-3,MCF7,10049-101-1,PLX-4720,0.04,uM,LJP5,1.0375,0.0413,1.0376,0.0451
50029-3,MCF7,10049-101-1,PLX-4720,0.12,uM,LJP5,0.9504,0.0117,0.9445,0.0160
50029-3,MCF7,10049-101-1,PLX-4720,0.37,uM,LJP5,1.0182,0.0276,1.0161,0.0282
50029-3,MCF7,10049-101-1,PLX-4720,1.11,uM,LJP5,0.9930,0.0109,0.9910,0.0116
50029-3,MCF7,10049-101-1,PLX-4720,3.33,uM,LJP5,0.8689,0.0446,0.8514,0.0561
50029-3,MCF7,10049-101-1,PLX-4720,10,uM,LJP5,0.5849,0.0720,0.4995,0.0918
50029-3,MCF7,10051-104-1,Lapatinib,0.04,uM,LJP6,0.8345,0.0516,0.8035,0.0697
50029-3,MCF7,10051-104-1,Lapatinib,0.12,uM,LJP6,0.8943,0.0620,0.8718,0.0746
50029-3,MCF7,10051-104-1,Lapatinib,0.37,uM,LJP6,0.9576,0.0372,0.9474,0.0426
50029-3,MCF7,10051-104-1,Lapatinib,1.11,uM,LJP6,0.9478,0.0457,0.9365,0.0529
50029-3,MCF7,10051-104-1,Lapatinib,3.33,uM,LJP6,0.9350,0.0245,0.9261,0.0291
50029-3,MCF7,10051-104-1,Lapatinib,10,uM,LJP6,0.4779,0.0477,0.3214,0.0804
50029-3,MCF7,10052-101-1,Sirolimus,0.04,uM,LJP6,0.5982,0.0299,0.5019,0.0434
50029-3,MCF7,10052-101-1,Sirolimus,0.12,uM,LJP6,0.5980,0.0287,0.5022,0.0402
50029-3,MCF7,10052-101-1,Sirolimus,0.37,uM,LJP6,0.5865,0.0160,0.4859,0.0276
50029-3,MCF7,10052-101-1,Sirolimus,1.11,uM,LJP6,0.5894,0.0330,0.4896,0.0463
50029-3,MCF7,10052-101-1,Sirolimus,3.33,uM,LJP6,0.5929,0.0168,0.4953,0.0278
50029-3,MCF7,10052-101-1,Sirolimus,10,uM,LJP6,0.5661,0.0396,0.4564,0.0556
50029-3,MCF7,10053-101-1,ZSTK474,0.04,uM,LJP6,0.7248,0.0815,0.6639,0.1149
50029-3,MCF7,10053-101-1,ZSTK474,0.12,uM,LJP6,0.5124,0.0600,0.3697,0.1057
50029-3,MCF7,10053-101-1,ZSTK474,0.37,uM,LJP6,0.3629,0.0118,0.1381,0.0276
50029-3,MCF7,10053-101-1,ZSTK474,1.11,uM,LJP6,0.3099,0.0119,0.0423,0.0375
50029-3,MCF7,10053-101-1,ZSTK474,3.33,uM,LJP6,0.2886,0.0144,0.0016,0.0410
50029-3,MCF7,10053-101-1,ZSTK474,10,uM,LJP6,0.2801,0.0287,-0.0168,0.0633
50029-3,MCF7,10055-101-1,BX-912,0.04,uM,LJP5,0.8342,0.0281,0.8162,0.0306
50029-3,MCF7,10055-101-1,BX-912,0.12,uM,LJP5,0.8803,0.0255,0.8660,0.0335
50029-3,MCF7,10055-101-1,BX-912,0.37,uM,LJP5,0.7709,0.0730,0.7312,0.0964
50029-3,MCF7,10055-101-1,BX-912,1.11,uM,LJP5,0.5550,0.0274,0.4590,0.0583
50029-3,MCF7,10055-101-1,BX-912,3.33,uM,LJP5,0.4401,0.0098,0.2925,0.0362
50029-3,MCF7,10055-101-1,BX-912,10,uM,LJP5,0.2810,0.0116,0.0193,0.0173
50029-3,MCF7,10056-101-1,Selumetinib,0.04,uM,LJP6,0.8858,0.0593,0.8670,0.0726
50029-3,MCF7,10056-101-1,Selumetinib,0.12,uM,LJP6,0.7455,0.0289,0.6964,0.0409
50029-3,MCF7,10056-101-1,Selumetinib,0.37,uM,LJP6,0.6461,0.0324,0.5684,0.0358
50029-3,MCF7,10056-101-1,Selumetinib,1.11,uM,LJP6,0.6264,0.0421,0.5427,0.0415
50029-3,MCF7,10056-101-1,Selumetinib,3.33,uM,LJP6,0.6499,0.0403,0.5754,0.0365
50029-3,MCF7,10056-101-1,Selumetinib,10,uM,LJP6,0.6128,0.0231,0.5242,0.0135
50029-3,MCF7,10057-102-1,MK2206,0.04,uM,LJP6,0.6855,0.0424,0.6162,0.0671
50029-3,MCF7,10057-102-1,MK2206,0.12,uM,LJP6,0.6000,0.0235,0.5025,0.0495
50029-3,MCF7,10057-102-1,MK2206,0.37,uM,LJP6,0.4479,0.0326,0.2781,0.0556
50029-3,MCF7,10057-102-1,MK2206,1.11,uM,LJP6,0.4571,0.0289,0.2907,0.0680
50029-3,MCF7,10057-102-1,MK2206,3.33,uM,LJP6,0.3861,0.0189,0.1763,0.0538
50029-3,MCF7,10057-102-1,MK2206,10,uM,LJP6,0.2380,0.0287,-0.1039,0.0837
