Cell HMS LINCS ID,Cell Name,Small Molecule 1 HMS LINCS ID,Small Molecule 1 Name,Small Molecule 2 HMS LINCS ID,Small Molecule 2 Name,Small Molecule 3 HMS LINCS ID,Small Molecule 3 Name,Small Mol 1 Concentration,Small Mol 2 Concentration,Small Mol 3 Concentration,Small Mol Conc Unit,Time Point,Time Point Unit,Replicate,Total Number of Cells (Nuclei),Number of Apoptotic Cells,Relative Viability,Mean Relative Viability,Apoptosis Fraction,Mean Apoptosis Fraction
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,0.1000,0.0100,0.3160,uM,72,hr,1,766,180,0.0377,0.0429,0.2350,0.2266
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,0.1000,0.0100,0.3160,uM,72,hr,2,890,196,0.0446,0.0429,0.2202,0.2266
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,0.1000,0.0100,0.3160,uM,72,hr,3,931,209,0.0464,0.0429,0.2245,0.2266
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,0.1000,0.0100,1.0000,uM,72,hr,1,772,164,0.0391,0.0336,0.2124,0.2228
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,0.1000,0.0100,1.0000,uM,72,hr,2,639,159,0.0308,0.0336,0.2488,0.2228
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,0.1000,0.0100,1.0000,uM,72,hr,3,608,126,0.0310,0.0336,0.2072,0.2228
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,0.1000,0.0100,3.1600,uM,72,hr,1,997,194,0.0516,0.0393,0.1946,0.1867
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,0.1000,0.0100,3.1600,uM,72,hr,2,742,124,0.0397,0.0393,0.1671,0.1867
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,0.1000,0.0100,3.1600,uM,72,hr,3,519,103,0.0267,0.0393,0.1985,0.1867
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,0.3160,0.0316,0.0000,uM,72,hr,1,1997,255,0.1119,0.1296,0.1277,0.1185
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,0.3160,0.0316,0.0000,uM,72,hr,2,2298,254,0.1314,0.1296,0.1105,0.1185
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,0.3160,0.0316,0.0000,uM,72,hr,3,2567,301,0.1456,0.1296,0.1173,0.1185
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,0.3160,0.0316,0.3160,uM,72,hr,1,941,182,0.0488,0.0503,0.1934,0.1892
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,0.3160,0.0316,0.3160,uM,72,hr,2,956,173,0.0503,0.0503,0.1810,0.1892
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,0.3160,0.0316,0.3160,uM,72,hr,3,999,193,0.0518,0.0503,0.1932,0.1892
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,0.3160,0.0316,1.0000,uM,72,hr,1,888,162,0.0467,0.0378,0.1824,0.2000
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,0.3160,0.0316,1.0000,uM,72,hr,2,658,136,0.0335,0.0378,0.2067,0.2000
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,0.3160,0.0316,1.0000,uM,72,hr,3,654,138,0.0332,0.0378,0.2110,0.2000
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,0.3160,0.0316,3.1600,uM,72,hr,1,1031,185,0.0544,0.0441,0.1794,0.1675
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,0.3160,0.0316,3.1600,uM,72,hr,2,818,134,0.0440,0.0441,0.1638,0.1675
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,0.3160,0.0316,3.1600,uM,72,hr,3,628,100,0.0339,0.0441,0.1592,0.1675
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,1.0000,0.1000,0.0000,uM,72,hr,1,2079,274,0.1160,0.1297,0.1318,0.1366
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,1.0000,0.1000,0.0000,uM,72,hr,2,2433,341,0.1344,0.1297,0.1402,0.1366
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,1.0000,0.1000,0.0000,uM,72,hr,3,2503,345,0.1387,0.1297,0.1378,0.1366
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,1.0000,0.1000,0.3160,uM,72,hr,1,1280,253,NaN,NaN,NaN,NaN
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,1.0000,0.1000,0.3160,uM,72,hr,2,1356,203,NaN,NaN,NaN,NaN
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,1.0000,0.1000,0.3160,uM,72,hr,3,1240,173,NaN,NaN,NaN,NaN
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,1.0000,0.1000,1.0000,uM,72,hr,1,1199,182,NaN,NaN,NaN,NaN
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,1.0000,0.1000,1.0000,uM,72,hr,2,1178,186,NaN,NaN,NaN,NaN
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,1.0000,0.1000,1.0000,uM,72,hr,3,824,144,NaN,NaN,NaN,NaN
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,1.0000,0.1000,3.1600,uM,72,hr,1,1087,164,NaN,NaN,NaN,NaN
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,1.0000,0.1000,3.1600,uM,72,hr,2,983,145,NaN,NaN,NaN,NaN
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,1.0000,0.1000,3.1600,uM,72,hr,3,822,132,NaN,NaN,NaN,NaN
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,3.1600,0.3160,0.0000,uM,72,hr,1,2289,305,0.1275,0.1401,0.1332,0.1253
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,3.1600,0.3160,0.0000,uM,72,hr,2,2324,305,0.1297,0.1401,0.1312,0.1253
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,3.1600,0.3160,0.0000,uM,72,hr,3,2855,318,0.1630,0.1401,0.1114,0.1253
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,3.1600,0.3160,0.3160,uM,72,hr,1,1250,219,NaN,NaN,NaN,NaN
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,3.1600,0.3160,0.3160,uM,72,hr,2,1231,219,NaN,NaN,NaN,NaN
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,3.1600,0.3160,0.3160,uM,72,hr,3,1265,236,NaN,NaN,NaN,NaN
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,3.1600,0.3160,1.0000,uM,72,hr,1,1427,243,NaN,NaN,NaN,NaN
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,3.1600,0.3160,1.0000,uM,72,hr,2,1258,245,NaN,NaN,NaN,NaN
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,3.1600,0.3160,1.0000,uM,72,hr,3,959,178,NaN,NaN,NaN,NaN
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,3.1600,0.3160,3.1600,uM,72,hr,1,1027,243,NaN,NaN,NaN,NaN
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,3.1600,0.3160,3.1600,uM,72,hr,2,974,236,NaN,NaN,NaN,NaN
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10020-101-1,Dasatinib,3.1600,0.3160,3.1600,uM,72,hr,3,939,220,NaN,NaN,NaN,NaN
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,0.0000,0.0000,0.0000,uM,72,hr,1,19308,1026,1.0346,1.0000,0.0531,0.0517
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,0.0000,0.0000,0.0000,uM,72,hr,2,19509,973,1.0489,1.0000,0.0499,0.0517
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,0.0000,0.0000,0.0000,uM,72,hr,3,17086,890,0.9165,1.0000,0.0521,0.0517
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,0.0000,0.0000,0.3160,uM,72,hr,1,15081,869,0.8042,0.8521,0.0576,0.0546
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,0.0000,0.0000,0.3160,uM,72,hr,2,16146,916,0.8618,0.8521,0.0567,0.0546
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,0.0000,0.0000,0.3160,uM,72,hr,3,16548,819,0.8901,0.8521,0.0495,0.0546
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,0.0000,0.0000,1.0000,uM,72,hr,1,9628,474,0.5180,0.5111,0.0492,0.0493
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,0.0000,0.0000,1.0000,uM,72,hr,2,9606,487,0.5160,0.5111,0.0507,0.0493
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,0.0000,0.0000,1.0000,uM,72,hr,3,9269,446,0.4993,0.5111,0.0481,0.0493
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,0.0000,0.0000,3.1600,uM,72,hr,1,2870,305,0.1452,0.1203,0.1063,0.1099
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,0.0000,0.0000,3.1600,uM,72,hr,2,2274,274,0.1132,0.1203,0.1205,0.1099
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,0.0000,0.0000,3.1600,uM,72,hr,3,2021,208,0.1026,0.1203,0.1029,0.1099
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,0.1000,0.0100,0.0000,uM,72,hr,1,2530,245,0.1293,0.1257,0.0968,0.0985
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,0.1000,0.0100,0.0000,uM,72,hr,2,2428,273,0.1219,0.1257,0.1124,0.0985
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,0.1000,0.0100,0.0000,uM,72,hr,3,2433,210,0.1258,0.1257,0.0863,0.0985
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,0.1000,0.0100,0.3160,uM,72,hr,1,1906,240,0.0943,0.0985,0.1259,0.1245
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,0.1000,0.0100,0.3160,uM,72,hr,2,2021,241,0.1007,0.0985,0.1192,0.1245
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,0.1000,0.0100,0.3160,uM,72,hr,3,2035,261,0.1004,0.0985,0.1283,0.1245
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,0.1000,0.0100,1.0000,uM,72,hr,1,1986,341,0.0931,0.0813,0.1717,0.1656
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,0.1000,0.0100,1.0000,uM,72,hr,2,1751,286,0.0829,0.0813,0.1633,0.1656
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,0.1000,0.0100,1.0000,uM,72,hr,3,1429,231,0.0678,0.0813,0.1617,0.1656
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,0.1000,0.0100,3.1600,uM,72,hr,1,1460,527,0.0528,0.0486,0.3610,0.3602
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,0.1000,0.0100,3.1600,uM,72,hr,2,1418,507,0.0516,0.0486,0.3575,0.3602
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,0.1000,0.0100,3.1600,uM,72,hr,3,1146,415,0.0414,0.0486,0.3621,0.3602
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,0.3160,0.0316,0.0000,uM,72,hr,1,2583,284,0.1301,0.1233,0.1099,0.1121
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,0.3160,0.0316,0.0000,uM,72,hr,2,2471,287,0.1236,0.1233,0.1161,0.1121
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,0.3160,0.0316,0.0000,uM,72,hr,3,2305,254,0.1161,0.1233,0.1102,0.1121
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,0.3160,0.0316,0.3160,uM,72,hr,1,1828,280,0.0876,0.0836,0.1532,0.1577
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,0.3160,0.0316,0.3160,uM,72,hr,2,1648,258,0.0787,0.0836,0.1566,0.1577
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,0.3160,0.0316,0.3160,uM,72,hr,3,1787,292,0.0846,0.0836,0.1634,0.1577
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,0.3160,0.0316,1.0000,uM,72,hr,1,2031,349,0.0952,0.0808,0.1718,0.1811
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,0.3160,0.0316,1.0000,uM,72,hr,2,1670,300,0.0775,0.0808,0.1796,0.1811
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,0.3160,0.0316,1.0000,uM,72,hr,3,1523,292,0.0697,0.0808,0.1917,0.1811
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,0.3160,0.0316,3.1600,uM,72,hr,1,1286,479,0.0457,0.0422,0.3725,0.3824
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,0.3160,0.0316,3.1600,uM,72,hr,2,1232,483,0.0424,0.0422,0.3920,0.3824
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,0.3160,0.0316,3.1600,uM,72,hr,3,1100,421,0.0384,0.0422,0.3827,0.3824
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,1.0000,0.1000,0.0000,uM,72,hr,1,2532,327,0.1248,0.1290,0.1291,0.1253
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,1.0000,0.1000,0.0000,uM,72,hr,2,2399,299,0.1188,0.1290,0.1246,0.1253
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,1.0000,0.1000,0.0000,uM,72,hr,3,2888,353,0.1435,0.1290,0.1222,0.1253
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,1.0000,0.1000,0.3160,uM,72,hr,1,1919,300,0.0916,0.0980,0.1563,0.1448
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,1.0000,0.1000,0.3160,uM,72,hr,2,2122,253,0.1058,0.0980,0.1192,0.1448
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,1.0000,0.1000,0.3160,uM,72,hr,3,2032,323,0.0967,0.0980,0.1590,0.1448
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,1.0000,0.1000,1.0000,uM,72,hr,1,1947,361,0.0897,0.0851,0.1854,0.1871
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,1.0000,0.1000,1.0000,uM,72,hr,2,1888,340,0.0876,0.0851,0.1801,0.1871
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,1.0000,0.1000,1.0000,uM,72,hr,3,1715,336,0.0780,0.0851,0.1959,0.1871
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,1.0000,0.1000,3.1600,uM,72,hr,1,1519,457,0.0601,0.0503,0.3009,0.3253
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,1.0000,0.1000,3.1600,uM,72,hr,2,1295,449,0.0479,0.0503,0.3467,0.3253
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,1.0000,0.1000,3.1600,uM,72,hr,3,1127,370,0.0428,0.0503,0.3283,0.3253
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,3.1600,0.3160,0.0000,uM,72,hr,1,2547,301,0.1271,0.1291,0.1182,0.1308
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,3.1600,0.3160,0.0000,uM,72,hr,2,2592,372,0.1256,0.1291,0.1435,0.1308
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,3.1600,0.3160,0.0000,uM,72,hr,3,2738,358,0.1347,0.1291,0.1308,0.1308
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,3.1600,0.3160,0.3160,uM,72,hr,1,1914,287,0.0921,0.0945,0.1499,0.1491
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,3.1600,0.3160,0.3160,uM,72,hr,2,2017,315,0.0963,0.0945,0.1562,0.1491
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,3.1600,0.3160,0.3160,uM,72,hr,3,1956,276,0.0951,0.0945,0.1411,0.1491
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,3.1600,0.3160,1.0000,uM,72,hr,1,2401,434,0.1113,0.0927,0.1808,0.1858
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,3.1600,0.3160,1.0000,uM,72,hr,2,1971,349,0.0918,0.0927,0.1771,0.1858
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,3.1600,0.3160,1.0000,uM,72,hr,3,1659,331,0.0751,0.0927,0.1995,0.1858
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,3.1600,0.3160,3.1600,uM,72,hr,1,1752,499,0.0709,0.0542,0.2848,0.3430
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,3.1600,0.3160,3.1600,uM,72,hr,2,1269,481,0.0446,0.0542,0.3790,0.3430
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10621-101-1,Defactinib,3.1600,0.3160,3.1600,uM,72,hr,3,1315,480,0.0473,0.0542,0.3650,0.3430
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10363-101-1,JNK-IN-8,0.0000,0.0000,0.0000,uM,72,hr,1,17534,924,0.9793,1.0000,0.0527,0.0484
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10363-101-1,JNK-IN-8,0.0000,0.0000,0.0000,uM,72,hr,2,18030,727,1.0201,1.0000,0.0403,0.0484
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10363-101-1,JNK-IN-8,0.0000,0.0000,0.0000,uM,72,hr,3,17907,936,1.0006,1.0000,0.0523,0.0484
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10363-101-1,JNK-IN-8,0.0000,0.0000,0.3160,uM,72,hr,1,15733,557,0.8947,1.0240,0.0354,0.0404
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10363-101-1,JNK-IN-8,0.0000,0.0000,0.3160,uM,72,hr,2,18988,841,1.0699,1.0240,0.0443,0.0404
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10363-101-1,JNK-IN-8,0.0000,0.0000,0.3160,uM,72,hr,3,19598,815,1.1074,1.0240,0.0416,0.0404
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10363-101-1,JNK-IN-8,0.0000,0.0000,1.0000,uM,72,hr,1,11842,391,0.6751,0.6666,0.0330,0.0291
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10363-101-1,JNK-IN-8,0.0000,0.0000,1.0000,uM,72,hr,2,11776,362,0.6729,0.6666,0.0307,0.0291
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10363-101-1,JNK-IN-8,0.0000,0.0000,1.0000,uM,72,hr,3,11320,265,0.6518,0.6666,0.0234,0.0291
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10363-101-1,JNK-IN-8,0.0000,0.0000,3.1600,uM,72,hr,1,6910,334,0.3877,0.3181,0.0483,0.0472
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10363-101-1,JNK-IN-8,0.0000,0.0000,3.1600,uM,72,hr,2,5428,243,0.3057,0.3181,0.0448,0.0472
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10363-101-1,JNK-IN-8,0.0000,0.0000,3.1600,uM,72,hr,3,4651,226,0.2609,0.3181,0.0486,0.0472
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10363-101-1,JNK-IN-8,0.1000,0.0100,0.0000,uM,72,hr,1,2621,258,0.1393,0.1384,0.0984,0.0909
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,10363-101-1,JNK-IN-8,0.1000,0.0100,0.0000,uM,72,hr,2,2615,230,0.1406,0.1384,0.0880,0.0909
