Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Replicate,Assay Well,Timepoint,Timepoint Unit,Total Cell Count Before Treatment,Total Cell Count After Treatment,Total Control Cell Count,Relative Cell Count,Relative Growth Rate After Treatment
50105-3,BT-20,10091-101-1,XMD16-144,0.04,uM,LJP5,3,M12,72,hr,1657,5296,5505,0.9619,0.9455
50105-3,BT-20,10177-101-1,Brivanib,0.04,uM,LJP5,1,P18,72,hr,1657,5186,5505,0.9419,0.9169
50105-3,BT-20,10177-101-1,Brivanib,0.04,uM,LJP5,2,P18,72,hr,1657,5432,5505,0.9866,0.9809
50105-3,BT-20,10177-101-1,Brivanib,0.04,uM,LJP5,3,P18,72,hr,1657,5180,5505,0.9409,0.9154
50105-3,BT-20,10147-101-1,Buparlisib,0.04,uM,LJP5,1,H06,72,hr,1657,5360,5505,0.9735,0.9621
50105-3,BT-20,10147-101-1,Buparlisib,0.04,uM,LJP5,2,H06,72,hr,1657,6017,5505,1.0929,1.1329
50105-3,BT-20,10147-101-1,Buparlisib,0.04,uM,LJP5,3,H06,72,hr,1657,5691,5505,1.0337,1.0482
50105-3,BT-20,10055-101-1,BX-912,0.04,uM,LJP5,1,L24,72,hr,1657,5146,5505,0.9347,0.9065
50105-3,BT-20,10055-101-1,BX-912,0.04,uM,LJP5,2,L24,72,hr,1657,4795,5505,0.8709,0.8153
50105-3,BT-20,10055-101-1,BX-912,0.04,uM,LJP5,3,L24,72,hr,1657,5249,5505,0.9534,0.9333
50105-3,BT-20,10120-102-1,Canertinib,0.04,uM,LJP6,1,H12,72,hr,1657,4887,5505,0.8876,0.8392
50105-3,BT-20,10120-102-1,Canertinib,0.04,uM,LJP6,2,H12,72,hr,1657,4592,5505,0.8341,0.7626
50105-3,BT-20,10120-102-1,Canertinib,0.04,uM,LJP6,3,H12,72,hr,1657,5178,5505,0.9405,0.9149
50105-3,BT-20,10117-101-1,Celastrol,0.04,uM,LJP6,1,G12,72,hr,1657,5726,5505,1.0400,1.0573
50105-3,BT-20,10117-101-1,Celastrol,0.04,uM,LJP6,2,G12,72,hr,1657,5735,5505,1.0417,1.0596
50105-3,BT-20,10117-101-1,Celastrol,0.04,uM,LJP6,3,G12,72,hr,1657,6025,5505,1.0943,1.1350
50105-3,BT-20,10025-101-1,CGP60474,0.04,uM,LJP5,1,F06,72,hr,1657,5365,5505,0.9745,0.9634
50105-3,BT-20,10025-101-1,CGP60474,0.04,uM,LJP5,2,F06,72,hr,1657,5895,5505,1.0707,1.1012
50105-3,BT-20,10025-101-1,CGP60474,0.04,uM,LJP5,3,F06,72,hr,1657,5313,5505,0.9650,0.9499
50105-3,BT-20,10025-101-1,CGP60474,0.04,uM,LJP6,1,G06,72,hr,1657,1166,5505,0.2118,-0.1278
50105-3,BT-20,10025-101-1,CGP60474,0.04,uM,LJP6,2,G06,72,hr,1657,1299,5505,0.2359,-0.0932
50105-3,BT-20,10025-101-1,CGP60474,0.04,uM,LJP6,3,G06,72,hr,1657,1187,5505,0.2156,-0.1223
50105-3,BT-20,10180-101-1,CHIR-99021,0.04,uM,LJP6,1,P18,72,hr,1657,5565,5505,1.0108,1.0154
50105-3,BT-20,10180-101-1,CHIR-99021,0.04,uM,LJP6,2,P18,72,hr,1657,5712,5505,1.0375,1.0536
50105-3,BT-20,10180-101-1,CHIR-99021,0.04,uM,LJP6,3,P18,72,hr,1657,5383,5505,0.9777,0.9681
50105-3,BT-20,10010-101-1,CP724714,0.04,uM,LJP5,1,A12,72,hr,1657,5545,5505,1.0071,1.0102
50105-3,BT-20,10010-101-1,CP724714,0.04,uM,LJP5,2,A12,72,hr,1657,4947,5505,0.8985,0.8548
50105-3,BT-20,10010-101-1,CP724714,0.04,uM,LJP5,3,A12,72,hr,1657,5131,5505,0.9320,0.9026
50105-3,BT-20,10009-101-1,CP466722,0.04,uM,LJP5,1,I12,72,hr,1657,5734,5505,1.0415,1.0593
50105-3,BT-20,10009-101-1,CP466722,0.04,uM,LJP5,2,I12,72,hr,1657,5960,5505,1.0825,1.1181
50105-3,BT-20,10009-101-1,CP466722,0.04,uM,LJP5,3,I12,72,hr,1657,6124,5505,1.1123,1.1607
50105-3,BT-20,10027-101-1,Crizotinib,0.04,uM,LJP5,1,A24,72,hr,1657,4480,5505,0.8137,0.7335
50105-3,BT-20,10027-101-1,Crizotinib,0.04,uM,LJP5,2,A24,72,hr,1657,4717,5505,0.8568,0.7950
50105-3,BT-20,10027-101-1,Crizotinib,0.04,uM,LJP5,3,A24,72,hr,1657,4650,5505,0.8446,0.7776
50105-3,BT-20,10140-101-1,Momelotinib,0.04,uM,LJP5,1,P12,72,hr,1657,4521,5505,0.8212,0.7441
50105-3,BT-20,10140-101-1,Momelotinib,0.04,uM,LJP5,2,P12,72,hr,1657,5377,5505,0.9766,0.9666
50105-3,BT-20,10140-101-1,Momelotinib,0.04,uM,LJP5,3,P12,72,hr,1657,4709,5505,0.8553,0.7930
50105-3,BT-20,10020-101-1,Dasatinib,0.04,uM,LJP5,1,D06,72,hr,1657,5244,5505,0.9525,0.9320
50105-3,BT-20,10020-101-1,Dasatinib,0.04,uM,LJP5,2,D06,72,hr,1657,5098,5505,0.9260,0.8941
50105-3,BT-20,10020-101-1,Dasatinib,0.04,uM,LJP5,3,D06,72,hr,1657,5126,5505,0.9310,0.9013
50105-3,BT-20,10020-101-1,Dasatinib,0.04,uM,LJP6,1,I06,72,hr,1657,3046,5505,0.5533,0.3608
50105-3,BT-20,10020-101-1,Dasatinib,0.04,uM,LJP6,2,I06,72,hr,1657,2804,5505,0.5093,0.2979
50105-3,BT-20,10020-101-1,Dasatinib,0.04,uM,LJP6,3,I06,72,hr,1657,2385,5505,0.4332,0.1890
50105-3,BT-20,10127-101-1,Dovitinib,0.04,uM,LJP5,1,E24,72,hr,1657,5189,5505,0.9425,0.9177
50105-3,BT-20,10127-101-1,Dovitinib,0.04,uM,LJP5,2,E24,72,hr,1657,4367,5505,0.7932,0.7041
50105-3,BT-20,10127-101-1,Dovitinib,0.04,uM,LJP5,3,E24,72,hr,1657,4591,5505,0.8339,0.7623
50105-3,BT-20,10069-101-1,Enzastaurin,0.04,uM,LJP5,1,D18,72,hr,1657,6094,5505,1.1069,1.1529
50105-3,BT-20,10069-101-1,Enzastaurin,0.04,uM,LJP5,2,D18,72,hr,1657,5924,5505,1.0760,1.1087
50105-3,BT-20,10069-101-1,Enzastaurin,0.04,uM,LJP5,3,D18,72,hr,1657,6352,5505,1.1537,1.2199
50105-3,BT-20,10097-101-1,Erlotinib,0.04,uM,LJP5,1,M24,72,hr,1657,4968,5505,0.9023,0.8603
50105-3,BT-20,10097-101-1,Erlotinib,0.04,uM,LJP5,2,M24,72,hr,1657,4512,5505,0.8195,0.7418
50105-3,BT-20,10097-101-1,Erlotinib,0.04,uM,LJP5,3,M24,72,hr,1657,4978,5505,0.9042,0.8629
50105-3,BT-20,10157-101-1,Foretinib,0.04,uM,LJP5,1,H12,72,hr,1657,5611,5505,1.0191,1.0274
50105-3,BT-20,10157-101-1,Foretinib,0.04,uM,LJP5,2,H12,72,hr,1657,5722,5505,1.0393,1.0562
50105-3,BT-20,10157-101-1,Foretinib,0.04,uM,LJP5,3,H12,72,hr,1657,5840,5505,1.0607,1.0869
50105-3,BT-20,10040-101-1,R406,0.04,uM,LJP6,1,C18,72,hr,1657,5469,5505,0.9933,0.9905
50105-3,BT-20,10040-101-1,R406,0.04,uM,LJP6,2,C18,72,hr,1657,5638,5505,1.0240,1.0344
50105-3,BT-20,10040-101-1,R406,0.04,uM,LJP6,3,C18,72,hr,1657,6329,5505,1.1495,1.2140
50105-3,BT-20,10047-101-1,Pictilisib,0.04,uM,LJP6,1,D24,72,hr,1657,4146,5505,0.7530,0.6467
50105-3,BT-20,10047-101-1,Pictilisib,0.04,uM,LJP6,2,D24,72,hr,1657,4782,5505,0.8686,0.8119
50105-3,BT-20,10047-101-1,Pictilisib,0.04,uM,LJP6,3,D24,72,hr,1657,4300,5505,0.7810,0.6867
50105-3,BT-20,10098-101-1,Gefitinib,0.04,uM,LJP6,1,N12,72,hr,1657,5726,5505,1.0400,1.0573
50105-3,BT-20,10098-101-1,Gefitinib,0.04,uM,LJP6,2,N12,72,hr,1657,5769,5505,1.0478,1.0684
50105-3,BT-20,10098-101-1,Gefitinib,0.04,uM,LJP6,3,N12,72,hr,1657,5792,5505,1.0520,1.0744
50105-3,BT-20,10108-101-1,Geldanamycin,0.04,uM,LJP5,1,O06,72,hr,1657,2426,5505,0.4406,0.1997
50105-3,BT-20,10108-101-1,Geldanamycin,0.04,uM,LJP5,2,O06,72,hr,1657,2985,5505,0.5422,0.3449
50105-3,BT-20,10108-101-1,Geldanamycin,0.04,uM,LJP5,3,O06,72,hr,1657,2527,5505,0.4590,0.2259
50105-3,BT-20,10108-101-1,Geldanamycin,0.04,uM,LJP6,1,O06,72,hr,1657,2544,5505,0.4621,0.2303
50105-3,BT-20,10108-101-1,Geldanamycin,0.04,uM,LJP6,2,O06,72,hr,1657,2857,5505,0.5189,0.3117
50105-3,BT-20,10108-101-1,Geldanamycin,0.04,uM,LJP6,3,O06,72,hr,1657,2708,5505,0.4919,0.2729
50105-3,BT-20,10172-101-1,GSK1059615,0.04,uM,LJP5,1,E06,72,hr,1657,5503,5505,0.9995,0.9993
50105-3,BT-20,10172-101-1,GSK1059615,0.04,uM,LJP5,2,E06,72,hr,1657,5192,5505,0.9430,0.9185
50105-3,BT-20,10172-101-1,GSK1059615,0.04,uM,LJP5,3,E06,72,hr,1657,5944,5505,1.0796,1.1139
50105-3,BT-20,10172-101-1,GSK1059615,0.04,uM,LJP6,1,C06,72,hr,1657,4631,5505,0.8411,0.7727
50105-3,BT-20,10172-101-1,GSK1059615,0.04,uM,LJP6,2,C06,72,hr,1657,4717,5505,0.8568,0.7950
50105-3,BT-20,10172-101-1,GSK1059615,0.04,uM,LJP6,3,C06,72,hr,1657,4794,5505,0.8707,0.8151
50105-3,BT-20,10134-101-1,GSK1904529A,0.04,uM,LJP6,1,H24,72,hr,1657,4815,5505,0.8746,0.8205
50105-3,BT-20,10134-101-1,GSK1904529A,0.04,uM,LJP6,2,H24,72,hr,1657,5104,5505,0.9270,0.8956
50105-3,BT-20,10134-101-1,GSK1904529A,0.04,uM,LJP6,3,H24,72,hr,1657,4572,5505,0.8304,0.7574
50105-3,BT-20,10146-101-1,Omipalisib,0.04,uM,LJP6,1,N06,72,hr,1657,1575,5505,0.2861,-0.0215
50105-3,BT-20,10146-101-1,Omipalisib,0.04,uM,LJP6,2,N06,72,hr,1657,1540,5505,0.2797,-0.0306
50105-3,BT-20,10146-101-1,Omipalisib,0.04,uM,LJP6,3,N06,72,hr,1657,1724,5505,0.3131,0.0172
50105-3,BT-20,10128-101-1,GSK 690693,0.04,uM,LJP5,1,F24,72,hr,1657,4701,5505,0.8539,0.7909
50105-3,BT-20,10128-101-1,GSK 690693,0.04,uM,LJP5,2,F24,72,hr,1657,4518,5505,0.8206,0.7433
50105-3,BT-20,10128-101-1,GSK 690693,0.04,uM,LJP5,3,F24,72,hr,1657,5014,5505,0.9107,0.8722
50105-3,BT-20,10014-101-1,GW843682X,0.04,uM,LJP6,1,B18,72,hr,1657,4763,5505,0.8651,0.8070
50105-3,BT-20,10014-101-1,GW843682X,0.04,uM,LJP6,2,B18,72,hr,1657,4918,5505,0.8933,0.8473
50105-3,BT-20,10014-101-1,GW843682X,0.04,uM,LJP6,3,B18,72,hr,1657,4977,5505,0.9040,0.8626
50105-3,BT-20,10015-101-1,HG-5-113-01,0.04,uM,LJP5,1,B12,72,hr,1657,5549,5505,1.0079,1.0113
50105-3,BT-20,10015-101-1,HG-5-113-01,0.04,uM,LJP5,2,B12,72,hr,1657,4928,5505,0.8951,0.8499
50105-3,BT-20,10015-101-1,HG-5-113-01,0.04,uM,LJP5,3,B12,72,hr,1657,5279,5505,0.9588,0.9411
50105-3,BT-20,10016-101-1,HG-5-88-01,0.04,uM,LJP6,1,A24,72,hr,1657,4745,5505,0.8618,0.8023
50105-3,BT-20,10016-101-1,HG-5-88-01,0.04,uM,LJP6,2,A24,72,hr,1657,4698,5505,0.8533,0.7901
50105-3,BT-20,10016-101-1,HG-5-88-01,0.04,uM,LJP6,3,A24,72,hr,1657,4464,5505,0.8108,0.7293
50105-3,BT-20,10023-103-1,Imatinib,0.04,uM,LJP6,1,N18,72,hr,1657,5508,5505,1.0004,1.0006
50105-3,BT-20,10023-103-1,Imatinib,0.04,uM,LJP6,2,N18,72,hr,1657,5810,5505,1.0553,1.0791
50105-3,BT-20,10023-103-1,Imatinib,0.04,uM,LJP6,3,N18,72,hr,1657,5135,5505,0.9327,0.9037
50105-3,BT-20,10100-101-1,JNK-9L,0.04,uM,LJP6,1,K24,72,hr,1657,4317,5505,0.7841,0.6911
50105-3,BT-20,10100-101-1,JNK-9L,0.04,uM,LJP6,2,K24,72,hr,1657,4838,5505,0.8787,0.8265
50105-3,BT-20,10100-101-1,JNK-9L,0.04,uM,LJP6,3,K24,72,hr,1657,4358,5505,0.7916,0.7017
50105-3,BT-20,10019-101-1,JW-7-24-1,0.04,uM,LJP6,1,B24,72,hr,1657,4605,5505,0.8364,0.7659
50105-3,BT-20,10019-101-1,JW-7-24-1,0.04,uM,LJP6,2,B24,72,hr,1657,5099,5505,0.9261,0.8943
50105-3,BT-20,10019-101-1,JW-7-24-1,0.04,uM,LJP6,3,B24,72,hr,1657,4607,5505,0.8368,0.7665
50105-3,BT-20,10051-104-1,Lapatinib,0.04,uM,LJP6,1,M24,72,hr,1657,4618,5505,0.8388,0.7693
50105-3,BT-20,10051-104-1,Lapatinib,0.04,uM,LJP6,2,M24,72,hr,1657,5335,5505,0.9690,0.9557
50105-3,BT-20,10051-104-1,Lapatinib,0.04,uM,LJP6,3,M24,72,hr,1657,5000,5505,0.9082,0.8686
50105-3,BT-20,10115-102-1,LDN-193189,0.04,uM,LJP5,1,G06,72,hr,1657,5327,5505,0.9676,0.9536
50105-3,BT-20,10115-102-1,LDN-193189,0.04,uM,LJP5,2,G06,72,hr,1657,5399,5505,0.9806,0.9723
50105-3,BT-20,10115-102-1,LDN-193189,0.04,uM,LJP5,3,G06,72,hr,1657,5479,5505,0.9952,0.9931
50105-3,BT-20,10182-101-1,Linifanib,0.04,uM,LJP6,1,J12,72,hr,1657,5914,5505,1.0742,1.1061
50105-3,BT-20,10182-101-1,Linifanib,0.04,uM,LJP6,2,J12,72,hr,1657,5912,5505,1.0738,1.1056
50105-3,BT-20,10182-101-1,Linifanib,0.04,uM,LJP6,3,J12,72,hr,1657,5838,5505,1.0604,1.0864
50105-3,BT-20,10135-101-1,Linsitinib,0.04,uM,LJP5,1,O24,72,hr,1657,4450,5505,0.8083,0.7257
50105-3,BT-20,10135-101-1,Linsitinib,0.04,uM,LJP5,2,O24,72,hr,1657,4917,5505,0.8931,0.8470
50105-3,BT-20,10135-101-1,Linsitinib,0.04,uM,LJP5,3,O24,72,hr,1657,4963,5505,0.9014,0.8590
50105-3,BT-20,10479-102-1,Mitoxantrone,0.04,uM,LJP5,1,C24,72,hr,1657,2532,5505,0.4599,0.2272
50105-3,BT-20,10479-102-1,Mitoxantrone,0.04,uM,LJP5,2,C24,72,hr,1657,2950,5505,0.5358,0.3358
50105-3,BT-20,10479-102-1,Mitoxantrone,0.04,uM,LJP5,3,C24,72,hr,1657,2967,5505,0.5389,0.3403
50105-3,BT-20,10479-102-1,Mitoxantrone,0.04,uM,LJP6,1,C24,72,hr,1657,2486,5505,0.4515,0.2153
50105-3,BT-20,10479-102-1,Mitoxantrone,0.04,uM,LJP6,2,C24,72,hr,1657,3076,5505,0.5587,0.3686
50105-3,BT-20,10479-102-1,Mitoxantrone,0.04,uM,LJP6,3,C24,72,hr,1657,2695,5505,0.4895,0.2696
50105-3,BT-20,10057-102-1,MK2206,0.04,uM,LJP6,1,F06,72,hr,1657,5234,5505,0.9507,0.9294
50105-3,BT-20,10057-102-1,MK2206,0.04,uM,LJP6,2,F06,72,hr,1657,5286,5505,0.9601,0.9429
50105-3,BT-20,10057-102-1,MK2206,0.04,uM,LJP6,3,F06,72,hr,1657,5585,5505,1.0144,1.0206
50105-3,BT-20,10018-101-1,Neratinib,0.04,uM,LJP5,1,A18,72,hr,1657,4303,5505,0.7816,0.6875
50105-3,BT-20,10018-101-1,Neratinib,0.04,uM,LJP5,2,A18,72,hr,1657,4338,5505,0.7879,0.6966
50105-3,BT-20,10018-101-1,Neratinib,0.04,uM,LJP5,3,A18,72,hr,1657,4916,5505,0.8929,0.8468
50105-3,BT-20,10099-101-1,Nilotinib,0.04,uM,LJP5,1,N18,72,hr,1657,5605,5505,1.0180,1.0258
50105-3,BT-20,10099-101-1,Nilotinib,0.04,uM,LJP5,2,N18,72,hr,1657,5297,5505,0.9621,0.9458
50105-3,BT-20,10099-101-1,Nilotinib,0.04,uM,LJP5,3,N18,72,hr,1657,5190,5505,0.9427,0.9180
50105-3,BT-20,10151-101-1,Nintedanib,0.04,uM,LJP6,1,H06,72,hr,1657,5599,5505,1.0170,1.0243
