Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,Protein HMS LINCS ID,Protein Name,Protein Concentration,Protein Conc Unit,Antibody Name,Antibody Concentration,Antibody Conc Unit,2nd Antibody Name,2nd Antibody Concentration,2nd Antibody Conc Unit,Replicate,Mean log10(k) (a.u.),Mean tau (min),Surviving Fraction,Classification Accuracy (theta_T),Classification Accuracy (fate boundary)
51102-1,HeLa ICRP,,,,,201284,TNF10,250.0,ng/ml,,,,,,,4,-4.34,69.2257,0.059,0.89621,0.88138
51102-1,HeLa ICRP,,,,,201284,TNF10,250.0,ng/ml,,,,,,,5,-4.38,78.5577,0.120,0.83894,0.82212
51102-1,HeLa ICRP,,,,,201284,TNF10,250.0,ng/ml,,,,,,,6,-4.22,51.3152,0.063,0.88662,0.85034
51102-1,HeLa ICRP,,,,,201284,TNF10,500.0,ng/ml,,,,,,,1,-4.34,67.5100,0.045,0.89348,0.86285
51102-1,HeLa ICRP,,,,,201284,TNF10,500.0,ng/ml,,,,,,,2,-4.28,54.6429,0.065,0.87415,0.83163
51102-1,HeLa ICRP,,,,,201284,TNF10,500.0,ng/ml,,,,,,,3,-4.26,58.7068,0.046,0.90595,0.86030
51102-1,HeLa ICRP,,,,,201284,TNF10,500.0,ng/ml,,,,,,,4,-4.31,68.7177,0.082,0.88147,0.86207
51102-1,HeLa ICRP,10241-101-2,Bortezomib,100,nM,201284,TNF10,1.0,ng/ml,,,,,,,1,-6.43,491.0887,1.000,0.99194,0.96774
51102-1,HeLa ICRP,10241-101-2,Bortezomib,100,nM,201284,TNF10,1.0,ng/ml,,,,,,,2,-6.32,468.5230,0.965,0.99344,0.91028
51102-1,HeLa ICRP,10241-101-2,Bortezomib,100,nM,201284,TNF10,5.0,ng/ml,,,,,,,1,-5.56,416.4737,0.358,0.94737,0.58947
51102-1,HeLa ICRP,10241-101-2,Bortezomib,100,nM,201284,TNF10,5.0,ng/ml,,,,,,,2,-5.53,404.8037,0.065,0.83770,0.38743
51102-1,HeLa ICRP,10241-101-2,Bortezomib,100,nM,201284,TNF10,5.0,ng/ml,,,,,,,3,-5.79,469.2892,0.407,0.88235,0.52941
51102-1,HeLa ICRP,10241-101-2,Bortezomib,100,nM,201284,TNF10,7.5,ng/ml,,,,,,,1,-5.38,333.0821,0.012,0.94807,0.44891
51102-1,HeLa ICRP,10241-101-2,Bortezomib,100,nM,201284,TNF10,7.5,ng/ml,,,,,,,2,-5.69,426.8136,0.208,0.91182,0.36673
51102-1,HeLa ICRP,10241-101-2,Bortezomib,100,nM,201284,TNF10,50.0,ng/ml,,,,,,,1,-4.84,188.4868,0.000,1.00000,0.89474
51102-1,HeLa ICRP,10241-101-2,Bortezomib,100,nM,201284,TNF10,50.0,ng/ml,,,,,,,2,-4.76,163.3246,0.000,0.99474,0.97544
51102-1,HeLa ICRP,10241-101-2,Bortezomib,100,nM,201284,TNF10,250.0,ng/ml,,,,,,,1,-4.31,66.9521,0.000,0.96986,0.90411
51102-1,HeLa ICRP,10241-101-2,Bortezomib,100,nM,201284,TNF10,250.0,ng/ml,,,,,,,2,-4.37,81.7724,0.002,0.99067,0.94403
51102-1,HeLa ICRP,10241-101-2,Bortezomib,100,nM,201284,TNF10,500.0,ng/ml,,,,,,,1,-4.25,57.6070,0.002,0.97623,0.83360
51102-1,HeLa ICRP,10241-101-2,Bortezomib,100,nM,201284,TNF10,500.0,ng/ml,,,,,,,2,-4.31,71.7160,0.000,0.97284,0.94815
51102-1,HeLa ICRP,10367-101-1,Navitoclax,10,uM,201284,TNF10,1.0,ng/ml,,,,,,,1,-6.45,316.4894,0.957,0.97872,0.82979
51102-1,HeLa ICRP,10367-101-1,Navitoclax,10,uM,201284,TNF10,1.0,ng/ml,,,,,,,2,-6.56,276.5333,0.964,0.98667,0.87556
51102-1,HeLa ICRP,10367-101-1,Navitoclax,10,uM,201284,TNF10,25.0,ng/ml,,,,,,,1,-5.21,240.5391,0.249,0.91826,0.63304
51102-1,HeLa ICRP,10367-101-1,Navitoclax,10,uM,201284,TNF10,25.0,ng/ml,,,,,,,2,-5.53,262.3197,0.542,0.88304,0.67641
51102-1,HeLa ICRP,10367-101-1,Navitoclax,10,uM,201284,TNF10,25.0,ng/ml,,,,,,,3,-5.47,247.7883,0.507,0.92034,0.67505
51102-1,HeLa ICRP,10367-101-1,Navitoclax,10,uM,201284,TNF10,50.0,ng/ml,,,,,,,1,-4.78,147.7273,0.121,0.93939,0.78788
51102-1,HeLa ICRP,10367-101-1,Navitoclax,10,uM,201284,TNF10,50.0,ng/ml,,,,,,,2,-4.89,170.8451,0.162,0.91080,0.78169
51102-1,HeLa ICRP,10367-101-1,Navitoclax,10,uM,201284,TNF10,250.0,ng/ml,,,,,,,1,-4.39,70.4229,0.016,0.98363,0.90177
51102-1,HeLa ICRP,10367-101-1,Navitoclax,10,uM,201284,TNF10,250.0,ng/ml,,,,,,,2,-4.29,57.5746,0.045,0.94030,0.85634
51102-1,HeLa ICRP,10367-101-1,Navitoclax,10,uM,201284,TNF10,250.0,ng/ml,,,,,,,3,-4.17,41.8056,0.039,0.93333,0.74722
51102-1,HeLa ICRP,10367-101-1,Navitoclax,10,uM,201284,TNF10,500.0,ng/ml,,,,,,,1,-4.30,54.0650,0.013,0.98211,0.80813
51102-1,HeLa ICRP,10367-101-1,Navitoclax,10,uM,201284,TNF10,500.0,ng/ml,,,,,,,2,-4.23,47.4504,0.018,0.94643,0.78770
51102-1,HeLa ICRP,,,,,,,,,Mapatumumab,2.5,nM,,,,1,-5.58,245.7329,0.779,0.89251,0.83713
51102-1,HeLa ICRP,,,,,,,,,Mapatumumab,2.5,nM,,,,2,-5.92,272.2074,0.816,0.88032,0.82181
51102-1,HeLa ICRP,,,,,,,,,Mapatumumab,5.0,nM,,,,1,-5.33,226.3964,0.694,0.89790,0.77778
51102-1,HeLa ICRP,,,,,,,,,Mapatumumab,5.0,nM,,,,2,-5.65,256.4691,0.741,0.90123,0.83457
51102-1,HeLa ICRP,,,,,,,,,Mapatumumab,5.0,nM,,,,3,-5.52,227.6629,0.754,0.90935,0.80737
51102-1,HeLa ICRP,,,,,,,,,Mapatumumab,10.0,nM,,,,1,-5.46,256.4570,0.735,0.86093,0.77815
51102-1,HeLa ICRP,,,,,,,,,Mapatumumab,10.0,nM,,,,2,-5.06,184.1346,0.542,0.81410,0.75321
51102-1,HeLa ICRP,,,,,,,,,Mapatumumab,10.0,nM,,,,3,-5.31,212.8518,0.631,0.86432,0.75628
51102-1,HeLa ICRP,,,,,,,,,Mapatumumab,25.0,nM,,,,1,-5.21,212.5904,0.659,0.86345,0.76707
51102-1,HeLa ICRP,,,,,,,,,Mapatumumab,25.0,nM,,,,2,-4.77,139.4757,0.442,0.77528,0.66667
51102-1,HeLa ICRP,,,,,,,,,Mapatumumab,25.0,nM,,,,3,-5.13,188.8499,0.479,0.88378,0.76029
51102-1,HeLa ICRP,,,,,,,,,Mapatumumab,100.0,nM,,,,1,-5.11,190.0427,0.604,0.84046,0.71225
51102-1,HeLa ICRP,,,,,,,,,Mapatumumab,100.0,nM,,,,2,-4.60,107.2881,0.373,0.72155,0.70460
51102-1,HeLa ICRP,,,,,,,,,Mapatumumab,100.0,nM,,,,3,-4.95,157.5059,0.388,0.85106,0.72104
51102-1,HeLa ICRP,,,,,,,,,Mapatumumab,200.0,nM,,,,1,-4.94,155.5995,0.386,0.81055,0.74820
51102-1,HeLa ICRP,,,,,,,,,Mapatumumab,200.0,nM,,,,2,-4.88,139.2290,0.458,0.83900,0.70068
51102-1,HeLa ICRP,,,,,,,,,Mapatumumab,2.5,nM,anti-Fc,2.5,nM,1,-5.02,168.6104,0.582,0.83117,0.71688
51102-1,HeLa ICRP,,,,,,,,,Mapatumumab,2.5,nM,anti-Fc,2.5,nM,2,-5.14,181.8431,0.494,0.90000,0.78824
51102-1,HeLa ICRP,,,,,,,,,Mapatumumab,5.0,nM,anti-Fc,5.0,nM,1,-4.80,134.6580,0.476,0.71010,0.61238
51102-1,HeLa ICRP,,,,,,,,,Mapatumumab,5.0,nM,anti-Fc,5.0,nM,2,-4.93,153.1692,0.347,0.89079,0.76445
51102-1,HeLa ICRP,,,,,,,,,Mapatumumab,5.0,nM,anti-Fc,5.0,nM,3,-4.94,145.1482,0.550,0.82210,0.67925
51102-1,HeLa ICRP,,,,,,,,,Mapatumumab,10.0,nM,anti-Fc,10.0,nM,1,-4.49,83.0851,0.309,0.68617,0.65691
51102-1,HeLa ICRP,,,,,,,,,Mapatumumab,10.0,nM,anti-Fc,10.0,nM,2,-4.63,107.8715,0.406,0.74559,0.66751
51102-1,HeLa ICRP,,,,,,,,,Mapatumumab,10.0,nM,anti-Fc,10.0,nM,3,-4.68,110.9162,0.288,0.84817,0.79581
51102-1,HeLa ICRP,,,,,,,,,Mapatumumab,25.0,nM,anti-Fc,25.0,nM,1,-4.50,85.1585,0.268,0.73592,0.70775
51102-1,HeLa ICRP,,,,,,,,,Mapatumumab,25.0,nM,anti-Fc,25.0,nM,2,-4.55,92.1239,0.381,0.66372,0.64307
51102-1,HeLa ICRP,,,,,,,,,Mapatumumab,25.0,nM,anti-Fc,25.0,nM,3,-4.54,92.8286,0.238,0.83860,0.78369
51102-1,HeLa ICRP,,,,,,,,,Mapatumumab,100.0,nM,anti-Fc,100.0,nM,1,-4.50,87.7636,0.273,0.80364,0.73091
51102-1,HeLa ICRP,,,,,,,,,Mapatumumab,100.0,nM,anti-Fc,100.0,nM,2,-4.57,88.4746,0.369,0.65085,0.66780
51102-1,HeLa ICRP,,,,,,,,,Mapatumumab,100.0,nM,anti-Fc,100.0,nM,3,-4.54,86.0039,0.218,0.84016,0.79337
51102-1,HeLa ICRP,,,,,,,,,Mapatumumab,200.0,nM,anti-Fc,200.0,nM,1,-4.52,86.0180,0.228,0.82635,0.80040
51102-1,HeLa ICRP,,,,,,,,,Mapatumumab,200.0,nM,anti-Fc,200.0,nM,2,-4.69,101.5925,0.438,0.79391,0.66979
51102-1,HeLa ICRP,10241-101-2,Bortezomib,100,nM,,,,,Mapatumumab,10.0,nM,,,,1,-5.47,338.7050,0.034,0.89448,0.31894
51102-1,HeLa ICRP,10241-101-2,Bortezomib,100,nM,,,,,Mapatumumab,10.0,nM,,,,2,-5.47,319.6967,0.075,0.86936,0.30949
51102-1,HeLa ICRP,10241-101-2,Bortezomib,100,nM,,,,,Mapatumumab,10.0,nM,anti-Fc,10.0,nM,1,-4.70,139.7368,0.011,0.92026,0.78469
51102-1,HeLa ICRP,10241-101-2,Bortezomib,100,nM,,,,,Mapatumumab,10.0,nM,anti-Fc,10.0,nM,2,-4.93,186.2624,0.010,0.90759,0.68812
51102-1,HeLa ICRP,,,,,,,,,Apomab,25.0,nM,,,,1,-6.44,211.4919,0.968,0.97581,0.75806
51102-1,HeLa ICRP,,,,,,,,,Apomab,25.0,nM,,,,2,-6.45,249.8519,0.956,0.97037,0.88148
51102-1,HeLa ICRP,,,,,,,,,Apomab,25.0,nM,,,,3,-6.37,263.5100,0.877,0.87966,0.88252
51102-1,HeLa ICRP,,,,,,,,,Apomab,25.0,nM,,,,4,-6.67,260.1646,0.889,0.89300,0.83951
51102-1,HeLa ICRP,,,,,,,,,Apomab,25.0,nM,,,,5,-6.58,309.2188,0.901,0.90865,0.88462
51102-1,HeLa ICRP,,,,,,,,,Apomab,25.0,nM,,,,6,-6.53,267.1805,0.838,0.85338,0.84962
51102-1,HeLa ICRP,,,,,,,,,Apomab,50.0,nM,,,,1,-6.39,285.0388,0.953,0.95349,0.85271
51102-1,HeLa ICRP,,,,,,,,,Apomab,50.0,nM,,,,2,-6.48,250.9659,0.972,0.98864,0.80682
51102-1,HeLa ICRP,,,,,,,,,Apomab,100.0,nM,,,,1,-6.13,217.8947,0.934,0.92763,0.77632
51102-1,HeLa ICRP,,,,,,,,,Apomab,100.0,nM,,,,2,-6.31,231.7647,0.971,0.98529,0.85294
51102-1,HeLa ICRP,,,,,,,,,Apomab,100.0,nM,,,,3,-6.54,273.3562,0.911,0.95205,0.84932
51102-1,HeLa ICRP,,,,,,,,,Apomab,200.0,nM,,,,1,-6.25,250.2333,0.940,0.96667,0.85333
51102-1,HeLa ICRP,,,,,,,,,Apomab,200.0,nM,,,,2,-6.34,213.4375,0.929,0.94643,0.78571
51102-1,HeLa ICRP,,,,,,,,,Apomab,25.0,nM,anti-Fc,25.0,nM,1,-5.57,236.0268,0.848,0.90179,0.77679
51102-1,HeLa ICRP,,,,,,,,,Apomab,25.0,nM,anti-Fc,25.0,nM,2,-5.70,239.2890,0.839,0.94037,0.83028
51102-1,HeLa ICRP,,,,,,,,,Apomab,25.0,nM,anti-Fc,25.0,nM,3,-6.52,286.1860,0.876,0.88410,0.86523
51102-1,HeLa ICRP,,,,,,,,,Apomab,25.0,nM,anti-Fc,25.0,nM,4,-6.12,272.4815,0.907,0.92963,0.88889
51102-1,HeLa ICRP,,,,,,,,,Apomab,25.0,nM,anti-Fc,25.0,nM,5,-6.31,302.5813,0.872,0.90672,0.84816
51102-1,HeLa ICRP,,,,,,,,,Apomab,25.0,nM,anti-Fc,25.0,nM,6,-5.73,240.3203,0.808,0.91922,0.84401
51102-1,HeLa ICRP,,,,,,,,,Apomab,50.0,nM,anti-Fc,50.0,nM,1,-5.50,240.5143,0.794,0.93143,0.81143
51102-1,HeLa ICRP,,,,,,,,,Apomab,50.0,nM,anti-Fc,50.0,nM,2,-5.58,216.2613,0.820,0.96396,0.81532
51102-1,HeLa ICRP,,,,,,,,,Apomab,100.0,nM,anti-Fc,100.0,nM,1,-5.59,246.1950,0.843,0.91195,0.75472
51102-1,HeLa ICRP,,,,,,,,,Apomab,100.0,nM,anti-Fc,100.0,nM,2,-5.57,204.0816,0.810,0.89116,0.78231
51102-1,HeLa ICRP,,,,,,,,,Apomab,100.0,nM,anti-Fc,100.0,nM,3,-5.67,243.5165,0.863,0.94505,0.84066
51102-1,HeLa ICRP,,,,,,,,,Apomab,200.0,nM,anti-Fc,200.0,nM,1,-5.73,280.2000,0.794,0.92571,0.84000
51102-1,HeLa ICRP,,,,,,,,,Apomab,200.0,nM,anti-Fc,200.0,nM,2,-5.80,251.2577,0.896,0.95706,0.87730
51102-1,HeLa ICRP,10241-101-2,Bortezomib,100,nM,,,,,Apomab,25.0,nM,,,,1,-6.20,481.7639,0.801,0.96817,0.78780
51102-1,HeLa ICRP,10241-101-2,Bortezomib,100,nM,,,,,Apomab,25.0,nM,,,,2,-5.39,331.3306,0.083,0.86694,0.49064
51102-1,HeLa ICRP,10241-101-2,Bortezomib,100,nM,,,,,Apomab,25.0,nM,,,,3,-6.35,445.1084,0.889,0.98103,0.88889
51102-1,HeLa ICRP,10241-101-2,Bortezomib,100,nM,,,,,Apomab,25.0,nM,,,,4,-6.21,485.6552,0.814,0.97069,0.80517
51102-1,HeLa ICRP,10241-101-2,Bortezomib,100,nM,,,,,Apomab,25.0,nM,,,,5,-6.05,472.6445,0.683,0.94218,0.72805
51102-1,HeLa ICRP,10241-101-2,Bortezomib,100,nM,,,,,Apomab,25.0,ng/ml,anti-Fc,25.0,ng/ml,1,-5.30,298.2392,0.073,0.94086,0.48387
51102-1,HeLa ICRP,10241-101-2,Bortezomib,100,nM,,,,,Apomab,25.0,ng/ml,anti-Fc,25.0,ng/ml,2,-5.36,315.9300,0.077,0.87923,0.49275
51102-1,HeLa ICRP,10241-101-2,Bortezomib,100,nM,,,,,Apomab,25.0,ng/ml,anti-Fc,25.0,ng/ml,3,-5.87,409.3750,0.568,0.88750,0.68250
51102-1,HeLa ICRP,10241-101-2,Bortezomib,100,nM,,,,,Apomab,25.0,ng/ml,anti-Fc,25.0,ng/ml,4,-5.56,395.2990,0.163,0.92691,0.51163
51102-1,HeLa ICRP,10241-101-2,Bortezomib,100,nM,,,,,Apomab,25.0,ng/ml,anti-Fc,25.0,ng/ml,5,-5.44,331.4063,0.076,0.91071,0.41295
51103-1,HeLa ICRP FLIP-L-mCherry,,,,,201284,TNF10,250.0,ng/ml,,,,,,,1,-5.04,132.6481,0.791,0.90941,0.73519
51103-1,HeLa ICRP FLIP-L-mCherry,,,,,201284,TNF10,250.0,ng/ml,,,,,,,2,-4.76,97.0362,0.796,0.86878,0.59276
51103-1,HeLa ICRP FLIP-L-mCherry,,,,,201284,TNF10,250.0,ng/ml,,,,,,,3,-4.85,108.6391,0.757,0.91716,0.66272
51103-1,HeLa ICRP FLIP-L-mCherry,,,,,201284,TNF10,250.0,ng/ml,,,,,,,4,-4.83,93.5600,0.792,0.91200,0.63200
51103-1,HeLa ICRP FLIP-L-mCherry,,,,,201284,TNF10,250.0,ng/ml,,,,,,,5,-5.11,113.2197,0.890,0.93182,0.87121
51103-1,HeLa ICRP FLIP-L-mCherry,,,,,201284,TNF10,500.0,ng/ml,,,,,,,1,-4.86,110.4280,0.751,0.90272,0.71206
51103-1,HeLa ICRP FLIP-L-mCherry,,,,,201284,TNF10,500.0,ng/ml,,,,,,,2,-4.74,96.0930,0.721,0.87442,0.62326
51104-1,HeLa ICRP FLIP-S-mCherry,,,,,201284,TNF10,250.0,ng/ml,,,,,,,1,-5.73,212.3890,0.789,0.91906,0.81723
51104-1,HeLa ICRP FLIP-S-mCherry,,,,,201284,TNF10,250.0,ng/ml,,,,,,,2,-5.78,209.0625,0.734,0.92188,0.86719
51104-1,HeLa ICRP FLIP-S-mCherry,,,,,201284,TNF10,250.0,ng/ml,,,,,,,3,-5.44,149.9528,0.651,0.96226,0.91509
51104-1,HeLa ICRP FLIP-S-mCherry,,,,,201284,TNF10,250.0,ng/ml,,,,,,,4,-5.87,246.7619,0.848,0.90952,0.84286
51104-1,HeLa ICRP FLIP-S-mCherry,,,,,201284,TNF10,250.0,ng/ml,,,,,,,5,-6.16,242.9796,0.796,0.88571,0.84898
51104-1,HeLa ICRP FLIP-S-mCherry,,,,,201284,TNF10,500.0,ng/ml,,,,,,,1,-5.62,222.5240,0.680,0.88942,0.78606
51104-1,HeLa ICRP FLIP-S-mCherry,,,,,201284,TNF10,500.0,ng/ml,,,,,,,2,-5.90,221.6111,0.778,0.88889,0.82222
51103-1,HeLa ICRP FLIP-L-mCherry,10241-101-2,Bortezomib,100,nM,201284,TNF10,250.0,ng/ml,,,,,,,1,-5.13,210.4954,0.132,0.56697,0.47890
51103-1,HeLa ICRP FLIP-L-mCherry,10241-101-2,Bortezomib,100,nM,201284,TNF10,250.0,ng/ml,,,,,,,2,-5.11,216.4074,0.167,0.65556,0.58889
51103-1,HeLa ICRP FLIP-L-mCherry,10241-101-2,Bortezomib,100,nM,201284,TNF10,250.0,ng/ml,,,,,,,3,-5.43,292.5407,0.270,0.61564,0.35505
51104-1,HeLa ICRP FLIP-S-mCherry,10241-101-2,Bortezomib,100,nM,201284,TNF10,250.0,ng/ml,,,,,,,1,-6.06,373.9457,0.671,0.89457,0.71246
51104-1,HeLa ICRP FLIP-S-mCherry,10241-101-2,Bortezomib,100,nM,201284,TNF10,250.0,ng/ml,,,,,,,2,-6.06,323.5313,0.769,0.93125,0.82500
51104-1,HeLa ICRP FLIP-S-mCherry,10241-101-2,Bortezomib,100,nM,201284,TNF10,250.0,ng/ml,,,,,,,3,-6.15,356.3208,0.822,0.92453,0.84097
51105-1,HeLa ICRP Bcl-2-mCherry,,,,,201284,TNF10,250.0,ng/ml,,,,,,,1,-4.03,68.4836,0.803,0.26230,0.17213
51105-1,HeLa ICRP Bcl-2-mCherry,,,,,201284,TNF10,250.0,ng/ml,,,,,,,2,-4.15,84.0957,0.777,0.25532,0.22340
51105-1,HeLa ICRP Bcl-2-mCherry,,,,,201284,TNF10,250.0,ng/ml,,,,,,,3,-4.26,52.9167,0.025,0.87255,0.84314
51105-1,HeLa ICRP Bcl-2-mCherry,,,,,201284,TNF10,250.0,ng/ml,,,,,,,4,-4.04,75.6780,0.898,0.18644,0.10169
51105-1,HeLa ICRP Bcl-2-mCherry,,,,,201284,TNF10,250.0,ng/ml,,,,,,,5,-4.03,76.7361,0.792,0.22222,0.20833
51105-1,HeLa ICRP Bcl-2-mCherry,,,,,201284,TNF10,500.0,ng/ml,,,,,,,1,-3.94,63.4836,0.746,0.27049,0.20492
51105-1,HeLa ICRP Bcl-2-mCherry,,,,,201284,TNF10,500.0,ng/ml,,,,,,,2,-4.02,73.1522,0.880,0.19565,0.08696
51105-1,HeLa ICRP Bcl-2-mCherry,,,,,201284,TNF10,500.0,ng/ml,,,,,,,3,-4.16,43.5669,0.000,0.94268,0.83439
51106-1,HeLa ICRP Bcl-XL-mCherry,,,,,201284,TNF10,25.0,ng/ml,,,,,,,1,-5.09,259.4385,0.914,0.41711,0.39572
51106-1,HeLa ICRP Bcl-XL-mCherry,,,,,201284,TNF10,25.0,ng/ml,,,,,,,2,-5.41,255.1832,0.916,0.65445,0.56021
51106-1,HeLa ICRP Bcl-XL-mCherry,,,,,201284,TNF10,250.0,ng/ml,,,,,,,1,-4.02,64.6000,0.740,0.34000,0.24000
51106-1,HeLa ICRP Bcl-XL-mCherry,,,,,201284,TNF10,250.0,ng/ml,,,,,,,2,-4.19,81.1458,0.917,0.25000,0.08333
51106-1,HeLa ICRP Bcl-XL-mCherry,,,,,201284,TNF10,250.0,ng/ml,,,,,,,3,-4.18,49.8951,0.014,0.90909,0.88112
51106-1,HeLa ICRP Bcl-XL-mCherry,,,,,201284,TNF10,250.0,ng/ml,,,,,,,4,-4.05,77.8723,0.936,0.12766,0.10638
51106-1,HeLa ICRP Bcl-XL-mCherry,,,,,201284,TNF10,250.0,ng/ml,,,,,,,5,-4.01,69.8361,0.836,0.18033,0.13115
51106-1,HeLa ICRP Bcl-XL-mCherry,,,,,201284,TNF10,500.0,ng/ml,,,,,,,1,-4.04,70.9259,0.864,0.20988,0.13580
51106-1,HeLa ICRP Bcl-XL-mCherry,,,,,201284,TNF10,500.0,ng/ml,,,,,,,2,-4.09,66.3725,0.706,0.37255,0.25490
51106-1,HeLa ICRP Bcl-XL-mCherry,,,,,201284,TNF10,500.0,ng/ml,,,,,,,3,-4.18,46.9408,0.007,0.93421,0.83553
51105-1,HeLa ICRP Bcl-2-mCherry,10367-101-1,Navitoclax,10,uM,201284,TNF10,250.0,ng/ml,,,,,,,1,-4.09,48.5371,0.114,0.85590,0.76419
51105-1,HeLa ICRP Bcl-2-mCherry,10367-101-1,Navitoclax,10,uM,201284,TNF10,250.0,ng/ml,,,,,,,2,-4.04,46.3426,0.231,0.80556,0.63889
51106-1,HeLa ICRP Bcl-XL-mCherry,10367-101-1,Navitoclax,10,uM,201284,TNF10,250.0,ng/ml,,,,,,,1,-4.11,52.2500,0.239,0.76111,0.66111
51106-1,HeLa ICRP Bcl-XL-mCherry,10367-101-1,Navitoclax,10,uM,201284,TNF10,250.0,ng/ml,,,,,,,2,-4.03,54.5000,0.400,0.60000,0.50000
