Small Molecule HMS LINCS ID,Small Molecule Name,Cell Line HMS LINCS ID,Cell Line Name,Drug Concentration,Conc Units,Timepoint,Timepoint Units,Measured pERK (Alexa 488),Measured p-Rb (Alexa 568),Alexa Fluor 647,Measured p-Akt/p-4EBP1/p-S6 (Alexa 647),Image
10280-999-2,Triciribine,50583-5,MCF 10A,0 (control),,6,hr,477.54,163.37,p-Akt,60.15,337111
10280-999-2,Triciribine,50583-5,MCF 10A,0 (control),,24,hr,333.49,112.55,p-Akt,47.91,347371
10232-101-2,Dactolisib,50583-5,MCF 10A,0 (control),,6,hr,436.72,165.98,p-Akt,55.27,334951
10232-101-2,Dactolisib,50583-5,MCF 10A,0 (control),,24,hr,351.94,125.18,p-Akt,50.36,347911
10098-101-2,Gefitinib,50541-2,T47D,0 (control),,6,hr,176.65,97.90,p-Akt,103.18,337651
10098-101-2,Gefitinib,50541-2,T47D,0 (control),,24,hr,177.88,116.19,p-Akt,85.23,351691
10345-999-1,Torkinib,50541-2,T47D,0 (control),,6,hr,192.56,91.57,p-Akt,104.03,338731
10345-999-1,Torkinib,50541-2,T47D,0 (control),,24,hr,176.46,94.89,p-Akt,74.20,352231
10172-101-2,GSK1059615,50541-2,T47D,0 (control),,6,hr,168.92,88.95,p-Akt,95.10,339271
10172-101-2,GSK1059615,50541-2,T47D,0 (control),,24,hr,168.24,91.00,p-Akt,67.96,352771
10057-102-1,MK2206,50541-2,T47D,0 (control),,6,hr,102.66,35.62,p-Akt,15.31,339811
10057-102-1,MK2206,50541-2,T47D,0 (control),,24,hr,176.28,99.14,p-Akt,70.51,353311
10280-999-2,Triciribine,50541-2,T47D,0 (control),,6,hr,109.11,47.87,p-Akt,21.01,340351
10280-999-2,Triciribine,50541-2,T47D,0 (control),,24,hr,186.87,92.32,p-Akt,71.34,350611
10232-101-2,Dactolisib,50541-2,T47D,0 (control),,6,hr,99.23,26.75,p-Akt,14.05,338191
10232-101-2,Dactolisib,50541-2,T47D,0 (control),,24,hr,165.27,86.01,p-Akt,60.10,351151
10098-101-2,Gefitinib,50091-2,AU565,1.0,nM,6,hr,297.48,65.22,p-Akt,31.78,328229
10098-101-2,Gefitinib,50091-2,AU565,1.0,nM,24,hr,556.22,122.40,p-Akt,136.15,342313
10345-999-1,Torkinib,50091-2,AU565,0.1,nM,6,hr,230.65,52.24,p-Akt,23.88,329264
10345-999-1,Torkinib,50091-2,AU565,0.1,nM,24,hr,484.31,116.72,p-Akt,84.98,342610
10172-101-2,GSK1059615,50091-2,AU565,1.0,nM,6,hr,277.32,67.90,p-Akt,29.88,329552
10172-101-2,GSK1059615,50091-2,AU565,1.0,nM,24,hr,428.83,103.88,p-Akt,86.48,343582
10057-102-1,MK2206,50091-2,AU565,1.0,nM,6,hr,225.66,66.86,p-Akt,22.58,330497
10057-102-1,MK2206,50091-2,AU565,1.0,nM,24,hr,380.47,122.42,p-Akt,68.40,344014
10280-999-2,Triciribine,50091-2,AU565,1.0,nM,6,hr,225.05,59.35,p-Akt,21.63,330866
10280-999-2,Triciribine,50091-2,AU565,1.0,nM,24,hr,484.33,118.39,p-Akt,103.66,340982
10232-101-2,Dactolisib,50091-2,AU565,1.0,nM,6,hr,217.79,50.25,p-Akt,22.45,328607
10232-101-2,Dactolisib,50091-2,AU565,1.0,nM,24,hr,494.41,109.15,p-Akt,109.06,341576
10098-101-2,Gefitinib,50213-2,HCC1954,1.0,nM,6,hr,322.82,72.03,p-Akt,33.80,353933
10098-101-2,Gefitinib,50213-2,HCC1954,1.0,nM,24,hr,309.20,115.84,p-Akt,81.59,345545
10345-999-1,Torkinib,50213-2,HCC1954,0.1,nM,6,hr,195.86,37.51,p-Akt,23.03,355111
10345-999-1,Torkinib,50213-2,HCC1954,0.1,nM,24,hr,292.92,106.38,p-Akt,66.25,346066
10172-101-2,GSK1059615,50213-2,HCC1954,1.0,nM,6,hr,251.93,70.14,p-Akt,31.99,355706
10172-101-2,GSK1059615,50213-2,HCC1954,1.0,nM,24,hr,316.53,106.00,p-Akt,70.73,346795
10057-102-1,MK2206,50213-2,HCC1954,1.0,nM,6,hr,158.33,45.19,p-Akt,18.61,356264
10057-102-1,MK2206,50213-2,HCC1954,1.0,nM,24,hr,287.05,111.38,p-Akt,67.97,347308
10280-999-2,Triciribine,50213-2,HCC1954,1.0,nM,6,hr,192.23,55.17,p-Akt,31.66,356615
10280-999-2,Triciribine,50213-2,HCC1954,1.0,nM,24,hr,295.65,96.48,p-Akt,59.73,344285
10232-101-2,Dactolisib,50213-2,HCC1954,1.0,nM,6,hr,151.35,38.59,p-Akt,20.04,354913
10232-101-2,Dactolisib,50213-2,HCC1954,1.0,nM,24,hr,302.85,101.27,p-Akt,76.62,345166
10098-101-2,Gefitinib,50583-5,MCF 10A,1.0,nM,6,hr,434.84,165.60,p-Akt,49.10,334906
10098-101-2,Gefitinib,50583-5,MCF 10A,1.0,nM,24,hr,349.56,127.22,p-Akt,57.16,348730
10345-999-1,Torkinib,50583-5,MCF 10A,0.1,nM,6,hr,458.56,155.16,p-Akt,49.17,335735
10345-999-1,Torkinib,50583-5,MCF 10A,0.1,nM,24,hr,342.29,124.00,p-Akt,50.29,349082
10172-101-2,GSK1059615,50583-5,MCF 10A,1.0,nM,6,hr,470.40,164.01,p-Akt,53.70,336185
10172-101-2,GSK1059615,50583-5,MCF 10A,1.0,nM,24,hr,382.76,126.38,p-Akt,50.94,349891
10057-102-1,MK2206,50583-5,MCF 10A,1.0,nM,6,hr,436.98,158.45,p-Akt,51.09,337084
10057-102-1,MK2206,50583-5,MCF 10A,1.0,nM,24,hr,309.88,125.31,p-Akt,42.87,350413
10280-999-2,Triciribine,50583-5,MCF 10A,1.0,nM,6,hr,439.88,158.37,p-Akt,51.51,337309
10280-999-2,Triciribine,50583-5,MCF 10A,1.0,nM,24,hr,311.02,118.46,p-Akt,43.92,347768
10232-101-2,Dactolisib,50583-5,MCF 10A,1.0,nM,6,hr,437.12,174.36,p-Akt,52.90,335212
10232-101-2,Dactolisib,50583-5,MCF 10A,1.0,nM,24,hr,332.80,131.47,p-Akt,43.15,348055
10098-101-2,Gefitinib,50541-2,T47D,1.0,nM,6,hr,174.36,98.22,p-Akt,105.50,337849
10098-101-2,Gefitinib,50541-2,T47D,1.0,nM,24,hr,158.15,112.49,p-Akt,78.61,351925
10345-999-1,Torkinib,50541-2,T47D,0.1,nM,6,hr,173.65,92.27,p-Akt,90.58,339172
10345-999-1,Torkinib,50541-2,T47D,0.1,nM,24,hr,159.19,92.25,p-Akt,63.92,352700
10172-101-2,GSK1059615,50541-2,T47D,1.0,nM,6,hr,177.09,87.31,p-Akt,93.26,339317
10172-101-2,GSK1059615,50541-2,T47D,1.0,nM,24,hr,163.58,90.72,p-Akt,66.78,353096
10057-102-1,MK2206,50541-2,T47D,1.0,nM,6,hr,94.42,35.53,p-Akt,13.06,340262
10057-102-1,MK2206,50541-2,T47D,1.0,nM,24,hr,161.37,97.31,p-Akt,58.78,353546
10280-999-2,Triciribine,50541-2,T47D,1.0,nM,6,hr,96.98,46.31,p-Akt,19.11,340504
10280-999-2,Triciribine,50541-2,T47D,1.0,nM,24,hr,146.78,89.33,p-Akt,59.46,351007
10232-101-2,Dactolisib,50541-2,T47D,1.0,nM,6,hr,90.24,35.16,p-Akt,13.70,338722
10232-101-2,Dactolisib,50541-2,T47D,1.0,nM,24,hr,138.24,90.29,p-Akt,47.16,351368
10098-101-2,Gefitinib,50091-2,AU565,3.16,nM,6,hr,308.09,68.07,p-Akt,33.62,328462
10098-101-2,Gefitinib,50091-2,AU565,3.16,nM,24,hr,586.23,125.39,p-Akt,136.14,342152
10345-999-1,Torkinib,50091-2,AU565,0.422,nM,6,hr,269.85,59.34,p-Akt,25.74,329461
10345-999-1,Torkinib,50091-2,AU565,0.422,nM,24,hr,481.77,110.68,p-Akt,88.17,342808
10172-101-2,GSK1059615,50091-2,AU565,3.16,nM,6,hr,218.51,54.15,p-Akt,24.23,329776
10172-101-2,GSK1059615,50091-2,AU565,3.16,nM,24,hr,458.06,113.08,p-Akt,91.73,343141
10057-102-1,MK2206,50091-2,AU565,3.16,nM,6,hr,255.60,70.38,p-Akt,22.59,330326
10057-102-1,MK2206,50091-2,AU565,3.16,nM,24,hr,384.01,117.27,p-Akt,62.56,343726
10280-999-2,Triciribine,50091-2,AU565,3.16,nM,6,hr,205.62,54.24,p-Akt,19.22,331126
10280-999-2,Triciribine,50091-2,AU565,3.16,nM,24,hr,469.42,121.81,p-Akt,100.82,341359
10232-101-2,Dactolisib,50091-2,AU565,3.16,nM,6,hr,259.31,60.60,p-Akt,24.45,328544
10232-101-2,Dactolisib,50091-2,AU565,3.16,nM,24,hr,451.27,106.53,p-Akt,105.91,341459
10098-101-2,Gefitinib,50213-2,HCC1954,3.16,nM,6,hr,285.82,61.71,p-Akt,30.33,354302
10098-101-2,Gefitinib,50213-2,HCC1954,3.16,nM,24,hr,289.89,119.71,p-Akt,80.84,345634
10345-999-1,Torkinib,50213-2,HCC1954,0.422,nM,6,hr,213.03,46.19,p-Akt,24.57,354959
10345-999-1,Torkinib,50213-2,HCC1954,0.422,nM,24,hr,275.88,108.45,p-Akt,62.94,346030
10172-101-2,GSK1059615,50213-2,HCC1954,3.16,nM,6,hr,251.10,72.21,p-Akt,31.16,355688
10172-101-2,GSK1059615,50213-2,HCC1954,3.16,nM,24,hr,310.37,108.43,p-Akt,68.72,346678
10057-102-1,MK2206,50213-2,HCC1954,3.16,nM,6,hr,293.11,80.61,p-Akt,31.92,356201
10057-102-1,MK2206,50213-2,HCC1954,3.16,nM,24,hr,274.49,113.08,p-Akt,59.52,347093
10280-999-2,Triciribine,50213-2,HCC1954,3.16,nM,6,hr,237.48,78.12,p-Akt,40.18,356831
10280-999-2,Triciribine,50213-2,HCC1954,3.16,nM,24,hr,300.93,100.97,p-Akt,59.45,344438
10232-101-2,Dactolisib,50213-2,HCC1954,3.16,nM,6,hr,218.96,75.61,p-Akt,41.58,354499
10232-101-2,Dactolisib,50213-2,HCC1954,3.16,nM,24,hr,294.20,99.05,p-Akt,76.79,344996
10098-101-2,Gefitinib,50583-5,MCF 10A,3.16,nM,6,hr,471.10,159.36,p-Akt,45.78,334870
10098-101-2,Gefitinib,50583-5,MCF 10A,3.16,nM,24,hr,306.15,127.83,p-Akt,46.77,348919
10345-999-1,Torkinib,50583-5,MCF 10A,0.422,nM,6,hr,423.90,157.64,p-Akt,44.17,335842
10345-999-1,Torkinib,50583-5,MCF 10A,0.422,nM,24,hr,369.53,130.31,p-Akt,47.72,349504
10172-101-2,GSK1059615,50583-5,MCF 10A,3.16,nM,6,hr,402.45,167.07,p-Akt,45.00,336203
10172-101-2,GSK1059615,50583-5,MCF 10A,3.16,nM,24,hr,367.96,143.08,p-Akt,41.13,349882
10057-102-1,MK2206,50583-5,MCF 10A,3.16,nM,6,hr,401.94,154.74,p-Akt,43.87,336688
10057-102-1,MK2206,50583-5,MCF 10A,3.16,nM,24,hr,313.82,137.95,p-Akt,41.12,350503
10280-999-2,Triciribine,50583-5,MCF 10A,3.16,nM,6,hr,404.45,155.90,p-Akt,44.15,337282
10280-999-2,Triciribine,50583-5,MCF 10A,3.16,nM,24,hr,272.12,127.39,p-Akt,34.72,347489
10232-101-2,Dactolisib,50583-5,MCF 10A,3.16,nM,6,hr,394.32,173.00,p-Akt,43.59,335464
10232-101-2,Dactolisib,50583-5,MCF 10A,3.16,nM,24,hr,306.83,142.69,p-Akt,34.75,348352
10098-101-2,Gefitinib,50541-2,T47D,3.16,nM,6,hr,181.54,100.89,p-Akt,103.21,338074
10098-101-2,Gefitinib,50541-2,T47D,3.16,nM,24,hr,164.50,108.71,p-Akt,78.14,352087
10345-999-1,Torkinib,50541-2,T47D,0.422,nM,6,hr,170.81,90.25,p-Akt,78.90,339262
10345-999-1,Torkinib,50541-2,T47D,0.422,nM,24,hr,165.87,94.49,p-Akt,59.39,352744
10172-101-2,GSK1059615,50541-2,T47D,3.16,nM,6,hr,165.75,87.48,p-Akt,92.56,339650
10172-101-2,GSK1059615,50541-2,T47D,3.16,nM,24,hr,161.44,94.40,p-Akt,65.08,353141
10057-102-1,MK2206,50541-2,T47D,3.16,nM,6,hr,101.19,50.29,p-Akt,14.05,340235
10057-102-1,MK2206,50541-2,T47D,3.16,nM,24,hr,161.28,93.73,p-Akt,49.64,353627
10280-999-2,Triciribine,50541-2,T47D,3.16,nM,6,hr,96.97,52.42,p-Akt,20.09,340774
10280-999-2,Triciribine,50541-2,T47D,3.16,nM,24,hr,157.47,91.95,p-Akt,63.67,350936
10232-101-2,Dactolisib,50541-2,T47D,3.16,nM,6,hr,112.31,65.77,p-Akt,19.14,338641
10232-101-2,Dactolisib,50541-2,T47D,3.16,nM,24,hr,138.41,87.20,p-Akt,40.75,351512
10098-101-2,Gefitinib,50091-2,AU565,10.0,nM,6,hr,241.48,51.68,p-Akt,25.73,327959
10098-101-2,Gefitinib,50091-2,AU565,10.0,nM,24,hr,525.48,125.00,p-Akt,138.40,342017
10345-999-1,Torkinib,50091-2,AU565,1.78,nM,6,hr,231.62,48.81,p-Akt,18.34,329506
10345-999-1,Torkinib,50091-2,AU565,1.78,nM,24,hr,442.08,102.06,p-Akt,74.88,342781
10172-101-2,GSK1059615,50091-2,AU565,10.0,nM,6,hr,218.56,55.54,p-Akt,24.76,329704
10172-101-2,GSK1059615,50091-2,AU565,10.0,nM,24,hr,440.93,111.08,p-Akt,88.89,343303
10057-102-1,MK2206,50091-2,AU565,10.0,nM,6,hr,183.97,46.00,p-Akt,14.47,330092
10057-102-1,MK2206,50091-2,AU565,10.0,nM,24,hr,376.08,110.82,p-Akt,51.94,343897
10280-999-2,Triciribine,50091-2,AU565,10.0,nM,6,hr,278.40,74.05,p-Akt,23.07,331081
10280-999-2,Triciribine,50091-2,AU565,10.0,nM,24,hr,443.90,112.96,p-Akt,94.71,341080
10232-101-2,Dactolisib,50091-2,AU565,10.0,nM,6,hr,210.20,46.30,p-Akt,19.17,328805
10232-101-2,Dactolisib,50091-2,AU565,10.0,nM,24,hr,432.77,86.99,p-Akt,78.39,341774
10098-101-2,Gefitinib,50213-2,HCC1954,10.0,nM,6,hr,169.47,33.97,p-Akt,21.97,354239
10098-101-2,Gefitinib,50213-2,HCC1954,10.0,nM,24,hr,270.75,116.29,p-Akt,74.51,345221
10345-999-1,Torkinib,50213-2,HCC1954,1.78,nM,6,hr,160.33,28.86,p-Akt,17.59,355345
10345-999-1,Torkinib,50213-2,HCC1954,1.78,nM,24,hr,247.05,101.89,p-Akt,53.61,346003
10172-101-2,GSK1059615,50213-2,HCC1954,10.0,nM,6,hr,303.36,83.16,p-Akt,39.46,355760
10172-101-2,GSK1059615,50213-2,HCC1954,10.0,nM,24,hr,289.05,104.17,p-Akt,64.45,346642
10057-102-1,MK2206,50213-2,HCC1954,10.0,nM,6,hr,210.41,69.32,p-Akt,24.32,356057
10057-102-1,MK2206,50213-2,HCC1954,10.0,nM,24,hr,265.45,105.79,p-Akt,47.46,347344
10280-999-2,Triciribine,50213-2,HCC1954,10.0,nM,6,hr,244.94,83.37,p-Akt,43.56,356777
10280-999-2,Triciribine,50213-2,HCC1954,10.0,nM,24,hr,277.56,99.52,p-Akt,53.51,344546
10232-101-2,Dactolisib,50213-2,HCC1954,10.0,nM,6,hr,191.42,72.50,p-Akt,29.37,354463
10232-101-2,Dactolisib,50213-2,HCC1954,10.0,nM,24,hr,268.54,85.82,p-Akt,62.06,345032
10098-101-2,Gefitinib,50583-5,MCF 10A,10.0,nM,6,hr,403.87,169.07,p-Akt,44.65,334646
10098-101-2,Gefitinib,50583-5,MCF 10A,10.0,nM,24,hr,284.32,92.19,p-Akt,40.39,348496
10345-999-1,Torkinib,50583-5,MCF 10A,1.78,nM,6,hr,418.98,157.03,p-Akt,41.14,335609
10345-999-1,Torkinib,50583-5,MCF 10A,1.78,nM,24,hr,335.37,126.51,p-Akt,43.80,349415
10172-101-2,GSK1059615,50583-5,MCF 10A,10.0,nM,6,hr,404.71,163.10,p-Akt,40.33,336095
10172-101-2,GSK1059615,50583-5,MCF 10A,10.0,nM,24,hr,329.74,134.82,p-Akt,35.55,349909
10057-102-1,MK2206,50583-5,MCF 10A,10.0,nM,6,hr,385.74,153.09,p-Akt,35.57,336635
10057-102-1,MK2206,50583-5,MCF 10A,10.0,nM,24,hr,285.94,139.18,p-Akt,32.60,350530
10280-999-2,Triciribine,50583-5,MCF 10A,10.0,nM,6,hr,387.95,153.45,p-Akt,35.77,337435
10280-999-2,Triciribine,50583-5,MCF 10A,10.0,nM,24,hr,270.11,128.63,p-Akt,31.92,347624
10232-101-2,Dactolisib,50583-5,MCF 10A,10.0,nM,6,hr,370.75,172.24,p-Akt,40.19,335338
10232-101-2,Dactolisib,50583-5,MCF 10A,10.0,nM,24,hr,319.07,141.35,p-Akt,35.91,348082
10098-101-2,Gefitinib,50541-2,T47D,10.0,nM,6,hr,175.46,98.50,p-Akt,106.23,337786
10098-101-2,Gefitinib,50541-2,T47D,10.0,nM,24,hr,156.19,107.13,p-Akt,77.30,351943
10345-999-1,Torkinib,50541-2,T47D,1.78,nM,6,hr,166.87,88.81,p-Akt,62.47,339100
10345-999-1,Torkinib,50541-2,T47D,1.78,nM,24,hr,145.76,81.94,p-Akt,44.02,352628
10172-101-2,GSK1059615,50541-2,T47D,10.0,nM,6,hr,166.63,87.35,p-Akt,83.58,339380
10172-101-2,GSK1059615,50541-2,T47D,10.0,nM,24,hr,154.62,91.91,p-Akt,58.78,352961
10057-102-1,MK2206,50541-2,T47D,10.0,nM,6,hr,100.04,46.74,p-Akt,11.24,340028
10057-102-1,MK2206,50541-2,T47D,10.0,nM,24,hr,151.66,90.45,p-Akt,37.91,353743
10280-999-2,Triciribine,50541-2,T47D,10.0,nM,6,hr,106.75,60.43,p-Akt,20.60,340828
10280-999-2,Triciribine,50541-2,T47D,10.0,nM,24,hr,158.90,92.25,p-Akt,60.44,350963
10232-101-2,Dactolisib,50541-2,T47D,10.0,nM,6,hr,101.93,57.67,p-Akt,14.24,338704
10232-101-2,Dactolisib,50541-2,T47D,10.0,nM,24,hr,132.09,76.49,p-Akt,31.82,351592
10098-101-2,Gefitinib,50091-2,AU565,31.6,nM,6,hr,224.67,51.67,p-Akt,24.54,327986
10098-101-2,Gefitinib,50091-2,AU565,31.6,nM,24,hr,497.62,115.28,p-Akt,129.27,342295
10345-999-1,Torkinib,50091-2,AU565,7.5,nM,6,hr,270.94,52.71,p-Akt,17.37,329371
10345-999-1,Torkinib,50091-2,AU565,7.5,nM,24,hr,463.58,90.29,p-Akt,56.28,343042
10172-101-2,GSK1059615,50091-2,AU565,31.6,nM,6,hr,229.64,50.40,p-Akt,23.56,329929
10172-101-2,GSK1059615,50091-2,AU565,31.6,nM,24,hr,469.82,112.04,p-Akt,89.63,343411
10057-102-1,MK2206,50091-2,AU565,31.6,nM,6,hr,207.92,51.79,p-Akt,14.32,330622
10057-102-1,MK2206,50091-2,AU565,31.6,nM,24,hr,349.81,107.21,p-Akt,39.39,343610
10280-999-2,Triciribine,50091-2,AU565,31.6,nM,6,hr,220.69,55.70,p-Akt,17.86,331009
10280-999-2,Triciribine,50091-2,AU565,31.6,nM,24,hr,470.63,111.42,p-Akt,80.32,341026
10232-101-2,Dactolisib,50091-2,AU565,31.6,nM,6,hr,227.70,45.24,p-Akt,16.61,328957
10232-101-2,Dactolisib,50091-2,AU565,31.6,nM,24,hr,380.97,70.29,p-Akt,48.32,341450
10098-101-2,Gefitinib,50213-2,HCC1954,31.6,nM,6,hr,154.47,31.92,p-Akt,21.41,353942
10098-101-2,Gefitinib,50213-2,HCC1954,31.6,nM,24,hr,266.54,116.41,p-Akt,79.02,345509
10345-999-1,Torkinib,50213-2,HCC1954,7.5,nM,6,hr,166.69,28.86,p-Akt,16.56,355201
10345-999-1,Torkinib,50213-2,HCC1954,7.5,nM,24,hr,251.11,94.12,p-Akt,46.29,345904
10172-101-2,GSK1059615,50213-2,HCC1954,31.6,nM,6,hr,360.63,99.54,p-Akt,54.35,355580
10172-101-2,GSK1059615,50213-2,HCC1954,31.6,nM,24,hr,290.96,105.96,p-Akt,57.79,346453
10057-102-1,MK2206,50213-2,HCC1954,31.6,nM,6,hr,155.55,39.66,p-Akt,15.51,356488
10057-102-1,MK2206,50213-2,HCC1954,31.6,nM,24,hr,253.49,107.70,p-Akt,36.28,346976
10280-999-2,Triciribine,50213-2,HCC1954,31.6,nM,6,hr,227.75,83.99,p-Akt,41.27,356624
10280-999-2,Triciribine,50213-2,HCC1954,31.6,nM,24,hr,272.86,101.09,p-Akt,49.02,344528
10232-101-2,Dactolisib,50213-2,HCC1954,31.6,nM,6,hr,236.72,75.54,p-Akt,26.13,354697
10232-101-2,Dactolisib,50213-2,HCC1954,31.6,nM,24,hr,279.67,87.04,p-Akt,38.76,345130
10098-101-2,Gefitinib,50583-5,MCF 10A,31.6,nM,6,hr,398.27,164.91,p-Akt,40.24,334727
10098-101-2,Gefitinib,50583-5,MCF 10A,31.6,nM,24,hr,238.72,124.65,p-Akt,33.96,348568
10345-999-1,Torkinib,50583-5,MCF 10A,7.5,nM,6,hr,427.52,157.79,p-Akt,37.03,336022
10345-999-1,Torkinib,50583-5,MCF 10A,7.5,nM,24,hr,366.02,147.83,p-Akt,35.28,349289
10172-101-2,GSK1059615,50583-5,MCF 10A,31.6,nM,6,hr,373.13,166.27,p-Akt,34.46,336509
10172-101-2,GSK1059615,50583-5,MCF 10A,31.6,nM,24,hr,339.47,139.37,p-Akt,33.88,349837
10057-102-1,MK2206,50583-5,MCF 10A,31.6,nM,6,hr,380.25,159.60,p-Akt,30.86,336697
10057-102-1,MK2206,50583-5,MCF 10A,31.6,nM,24,hr,281.68,141.57,p-Akt,26.79,350126
10280-999-2,Triciribine,50583-5,MCF 10A,31.6,nM,6,hr,381.96,160.49,p-Akt,30.98,337462
10280-999-2,Triciribine,50583-5,MCF 10A,31.6,nM,24,hr,257.99,128.96,p-Akt,24.48,347615
10232-101-2,Dactolisib,50583-5,MCF 10A,31.6,nM,6,hr,378.27,159.78,p-Akt,36.16,335356
10232-101-2,Dactolisib,50583-5,MCF 10A,31.6,nM,24,hr,326.56,145.16,p-Akt,30.88,348271
10098-101-2,Gefitinib,50541-2,T47D,31.6,nM,6,hr,167.03,97.05,p-Akt,101.76,337885
10098-101-2,Gefitinib,50541-2,T47D,31.6,nM,24,hr,155.72,101.88,p-Akt,76.48,352159
10345-999-1,Torkinib,50541-2,T47D,7.5,nM,6,hr,157.46,86.43,p-Akt,48.47,339145
10345-999-1,Torkinib,50541-2,T47D,7.5,nM,24,hr,144.08,65.96,p-Akt,33.04,352538
10172-101-2,GSK1059615,50541-2,T47D,31.6,nM,6,hr,168.17,85.32,p-Akt,73.10,339605
10172-101-2,GSK1059615,50541-2,T47D,31.6,nM,24,hr,155.80,86.40,p-Akt,49.01,352952
10057-102-1,MK2206,50541-2,T47D,31.6,nM,6,hr,105.79,49.19,p-Akt,9.27,339866
10057-102-1,MK2206,50541-2,T47D,31.6,nM,24,hr,146.52,86.34,p-Akt,26.31,353698
10280-999-2,Triciribine,50541-2,T47D,31.6,nM,6,hr,111.54,58.38,p-Akt,17.15,340837
10280-999-2,Triciribine,50541-2,T47D,31.6,nM,24,hr,173.98,88.45,p-Akt,50.47,351061
10232-101-2,Dactolisib,50541-2,T47D,31.6,nM,6,hr,88.70,45.24,p-Akt,10.08,338497
10232-101-2,Dactolisib,50541-2,T47D,31.6,nM,24,hr,113.51,47.76,p-Akt,26.04,351521
10098-101-2,Gefitinib,50091-2,AU565,100.0,nM,6,hr,221.28,52.62,p-Akt,23.51,328435
10098-101-2,Gefitinib,50091-2,AU565,100.0,nM,24,hr,438.46,106.15,p-Akt,119.62,342143
10345-999-1,Torkinib,50091-2,AU565,31.6,nM,6,hr,280.52,52.21,p-Akt,15.00,329353
