Cell HMS LINCS ID,Cell Name,Small Molecule 1 HMS LINCS ID,Small Molecule 1 Name,Small Molecule 2 HMS LINCS ID,Small Molecule 2 Name,Small Mol 1 Concentration,Small Mol 2 Concentration,Small Mol Conc Unit,Time Point,Time Point Unit,Replicate,Primary Antibody (488) HMS LINCS ID,Primary Antibody (488) Name,Secondary Antibody (488) HMS LINCS ID,Secondary Antibody (488) Name,Protein Detected (488) HMS LINCS ID,Protein Detected (488) Name,Mean Fluorescence Intensity (488),Primary Antibody (647) HMS LINCS ID,Primary Antibody (647) Name,Secondary Antibody (647) HMS LINCS ID,Secondary Antibody (647) Name,Protein 1 Detected (647) HMS LINCS ID,Protein 1 Detected (647) Name,Protein 2 Detected (647) HMS LINCS ID,Protein 2 Detected (647) Name,Protein 3 Detected (647) HMS LINCS ID,Protein 3 Detected (647) Name,Protein 4 Detected (647) HMS LINCS ID,Protein 4 Detected (647) Name,Mean Fluorescence Intensity (647),Plate Name,Plate Well
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,1.000,0.200,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,118.93,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),15.10,A375-P1,C10
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,3.160,0.200,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,43.25,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),8.37,A375-P1,C11
50060-2,A-375,10068-101-1,Vemurafenib,,,0.000,,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,1389.99,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),682.68,A375-P1,C2
50060-2,A-375,10068-101-1,Vemurafenib,,,0.100,,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,714.42,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),117.04,A375-P1,C3
50060-2,A-375,10068-101-1,Vemurafenib,,,0.316,,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,382.53,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),61.39,A375-P1,C4
50060-2,A-375,10068-101-1,Vemurafenib,,,1.000,,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,185.44,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),49.39,A375-P1,C5
50060-2,A-375,10068-101-1,Vemurafenib,,,3.160,,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,110.57,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),45.79,A375-P1,C6
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,0.000,0.200,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,160.31,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),30.52,A375-P1,C7
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,0.100,0.200,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,121.07,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),19.44,A375-P1,C8
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,0.316,0.200,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,137.06,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),18.81,A375-P1,C9
50060-2,A-375,10068-101-1,Vemurafenib,10330-101-1,I-BET,1.000,1.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,133.62,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),34.79,A375-P1,D10
50060-2,A-375,10068-101-1,Vemurafenib,10330-101-1,I-BET,3.160,1.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,57.54,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),29.11,A375-P1,D11
50060-2,A-375,10068-101-1,Vemurafenib,10310-101-1,Belinostat,0.000,1.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,329.21,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),468.87,A375-P1,D2
50060-2,A-375,10068-101-1,Vemurafenib,10310-101-1,Belinostat,0.100,1.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,215.80,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),146.91,A375-P1,D3
50060-2,A-375,10068-101-1,Vemurafenib,10310-101-1,Belinostat,0.316,1.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,193.15,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),79.21,A375-P1,D4
50060-2,A-375,10068-101-1,Vemurafenib,10310-101-1,Belinostat,1.000,1.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,82.23,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),48.07,A375-P1,D5
50060-2,A-375,10068-101-1,Vemurafenib,10310-101-1,Belinostat,3.160,1.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,15.40,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),34.33,A375-P1,D6
50060-2,A-375,10068-101-1,Vemurafenib,10330-101-1,I-BET,0.000,1.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,890.93,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),725.62,A375-P1,D7
50060-2,A-375,10068-101-1,Vemurafenib,10330-101-1,I-BET,0.100,1.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,449.53,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),89.95,A375-P1,D8
50060-2,A-375,10068-101-1,Vemurafenib,10330-101-1,I-BET,0.316,1.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,219.54,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),47.32,A375-P1,D9
50060-2,A-375,10068-101-1,Vemurafenib,10330-101-1,I-BET,1.000,1.000,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,133.78,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),35.21,A375-P1,E10
50060-2,A-375,10068-101-1,Vemurafenib,10330-101-1,I-BET,3.160,1.000,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,63.28,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),30.98,A375-P1,E11
50060-2,A-375,10068-101-1,Vemurafenib,10310-101-1,Belinostat,0.000,1.000,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,272.84,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),388.77,A375-P1,E2
50060-2,A-375,10068-101-1,Vemurafenib,10310-101-1,Belinostat,0.100,1.000,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,250.02,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),150.27,A375-P1,E3
50060-2,A-375,10068-101-1,Vemurafenib,10310-101-1,Belinostat,0.316,1.000,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,177.79,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),71.22,A375-P1,E4
50060-2,A-375,10068-101-1,Vemurafenib,10310-101-1,Belinostat,1.000,1.000,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,105.57,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),50.55,A375-P1,E5
50060-2,A-375,10068-101-1,Vemurafenib,10310-101-1,Belinostat,3.160,1.000,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,28.55,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),42.08,A375-P1,E6
50060-2,A-375,10068-101-1,Vemurafenib,10330-101-1,I-BET,0.000,1.000,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,905.90,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),679.57,A375-P1,E7
50060-2,A-375,10068-101-1,Vemurafenib,10330-101-1,I-BET,0.100,1.000,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,485.34,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),96.69,A375-P1,E8
50060-2,A-375,10068-101-1,Vemurafenib,10330-101-1,I-BET,0.316,1.000,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,212.70,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),41.38,A375-P1,E9
50060-2,A-375,10068-101-1,Vemurafenib,10331-101-1,I-BET151,1.000,1.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,133.88,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),34.36,A375-P1,F10
50060-2,A-375,10068-101-1,Vemurafenib,10331-101-1,I-BET151,3.160,1.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,71.25,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),27.06,A375-P1,F11
50060-2,A-375,10068-101-1,Vemurafenib,10328-101-1,(+)-JQ1,0.000,1.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,422.12,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),496.15,A375-P1,F2
50060-2,A-375,10068-101-1,Vemurafenib,10328-101-1,(+)-JQ1,0.100,1.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,339.01,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),131.75,A375-P1,F3
50060-2,A-375,10068-101-1,Vemurafenib,10328-101-1,(+)-JQ1,0.316,1.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,242.41,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),88.71,A375-P1,F4
50060-2,A-375,10068-101-1,Vemurafenib,10328-101-1,(+)-JQ1,1.000,1.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,144.78,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),50.49,A375-P1,F5
50060-2,A-375,10068-101-1,Vemurafenib,10328-101-1,(+)-JQ1,3.160,1.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,85.09,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),45.80,A375-P1,F6
50060-2,A-375,10068-101-1,Vemurafenib,10331-101-1,I-BET151,0.000,1.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,874.45,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),638.62,A375-P1,F7
50060-2,A-375,10068-101-1,Vemurafenib,10331-101-1,I-BET151,0.100,1.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,463.74,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),102.30,A375-P1,F8
50060-2,A-375,10068-101-1,Vemurafenib,10331-101-1,I-BET151,0.316,1.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,262.76,80063-2,ERK-1 (pT202; pY204); ERK-1 (pT202); ERK-2 (pT185; pY187); ERK-2 (pT185),80069-2,rabbit IgG(H+L) / donkey,201303,ERK-1 (pT202; pY204),201337,ERK-1 (pT202),201304,ERK-2 (pT185; pY187),201338,ERK-2 (pT185),45.16,A375-P1,F9
