Cell HMS LINCS ID,Cell Name,Small Molecule 1 HMS LINCS ID,Small Molecule 1 Name,Small Molecule 2 HMS LINCS ID,Small Molecule 2 Name,Small Mol 1 Concentration,Small Mol 2 Concentration,Small Mol Conc Unit,Time Point,Time Point Unit,Replicate,Primary Antibody (488) HMS LINCS ID,Primary Antibody (488) Name,Secondary Antibody (488) HMS LINCS ID,Secondary Antibody (488) Name,Protein Detected (488) HMS LINCS ID,Protein Detected (488) Name,Mean Fluorescence Intensity (488),Primary Antibody (568) HMS LINCS ID,Primary Antibody (568) Name,Secondary Antibody (568) HMS LINCS ID,Secondary Antibody (568) Name,Protein Detected (568) HMS LINCS ID,Protein Detected (568) Name,Mean Fluorescence Intensity (568),Primary Antibody (647) HMS LINCS ID,Primary Antibody (647) Name,Secondary Antibody (647) HMS LINCS ID,Secondary Antibody (647) Name,Protein Detected (647) HMS LINCS ID,Protein Detected (647) Name,Mean Fluorescence Intensity (647),Plate Name,Plate Well
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.316,1.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,538.29,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),166.43,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,167.43,A375-P1,C10
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.316,3.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,559.44,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),178.24,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,158.24,A375-P1,C11
50060-2,A-375,10068-101-1,Vemurafenib,,,0.316,,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,658.19,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),196.52,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,784.50,A375-P1,C2
50060-2,A-375,10068-101-1,Vemurafenib,,,0.316,,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,786.50,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),210.29,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,822.61,A375-P1,C3
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,0.316,0.200,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,475.69,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),152.94,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,1151.49,A375-P1,C4
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,0.316,0.600,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,463.41,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),158.22,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,1124.92,A375-P1,C5
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.316,1.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,621.35,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),166.51,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,366.71,A375-P1,C6
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.316,3.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,476.63,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),143.31,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,248.80,A375-P1,C7
50060-2,A-375,10068-101-1,Vemurafenib,10072-101-2,PF562271,0.316,1.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,503.75,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),156.55,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,566.55,A375-P1,C8
50060-2,A-375,10068-101-1,Vemurafenib,10072-101-2,PF562271,0.316,3.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,516.73,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),165.19,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,493.56,A375-P1,C9
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,1.000,1.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,536.52,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),174.46,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,300.18,A375-P1,D10
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,1.000,3.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,540.13,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),175.10,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,180.58,A375-P1,D11
50060-2,A-375,10068-101-1,Vemurafenib,,,1.000,,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,674.52,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),188.75,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,856.39,A375-P1,D2
50060-2,A-375,10068-101-1,Vemurafenib,,,1.000,,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,661.81,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),185.37,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,873.80,A375-P1,D3
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,1.000,0.200,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,550.54,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),169.58,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,1008.81,A375-P1,D4
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,1.000,0.600,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,384.18,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),147.89,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,1015.13,A375-P1,D5
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,1.000,1.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,308.19,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),140.67,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,468.47,A375-P1,D6
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,1.000,3.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,344.82,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),136.28,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,282.18,A375-P1,D7
50060-2,A-375,10068-101-1,Vemurafenib,10072-101-2,PF562271,1.000,1.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,422.53,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),143.51,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,620.99,A375-P1,D8
50060-2,A-375,10068-101-1,Vemurafenib,10072-101-2,PF562271,1.000,3.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,523.94,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),163.91,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,465.12,A375-P1,D9
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.000,1.000,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,2728.23,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),495.24,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,132.92,A375-P1,E10
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.000,3.000,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,1734.18,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),353.69,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,119.95,A375-P1,E11
50060-2,A-375,10068-101-1,Vemurafenib,,,0.000,,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,3098.11,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),540.77,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,567.23,A375-P1,E2
50060-2,A-375,10068-101-1,Vemurafenib,,,0.000,,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,3238.32,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),574.69,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,547.66,A375-P1,E3
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,0.000,0.200,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,539.06,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),158.41,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,1132.49,A375-P1,E4
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,0.000,0.600,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,445.42,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),156.24,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,1195.67,A375-P1,E5
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.000,1.000,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,2351.55,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),431.86,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,295.59,A375-P1,E6
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.000,3.000,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,1610.17,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),333.93,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,343.07,A375-P1,E7
50060-2,A-375,10068-101-1,Vemurafenib,10072-101-2,PF562271,0.000,1.000,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,2421.26,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),433.32,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,252.56,A375-P1,E8
50060-2,A-375,10068-101-1,Vemurafenib,10072-101-2,PF562271,0.000,3.000,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,1095.66,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),214.29,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,135.55,A375-P1,E9
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.316,1.000,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,550.44,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),170.79,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,155.36,A375-P1,F10
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,0.316,3.000,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,523.10,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),171.20,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,138.23,A375-P1,F11
50060-2,A-375,10068-101-1,Vemurafenib,,,0.316,,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,941.49,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),206.09,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,778.64,A375-P1,F2
50060-2,A-375,10068-101-1,Vemurafenib,,,0.316,,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,938.37,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),214.23,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,922.84,A375-P1,F3
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,0.316,0.200,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,517.71,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),155.94,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,1172.91,A375-P1,F4
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,0.316,0.600,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,493.22,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),153.91,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,1049.55,A375-P1,F5
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.316,1.000,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,544.56,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),153.98,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,308.08,A375-P1,F6
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,0.316,3.000,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,492.21,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),138.59,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,204.04,A375-P1,F7
50060-2,A-375,10068-101-1,Vemurafenib,10072-101-2,PF562271,0.316,1.000,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,497.05,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),149.72,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,524.06,A375-P1,F8
50060-2,A-375,10068-101-1,Vemurafenib,10072-101-2,PF562271,0.316,3.000,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,475.12,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),150.33,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,510.86,A375-P1,F9
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,1.000,1.000,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,468.48,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),159.69,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,243.06,A375-P1,G10
50060-2,A-375,10068-101-1,Vemurafenib,10020-101-1,Dasatinib,1.000,3.000,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,471.76,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),163.07,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,153.81,A375-P1,G11
50060-2,A-375,10068-101-1,Vemurafenib,,,1.000,,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,667.35,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),168.31,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,820.85,A375-P1,G2
50060-2,A-375,10068-101-1,Vemurafenib,,,1.000,,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,692.58,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),174.65,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,816.14,A375-P1,G3
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,1.000,0.200,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,519.89,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),151.01,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,890.02,A375-P1,G4
50060-2,A-375,10068-101-1,Vemurafenib,10142-101-6,Trametinib,1.000,0.600,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,555.54,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),165.74,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,1086.87,A375-P1,G5
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,1.000,1.000,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,576.51,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),161.13,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,458.75,A375-P1,G6
50060-2,A-375,10068-101-1,Vemurafenib,10621-101-1,Defactinib,1.000,3.000,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,576.29,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),147.69,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,331.16,A375-P1,G7
50060-2,A-375,10068-101-1,Vemurafenib,10072-101-2,PF562271,1.000,1.000,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,522.12,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),150.15,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,600.07,A375-P1,G8
50060-2,A-375,10068-101-1,Vemurafenib,10072-101-2,PF562271,1.000,3.000,uM,48,hr,2,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,506.69,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),149.46,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,429.87,A375-P1,G9
50060-2,A-375,10068-101-1,Vemurafenib,10071-102-7,Palbociclib,0.000,1.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,745.75,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),167.99,80020-2,c-Jun (pS73),80069-2,rabbit IgG(H+L) / donkey,201318,c-Jun (pS73),134.37,A375-P10,B10
50060-2,A-375,10068-101-1,Vemurafenib,10071-102-7,Palbociclib,0.000,3.000,uM,48,hr,1,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,573.25,80057-2,Rb (pS807; pS811),80070-2,goat IgG(H+L),201297,Rb (pS807; pS811),137.42,80020-2,c-Jun (pS73),80069-2,rabbit IgG(H+L) / donkey,201318,c-Jun (pS73),113.14,A375-P10,B11
