Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration (uM),Total Cell Count Before Treatment,Total Cell Count After Treatment,Total Control Cell Count,Normalized Growth Rate Inhibition Value,Assay Plate,Assay Well,Biological Replicate
50583-4,MCF 10A,10020-101-5,Dasatinib,0.056667,636,7881,10885,0.8484,1,E11,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.1,636,5047,10885,0.6579,1,D10,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.1,636,4859,10885,0.6426,1,M06,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.17783,636,1975,10885,0.3186,1,E22,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.17783,636,2068,10885,0.3335,1,G15,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.31623,636,1616,10885,0.2556,1,G09,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.31623,636,1329,10885,0.1971,1,H12,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.31623,636,1740,10885,0.2784,1,L08,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.56234,636,791,10885,0.0547,1,J22,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.56234,636,848,10885,0.0727,1,L15,3
50583-4,MCF 10A,10020-101-5,Dasatinib,1,636,1115,10885,0.1468,1,E05,3
50583-4,MCF 10A,10020-101-5,Dasatinib,1,636,1664,10885,0.2646,1,G04,3
50583-4,MCF 10A,10020-101-5,Dasatinib,1.7783,636,684,10885,0.0179,1,H17,3
50583-4,MCF 10A,10020-101-5,Dasatinib,1.7783,636,594,10885,-0.0166,1,L17,3
50583-4,MCF 10A,10020-101-5,Dasatinib,3.1623,636,388,10885,-0.1136,1,C21,3
50583-4,MCF 10A,10020-101-5,Dasatinib,3.1623,636,443,10885,-0.0845,1,N12,3
50583-4,MCF 10A,10020-101-5,Dasatinib,10,636,247,10885,-0.2062,1,E13,3
50583-4,MCF 10A,10020-101-5,Dasatinib,10,636,246,10885,-0.2069,1,K20,3
50583-4,MCF 10A,10250-101-3,Etoposide,0.0010833,636,11376,10885,1.0216,1,I10,3
50583-4,MCF 10A,10250-101-3,Etoposide,0.0010833,636,11059,10885,1.0077,1,N17,3
50583-4,MCF 10A,10250-101-3,Etoposide,0.0033333,636,11153,10885,1.0119,1,C08,3
50583-4,MCF 10A,10250-101-3,Etoposide,0.0033333,636,11123,10885,1.0106,1,N04,3
50583-4,MCF 10A,10250-101-3,Etoposide,0.01,636,10508,10885,0.9828,1,E03,3
50583-4,MCF 10A,10250-101-3,Etoposide,0.01,636,10769,10885,0.9947,1,J05,3
50583-4,MCF 10A,10250-101-3,Etoposide,0.018333,636,10883,10885,0.9999,1,C09,3
50583-4,MCF 10A,10250-101-3,Etoposide,0.018333,636,11026,10885,1.0063,1,M12,3
50583-4,MCF 10A,10250-101-3,Etoposide,0.031667,636,9439,10885,0.9316,1,C06,3
50583-4,MCF 10A,10250-101-3,Etoposide,0.031667,636,9439,10885,0.9316,1,K10,3
50583-4,MCF 10A,10250-101-3,Etoposide,0.056667,636,8466,10885,0.8810,1,J16,3
50583-4,MCF 10A,10250-101-3,Etoposide,0.056667,636,8529,10885,0.8844,1,K21,3
50583-4,MCF 10A,10250-101-3,Etoposide,0.1,636,6216,10885,0.7444,1,H13,3
50583-4,MCF 10A,10250-101-3,Etoposide,0.1,636,7269,10885,0.8123,1,J10,3
50583-4,MCF 10A,10250-101-3,Etoposide,0.17783,636,5569,10885,0.6982,1,J04,3
50583-4,MCF 10A,10250-101-3,Etoposide,0.17783,636,4724,10885,0.6313,1,N19,3
50583-4,MCF 10A,10250-101-3,Etoposide,0.31623,636,3265,10885,0.4907,1,E08,3
50583-4,MCF 10A,10250-101-3,Etoposide,0.31623,636,2876,10885,0.4452,1,E17,3
50583-4,MCF 10A,10250-101-3,Etoposide,0.31623,636,3437,10885,0.5095,1,J21,3
50583-4,MCF 10A,10250-101-3,Etoposide,0.56234,636,1537,10885,0.2403,1,D03,3
50583-4,MCF 10A,10250-101-3,Etoposide,0.56234,636,1477,10885,0.2283,1,D05,3
50583-4,MCF 10A,10250-101-3,Etoposide,1,636,857,10885,0.0755,1,F03,3
50583-4,MCF 10A,10250-101-3,Etoposide,1,636,864,10885,0.0776,1,L21,3
50583-4,MCF 10A,10250-101-3,Etoposide,1.7783,636,756,10885,0.0431,1,J12,3
50583-4,MCF 10A,10250-101-3,Etoposide,1.7783,636,778,10885,0.0504,1,M10,3
50583-4,MCF 10A,10250-101-3,Etoposide,3.1623,636,630,10885,-0.0023,1,D17,3
50583-4,MCF 10A,10250-101-3,Etoposide,3.1623,636,775,10885,0.0494,1,G08,3
50583-4,MCF 10A,10250-101-3,Etoposide,10,636,595,10885,-0.0161,1,J18,3
50583-4,MCF 10A,10250-101-3,Etoposide,10,636,630,10885,-0.0023,1,J20,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.00043333,636,11062,10885,1.0079,1,I14,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.00043333,636,10969,10885,1.0037,1,L07,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.0013333,636,10923,10885,1.0017,1,J13,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.0013333,636,11231,10885,1.0153,1,M19,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.0033333,636,12281,10885,1.0597,1,J06,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.0033333,636,10948,10885,1.0028,1,N09,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.0053333,636,11275,10885,1.0172,1,E21,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.0053333,636,10564,10885,0.9854,1,G18,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.01,636,10342,10885,0.9751,1,F04,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.01,636,10321,10885,0.9742,1,F13,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.018,636,10157,10885,0.9665,1,K03,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.018,636,10586,10885,0.9864,1,N03,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.031623,636,9188,10885,0.9189,1,I06,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.031623,636,8378,10885,0.8762,1,M17,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.056234,636,6167,10885,0.7410,1,I13,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.056234,636,5916,10885,0.7234,1,K13,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.1,636,3527,10885,0.5190,1,D18,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.1,636,3049,10885,0.4660,1,F14,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.1,636,3616,10885,0.5283,1,N05,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.17783,636,2800,10885,0.4358,1,N06,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.17783,636,2112,10885,0.3403,1,N20,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.31623,636,995,10885,0.1154,1,H15,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.31623,636,1198,10885,0.1671,1,I20,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.56234,636,882,10885,0.0831,1,L11,3
50583-4,MCF 10A,10018-101-5,Neratinib,0.56234,636,787,10885,0.0534,1,L13,3
50583-4,MCF 10A,10018-101-5,Neratinib,1,636,618,10885,-0.0070,1,E14,3
50583-4,MCF 10A,10018-101-5,Neratinib,1,636,762,10885,0.0451,1,H08,3
50583-4,MCF 10A,10018-101-5,Neratinib,3.1623,636,448,10885,-0.0820,1,D13,3
50583-4,MCF 10A,10018-101-5,Neratinib,3.1623,636,558,10885,-0.0314,1,L09,3
50583-4,MCF 10A,10102-101-7,Taxol,4.3333e-05,636,10451,10885,0.9802,1,E18,3
50583-4,MCF 10A,10102-101-7,Taxol,4.3333e-05,636,10795,10885,0.9959,1,I16,3
50583-4,MCF 10A,10102-101-7,Taxol,0.00013333,636,10795,10885,0.9959,1,H07,3
50583-4,MCF 10A,10102-101-7,Taxol,0.00013333,636,11428,10885,1.0239,1,I09,3
50583-4,MCF 10A,10102-101-7,Taxol,0.0002,636,10854,10885,0.9986,1,E06,3
50583-4,MCF 10A,10102-101-7,Taxol,0.0002,636,10780,10885,0.9952,1,N18,3
50583-4,MCF 10A,10102-101-7,Taxol,0.00033333,636,11690,10885,1.0351,1,F07,3
50583-4,MCF 10A,10102-101-7,Taxol,0.00033333,636,10366,10885,0.9763,1,M05,3
50583-4,MCF 10A,10102-101-7,Taxol,0.00053333,636,10624,10885,0.9882,1,F12,3
50583-4,MCF 10A,10102-101-7,Taxol,0.00053333,636,10879,10885,0.9997,1,G07,3
50583-4,MCF 10A,10102-101-7,Taxol,0.001,636,7192,10885,0.8076,1,C18,3
50583-4,MCF 10A,10102-101-7,Taxol,0.001,636,7721,10885,0.8392,1,D19,3
50583-4,MCF 10A,10102-101-7,Taxol,0.0018,636,5300,10885,0.6778,1,I22,3
50583-4,MCF 10A,10102-101-7,Taxol,0.0018,636,4211,10885,0.5862,1,L06,3
50583-4,MCF 10A,10102-101-7,Taxol,0.0031623,636,1728,10885,0.2763,1,F15,3
50583-4,MCF 10A,10102-101-7,Taxol,0.0031623,636,1733,10885,0.2772,1,G13,3
50583-4,MCF 10A,10102-101-7,Taxol,0.0031623,636,1650,10885,0.2620,1,M22,3
50583-4,MCF 10A,10102-101-7,Taxol,0.0056234,636,751,10885,0.0414,1,C16,3
50583-4,MCF 10A,10102-101-7,Taxol,0.0056234,636,848,10885,0.0727,1,K11,3
50583-4,MCF 10A,10102-101-7,Taxol,0.01,636,337,10885,-0.1436,1,C13,3
50583-4,MCF 10A,10102-101-7,Taxol,0.01,636,378,10885,-0.1193,1,F05,3
50583-4,MCF 10A,10102-101-7,Taxol,0.017783,636,207,10885,-0.2397,1,D04,3
50583-4,MCF 10A,10102-101-7,Taxol,0.017783,636,224,10885,-0.2249,1,G20,3
50583-4,MCF 10A,10102-101-7,Taxol,0.031623,636,160,10885,-0.2860,1,G05,3
50583-4,MCF 10A,10102-101-7,Taxol,0.031623,636,156,10885,-0.2904,1,M08,3
50583-4,MCF 10A,10102-101-7,Taxol,0.1,636,154,10885,-0.2926,1,C04,3
50583-4,MCF 10A,10102-101-7,Taxol,0.1,636,110,10885,-0.3484,1,D20,3
50583-4,MCF 10A,10102-101-7,Taxol,0.31623,636,119,10885,-0.3358,1,H14,3
50583-4,MCF 10A,10102-101-7,Taxol,0.31623,636,165,10885,-0.2806,1,M21,3
50583-4,MCF 10A,10071-101-2,Palbociclib,0.0010833,636,10603,10885,0.9872,1,H22,3
50583-4,MCF 10A,10071-101-2,Palbociclib,0.0010833,636,10595,10885,0.9868,1,M20,3
50583-4,MCF 10A,10071-101-2,Palbociclib,0.0033333,636,10683,10885,0.9908,1,G11,3
50583-4,MCF 10A,10071-101-2,Palbociclib,0.0033333,636,9669,10885,0.9430,1,K19,3
50583-4,MCF 10A,10071-101-2,Palbociclib,0.01,636,11556,10885,1.0294,1,M11,3
50583-4,MCF 10A,10071-101-2,Palbociclib,0.01,636,10127,10885,0.9650,1,N14,3
50583-4,MCF 10A,10071-101-2,Palbociclib,0.031667,636,10589,10885,0.9866,1,C14,3
50583-4,MCF 10A,10071-101-2,Palbociclib,0.031667,636,10319,10885,0.9741,1,F08,3
50583-4,MCF 10A,10071-101-2,Palbociclib,0.056667,636,10289,10885,0.9727,1,G19,3
50583-4,MCF 10A,10071-101-2,Palbociclib,0.056667,636,11935,10885,1.0454,1,I05,3
50583-4,MCF 10A,10071-101-2,Palbociclib,0.1,636,10500,10885,0.9825,1,D15,3
50583-4,MCF 10A,10071-101-2,Palbociclib,0.1,636,9614,10885,0.9403,1,L10,3
50583-4,MCF 10A,10071-101-2,Palbociclib,0.17783,636,12235,10885,1.0579,1,J09,3
50583-4,MCF 10A,10071-101-2,Palbociclib,0.17783,636,9516,10885,0.9354,1,N16,3
50583-4,MCF 10A,10071-101-2,Palbociclib,0.31623,636,5247,10885,0.6737,1,H20,3
50583-4,MCF 10A,10071-101-2,Palbociclib,0.31623,636,4864,10885,0.6430,1,N15,3
50583-4,MCF 10A,10071-101-2,Palbociclib,0.56234,636,5391,10885,0.6848,1,K14,3
50583-4,MCF 10A,10071-101-2,Palbociclib,0.56234,636,4846,10885,0.6415,1,N07,3
50583-4,MCF 10A,10071-101-2,Palbociclib,1,636,3805,10885,0.5474,1,F21,3
50583-4,MCF 10A,10071-101-2,Palbociclib,1,636,5005,10885,0.6545,1,I17,3
50583-4,MCF 10A,10071-101-2,Palbociclib,1,636,3711,10885,0.5380,1,I18,3
50583-4,MCF 10A,10071-101-2,Palbociclib,1.7783,636,3072,10885,0.4687,1,F11,3
50583-4,MCF 10A,10071-101-2,Palbociclib,1.7783,636,4443,10885,0.6071,1,J08,3
50583-4,MCF 10A,10071-101-2,Palbociclib,3.1623,636,3087,10885,0.4704,1,E10,3
50583-4,MCF 10A,10071-101-2,Palbociclib,3.1623,636,3414,10885,0.5070,1,M09,3
50583-4,MCF 10A,10071-101-2,Palbociclib,5.6234,636,2476,10885,0.3934,1,C10,3
50583-4,MCF 10A,10071-101-2,Palbociclib,5.6234,636,2921,10885,0.4507,1,I08,3
50583-4,MCF 10A,10071-101-2,Palbociclib,10,636,2215,10885,0.3560,1,K15,3
50583-4,MCF 10A,10071-101-2,Palbociclib,10,636,1976,10885,0.3187,1,L16,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.00021667,636,11041,10885,1.0069,1,G22,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.00021667,636,11363,10885,1.0211,1,J19,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.00021667,636,11386,10885,1.0221,1,N10,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.00021667,636,9480,10885,0.9336,1,N21,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.00033333,636,12116,10885,1.0530,1,I12,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.00033333,636,9872,10885,0.9529,1,K07,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.00066667,636,9193,10885,0.9192,1,C19,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.00066667,636,7621,10885,0.8333,1,D12,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.001,636,9748,10885,0.9468,1,H11,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.001,636,9905,10885,0.9544,1,M13,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.0016667,636,6648,10885,0.7732,1,C03,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.0016667,636,8064,10885,0.8588,1,N08,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.003,636,4754,10885,0.6339,1,E20,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.003,636,5113,10885,0.6632,1,H05,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.003,636,4954,10885,0.6504,1,I21,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.0056667,636,3287,10885,0.4931,1,I11,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.0056667,636,3092,10885,0.4710,1,N13,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.01,636,1963,10885,0.3166,1,H06,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.01,636,2068,10885,0.3335,1,M14,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.017783,636,1325,10885,0.1962,1,D08,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.017783,636,1141,10885,0.1533,1,N22,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.031623,636,1074,10885,0.1364,1,D07,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.031623,636,779,10885,0.0507,1,L22,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.1,636,955,10885,0.1043,1,L03,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.1,636,1094,10885,0.1415,1,L05,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.31623,636,978,10885,0.1107,1,D06,3
50583-4,MCF 10A,10142-101-4,Trametinib,0.31623,636,1067,10885,0.1346,1,H10,3
50583-4,MCF 10A,10142-101-4,Trametinib,1,636,761,10885,0.0448,1,E15,3
50583-4,MCF 10A,10142-101-4,Trametinib,1,636,961,10885,0.1060,1,K06,3
50583-4,MCF 10A,10282-101-4,Vorinostat,0.0033333,636,11114,10885,1.0102,1,C12,3
50583-4,MCF 10A,10282-101-4,Vorinostat,0.0033333,636,11093,10885,1.0092,1,H03,3
50583-4,MCF 10A,10282-101-4,Vorinostat,0.01,636,12342,10885,1.0622,1,J11,3
50583-4,MCF 10A,10282-101-4,Vorinostat,0.01,636,11158,10885,1.0121,1,J15,3
50583-4,MCF 10A,10282-101-4,Vorinostat,0.031667,636,11167,10885,1.0125,1,E16,3
50583-4,MCF 10A,10282-101-4,Vorinostat,0.031667,636,9725,10885,0.9457,1,L04,3
50583-4,MCF 10A,10282-101-4,Vorinostat,0.1,636,9475,10885,0.9334,1,G06,3
50583-4,MCF 10A,10282-101-4,Vorinostat,0.1,636,9167,10885,0.9179,1,M18,3
50583-4,MCF 10A,10282-101-4,Vorinostat,0.17783,636,7840,10885,0.8460,1,E12,3
50583-4,MCF 10A,10282-101-4,Vorinostat,0.17783,636,8532,10885,0.8845,1,F19,3
50583-4,MCF 10A,10282-101-4,Vorinostat,0.31623,636,6585,10885,0.7691,1,H21,3
50583-4,MCF 10A,10282-101-4,Vorinostat,0.31623,636,7403,10885,0.8204,1,K08,3
50583-4,MCF 10A,10282-101-4,Vorinostat,0.56234,636,5952,10885,0.7260,1,L12,3
50583-4,MCF 10A,10282-101-4,Vorinostat,0.56234,636,4896,10885,0.6456,1,L20,3
50583-4,MCF 10A,10282-101-4,Vorinostat,1,636,3014,10885,0.4619,1,F20,3
50583-4,MCF 10A,10282-101-4,Vorinostat,1,636,2637,10885,0.4150,1,G21,3
50583-4,MCF 10A,10282-101-4,Vorinostat,1.7783,636,1461,10885,0.2250,1,D16,3
50583-4,MCF 10A,10282-101-4,Vorinostat,1.7783,636,1649,10885,0.2618,1,G03,3
50583-4,MCF 10A,10282-101-4,Vorinostat,3.1623,636,875,10885,0.0810,1,C15,3
50583-4,MCF 10A,10282-101-4,Vorinostat,3.1623,636,797,10885,0.0566,1,K17,3
50583-4,MCF 10A,10282-101-4,Vorinostat,3.1623,636,750,10885,0.0410,1,L19,3
50583-4,MCF 10A,10282-101-4,Vorinostat,5.6234,636,777,10885,0.0501,1,C07,3
50583-4,MCF 10A,10282-101-4,Vorinostat,5.6234,636,697,10885,0.0226,1,E07,3
50583-4,MCF 10A,10282-101-4,Vorinostat,10,636,744,10885,0.0390,1,C11,3
50583-4,MCF 10A,10282-101-4,Vorinostat,10,636,573,10885,-0.0252,1,E19,3
50583-4,MCF 10A,10282-101-4,Vorinostat,10,636,579,10885,-0.0227,1,I19,3
50583-4,MCF 10A,10282-101-4,Vorinostat,10,636,747,10885,0.0400,1,K04,3
50583-4,MCF 10A,10233-101-4,Alpelisib,0.0033333,636,12101,11260,1.0350,2,J09,3
50583-4,MCF 10A,10233-101-4,Alpelisib,0.0033333,636,9493,11260,0.9193,2,M22,3
50583-4,MCF 10A,10233-101-4,Alpelisib,0.01,636,12925,11260,1.0676,2,J15,3
50583-4,MCF 10A,10233-101-4,Alpelisib,0.01,636,11365,11260,1.0045,2,N11,3
50583-4,MCF 10A,10233-101-4,Alpelisib,0.031667,636,11650,11260,1.0165,2,G12,3
50583-4,MCF 10A,10233-101-4,Alpelisib,0.031667,636,11232,11260,0.9988,2,M19,3
50583-4,MCF 10A,10233-101-4,Alpelisib,0.1,636,10571,11260,0.9698,2,E10,3
50583-4,MCF 10A,10233-101-4,Alpelisib,0.1,636,10861,11260,0.9827,2,N14,3
50583-4,MCF 10A,10233-101-4,Alpelisib,0.31623,636,9391,11260,0.9143,2,D11,3
50583-4,MCF 10A,10233-101-4,Alpelisib,0.31623,636,8843,11260,0.8868,2,M21,3
50583-4,MCF 10A,10233-101-4,Alpelisib,0.56234,636,9356,11260,0.9126,2,D07,3
50583-4,MCF 10A,10233-101-4,Alpelisib,0.56234,636,9240,11260,0.9068,2,J20,3
50583-4,MCF 10A,10233-101-4,Alpelisib,1,636,7899,11260,0.8361,2,C16,3
50583-4,MCF 10A,10233-101-4,Alpelisib,1,636,7633,11260,0.8210,2,J19,3
50583-4,MCF 10A,10233-101-4,Alpelisib,1.7783,636,7531,11260,0.8151,2,G08,3
50583-4,MCF 10A,10233-101-4,Alpelisib,1.7783,636,6744,11260,0.7674,2,M04,3
50583-4,MCF 10A,10233-101-4,Alpelisib,3.1623,636,5930,11260,0.7134,2,H12,3
50583-4,MCF 10A,10233-101-4,Alpelisib,3.1623,636,7390,11260,0.8068,2,I14,3
50583-4,MCF 10A,10233-101-4,Alpelisib,5.6234,636,5748,11260,0.7006,2,J07,3
50583-4,MCF 10A,10233-101-4,Alpelisib,5.6234,636,4926,11260,0.6384,2,M10,3
50583-4,MCF 10A,10233-101-4,Alpelisib,10,636,3419,11260,0.5003,2,C21,3
50583-4,MCF 10A,10233-101-4,Alpelisib,10,636,2890,11260,0.4407,2,D19,3
50583-4,MCF 10A,10233-101-4,Alpelisib,10,636,2889,11260,0.4406,2,G20,3
50583-4,MCF 10A,10233-101-4,Alpelisib,10,636,3037,11260,0.4580,2,J10,3
50583-4,MCF 10A,10233-101-4,Alpelisib,10,636,3360,11260,0.4940,2,N07,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.0010833,636,10923,11260,0.9854,2,L17,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.0010833,636,9871,11260,0.9375,2,N15,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.0033333,636,9925,11260,0.9400,2,H11,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.0033333,636,10538,11260,0.9683,2,K13,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.01,636,9762,11260,0.9323,2,F15,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.01,636,10169,11260,0.9514,2,N08,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.018333,636,8983,11260,0.8939,2,E19,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.018333,636,9223,11260,0.9060,2,I17,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.031667,636,8870,11260,0.8881,2,E06,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.031667,636,9323,11260,0.9110,2,I11,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.056667,636,6891,11260,0.7766,2,E17,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.056667,636,7408,11260,0.8079,2,J17,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.1,636,3625,11260,0.5216,2,K22,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.1,636,5768,11260,0.7020,2,N04,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.17783,636,2587,11260,0.4027,2,C22,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.17783,636,3149,11260,0.4708,2,F04,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.31623,636,1361,11260,0.2014,2,H19,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.31623,636,1227,11260,0.1717,2,H20,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.31623,636,1870,11260,0.2971,2,K06,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.56234,636,1406,11260,0.2109,2,L07,3
50583-4,MCF 10A,10020-101-5,Dasatinib,0.56234,636,1350,11260,0.1990,2,L09,3
50583-4,MCF 10A,10020-101-5,Dasatinib,1,636,1262,11260,0.1797,2,D16,3
50583-4,MCF 10A,10020-101-5,Dasatinib,1,636,1056,11260,0.1301,2,K11,3
