Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol 1 Concentration,Small Mol 1 Conc Unit,Small Molecule 2 HMS LINCS ID,Small Molecule 2 Name,Small Mol 2 Concentration,Small Mol 2 Conc Unit,Biological Replicate,Mean Total Cell Count Before Treatment,Mean Total Cell Count After Treatment,Mean Total Control Cell Count,Mean Normalized Growth Rate Inhibition Value
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10032-101-1,Saracatinib,0.3704,uM,1,2751,4712,4801,0.9626
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10032-101-1,Saracatinib,0.6415,uM,1,2751,4258,4801,0.7219
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10032-101-1,Saracatinib,1.1111,uM,1,2751,3910,4801,0.5556
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10032-101-1,Saracatinib,1.9245,uM,1,2751,3722,4801,0.4663
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10032-101-1,Saracatinib,3.3333,uM,1,2751,3959,4801,0.5701
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10142-101-1,Trametinib,0.1235,uM,1,2751,4382,4801,0.7862
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10142-101-1,Trametinib,0.3704,uM,1,2751,3241,4801,0.2222
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10142-101-1,Trametinib,1.1111,uM,1,2751,2564,4801,-0.0769
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10142-101-1,Trametinib,3.3333,uM,1,2751,2766,4801,0.0061
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10142-101-1,Trametinib,10,uM,1,2751,2419,4801,-0.1466
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,,,0,uM,1,2751,3122,4801,0.1661
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10056-101-1,Selumetinib,0.1235,uM,1,2751,3063,4801,0.1407
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10056-101-1,Selumetinib,0.3704,uM,1,2751,2815,4801,0.0276
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10056-101-1,Selumetinib,1.1111,uM,1,2751,2748,4801,-0.0008
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10056-101-1,Selumetinib,3.3333,uM,1,2751,2345,4801,-0.1816
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10056-101-1,Selumetinib,10,uM,1,2751,2058,4801,-0.3036
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10051-104-1,Lapatinib,1.1111,uM,1,2751,3416,4801,0.3131
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10051-104-1,Lapatinib,1.9245,uM,1,2751,3976,4801,0.5797
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10051-104-1,Lapatinib,3.3333,uM,1,2751,4070,4801,0.6490
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10051-104-1,Lapatinib,5.7735,uM,1,2751,3901,4801,0.5525
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10051-104-1,Lapatinib,10,uM,1,2751,3388,4801,0.3032
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10024-101-1,NVP-TAE684,0.3704,uM,1,2751,4579,4801,0.8827
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10024-101-1,NVP-TAE684,1.1111,uM,1,2751,4057,4801,0.6264
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10024-101-1,NVP-TAE684,3.3333,uM,1,2751,1847,4801,-0.3903
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10018-101-1,Neratinib,0.1235,uM,1,2751,2656,4801,-0.0390
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10018-101-1,Neratinib,0.2138,uM,1,2751,2278,4801,-0.2128
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10018-101-1,Neratinib,0.3704,uM,1,2751,2073,4801,-0.2956
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10018-101-1,Neratinib,0.6415,uM,1,2751,1885,4801,-0.3775
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10018-101-1,Neratinib,1.1111,uM,1,2751,1926,4801,-0.3585
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10018-101-1,Neratinib,1.9245,uM,1,2751,2075,4801,-0.2976
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10032-101-1,Saracatinib,0.3704,uM,1,2751,2983,4801,0.1043
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10032-101-1,Saracatinib,0.6415,uM,1,2751,2894,4801,0.0612
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10032-101-1,Saracatinib,1.1111,uM,1,2751,2617,4801,-0.0569
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10032-101-1,Saracatinib,1.9245,uM,1,2751,2494,4801,-0.1154
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10032-101-1,Saracatinib,3.3333,uM,1,2751,2304,4801,-0.2003
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10142-101-1,Trametinib,0.1235,uM,1,2751,2473,4801,-0.1148
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10142-101-1,Trametinib,0.3704,uM,1,2751,2106,4801,-0.2828
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10142-101-1,Trametinib,1.1111,uM,1,2751,1793,4801,-0.4131
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10142-101-1,Trametinib,3.3333,uM,1,2751,1585,4801,-0.4963
50105-3,BT-20,10232-101-1,Dactolisib,0.0137,uM,10142-101-1,Trametinib,10,uM,1,2751,1197,4801,-0.6455
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,,,0,uM,1,2751,2032,4801,-0.3156
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10056-101-1,Selumetinib,0.1235,uM,1,2751,1814,4801,-0.4046
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10056-101-1,Selumetinib,0.3704,uM,1,2751,1624,4801,-0.4825
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10056-101-1,Selumetinib,1.1111,uM,1,2751,1582,4801,-0.4988
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10056-101-1,Selumetinib,3.3333,uM,1,2751,1389,4801,-0.5732
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10056-101-1,Selumetinib,10,uM,1,2751,1212,4801,-0.6401
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10051-104-1,Lapatinib,1.1111,uM,1,2751,2307,4801,-0.1985
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10051-104-1,Lapatinib,1.9245,uM,1,2751,2459,4801,-0.1284
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10051-104-1,Lapatinib,3.3333,uM,1,2751,2778,4801,0.0128
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10051-104-1,Lapatinib,5.7735,uM,1,2751,3353,4801,0.2798
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10051-104-1,Lapatinib,10,uM,1,2751,3031,4801,0.1257
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10024-101-1,NVP-TAE684,0.3704,uM,1,2751,2590,4801,-0.0709
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10024-101-1,NVP-TAE684,1.1111,uM,1,2751,2760,4801,0.0025
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10024-101-1,NVP-TAE684,3.3333,uM,1,2751,1751,4801,-0.4202
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10018-101-1,Neratinib,0.1235,uM,1,2751,1651,4801,-0.4699
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10018-101-1,Neratinib,0.2138,uM,1,2751,1518,4801,-0.5240
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10018-101-1,Neratinib,0.3704,uM,1,2751,1492,4801,-0.5333
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10018-101-1,Neratinib,0.6415,uM,1,2751,1166,4801,-0.6566
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10018-101-1,Neratinib,1.1111,uM,1,2751,1363,4801,-0.5832
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10018-101-1,Neratinib,1.9245,uM,1,2751,1470,4801,-0.5402
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10032-101-1,Saracatinib,0.3704,uM,1,2751,1668,4801,-0.4630
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10032-101-1,Saracatinib,0.6415,uM,1,2751,1405,4801,-0.5667
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10032-101-1,Saracatinib,1.1111,uM,1,2751,1517,4801,-0.5244
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10032-101-1,Saracatinib,1.9245,uM,1,2751,1569,4801,-0.5039
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10032-101-1,Saracatinib,3.3333,uM,1,2751,1482,4801,-0.5377
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10142-101-1,Trametinib,0.1235,uM,1,2751,1623,4801,-0.4822
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10142-101-1,Trametinib,0.3704,uM,1,2751,1233,4801,-0.6322
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10142-101-1,Trametinib,1.1111,uM,1,2751,1116,4801,-0.6750
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10142-101-1,Trametinib,3.3333,uM,1,2751,1074,4801,-0.6904
50105-3,BT-20,10232-101-1,Dactolisib,0.0412,uM,10142-101-1,Trametinib,10,uM,1,2751,935,4801,-0.7394
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,,,0,uM,1,2751,1372,4801,-0.5724
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10056-101-1,Selumetinib,0.1235,uM,1,2751,1240,4801,-0.6284
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10056-101-1,Selumetinib,0.3704,uM,1,2751,1427,4801,-0.5591
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10056-101-1,Selumetinib,1.1111,uM,1,2751,1191,4801,-0.6475
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10056-101-1,Selumetinib,3.3333,uM,1,2751,1071,4801,-0.6913
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10056-101-1,Selumetinib,10,uM,1,2751,1023,4801,-0.7087
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10051-104-1,Lapatinib,1.1111,uM,1,2751,1839,4801,-0.3936
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10051-104-1,Lapatinib,1.9245,uM,1,2751,1957,4801,-0.3469
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10051-104-1,Lapatinib,3.3333,uM,1,2751,2480,4801,-0.1154
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10051-104-1,Lapatinib,5.7735,uM,1,2751,2808,4801,0.0268
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10051-104-1,Lapatinib,10,uM,1,2751,2831,4801,0.0368
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10024-101-1,NVP-TAE684,0.3704,uM,1,2751,2141,4801,-0.2676
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10024-101-1,NVP-TAE684,1.1111,uM,1,2751,2120,4801,-0.2791
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10024-101-1,NVP-TAE684,3.3333,uM,1,2751,1154,4801,-0.6611
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10018-101-1,Neratinib,0.1235,uM,1,2751,1315,4801,-0.6016
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10018-101-1,Neratinib,0.2138,uM,1,2751,1262,4801,-0.6216
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10018-101-1,Neratinib,0.3704,uM,1,2751,1241,4801,-0.6285
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10018-101-1,Neratinib,0.6415,uM,1,2751,1193,4801,-0.6463
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10018-101-1,Neratinib,1.1111,uM,1,2751,1335,4801,-0.5940
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10018-101-1,Neratinib,1.9245,uM,1,2751,1298,4801,-0.6076
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10032-101-1,Saracatinib,0.3704,uM,1,2751,1377,4801,-0.5779
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10032-101-1,Saracatinib,0.6415,uM,1,2751,1355,4801,-0.5860
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10032-101-1,Saracatinib,1.1111,uM,1,2751,1266,4801,-0.6200
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10032-101-1,Saracatinib,1.9245,uM,1,2751,1100,4801,-0.6807
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10032-101-1,Saracatinib,3.3333,uM,1,2751,1160,4801,-0.6592
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10142-101-1,Trametinib,0.1235,uM,1,2751,1319,4801,-0.6001
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10142-101-1,Trametinib,0.3704,uM,1,2751,1013,4801,-0.7117
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10142-101-1,Trametinib,1.1111,uM,1,2751,974,4801,-0.7258
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10142-101-1,Trametinib,3.3333,uM,1,2751,835,4801,-0.7738
50105-3,BT-20,10232-101-1,Dactolisib,0.1235,uM,10142-101-1,Trametinib,10,uM,1,2751,700,4801,-0.8180
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,,,0,uM,1,2751,1358,4801,-0.5854
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10056-101-1,Selumetinib,0.1235,uM,1,2751,986,4801,-0.7212
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10056-101-1,Selumetinib,0.3704,uM,1,2751,925,4801,-0.7423
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10056-101-1,Selumetinib,1.1111,uM,1,2751,883,4801,-0.7569
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10056-101-1,Selumetinib,3.3333,uM,1,2751,781,4801,-0.7915
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10056-101-1,Selumetinib,10,uM,1,2751,726,4801,-0.8101
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10051-104-1,Lapatinib,1.1111,uM,1,2751,1355,4801,-0.5865
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10051-104-1,Lapatinib,1.9245,uM,1,2751,1653,4801,-0.4683
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10051-104-1,Lapatinib,3.3333,uM,1,2751,2116,4801,-0.2804
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10051-104-1,Lapatinib,5.7735,uM,1,2751,2361,4801,-0.1738
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10051-104-1,Lapatinib,10,uM,1,2751,2336,4801,-0.1838
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10024-101-1,NVP-TAE684,0.3704,uM,1,2751,1632,4801,-0.4789
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10024-101-1,NVP-TAE684,1.1111,uM,1,2751,1576,4801,-0.4997
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10024-101-1,NVP-TAE684,3.3333,uM,1,2751,865,4801,-0.7627
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10018-101-1,Neratinib,0.1235,uM,1,2751,1062,4801,-0.6940
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10018-101-1,Neratinib,0.2138,uM,1,2751,1090,4801,-0.6838
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10018-101-1,Neratinib,0.3704,uM,1,2751,1059,4801,-0.6941
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10018-101-1,Neratinib,0.6415,uM,1,2751,1201,4801,-0.6440
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10018-101-1,Neratinib,1.1111,uM,1,2751,1141,4801,-0.6639
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10018-101-1,Neratinib,1.9245,uM,1,2751,1237,4801,-0.6284
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10032-101-1,Saracatinib,0.3704,uM,1,2751,1264,4801,-0.6206
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10032-101-1,Saracatinib,0.6415,uM,1,2751,1214,4801,-0.6395
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10032-101-1,Saracatinib,1.1111,uM,1,2751,1194,4801,-0.6467
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10032-101-1,Saracatinib,1.9245,uM,1,2751,1173,4801,-0.6544
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10032-101-1,Saracatinib,3.3333,uM,1,2751,1072,4801,-0.6911
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10142-101-1,Trametinib,0.1235,uM,1,2751,967,4801,-0.7274
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10142-101-1,Trametinib,0.3704,uM,1,2751,678,4801,-0.8244
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10142-101-1,Trametinib,1.1111,uM,1,2751,694,4801,-0.8198
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10142-101-1,Trametinib,3.3333,uM,1,2751,702,4801,-0.8167
50105-3,BT-20,10232-101-1,Dactolisib,0.3704,uM,10142-101-1,Trametinib,10,uM,1,2751,605,4801,-0.8483
50105-3,BT-20,10051-104-1,Lapatinib,1.1111,uM,,,0,uM,1,2751,6342,4801,1.8287
50105-3,BT-20,10051-104-1,Lapatinib,1.9245,uM,,,0,uM,1,2751,6922,4801,2.1791
50105-3,BT-20,10051-104-1,Lapatinib,3.3333,uM,,,0,uM,1,2751,6686,4801,2.0099
50105-3,BT-20,10051-104-1,Lapatinib,5.7735,uM,,,0,uM,1,2751,5372,4801,1.3225
50105-3,BT-20,10051-104-1,Lapatinib,10,uM,,,0,uM,1,2751,3603,4801,0.4004
50105-3,BT-20,10024-101-1,NVP-TAE684,0.3704,uM,,,0,uM,1,2751,6560,4801,1.9591
50105-3,BT-20,10024-101-1,NVP-TAE684,1.1111,uM,,,0,uM,1,2751,6434,4801,1.8735
50105-3,BT-20,10024-101-1,NVP-TAE684,3.3333,uM,,,0,uM,1,2751,2181,4801,-0.2447
50105-3,BT-20,10018-101-1,Neratinib,0.1235,uM,,,0,uM,1,2751,4625,4801,0.9374
50105-3,BT-20,10018-101-1,Neratinib,0.2138,uM,,,0,uM,1,2751,4634,4801,0.9152
50105-3,BT-20,10018-101-1,Neratinib,0.3704,uM,,,0,uM,1,2751,4619,4801,0.9363
50105-3,BT-20,10018-101-1,Neratinib,0.6415,uM,,,0,uM,1,2751,3843,4801,0.5154
50105-3,BT-20,10018-101-1,Neratinib,1.1111,uM,,,0,uM,1,2751,3772,4801,0.4759
50105-3,BT-20,10018-101-1,Neratinib,1.9245,uM,,,0,uM,1,2751,3255,4801,0.2341
50105-3,BT-20,10032-101-1,Saracatinib,0.3704,uM,,,0,uM,1,2751,4879,4801,1.0579
50105-3,BT-20,10032-101-1,Saracatinib,0.6415,uM,,,0,uM,1,2751,5043,4801,1.1418
50105-3,BT-20,10032-101-1,Saracatinib,1.1111,uM,,,0,uM,1,2751,4400,4801,0.8092
50105-3,BT-20,10032-101-1,Saracatinib,1.9245,uM,,,0,uM,1,2751,4322,4801,0.7589
50105-3,BT-20,10032-101-1,Saracatinib,3.3333,uM,,,0,uM,1,2751,4074,4801,0.6489
50105-3,BT-20,10142-101-1,Trametinib,0.1235,uM,,,0,uM,1,2751,4115,4801,0.6492
50105-3,BT-20,10142-101-1,Trametinib,0.3704,uM,,,0,uM,1,2751,4082,4801,0.6310
50105-3,BT-20,10142-101-1,Trametinib,1.1111,uM,,,0,uM,1,2751,3588,4801,0.3849
50105-3,BT-20,10142-101-1,Trametinib,3.3333,uM,,,0,uM,1,2751,3516,4801,0.3646
50105-3,BT-20,10142-101-1,Trametinib,10,uM,,,0,uM,1,2751,3248,4801,0.2358
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,,,0,uM,1,2751,5214,4801,1.2199
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10056-101-1,Selumetinib,0.1235,uM,1,2751,4808,4801,1.0092
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10056-101-1,Selumetinib,0.3704,uM,1,2751,4823,4801,0.9971
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10056-101-1,Selumetinib,1.1111,uM,1,2751,4298,4801,0.7299
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10056-101-1,Selumetinib,3.3333,uM,1,2751,4183,4801,0.6794
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10056-101-1,Selumetinib,10,uM,1,2751,3956,4801,0.5763
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10051-104-1,Lapatinib,1.1111,uM,1,2751,5169,4801,1.2076
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10051-104-1,Lapatinib,1.9245,uM,1,2751,6047,4801,1.6897
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10051-104-1,Lapatinib,3.3333,uM,1,2751,5704,4801,1.4813
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10051-104-1,Lapatinib,5.7735,uM,1,2751,5095,4801,1.1631
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10051-104-1,Lapatinib,10,uM,1,2751,3229,4801,0.2190
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10024-101-1,NVP-TAE684,0.3704,uM,1,2751,7099,4801,2.2666
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10024-101-1,NVP-TAE684,1.1111,uM,1,2751,5823,4801,1.5352
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10024-101-1,NVP-TAE684,3.3333,uM,1,2751,1934,4801,-0.3518
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10018-101-1,Neratinib,0.1235,uM,1,2751,3775,4801,0.4722
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10018-101-1,Neratinib,0.2138,uM,1,2751,4268,4801,0.7436
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10018-101-1,Neratinib,0.3704,uM,1,2751,3390,4801,0.3041
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10018-101-1,Neratinib,0.6415,uM,1,2751,3680,4801,0.4258
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10018-101-1,Neratinib,1.1111,uM,1,2751,3108,4801,0.1716
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10018-101-1,Neratinib,1.9245,uM,1,2751,3178,4801,0.1976
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10032-101-1,Saracatinib,0.3704,uM,1,2751,4307,4801,0.7449
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10032-101-1,Saracatinib,0.6415,uM,1,2751,4759,4801,0.9857
