Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Replicate,Seeding Density,IC50,EC50,Emax,Einf,IC Hill Coefficient,IC_AUC,IC Curve Fit,IC r2,GR50,GEC50,GRmax,GRinf,GR Hill Coefficient,GR_AOC,GR Curve Fit,GR r2
50029-3,MCF7,10099-101-1,Nilotinib,1,5000.00,5.1123,3.8879,0.3213,0.3163,3.6574,0.8487,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9625,3.9346,3.8451,0.0471,0.0543,5.0000,0.2007,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9742
50029-3,MCF7,10102-999-6,Taxol,1,156.25,0.011,0.0043,0.3104,0.4024,1.7559,0.6131,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9485,0.0041,0.0046,-0.2753,-0.0985,1.6543,0.7098,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9333
50029-3,MCF7,10102-999-6,Taxol,1,312.50,0.0035,0.0012,0.2945,0.3606,1.1730,0.5129,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.942,0.0012,0.0013,-0.1548,-0.0314,1.1319,0.7704,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9429
50029-3,MCF7,10102-999-6,Taxol,1,625.00,0.0113,0.0019,0.4205,0.4632,1.4557,0.6233,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9537,0.0012,0.0016,-0.3666,-0.2756,1.4872,0.9204,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9688
50029-3,MCF7,10102-999-6,Taxol,1,1250.00,0.0036,0.0014,0.3303,0.3921,1.6755,0.5508,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9688,0.0009,0.0012,-0.5017,-0.3721,1.9234,1.0377,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9722
50029-3,MCF7,10102-999-6,Taxol,1,2500.00,0.0044,0.0022,0.3561,0.3948,2.1797,0.5827,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9748,0.0018,0.0021,-0.2606,-0.1909,2.0313,0.8321,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9788
50029-3,MCF7,10102-999-6,Taxol,1,5000.00,0.0065,0.0027,0.3599,0.3739,1.5530,0.5780,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.982,0.0035,0.003,0.0747,0.1011,1.5593,0.5950,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9839
50029-3,MCF7,10146-101-3,Omipalisib,1,156.25,0.009,0.0043,0.3976,0.4456,2.9647,0.5133,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9704,0.0042,0.0042,-0.1123,-0.0094,3.1275,0.8865,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9704
50029-3,MCF7,10146-101-3,Omipalisib,1,312.50,0.0114,0.0033,0.3338,0.3466,0.9487,0.4345,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9834,0.0035,0.0039,-0.0812,-0.0547,0.9578,0.8986,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9815
50029-3,MCF7,10146-101-3,Omipalisib,1,625.00,0.0443,0.0082,0.3579,0.4079,0.9999,0.5352,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9508,0.0044,0.0072,-0.4899,-0.3808,1.1514,1.1099,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9464
50029-3,MCF7,10146-101-3,Omipalisib,1,1250.00,0.0113,0.0041,0.3383,0.3456,1.1539,0.4359,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9904,0.002,0.0036,-0.4937,-0.4741,1.1677,1.2890,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9938
50029-3,MCF7,10146-101-3,Omipalisib,1,2500.00,0.0135,0.0054,0.2947,0.3274,1.1646,0.4378,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9866,0.0035,0.0053,-0.3892,-0.3204,1.2001,1.1077,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9888
50029-3,MCF7,10146-101-3,Omipalisib,1,5000.00,0.0126,0.0055,0.3195,0.3504,1.4480,0.4514,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9928,0.0068,0.0063,0.0011,0.0573,1.4268,0.7822,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9918
50029-3,MCF7,10250-999-4,Etoposide,1,156.25,5.3058,2.2145,0.4217,0.4150,2.0284,0.8058,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.7246,2.7275,2.5753,0.0670,0.0593,2.1983,0.3122,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.7102
50029-3,MCF7,10250-999-4,Etoposide,1,312.50,inf,1.0293,0.5796,0.5970,1.3384,0.8859,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9523,3.2047,1.2216,0.3269,0.3241,1.0830,0.1956,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9646
50029-3,MCF7,10250-999-4,Etoposide,1,625.00,8.9893,1.4921,0.4608,0.4521,1.3064,0.8266,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.8536,2.0967,1.7154,0.1530,0.1075,1.2064,0.2794,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.8571
50029-3,MCF7,10250-999-4,Etoposide,1,1250.00,3.6183,1.1715,0.4085,0.4337,1.7922,0.8478,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9544,1.5149,1.3994,0.0442,0.0564,1.5083,0.2528,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9607
50029-3,MCF7,10250-999-4,Etoposide,1,2500.00,2.7934,0.9707,0.3808,0.4049,1.5697,0.8029,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9811,1.3557,1.1496,0.0804,0.1026,1.3922,0.2843,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9843
50029-3,MCF7,10250-999-4,Etoposide,1,5000.00,5.723,1.245,0.4425,0.3994,1.0513,0.7946,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9871,2.2994,1.4469,0.2580,0.1958,1.0728,0.2609,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9897
50029-3,MCF7,10264-999-2,Methotrexate,1,156.25,inf,inf,1.0500,1.0500,0.0000,0.9675,flat fit: x = Einf,0.0,inf,inf,1.0500,1.0500,0.0000,0.0787,flat fit: x = Einf,-0.0413
50029-3,MCF7,10264-999-2,Methotrexate,1,312.50,inf,inf,0.8390,0.8390,0.0000,0.8991,flat fit: x = Einf,0.4423,inf,inf,0.7789,0.7789,0.0000,0.1493,flat fit: x = Einf,0.3991
50029-3,MCF7,10264-999-2,Methotrexate,1,625.00,inf,inf,0.8825,0.8825,0.0000,0.9293,flat fit: x = Einf,0.3847,inf,inf,0.6816,0.6816,0.0000,0.2003,flat fit: x = Einf,0.4174
50029-3,MCF7,10264-999-2,Methotrexate,1,1250.00,inf,0.1263,0.7852,0.7715,5.0000,0.8887,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9095,0.1889,0.1264,0.4159,0.4329,5.0000,0.2795,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9322
50029-3,MCF7,10264-999-2,Methotrexate,1,2500.00,inf,0.0856,0.6358,0.6772,5.0000,0.8345,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9466,0.1108,0.0866,0.2786,0.3539,5.0000,0.3434,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9598
50029-3,MCF7,10264-999-2,Methotrexate,1,5000.00,inf,0.0584,0.5429,0.5525,3.9662,0.7427,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9881,0.089,0.0597,0.3808,0.3954,3.9094,0.3493,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9922
50029-3,MCF7,10051-104-1,Lapatinib,10,156.25,11.1916,11.1513,0.6358,0.0089,5.0000,1.0226,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.8676,9.2068,11.4589,0.3297,-0.9933,5.0000,-0.0023,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9559
50029-3,MCF7,10051-104-1,Lapatinib,10,312.50,10.5091,10.5083,0.5612,0.0002,5.0000,1.0062,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.909,8.9871,11.1922,0.2748,-0.9978,5.0000,0.0160,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9589
50029-3,MCF7,10051-104-1,Lapatinib,10,625.00,10.4833,10.4831,0.5582,0.0001,5.0000,1.0175,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9058,9.0342,11.2515,0.2868,-0.9982,5.0000,0.0005,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9607
50029-3,MCF7,10051-104-1,Lapatinib,10,1250.00,9.5141,7.3956,0.4749,0.3045,3.7284,0.9769,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9588,7.789,7.6883,0.2963,0.0229,3.5950,0.0390,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9733
50029-3,MCF7,10051-104-1,Lapatinib,10,2500.00,8.3531,4.0463,0.4922,0.4867,5.0000,0.9606,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.961,5.4143,4.1756,0.3715,0.3635,4.9987,0.0498,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9724
50029-3,MCF7,10051-104-1,Lapatinib,10,5000.00,9.3172,5.2446,0.4842,0.3891,2.6200,0.9651,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9836,6.9653,5.6941,0.3535,0.2036,2.5955,0.0448,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9884
50029-3,MCF7,10071-101-1,Palbociclib,10,156.25,1.1512,0.692,0.4454,0.4608,5.0000,0.8019,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9642,0.8853,0.6797,0.3734,0.3666,5.0000,0.2329,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.951
50029-3,MCF7,10071-101-1,Palbociclib,10,312.50,0.8181,0.2923,0.3916,0.4029,1.5925,0.7035,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9631,0.5429,0.3287,0.3361,0.3599,2.5341,0.3076,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9828
50029-3,MCF7,10071-101-1,Palbociclib,10,625.00,0.8884,0.3347,0.3508,0.3536,1.2577,0.7015,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9798,0.823,0.4431,0.2996,0.3244,1.6899,0.2882,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9814
50029-3,MCF7,10071-101-1,Palbociclib,10,1250.00,0.6482,0.3226,0.3793,0.3994,2.2973,0.7091,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9903,0.6413,0.3634,0.3641,0.3950,2.7483,0.2827,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9909
50029-3,MCF7,10071-101-1,Palbociclib,10,2500.00,1.7746,0.1799,0.4565,0.4283,0.8487,0.6856,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9722,1.2586,0.2168,0.4297,0.4040,0.9382,0.3170,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9766
50029-3,MCF7,10071-101-1,Palbociclib,10,5000.00,inf,0.119,0.5698,0.5495,0.8030,0.7329,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9777,1.6327,0.1344,0.4583,0.4317,0.7969,0.3304,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9743
50029-3,MCF7,10097-101-1,Erlotinib,10,156.25,inf,inf,1.0500,1.0500,0.0000,1.0500,flat fit: x = Einf,-inf,inf,inf,1.0500,1.0500,0.0000,-0.0500,flat fit: x = Einf,-inf
50029-3,MCF7,10097-101-1,Erlotinib,10,312.50,inf,inf,1.0500,1.0500,0.0000,1.0500,flat fit: x = Einf,-inf,inf,inf,1.0500,1.0500,0.0000,-0.0500,flat fit: x = Einf,-inf
50029-3,MCF7,10097-101-1,Erlotinib,10,625.00,inf,inf,1.0500,1.0500,0.0000,1.0500,flat fit: x = Einf,-inf,inf,inf,1.0500,1.0500,0.0000,-0.0500,flat fit: x = Einf,-inf
50029-3,MCF7,10097-101-1,Erlotinib,10,1250.00,inf,inf,1.0500,1.0500,0.0000,1.0494,flat fit: x = Einf,-1058.7016,inf,inf,1.0500,1.0500,0.0000,-0.0497,flat fit: x = Einf,-6242.1833
50029-3,MCF7,10097-101-1,Erlotinib,10,2500.00,inf,inf,1.0500,1.0500,0.0000,1.0414,flat fit: x = Einf,-5.217,inf,inf,1.0500,1.0500,0.0000,-0.0413,flat fit: x = Einf,-5.064
50029-3,MCF7,10097-101-1,Erlotinib,10,5000.00,inf,inf,0.9493,0.9493,0.0000,1.0272,flat fit: x = Einf,-0.2401,inf,inf,0.9450,0.9450,0.0000,-0.0277,flat fit: x = Einf,-0.1701
50029-3,MCF7,10099-101-1,Nilotinib,10,156.25,inf,inf,1.0500,1.0500,0.0000,1.0449,flat fit: x = Einf,-14.2993,inf,inf,1.0500,1.0500,0.0000,-0.0500,flat fit: x = Einf,-inf
50029-3,MCF7,10099-101-1,Nilotinib,10,312.50,inf,inf,1.0500,1.0500,0.0000,1.0448,flat fit: x = Einf,-2.4981,inf,inf,1.0500,1.0500,0.0000,-0.0423,flat fit: x = Einf,-0.9184
50029-3,MCF7,10099-101-1,Nilotinib,10,625.00,inf,inf,0.5262,0.5262,0.0000,0.9825,flat fit: x = Einf,0.3603,inf,inf,0.5507,0.5507,0.0000,0.0166,flat fit: x = Einf,0.3516
50029-3,MCF7,10099-101-1,Nilotinib,10,1250.00,inf,5.3818,0.4669,0.5184,4.9987,0.9626,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9403,inf,5.386,0.4812,0.5472,4.9989,0.0332,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9223
50029-3,MCF7,10099-101-1,Nilotinib,10,2500.00,6.6038,4.8647,0.3557,0.3915,5.0000,0.9142,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9861,6.2994,5.0209,0.2830,0.3392,5.0000,0.0907,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9781
50029-3,MCF7,10099-101-1,Nilotinib,10,5000.00,7.0822,4.6275,0.4251,0.4405,5.0000,0.8998,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9827,5.8021,5.0783,0.2169,0.2432,5.0000,0.1167,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9848
50029-3,MCF7,10102-999-6,Taxol,10,156.25,0.0118,0.0039,0.3434,0.4012,1.4706,0.6332,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9378,0.0102,0.0055,0.1794,0.2689,1.2484,0.4248,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9224
50029-3,MCF7,10102-999-6,Taxol,10,312.50,0.0025,0.0016,0.3791,0.3816,3.2485,0.5510,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9875,0.0024,0.0018,0.3165,0.3167,3.1935,0.4903,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9849
50029-3,MCF7,10102-999-6,Taxol,10,625.00,0.0032,0.002,0.2831,0.3189,2.1212,0.5205,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9776,0.0038,0.0026,0.1822,0.2290,1.6034,0.5215,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9674
50029-3,MCF7,10102-999-6,Taxol,10,1250.00,0.0056,0.0034,0.2720,0.2927,1.7451,0.5451,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9937,0.0065,0.0045,0.1932,0.2194,1.5490,0.4790,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9948
50029-3,MCF7,10102-999-6,Taxol,10,2500.00,0.0081,0.0045,0.2922,0.2994,1.5351,0.5692,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9901,0.0077,0.0055,0.1815,0.1903,1.4104,0.4795,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9924
50029-3,MCF7,10102-999-6,Taxol,10,5000.00,0.0339,0.0074,0.4326,0.4553,1.5883,0.7019,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9795,0.0145,0.0092,0.2260,0.2639,1.6699,0.3798,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9745
50029-3,MCF7,10135-101-1,Linsitinib,10,156.25,inf,4.6073,0.5783,0.5861,1.6763,0.9643,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.8895,9.0102,8.7921,0.2434,0.0150,1.2390,0.0871,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9311
50029-3,MCF7,10135-101-1,Linsitinib,10,312.50,inf,0.9978,0.5494,0.6247,5.0000,0.8949,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9384,1.3492,1.0201,0.2482,0.3765,5.0000,0.1870,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.952
50029-3,MCF7,10135-101-1,Linsitinib,10,625.00,inf,1.9384,0.4620,0.5028,2.4667,0.8985,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9655,2.4716,2.0393,0.1174,0.1846,2.3974,0.1799,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9796
50029-3,MCF7,10135-101-1,Linsitinib,10,1250.00,inf,0.8281,0.4811,0.5256,2.4434,0.8511,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.975,1.617,0.8858,0.3072,0.3711,2.2518,0.1976,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9795
50029-3,MCF7,10135-101-1,Linsitinib,10,2500.00,inf,0.7745,0.4612,0.5143,4.6751,0.8263,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9738,1.1554,0.7904,0.3275,0.4031,4.3222,0.2129,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9748
50029-3,MCF7,10135-101-1,Linsitinib,10,5000.00,3.605,0.6041,0.4371,0.4768,1.7175,0.8026,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.9818,1.3906,0.6888,0.2831,0.3360,1.5862,0.2420,sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill),0.983
